$  	$	dollar
=	=	=
>	&gt;	>
a	de	the
ab	ab	ab
aba	aba	aba
abba	erin	into
abban	daarin	"in that ""abban az esetben"" means ""in (that) case"""
abból	daaruit	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absint	absynth
abszintot	absint	absinthe
abszolút	absoluut	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	acdc	acdc
achát	agaat	agate
act	handelen	act
acél	staal	steel
ad	geven	give
adam	adam	adam
adams	adams	adams
adat	gegevens	data
adatai	informatie	data
adatait	informatie	data of
adatok	gegevens	data
adatokat	gegevens	data
adatot	gegevens	data
addig	tot dan	will
addigi	vorige	current
addigra	dan	by then
adja	invoeren	give
adjon	geven	so he give
adminisztratív	administratief	administrative
admirális	admiraal	admiral
adnak	ze	they
adni	geven	to give
adolf	adolf	adolf
adott	gegeven	specific
adrian	adrian	adrian
adta	gaf	he performed
adtak	ze	gave
adták	vrijgelaten	gave
ady	ady	ady
adó	belasting	provider
adódik	ten gevolge	given
adók	ik geef	taxes
adót	belastingen	tax
afganisztán	afghanistan	afghanistan
afganisztáni	afghanistan	of afghanistan
afgán	afghaans	afghani
afrika	afrika	africa
afrikai	afrikaanse	african
afrikában	afrika	in africa
agatha	agatha	agatha
agy	hersenen	brain
ahhoz	aan	thereto
ahogy	net zo	as
ahogyan	net zo	as
ahol	waar	where
ahonnan	waarvan	from where
ahova	waar	to where
ahová	waar	where
ai	ai	this word does not make sense on its own
aids	aids	aids
air	lucht	air
aires	uitgezonden	aires
airsoft	airsoft	airsoft
ajánlatot	aanbod	offer
ajánlott	aanbevolen	recommended, offered
ajánlotta	aanbevolen	recommended
akad	blijft achter	there
akadt	gevangen	had
akadtak	er waren	could be found
akadályozta	verhinderd	obstructed
akadémia	academie	academy
akadémiai	academisch	academical
akadémián	academie	academy
akar	zullen	wants to
akarat	zullen	will
akarata	zullen	will of
akarja	naar	wants
akarnak	zij willen	they want
akart	gezocht	he wanted
akarta	gezocht	wanted
