<i>	<i>	paragraph sign
a	a	a
c	v	c.
co	co	company
d	d	d
economic	iqtisodiy	economic
ed	tahrirlangan	edition
entertainment	o&#39;yin-kulgi	entertainment
f	f	f
google	google	google
h	h	h.
ii	ii	ii
iii	iii	iii
iran	eron	iran
isbn	isbn	isbn
iv	iv	iv
ix	ix	ix
iншi	boshqalar	other
j	j	j.
k	k	k
l	l	l
left	chapga	left
m	m	m.
marketing	marketing	marketing
my	biz	my
n	n	n.
na	yoqilgan	at
o	o	o
over	ustida	over
p	p	p
pp	pp	year
px	px	pixels
px|	px |	pixels
radio	radio	radio
rss	rss	rss
shippuuden	shippuden	shipuuden
stadt	shahar	village
state	davlat	state
und	va	and
v	v	v
vi	siz	vi
vii	vii	vii
viii	viii	viii
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	xiv
xix	xix	xix
xixxx	xixxx	xix-xx
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii
xviiixix	xviiixix	xviii-xix
xviixviii	xviixviii	xvii-xviii
xvixvii	xvixvii	xvi-xvii
xvixviii	xvixviii	xvi-xviii
xx	xx	xx
xxi	xxi	xii
y	y	u
  	  	the word to translate is blank
 км	km	km
 м	m	meters
 млн	million	mln
 млрд	milliard	billion
 р	p	year
 р 	p	year
 року	yil	year
 році	yil	year
 рр	rr	years
 тис	ming	thousands
°с	° s	celsius
à	ga	of
а	va	and
абетка	alifbo	alphabet
абетки	alifbolar	alphabet
аби	abi	only
або	yoki	or
абсолютизму	absolyutizm	absolutism
абсолютна	mutlaq	absolute
абсолютний	mutlaq	absolute
абсолютно	mutlaqo	absolute
абсолютної	mutlaq	absolute
абсолютну	mutlaq	absolute
авакум	avakum	habakkuk
аварії	baxtsiz hodisalar	accidents
август	avgust	august
августа	avgust	august
авон	avon	avon
австралія	avstraliya	australia
австралії	avstraliya	australia
австроугорської	avstriya-vengriya	austria-hungary
австроугорщини	avstriya-vengriya	austria-hungary
австрійська	avstriya	austrian
австрійський	avstriya	austrian
австрійської	avstriya	austrian
австрія	avstriya	austria
австрії	avstriya	austria
автобуси	avtobuslar	buses
автомагістраль	avtomagistral	highway
автоматично	avtomatik ravishda	automatically
автомобільний	avtomobil	automotive
