$	$	dollarsign
+	+	+
=	=	=
>	&gt;	>
a	а	a
aa	аа	aa
aad	аад	aad
aan	на	on
aanbevolen	препоручује се	featured
aanbidden	обожавати	to worship
aanbieden	да понуди	kerstman
aanbod	понуда	offer/ demand
aanbrengen	применити	apply
aandacht	пажња	attention
aandeel	део	share
aandeelhouders	акционари	shareholders
aandelen	акције	shares
aandoening	стање	ailment
aandoeningen	болести	sicknesses
aandringen	инсистирати	urge
aanduiding	ознака	indication
aangeboden	понудио	offered
aangeboren	урођена	congenital
aangebracht	примењено	attached
aangedaan	под утицајем	call in
aangedreven	погон	driven
aangeduid	назначено	indicated
aangeeft	указује	indicates
aangegeven	назначено	indicated
aangehaald	цитирано	quote/ engage
aangekomen	стигао	arrived
aangekondigd	најавио	announced
aangelegd	изложио	applied
aangelegde	уређен	landscaped
aangelegenheden	има везе	affairs
aangemerkt	означено	regarded
aangemoedigd	охрабрени	encouraged
aangenomen	усвојена	accepted
aangepast	подешено	adapted
aangeraden	препоручује се	recommended
aangesloten	прикључен	connected
aangesteld	именован	appointed
aangetast	под утицајем	corroded
aangetoond	демонстрирали	shown
aangetroffen	нашао	found
aangetrokken	привлачи	attracted
aangevallen	нападнута	attacked
aangevoerd	слетио	delivered
aangevuld	допуњено	supplemented
aangewezen	одређен	designated
aangezien	од	as
aangrenzende	суседни	adjoining
aanhang	следбеници	followers
aanhanger	приколица	follower
aanhangers	следбеници	supporters
aanhoudende	упоран	ongoing
aanklacht	оптужница	accusation
aankomst	долазак	arrival
aankoop	куповина	purchase
aanleg	способност	construction
aanleiding	разлог	occasion
aanloop	трчи горе	run-up
aanmerkelijk	значајан	considerably
aanmerking	разматрање	consider
aannemen	узми	assume
aanpak	приступ	approach
aanpassen	прилагодити	adapt
aanpassing	подешавање	adjustment
aanpassingen	модификације	adjustments
aanraking	додир	touch
aanslag	напад	assault
aanslagen	напада	attacks
aansluiten	повежите се	join
aansluiting	веза	entry
aanspraak	потраживање	claim
aanstelling	именовање	appointment
aantal	број	amound
aantallen	бројеви	numbers
aantonen	демонстрирати	demonstrate
aantreden	преузима дужност	make entry
aantrekkelijk	атрактиван	appealing
aantrekken	привући	tighten
aantrekkingskracht	привлачност	attraction
aanvaard	прихваћено	accepted
