$	$	None
paus	తిమింగలం	Nan
pawai	కవాతు	Nan
payah	మందకొడిగా	Nan
payudara	రొమ్ము	None
payung	గొడుగు	Nan
pbb	ఐక్యరాజ్యసమితి	None
pc	pc	Nan
pci	pci	Nan
pda	pda	Nan
pdb	pdb	Nan
pdf	pdf	Nan
pdi	పిజ్	Nan
pdip	pdip	Nan
pdrb	pdrb	Nan
pebisnis	వ్యాపారవేత్త	Nan
paul	paul	Nan
pecah	విరిగిన	None
patungpatung	విగ్రహాలు	None
pattimura	pattimura	Nan
pasti	ఖచ్చితంగా	Nan
pasukan	దళాలు	None
pasukannya	అతని సైన్యం	Nan
pasukanpasukan	దళాల దళాలు	Nan
pasundan	pasundan	Nan
pasuruan	pasuruan	Nan
patah	విరిగిన	None
patahan	తప్పు	None
paten	పేటెంట్	None
pati	స్టార్చ్	Nan
patih	గవర్నర్	None
patogen	రోగ	None
patologi	పాథాలజీ	Nan
patrick	పాట్రిక్	Nan
patroli	పెట్రోల్	Nan
patung	విగ్రహం	None
pasteur	పాశ్చర్	Nan
pecahan	భిన్నం	Nan
pecel	pecel	Nan
pekanbaru	పేకంబరు	Nan
pekat	సాంద్రీకృత	Nan
pekerja	కార్మికుడు	Nan
pekerjaan	వృత్తి	None
pekerjaannya	అతని పని	Nan
pelabuhan	పోర్ట్	None
peladen	సర్వర్	None
pelajar	విద్యార్ధి	None
pelajaran	పాఠం	None
pelaksana	కార్యనిర్వాహణాధికారి	Nan
pelaksanaan	అమలు	None
pelaksanaannya	అమలు	None
pelaku	నేరస్తులు	Nan
pelanggan	కస్టమర్	Nan
pelanggaran	ఉల్లంఘన	Nan
pekan	వారం	None
pecahnya	విఘటన	Nan
pekalongan	pekalongan	Nan
pejuang	యోధుడు	Nan
pecinta	ప్రేమికుడు	Nan
pedagang	వ్యాపారి	Nan
pedagogi	బోధన	None
pedalaman	లోతట్టు	Nan
pedang	కత్తి	Nan
pedangnya	కత్తి	Nan
pedas	కారంగా	Nan
pedesaan	గ్రామీణ	None
pedoman	మార్గదర్శకాలు	Nan
peduli	సంరక్షణ	None
pegangan	హ్యాండిల్	Nan
pegawai	ఉద్యోగి	Nan
pegunungan	పర్వతాలు	None
pein	pein	Nan
pejabat	అధికారిక	None
peka	సున్నితమైన	Nan
pelangi	ఇంద్రధనస్సు	Nan
passer	పాసర్	Nan
pasokan	సరఫరా	None
paolo	పోలో	None
papan	బోర్డ్	None
paparan	బహిరంగపరచడం	Nan
papua	పాపువా	Nan
para	పారా	Nan
parade	కవాతు	Nan
paradigma	రూపావళి	Nan
paragraf	పేరా	Nan
