الشاي	tee	0.0
تقل	weniger	0.0
الخدمات	dienstleistungen	0.0
السن	alter	0.0
كافية	genug	0.0
مبنية	gebaut	9.265162257778504e-16
تدريجيًا	allmählich	9.160638373587146e-08
ساعة	stunde	1.4214639355226165e-07
عشرة	zehn	3.781591312311486e-07
الشخصية	persönlichkeit	5.334926434378653e-07
طبقة	schicht	9.927512814899669e-07
الأمم	nationen	1.0819495649139938e-06
المكونة	komponente	1.6063340373605678e-06
التغذية	ernährung	2.8442803964309857e-06
الباحث	forscher	3.5081282940494704e-06
لفتح	öffnen	3.7818939390008054e-06
اختلفت	anders	4.24324057041996e-06
العوامل	faktoren	4.264242488787672e-06
الثروة	reichtum	4.811423905176614e-06
نشاطات	aktivitäten	4.975058392580882e-06
وزراء	minister	6.541409292173042e-06
مظاهر	auftritte	7.511498788072704e-06
الفهم	verstehen	8.424197414583605e-06
الصحف	zeitungen	9.630817809327644e-06
السجن	gefängnis	9.767031702716126e-06
الارتفاع	höhe	1.1476826143134412e-05
بدايات	anfänge	1.1903499247328094e-05
الاضطرابات	unruhe	1.3307392586325543e-05
البترول	erdöl	1.3485199144542047e-05
الطبيعي	natürlich	1.3561935502744785e-05
استكشاف	entdecken	1.9444898792291314e-05
غزا	erobert	2.2356846773358677e-05
المستمر	kontinuierlich	2.3397522585779476e-05
فأن	dann	2.7852302818320868e-05
يساوي	gleich	3.0165687104706092e-05
التقليدية	traditionell	3.075475480109475e-05
استطلاع	aufklärung	3.1704569903874594e-05
نبذة	über	3.477510560555049e-05
شرح	erklärt	3.495974879042444e-05
الخبراء	experten	3.5040794612591746e-05
جاك	jack	3.76528283109815e-05
القطن	baumwolle	4.046029029665057e-05
طائرات	flugzeuge	4.076114443753221e-05
عائلات	familien	4.347303383438301e-05
فيزيائية	körperlich	4.404788274189634e-05
ديمقراطية	demokratie	4.487494253948131e-05
الترجمات	übersetzungen	4.6404385774115e-05
الاتصالات	telekommunikation	4.862395381524424e-05
العدوى	infektion	4.87368632359121e-05
المتحدة	vereinigt	5.1140665643199985e-05
توجه	orientierung	5.3619170029196705e-05
قرارات	entscheidungen	5.414800389241331e-05
التاريخية	historisch	5.438286656227344e-05
بعدما	nach	5.759428050681062e-05
المتاحف	museen	5.804305852184414e-05
شروط	bedingungen	5.829418730718847e-05
أم	mutter	5.840961352095944e-05
التعبير	ausdruck	5.9981418518963064e-05
روما	rom	6.056784514901784e-05
المخصص	zugewiesen	6.388294392484852e-05
الضباط	offiziere	6.55020672835709e-05
التغيرات	änderungen	6.839279685980268e-05
العضلات	muskeln	7.256681965877702e-05
موسيقى	musik	7.314328202432924e-05
لغة	sprache	7.381904171824906e-05
مستشفى	krankenhaus	7.392505276760116e-05
الإلحاد	atheismus	7.764733108745485e-05
مثال	beispiel	7.863191196422923e-05
ولو	sogar	8.06237064896231e-05
الأمعاء	darm	8.477109487936148e-05
بلغ	erreichen	9.713429725086816e-05
العمال	arbeiter	9.744716901013056e-05
كثيرة	viel	9.767092116707387e-05
هما	sie	9.811449683715845e-05
مؤسس	gründer	0.00010049395640662537
اتصالات	verbindungen	0.00010491554122505618
الأفكار	ideen	0.00010556203519398666
خاض	kämpfte	0.0001110624168824767
النهائي	finale	0.00011330754453166828
اشتراكية	sozialismus	0.00011527152421386119
تنتمي	gehören	0.00012258879838406028
جزيئات	moleküle	0.00012423744402725282
قارات	kontinente	0.00012815877944367807
المقارنة	vergleich	0.00013117640198690328
الشحنات	sendungen	0.00013470553789150826
انها	es	0.00013554868171419381
الشطرنج	schach	0.00013648854470362708
المشترك	teilnehmer	0.00013946648269634045
المئات	hunderte	0.00014017789127005058
التجارية	kommerziell	0.0001448456908301945
الرياضة	sport	0.00014850460091116993
حتى	sogar	0.00015098086526745054
الأدباء	schriftsteller	0.00015451626092732653
يَملك	besitzt	0.00015916593410114578
الأعداء	feinde	0.00016183935176613417
درجة	grad	0.00017317218604901279
التاريخ	geschichte	0.0001762757358480983
الرسائل	nachrichten	0.0001768668765444845
سيارات	autos	0.0001847187146719327
شيوعية	kommunismus	0.0001854998903904222
إحياء	biologie	0.00018576334134984718
بالأمر	darüber	0.000186628973222745
شطرنج	schach	0.0001877649000554594
الآن	jetzt	0.00019689268350800277
المنتجات	produkte	0.00020738477636225104
متحف	museum	0.0002082515385858013
النظريات	theorien	0.00021474857566784625
أكثر	mehr	0.0002174617013500053
عشرين	zwanzig	0.0002216724066481935
تحويل	umwandlung	0.00022459393438771223
رجال	männer	0.00022577872876545048
سبع	sieben	0.0002410653910206592
مليار	milliarden	0.00024277177001463853
إبان	während	0.0002433183514831411
المعروف	bekannt	0.0002444045809088253
نظم	organisiert	0.0002460927377664766
البدنية	körperlich	0.00025595761576196124
الأخطاء	fehler	0.0002560015487017509
المتمثلة	repräsentiert	0.00026601845011576457
والعشرين	zwanzig	0.0002661516078525623
الحقيقة	wahrheit	0.00027110937798591287
جمعة	freitag	0.00027399215499433505
أبو	abu	0.00028027559950542064
الشعبية	beliebt	0.0002820649545672822
الأساليب	methoden	0.0002964988879191908
مؤكدة	bestätigt	0.00029816512916353217
السلف	vorgänger	0.00029919721421543685
التعداد	volkszählung	0.00030057144199959856
تعيش	leben	0.0003024491501384377
نهائي	finale	0.00030538131088890703
الفخار	keramik	0.0003054677189131411
غادر	verlassen	0.0003123126454205783
المعتدل	mäßig	0.000319852192450045
إطار	rahmen	0.0003241560915231801
موسوليني	mussolini	0.00032543867398076535
السياق	kontext	0.00032950713634455217
تتمثل	vertreten	0.0003390292380990811
جهاز	gerät	0.0003393002071167732
الصحية	gesundheit	0.00034088861056028746
آلاف	tausende	0.0003423163437448147
استقرار	stabilität	0.0003423921331229864
وحدها	allein	0.00034545832180931676
البكتيريا	bakterien	0.0003478790254989606
للغاية	äußerst	0.000349954852055327
الذكاء	intelligenz	0.0003538194466177851
أثرية	antike	0.0003570690458588781
الكواكب	planeten	0.0003599380859854057
بأكثر	mehr	0.0003630300400477612
النشطة	aktiv	0.0003705345329711443
لغات	sprachen	0.0003848697072559162
الغذاء	essen	0.00038978490679753193
الأسرى	gefangene	0.0003930942362506212
وأخيراً	schließlich	0.00039535967866483675
المسببة	verursachen	0.00039611875488507187
العلم	wissenschaft	0.00040101123046576783
إنجازات	erfolge	0.000401046093601987
كتلة	masse	0.00040461500792314786
تدريجياً	allmählich	0.0004124547244410269
يعقوب	jacob	0.0004278380534248343
الكيمياء	chemie	0.00043620727668560534
المالية	finanzen	0.0004450088182575572
تولى	übernahm	0.00045167592958297913
رسميًا	offiziell	0.0004540528605258829
أولئك	die	0.0004569815685995518
تسلسل	reihenfolge	0.0004718633627541582
تمويل	finanzen	0.00047295968479798997
المدنيين	zivilisten	0.000479060616543758
الكتلة	masse	0.00048289148352086353
المساء	abend	0.0004860071727858299
مستقل	unabhängig	0.0004954005581088125
بكين	peking	0.0005056147828536424
حصول	erhalten	0.0005059239355580471
تصدر	ausgegeben	0.0005098978254998595
وعلاوة	außerdem	0.0005186598313059926
المنفى	exil	0.0005217209748305342
الخيول	pferde	0.0005265710691639238
الوقت	zeit	0.00052906261062265
الكهرباء	elektrizität	0.0005395080041266352
اليونسكو	unesco	0.0005778625555983174
ميناء	hafen	0.0005780515284102483
النقود	geld	0.0005825375358013393
صعبة	schwer	0.0005920181135874965
كنائس	kirchen	0.0006006279573319733
أعمدة	säulen	0.000615672967480089
طفل	baby	0.000632724763354112
التطور	entwicklung	0.0006548435815321058
الأحد	sonntag	0.0006910639688239014
النقاط	punkte	0.0006940347931053739
أصغر	kleiner	0.0007167498248947269
علماً	hinweis	0.000731521515006981
رقم	nummer	0.0007316112515087639
الأوسط	mitte	0.0007355872219370471
زعماء	führer	0.0007525750607910236
الخوف	angst	0.0007624768223297106
العملة	währung	0.0007648169665695196
لزيادة	erhöhen	0.0007724512185993073
فرويد	freud	0.0007791736749859423
تخطيط	planung	0.0007802922583611331
بدأ	scheinen	0.0007956188562642162
انخفاض	fallen	0.0007965744270411166
نادرة	selten	0.0008040602298382908
المحافظات	provinzen	0.0008177017258994315
الساخنة	heiß	0.0008288444842842467
جمعها	gesammelt	0.0008350809713528304
إضافية	zusätzlich	0.0008355031824263511
مجتمعات	gemeinschaften	0.0008512682546878658
الفحم	kohle	0.000858866930779547
رسميا	offiziell	0.0008630222935963709
نمت	gewachsen	0.0008678725410208241
البث	sendung	0.0008707022838330092
صريح	explizit	0.0008841804863892352
قواعد	regeln	0.0008910237710944608
الفيفا	fifa	0.0008913477794133479
بعيد	weit	0.000899203102159146
أعلاه	oben	0.0008997227666407226
أصوات	stimmen	0.0009029810440437399
سياسات	politik	0.0009042585325273434
تهيمن	dominieren	0.0009136478177244661
زواج	ehe	0.0009143911374746382
يستعمل	benutzt	0.0009197374315916114
فِي	beim	0.0009462874169753725
الطبية	medizinisch	0.0009588714763172278
قياس	messung	0.0009596095072400428
الهجمات	anschläge	0.0009619307691485781
الموانئ	häfen	0.0009866005921264328
شرج	anus	0.0009916437008864359
إياها	es	0.000991906681058729
الآلاف	tausende	0.0009950411085152126
نجمة	stern	0.0009995846135406076
يتمتع	genießen	0.001005033548369692
تقوية	stärkung	0.001016279869359453
الثابت	schwer	0.0010178821017039431
مجهول	unbekannt	0.0010198526301172075
نظريات	theorien	0.0010321692933312465
الطبيب	arzt	0.0010447158251612348
تفاعل	interaktion	0.001055428730396261
النفس	selbst	0.0010642322361226193
مساجد	moscheen	0.0010730675949197663
النقد	kritik	0.0010951992426249972
الجبال	berge	0.0011015151978578874
