$	$	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	|	|
°	°	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	történelem	history [hindi word]
और	és	and
का	nak,-nek	of
की	nak,-nek	's [hindi word]
के	k.	's, of [hindi word]
गया	elmúlt	went on [hindi word]
में	ban ben	in [hindi]
है	van	is there [hindi word]
ઃ	esik	symbol
અ	a	a
અંક	probléma	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	ellenőrzés	control
અંકુશિત	ellenőrzött	controlled
અંકુશો	controls	control
અંકો	számjegy	edition
અંગ	szerv	part
અંગત	személyes	private / personal
અંગીકાર	elfogadás	to change religion
અંગે	ról ről	about
અંગેના	ról ről	regarding
અંગેની	ról ről	about
અંગેનું	nak,-nek	about
અંગેનો	ról ről	about
અંગો	szervek	parts
અંગ્રજોના	az angolok közül	of british
અંગ્રેજ	angol	foreigner
અંગ્રેજ઼ી	angol	english
અંગ્રેજી	angol	english
અંગ્રેજીના	angol	of english
અંગ્રેજીનાં	angol	of english
અંગ્રેજીની	angol	of english
અંગ્રેજીનું	angol	english
અંગ્રેજીને	angol	to english
અંગ્રેજીનો	angol	of the english
અંગ્રેજીમાં	angolul	in the english
અંગ્રેજીમાંથી	angolról	from english
અંગ્રેજો	az angol	britishers
અંગ્રેજોએ	az angol	foreigners
અંગ્રેજોના	az angolok közül	britisher's
અંગ્રેજોની	az angolok közül	britisher
અંગ્રેજોને	az angoloknak	to the british
અંજાર	anjar	anjar [name of a city]
અંત	vége	at the end
અંતમાં	kései	in the end
અંતર	távolság	distance
અંતરના	távolról	distance
અંતરની	távolról	distance
અંતરાલ	intervallum	interval
અંતરિયાળ	szárazföldi	internal
અંતરે	távolról	distance
અંતર્ગત	belső	included
અંતિમ	a végső	final
અંતે	a végén	at last
અંદર	belül	inside
અંદરથી	belülről	inner
અંદરના	belül	inner
અંદરની	belül	inside
અંદાજ	becslés	approx
અંદાજિત	becsült	approximate
અંદાજે	kb	approximate
અંદાજો	becslések	estimates
અંદાઝ	becslések	andaaz
અંદામાન	andaman	andaman
અંધ	vak	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani a	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	szemelvény	part
અંશતઃ	részben	partly
અંશે	bizonyos mértékben	by percentage
અંશો	szemelvény	parts / particles
અંહી	itt	here
અંહીના	itt	this
અકબંધ	ép	intact
અકબર	akbar	akbar
અકબરના	akbar	of akbar
અકબરે	akbar	akbar
અકાદમી	akadémia	academy
અક્ષર	karakter	letter
અક્ષરજ્ઞાન	műveltség	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	aksharbrahm	aksharbrahm
અક્ષરો	levelek	letters
અક્ષાંશ	szélességi kör	latitude
અખંડ	ép	intact
અખબાર	újság	newspaper
અખબારો	újságok	news paper
અખાત	öböl	gulf
અખિલ	akhil	all
અગત્યતા	fontosság	importance
અગત્યના	fontos	important
અગત્યની	fontos	important, of importance
અગત્યનું	fontos	important
અગત્યનો	fontos	important
અગાઉ	korábban	previously
અગાઉથી	előlegként	from ahead
અગાઉના	előző	earlier
અગાઉની	előző	past
અગિયાર	tizenegy	eleven
અગ્નિ	tűz	fire
અગ્ની	tűz	fire
અગ્ર	frontend	or / principal
અગ્રગણ્ય	legelső	famous
અગ્રણી	vezető	front-runner / trialblazer
અગ્રેસર	vezető	leading
અઘરી	kemény	hard
અચાનક	hirtelen	suddenly
અચોક્કસ	pontatlan	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	nem tudván	unknown
અજાણ્યા	idegenek	stranger
અજાયબી	csoda	wonder
અજાયબીઓ	csodák	wonders
અજાયબીઓની	csodákról	of wonderful things
અજેય	legyőzhetetlen	unbrakable
અજોડ	egyedi	uncomparable
અજ્ઞાત	ismeretlen	unknown
અજ્ઞાન	tudatlanság	unknown,
અટકાવવા	megelőzni	to prevent
અટકાવી	megakadályozták	prevent
અટકાવે	megakadályozza	prevents
અટકાવ્યા	megállt	prevented
અટકી	függő	stopped
અટલ	ellenállhatatlan	surname
અઠવાડિયા	hetek	week
અઠવાડિયાનો	a hét	of the week
અઠવાડિયામાં	egy héten belül	in a week
અડધા	fél	half
અડધી	fél	half
અડધું	fél	half
અડીને	szomszédos	touch
અડે	érintések	touch
અઢાર	tizennyolc	eighteen
અણનમ	veretlen	not out
અણી	él	in last stage
અણુ	atom	nuclear
અણુઓ	atomok	atoms
અણુકેન્દ્રીય	atom	nuclear centre
અતઃ	ezért	therefore
અતિ	szélső	more/excess
અતિક્રમણ	beavatkozás	attack
અતિરિક્ત	külön	additional
અતિશય	túlzott	very
અત્યંત	rendkívüli módon	extremely
અત્યાચાર	rémtettek	tyranny
અત્યાર	eddig	now
અત્યારના	jelenlegi	recently
અત્યારે	épp most	now
અત્રે	itt	now
અથવા	vagy	or
અથવાતો	vagy	or
અથાણું	pácolt	pickles
અદભુત	fantasztikus	magnificient
અદા	probléma	style
અદાલતો	bíróságok	courts
અદ્યતન	fejlett	modern
અદ્રશ્ય	láthatatlan	invisible
અદ્વિતીય	egyedi	unparalleled
અદ્વૈત	advaita	nonduality
અધિક	több	additional
અધિકતર	többnyire	most
અધિકાંશ	a legtöbb	majority
અધિકાર	jobb	right
અધિકારી	tiszt	officer
અધિકારીઓ	tisztek	officials
અધિકારીઓની	a tisztek közül	officer's
અધિકારો	jogok	right
અધિકારોનો	a jogoktól	right
અધિકૃત	felhatalmazott	authorised
અધિવેશન	ülés	session
અધીન	tantárgy	depend
અધૂરો	befejezetlen	incomplete
અધ્યક્ષ	elnök	head person
અધ્યક્ષપદ	elnökség	chairmanship
અધ્યયન	tanulmány	study
અધ્યાત્મ	lelkiség	philosophical
અધ્યાય	fejezet	lessons
અધ્યાયમાં	a fejezetben	chapter
અન	és	and
અનંત	végtelenség	infinite
અનન્ય	egyedi	unique
અનાજ	gabona	corn
અનામત	fenntartott	reserved
અનિયમિત	szabálytalan	irregular
અનિલ	anil	anil
અનિવાર્ય	elkerülhetetlen	necessary / compulsary
અનિશ્ચિત	bizonytalan	uncertain
અનિશ્ચિતતા	bizonytalanság	uncertainty
અનુકૂળ	kényelmes	convenient / suitable
અનુક્રમણિકા	index	index
અનુક્રમે	illetőleg	sequentially / respectively
અનુગામી	későbbi	follower,
અનુપમ	egyedülálló	unique
અનુભવ	tapasztalat	experience
અનુભવાયા	filc	experienced
અનુભવી	tapasztalt	experinced
અનુભવે	érez	experiencing
અનુમાન	találd ki	presumption
અનુયાયી	követő	follower
અનુયાયીઓ	követő	followers
અનુયાયીઓને	követő	follower
અનુલક્ષીને	tekintet nélkül	imagining
અનુવાદ	fordítás	transalation
અનુવાદો	fordítása	translations
અનુસરે	következik	follwing
અનુસાર	alapján	accordingly
અને	és	and
અનેં	és	and
અનેક	sok	many
અનેરું	stb	unique
અનૈતિક	erkölcstelen	non-proper
અનોખી	egyedi	unique
અન્ન	étel	food
અન્નક્ષેત્ર	élelmiszer-mező	free food center
અન્ય	egyéb	other
અન્યત્ર	máshol	anywhere else
અન્યાય	igazságtalanság	injustice
અન્યો	egyéb	others
અન્યોએ	egyéb	by others
અપ	fel	up
અપડેટ	frissítés	update
અપના	apna	our
અપનાવવા	örökbefogadni	to adopt
અપનાવવામાં	fogadott	to adopt
અપનાવી	fogadott	applied
અપની	a tiéd	self
અપને	neked	own [hindi word]
અપભ્રંશ	apabhramsa	derived / diverted
અપમાન	sértés	insult
અપરિગ્રહ	hiány	possession
અપલોડ	feltöltés	to upload
અપવાદ	kivétel	exception
અપવાદરુપ	kivételes	exception
અપહરણ	emberrablás	kidnap
અપાતી	adott	given
અપાય	adott	to give
અપાયું	megadott	given
અપાયો	adott	presented
અપાવી	adott	to give
અપાવે	ad	gets
અપાવ્યો	biztosítani	given
અપીલ	fellebbezés	appeal
અપૂર્ણ	befejezetlen	uncomplete
અપૂર્વ	példátlan	unbelivable
અપેક્ષા	elvár	expectation
અપેક્ષિત	várt	expectancy
અપ્સરા	égi lány	heavenly nymph, fairy
અફઘાનિસ્તાન	afganisztán	afghanistan
અબજ	milliárd, ezermillió	1000000000
અબ્દ	abd	abd
અબ્દુલ	abdul	abdul
અભયારણ્ય	szentély	national park
અભાવ	hiány	lack of
અભાવે	valaminek a hiánya	lack of
અભિગમ	megközelítés	concept
અભિનંદન	gratulálunk	congratulation
અભિનય	ható	acting
અભિનેતા	színész	actor
અભિનેત્રી	színésznő	heroin
અભિનેત્રીનો	a színésznőből	of actress
અભિન્ન	integrál	different
અભિપ્રાય	vélemény	opinion
અભિમન્યુ	abhimanyu	abhimanyu
અભિમન્યુના	abhimanyu	abhimanyu's
અભિમન્યુને	abhimanyu	to abhimanyu
અભિમન્યૂ	abhimanyu	abhimanyu
અભિયાન	kampány	campaign
અભિવ્યક્ત	kifejezve	express
અભિવ્યક્તિ	kifejezés	expression
અભિષેક	kenete	abhishek
અભૂતપૂર્વ	példátlan	tremendous
અભ્યાસ	tanulmány	study
અભ્યાસક્રમ	tanfolyam	syllabus
અભ્યાસમાં	a tanulmányban	in studies
અભ્યાસો	tanulmányok	studies
અમદાવાદ	ahmedabad	ahmedabad
અમદાવાદથી	ahmedabadból	from ahmedabad
અમદાવાદના	ahmedabádból	ahmedabad's
અમદાવાદની	ahmedabádból	ahmedabad's
અમદાવાદને	ahmedabad felé	to ahmedabad
અમદાવાદમાં	ahmedabádban	in ahmedabad
અમને	minket	to us
અમર	halhatatlan	immortal
અમરેલી	amreli	amreli, name of taluka of gujarat
અમલ	végrehajtás	follow/acceptance
અમલમાં	megvalósult	in force
અમારા	a	ours
અમારી	a	our
અમિતાભ	amitabh	film star of bollywood amitabh
અમુક	néhány	some
અમુલ	amul	amul
અમૂર્ત	absztrakt	extraordinary
અમે	mi	we
અમેરિકન	amerikai	american
અમેરિકા	amerika	america
અમેરિકાના	amerikából	america's, of america
અમેરિકાની	amerikából	america's
અમેરિકાને	amerikába	to america
અમેરિકાનો	amerikaiak	america's
અમેરિકામાં	amerikában	in america
અમેરિકી	minket	american
અમેરિકીઓ	amerikaiak	american,
અમ્પાયર	játékvezető	umpire
અયોગ્ય	helytelen	improper
અયોધ્યા	ayodhyába	ayodhya
અરજણજી	arjanji	arjanji
અરજી	alkalmazás	application
અરબ	arab	arab
અરબસ્તાન	arábiában	arabia
અરબી	arab	arabi
અરવિંદ	arvind	arvind
અરસામાં	a korszakban	during
અરાજકતા	káosz	chaos
અરુણાચલ	arunachal	arunachal
અરેબિયા	arábiában	arabia
અરેબીક	arab	arabic
અર્જુન	arjun	arjun
અર્જુનના	arjuna	arjun's
અર્જુનની	arjuna	arjuna's
અર્જુનને	arjuna felé	to arjun
અર્જુનનો	arjuna	arjun's
અર્જુને	arjun	arjun
અર્થ	jelentés	earth
અર્થકવેક	földrengés	earthquake
અર્થઘટન	értelmezés	interpretation
અર્થતંત્ર	gazdaság	economy
અર્થતંત્રની	a gazdaságból	of economy
અર્થતંત્રને	gazdaság	to the economy
અર્થતંત્રમાં	a gazdaságban	economically
અર્થમાં	érzék	by meaning,
અર્થવ્યવસ્થા	gazdaság	economics
અર્થશાસ્ત્ર	közgazdaságtan	economics
અર્થશાસ્ત્રી	a közgazdász	economist
અર્થાત	ugyanis	meaning
અર્થાત્	ugyanis	meaning
અર્થે	bizonyos értelemben	meaning
અર્થો	jelentésük	meanings
અર્ધ	fél	half
અર્ધા	fél	half
અર્પણ	ajánlat	dedication
અર્વાચીન	újabb	modern
અલ	al	el
અલંકરણ	díszítés	decoration
અલંકાર	dísz	ornament
અલંગ	alang	alang
અલગ	különböző	different
અલગઅલગ	eltérően	separately
અલણમીર	alanmeer	alanmir
અલબત્ત	természetesen	certainly
અલાસ્કાના	alaszka	alaska's
અલી	ali	ali
અલૌકિક	természetfölötti	magnificient
અલ્પજીવી	rövid életű	short-lived
અલ્લાહ	allah	allah
અલ્હાબાદ	allahabadi	allahabad
અવકાશ	terület	space
અવકાશના	az űrből	expect
અવકાશમાં	űrben	space
અવકાશયાન	űrhajó	space shuttle
અવકાશસમય	téridő	space-time
અવકાશી	térbeli	related to space
અવકાશીય	térbeli	related to space
અવગણના	figyelmen kívül hagyni	unconsideration
અવતાર	avatar	incarnation
અવતારો	karakterekkel	incarnation
અવધિ	tartam	duration
અવધી	időszak	duration
અવર	a	hour
અવરોધ	ellenállás	obstacle
અવરોધક	inhibitor	obliterator
અવરોધો	akadályok	obstructions
અવલંબન	függőség	dependant
અવલોકન	megfigyelés	discription
અવલોકનક્ષમ	megfigyelhető	visible / observable
અવલોકનો	megfigyelések	observations
અવશેષ	ereklye	remains
અવશેષો	maradványok	the ruins of an old wersked building
અવશ્ય	természetesen	certainly
અવસર	lehetőség	occasion
અવસાન	halál	death
અવસ્થામાં	az államban	phase
અવાજ	hang	voice
અવાજના	a hangzásból	of voice
અવાજની	a hangzásból	voice's
અવાજનો	a hangzásból	sounds's
અવારનવાર	gyakran	frequently
અવિરત	megszakítatlan	continuous
અશક્ય	lehetetlen	impossible
અશોક	ashok	ashok
અશોકના	ashoka-tól	ashoka's
અશ્વત્થામા	ashwatthama	ashwatthama
અશ્વત્થામાએ	ashwatthama	ashwathama
અશ્વિન	ashwin	ashvin
અષાઢ	ashadh	asadha
અષાઢી	ashadhi	from ashadh
અસંખ્ય	számos	several, many
અસફળ	nem sikerült	fail
અસમાનતા	egyenlőtlenség	inequality
અસર	hatás	action
અસરકારક	hatékony	effective
અસરકારકતા	hatékonyság	effectiveness
અસરગ્રસ્ત	érintett	affected
અસરથી	hatással van	by the effect of
અસરના	hatástalan	of effect
અસરને	ennek érdekében	of the effect
અસરનો	hatástalan	of effect
અસરો	hatások	effects
અસરોને	hatások	effects
અસરોમાં	hatásokban	effects,
અસલ	eredeti	real
અસહકારની	az együttműködés hiánya	of the non cooperation
અસહ્ય	kibírhatatlan	unbearable
અસાધારણ	rendkívüli	unusual
અસામાન્ય	szokatlan	unusual
અસ્ત	ast	waning
અસ્તિત્વ	létezés	existence
અસ્તિત્વનો	a létezésről	of existance
અસ્તિત્વમાં	létezik	in existance
અસ્ત્ર	lövedék	weapon
અસ્થિર	instabil	unstable
અસ્થિરતા	instabilitás	instability
અસ્પૃશ્યતા	érinthetetlenség	"thinking like ""keep away from some category"""
અસ્પૃશ્યતાનિવારણ	érhetetlenség megelőzése	removal of the untouchability
અસ્વીકાર	elutasítás	refusal to accept
અહમદ	ahmed	"name ""ahamad"""
અહિ	itt	here
અહિં	itt	here
અહિંસક	nem erőszakos	non-violent
અહિંસા	az erőszakmentesség	non violence
અહિંસાના	az erőszakmentességtől	nonviolence
અહિયાં	itt	here
અહી	itt	hear
અહીં	itt	here
અહીંથી	innen	from here
અહીંના	itt	from here
અહીંની	itt	from here
અહીંનું	innen	of here
અહીંયા	itt	here
અહેવાલ	jelentés	report
અહેવાલો	jelentések	report
અહેસાસ	megvalósítás	feel
આ	ez	this
આંકડા	statisztika	figures
આંકડાઓ	statisztika	figures
આંકડાકીય	statisztikai	kind of sweet
આંકડો	ábra	figure / number
આંકવામાં	számozott	skale
આંખ	szem	eye
આંખે	megdöbbentő	eye
આંખો	szemek	eyes
આંગણે	az udvaron	yard
આંગળી	ujj	fingure
આંગળીઓ	fingers	fingers
આંચકા	shocks	shocks,
આંતર	inter	inter
આંતરરાષ્ટ્રીય	nemzetközi	international
આંતરિક	belső	internal
આંતરીક	belső	internal
આંદામાન	andaman	andaman
આંદોલન	mozgalom	movement,
