$  	$	Nan
parlamentben	parlement	None
parlamenti	parlementaire	None
parlamentáris	parlementaire	None
part	fête	None
parti	côtier	Nan
partjai	côte	None
partján	rive	None
partnere	partenaire	None
partnerei	les partenaires	Nan
partnerek	les partenaires	Nan
parton	à terre	Nan
partra	à terre	Nan
partraszállás	atterrissage	Nan
party	fête	None
pascal	pascal	None
parlament	parlement	None
passzív	passif	None
parkot	parc	None
parkjai	parcs	None
paradicsom	tomate	Nan
paralelogramma	parallélogramme	Nan
parancs	commander	Nan
parancsnok	le commandant	Nan
parancsnoka	le commandant	Nan
parancsnoki	le commandant	Nan
parancsot	commander	Nan
parancsára	commander	Nan
parasztok	paysans	None
parasztság	paysannerie	Nan
parco	parco	Nan
paris	paris	None
park	parc	None
parkban	parc	None
parker	parker	None
parkok	parcs	None
papírra	papier	None
pata	sabot	Nan
pataky	pataky	Nan
perui	péruvien	Nan
perzsa	persan	None
perzsia	iran	None
perzsák	persans	Nan
pest	pest	Nan
pesten	budapest	None
pesti	pest	Nan
pestis	peste	None
pestre	à budapest	Nan
pete	ovule	Nan
peter	peter	None
petőfi	petőfi	Nan
phi	phi	Nan
phil	phil	None
philip	philippe	None
peru	pérou	None
patak	ruisseau	Nan
persze	bien sûr	Nan
periódusos	tableau périodique	Nan
patrick	patrick	None
paul	paul	None
paula	paula	Nan
paulina	paulina	Nan
paulo	paulo	Nan
paunik	paun	Nan
pc	pc	Nan
pearl	perle	Nan
pedig	à son tour	Nan
pekingi	pékin	None
per	ombre	Nan
perc	minute	None
peremén	le bord	Nan
periféria	périphérie	None
period	période	None
perry	poiré	Nan
papír	papier	None
papp	papp	Nan
papok	prêtres	None
oszkár	oscar	None
oszlik	divisé	None
oszlop	colonne	None
oszlott	divisé	None
oszmán	osman	Nan
osztható	divisible	Nan
osztja	actions	None
osztják	divisé	None
osztotta	divisé	None
osztották	divisé	None
osztrák	autrichien	None
osztrákmagyar	autriche et hongrie	Nan
osztrákok	autrichiens	None
osztály	classe	None
osztályban	classe	None
ostroma	le siège	Nan
ott	là	None
ostrom	siège	None
oscardíjat	oscars	None
országokból	des pays	Nan
országos	nationale	None
országot	pays	None
országra	pays	None
országszerte	tout au long de	Nan
országában	pays	None
országát	pays	None
ortodox	orthodoxe	None
orvos	docteur	None
orvosi	médical	None
orvosok	médecins	None
orális	oral	Nan
os	ancêtre	None
oscar	oscar	None
oscardíj	oscar award	Nan
osiris	osiris	Nan
ottani	là	None
otthagyta	il est parti	Nan
otthon	à la maison	Nan
paleoindiánok	paléo-indiens	Nan
palesztin	palestinien	Nan
palesztina	palestine	None
palin	palin	Nan
pallas	pallas	Nan
palota	palais	None
palotája	palais	None
paloták	palais	None
pannon	pannonian	Nan
pannonius	pannonius	Nan
panoráma	panorama	None
panthera	panthera	Nan
paolo	paolo	Nan
pap	prêtre	None
papi	sacerdotal	Nan
palazzo	palazzo	Nan
palaisztra	palaestra	Nan
pakisztán	pakistan	None
pajzsoscankó	fraise	Nan
otthona	accueil	None
otthoni	accueil	None
otthont	accueil	None
otthonában	accueil	None
otto	otto	None
ottó	otto	None
our	notre	None
philipposz	philippe	None
over	plus de	Nan
oxford	oxford	None
oxigén	oxygène	Nan
p	p	None
pablo	pablo	None
pacino	pacino	Nan
paice	paice	Nan
pajzs	bouclier	None
overdose	surdosage	Nan
phoebe	phoebe	None
phoenix	phénix	Nan
pi	pi	None
programja	programme	None
programok	programmes	None
programokat	programmes	None
programot	programme	None
programozási	programmation	None
progresszív	progressive	None
project	projet	None
projekt	projet	None
propaganda	la propagande	Nan
propilén	propylène	Nan
prost	prostituée	Nan
protestáns	protestant	None
protiszták	les protistes	Nan
prága	prague	None
prágai	prague	None
program	programme	None
prágában	prague	None
profi	professionnel	None
professzor	professeur	None
private	privé	None
privát	privé	None
pro	pro	None
probléma	problème	None
problémái	problèmes	None
problémája	problème	None
problémák	problèmes	None
problémákat	problèmes	None
problémákkal	problèmes	None
problémát	problème	None
processzor	processeur	Nan
producer	producteur	None
producere	producteur	None
produceri	producteurs	None
produkció	production	None
professzora	professeur	None
próbál	essayer	None
próbálja	essayer	None
próbálják	essayer	None
python	python	Nan
páciens	patient	None
pál	paul	None
pálinka	cognac	Nan
pálya	tribunal	None
pályafutása	sa carrière	Nan
pályafutását	sa carrière	Nan
pályaudvar	gare	None
pályája	des pistes	Nan
pályájának	chemin	None
pályáját	sa carrière	Nan
pályán	tribunal	None
pályára	chemin	None
pályát	chemin	None
páncélos	blindé	Nan
px|thumb|a	px | thumb | a	Nan
pusztító	dévastateur	Nan
pusztán	seulement	None
puszta	nu	None
próbálkozott	a essayé	Nan
próbált	a essayé	Nan
próbálta	a essayé	Nan
próbálták	a essayé	Nan
próféta	prophète	None
prózai	prose	None
pszichedelikus	psychédélique	None
prince	prince	None
pszichológiai	psychologique	None
public	publique	None
publikált	publié	None
publikálta	publié	None
puerto	puerto	Nan
punk	punk	None
purple	violet	Nan
puskás	fusilier	Nan
pszichotikus	psychotique	Nan
országokban	des pays	Nan
primer	primaire	None
pozíciót	postes	None
piusz	pie	None
pl	par exemple	Nan
platón	platon	None
plusz	plus	None
poe	poe	None
pogány	païen	Nan
pokol	enfer	None
pole	pôle	None
polgár	citoyen	None
polgárháború	guerre civile	Nan
polgári	civil	None
polgármester	maire	None
polgárok	citoyens	None
poliszacharid	polysaccharides	Nan
politika	politique	None
piton	python	Nan
politikai	politique	None
piszkos	sale	None
piramisok	pyramides	None
piac	marché	None
piaci	marché	None
piacra	marché	None
piazza	piazza	Nan
picasso	picasso	None
picchu	picchu	Nan
pictures	des photos	Nan
pietro	pietro	Nan
pietà	pieta	Nan
pillanatban	moment	None
pillanatában	moment	None
pilóta	pilote	None
pilóták	les pilotes	Nan
pink	rose	None
pioneer	pionnier	Nan
piros	rouge	None
politikailag	politiquement	None
politikus	politicien	Nan
politikusok	les politiciens	Nan
port	poudre	None
porta	accueil	None
porto	affranchissement	Nan
portré	portrait	None
portugál	portugais	None
portugália	le portugal	Nan
portál	portail	None
poszméh	bourdon	Nan
posztot	des postes	Nan
posztumusz	posthume	None
potlach	potlatch	Nan
pozitív	positif	None
pozsony	pozsony	Nan
pozsonyban	à bratislava	Nan
