$ tỉ	$ अरब	$ billion
abc	एबीसी	abc
abdul	अब्दुल	abdul
abkhazia	अब्खाज़िया	a name
about	के बारे में	about
abraham	अब्राहम	abraham
abrams	अब्राम	abrams
abscbn	abscbn	abscbn
account	खातों	account
aceh	आचे	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	अम्ल	acid
ada	ada	ada
adams	एडम्स	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	ए डी एन	adn
adobe	एडोब	adobe
adrian	एड्रियन	(proper noun) adrian
adsl	एडीएसएल	adsl
advanced	उन्नत	advanced
aedes	एडीज	aedes
aegypti	एजिप्टी	aegypti
aero	हवाई	(proper noun) aero, as in the aero l-39 albatros jet
afc	एएफसी	afc
aff	एएफएफ	aff
afghanistan	अफ़ग़ानिस्तान	afghanistan
africa	अफ्रीका	(proper noun) africa
african	अफ़्रीकी	african
ag	एजी	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	अगासी	agassi
ai	कौन	who
ailen	ailen	ailen
aim	लक्ष्य	aim
air	हवा	air
airbus	एयरबस	airbus
aisne	ऐसने	aisne
ajax	ajax	ajax
ak	एके	ak
akatsuki	अकात्सुकी	akastuki
akms	akms	akms
akô	एको	ako
al	अल	al
alabama	अलाबामा	alabama
alaska	अलास्का	alaska
albania	अल्बानिया	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	अल्बर्ट	(proper noun) albert
alberto	अल्बर्टो	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	अल्बुकर्क	albuquerque
albus	albus	albus
alexa	एलेक्सा	alexa
alexandra	एलेक्जेंड्रा	alexandra
alexandria	सिकंदरिया	alexandria
alexandros	एलेक्ज़ेंड्रोस	alexandros
alexey	एलेक्सी	alexey
alfred	अल्फ्रेड	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	अली	ali
alice	ऐलिस	this is a name
allan	एलन	(proper noun) allan, as in edgar allan poe
