$	$	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	а	a
అంకారా	анкара	ankara
అంకితం	відданий	dedicated
అంకురార్పణ	ініціатива	start
అంకె	номер	digit
అంకెల	цифрова	numbers
అంకెలను	цифри	digits
అంకెలు	цифри	numerics
అంగదుని	ангад	during the period of angadh
అంగారక	марс	mars
అంగారకుడిపై	ангаракудіпаї	on mars
అంగాలు	підошва	parts
అంగిలి	піднебіння	angali
అంగీకరించరు	прийміть	accept
అంగీకరించలేదు	прийнято	did not accept
అంగీకరించారు	прийнято	agreed
అంచనా	розрахунково	estimate
అంచనాల	оцінки	estimates
అంచనాలు	прогнози	estimates
అంజలి	анжалі	anjali
అంటాం	називається	speaken
అంటాడు	каже	he says
అంటారు	є	tell
అంటార్కిటికా	антарктида	antarctica
అంటుంటారు	що стосується	tell
అంటున్నారు	каже	telling
అంటూ	там	say
అంటే	що	it menns
అండ	підтримка	shelter
అండమాన్	андаман	andaman
అండ్	і	and
అంత	я	that much
అంతం	кінець	end
అంతకంటే	більше	earlier
అంతకు	раніше	then
అంతగా	багато чого	so much
అంతటా	на всьому протязі	all over
అంతటి	над	famous
అంతటితో	у цей момент	with that
అంతము	кінець	end
అంతరించిన	вимерлий	ending
అంతరిక్ష	космос	space
అంతర్	інтер	inter
అంతర్గత	внутрішня	seeply
అంతర్జాతీయ	міжнародний	international
అంతర్జాతీయంగా	на міжнародному рівні	antarjateeyam
అంతర్జాలం	інтернет	internet
అంతర్జీవ	антарджіва	inside water
అంతర్భాగం	інтер&#39;єр	internal earth
అంతర్ముఖం	інтерфейс	interface
అంతర్యుద్ధం	громадянська війна	battle
అంతర్వేది	інтер	anthervedi(place name)
అంతస్తుల	історія	stories
అంతా	все	all
అంతిమ	останній	end
అంతిమంగా	нарешті	at last
అంతే	ось так	thats it
అంతేకాక	і	not only that
అంతేకాదు	the	thats not
అంతేగాక	далі,	not only this
అంత్య	кінець	last
అందం	краса	beauty
అందంగా	досить	beautifully
అందకుండా	забороняти	not reachable
అందమయిన	гарний	beautiful
అందము	красивість	beautiful
అందమైన	гарний	beautiful
అందరి	усі	of all
అందరికి	усі	to everybody
అందరికీ	усі	for everyone
అందరినీ	усі	all
అందరు	усі	all
అందరూ	усі	all
అందానికి	краса	to beauty
అందాల	краса	beauty
అందించడం	забезпечення	giving to
అందించాడు	за умови	given
అందించారు	за умови	has given
అందించింది	за умови	gave
అందించిన	за умови	provided
అందించే	пропозиція	giving
అందిన	квитанція	received
అందిస్తాయి	пропозиція	gives
అందిస్తారు	пропозиція	provided
అందిస్తుంది	пропозиції	gives
అందిస్తున్నాయి	пропозиція	providing
అందుకని	як такий,	thats way
అందుకనే	чому?	because
అందుకు	the	thats way
అందుకున్నాడు	отримано	received
అందుకున్నారు	отримано	taken
అందుకే	чому?	thats way
అందుచేత	тому	so that
అందునా	у межах	in that
అందుబాటులో	доступні	available
అందుబాటులోకి	доступні	nearer
అందురు	відомий	all
అందువలన	тому	because of that
అందువల్ల	тому	because
అందువల్లనే	тому	that is why
అంపైర్	ампер	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	амбедкар	ambedkar
అంశం	пункт	topic
అంశాన్ని	пункт	the subject
అంశాల	предмети	subjects
అంశాలను	предмети	things
అంశాలపై	на	issues
అంశాలు	предмети	parts
అకరణీయ	раціональний	rational
అకస్మాత్తుగా	раптом	suddenly
అకాంథేసి	акантесі	acantaceae
అకాడమీ	академії	academy
అకారాది	лексикон	alphabatical order
అకృత్యాలు	недбалість	cases
అక్క	сестра	sister
అక్కడ	там	there
అక్కడకు	там	there
అక్కడక్కడా	розсипаний	some places
అక్కడి	the	that place
అక్కడికి	там	there
అక్కడినుండి	звідти	that place
అక్కడే	там	there
అక్కినేని	акікіні	akkineni
అక్క్రీషణ్	прискорення	accretion disk
అక్టోబరు	жовтень	october
అక్టోబర్	жовтень	october
అక్బరు	акбар	akbar
అక్బర్	акбар	akbar
అక్షర	характер	letter
అక్షరం	алфавіт	letter
అక్షరమాల	алфавіт	alphabets
అక్షరాల	листи	letters
అక్షరాస్యత	грамотність	literacy
అఖండ	неушкодженими	great
అఖిల	усі	all
అగస్త్యుడు	агастя	agasthyudu
అగ్గిపుల్ల	матч	matchstick
అగ్ని	вогонь	fire
అగ్నికి	вогонь	for fire
అగ్నిపర్వత	вулканічний	volcano
అగ్నిపర్వతం	вулкан	mountains
అగ్నిపర్వతములు	вулкани	volcanos
అగ్నిపర్వతాల	вулкани	volacano mountains
అగ్నిపర్వతాలు	вулкани	volcanos
అగ్ర	зверху	top
అగ్రచర్వణకాలు	агракарванакалу	agracharvanakaalu
అగ్రశ్రేణి	зверху	topline
అచ్చంపేట	accampeta	acchampet
అచ్చమ్మ	аккама	achhamma
అచ్చుతో	голосний	with a vowel
అజయ్	аджай	ajay
అజర్‌బైజాన్	азербайджан	ajarbaijan
అటవీ	лісове господарство	gungle
అటు	the	other side
అటువంటి	такі	like that
అటూ	трохи	that side
అట్టి	такі	such
అట్లాంటిక్	атлантичний	atlantic
అడవి	ліс	forest
అడవిలో	ліс	forest
అడవులకు	ліс	to the jungle/forest
అడవులలో	в дикій природі	in forests
అడవులు	ліси	forests
అడిగాడు	запитали	asked
అడిగి	поза	ask
అడిగిన	запитали	asked
అడిగే	запитали	ask
అడుగు	стопа	ask
అడుగున	внизу	below
అడుగులు	ft	steps
అడోబీ	adobe	aadobi
అడ్డం	барикада	across
అడ్డంకులు	бар&#39;єри	blockades
అడ్డంగా	горизонтально	obstracle
అడ్డు	рядок	came in between
