$	$	$
<	&lt;	<
=	=	equal to
==	==	==
^	^	^
|	.	fullstop
~	~	to
°	°	degree
अ		a
अंकगणित	คณิตศาสตร์	numerics
अंकारा	อังการา	ankara
अंकित	ใบหน้า	mentioned
अंकीय	เลข	numerical
अंकों	หลัก	numbers
अंग	อวัยวะ	part
अंगूर	ผลองุ่น	grapes
अंगो	สมาชิก	organs
अंगों	อวัยวะ	limbs
अंग्रेज	ภาษาอังกฤษ	britisher
अंग्रेज़ी	อังกฤษ	english
अंग्रेजी	อังกฤษ	english
अंग्रेजो	อังกฤษ	britishers
अंग्रेजों	ชาวอังกฤษ	americans
अंचल	โซน	zone, sector
अंजाम	ผลที่ได้	result
अंजीर	มะเดื่อ	anjir a fruit
अंडमान	อันดามัน	andaman
अंडाशय	รังไข่	ovary
अंडे	ไข่	eggs
अंत	ท้ายที่สุด	end
अंतत	ในที่สุด	finally
अंततः	ในที่สุด	at the end
अंतर	ความแตกต่าง	difference
अंतरजाल	อินเทอร์เน็ต	connected
अंतरण	โอน	transfer
अंतरराष्ट्रीय	ระหว่างประเทศ	international
अंतराल	ระยะห่าง	change
अंतराष्ट्रीय	ระหว่างประเทศ	international
अंतरिक्ष	ช่องว่าง	space
अंतरिम	ระหว่าง	interim
अंतर्गत	ภายใต้	based
अंतर्दृष्टि	วิปัสสนา	insight
अंतर्राष्ट्रीय	ระหว่างประเทศ	international
अंतिम	สุดท้าย	last
अंदर	ภายใน	in
अंदाज	มีสไตล์	guess
अंध	คนตาบอด	blind
अंधकार	ความมืดมิด	darkness
अंधेरी	มืด	andheri- a place
अंपायर	ผู้ตัดสิน	umpire
अंबानी	ambani	ambani
अंश	สิ่งที่สกัดมา	part
अंशों	ถัดไป	parts
अकबर	อัคบาร์	akbar
अकादमी	สถาบันการศึกษา	academy
अकार	ห่ะ	shape
अकाल	ความอดอยาก	famine
अकेला	โดดเดี่ยว	alone
अकेले	โดดเดี่ยว	alone
अक्टूबर	ตุลาคม	october
अक्तूबर	ตุลาคม	october
अक्तूबरदिसंबर	ตุลาคมธันวาคม	october-december
अक्षम	ไร้ความสามารถ	durable
अक्षय	ไม่รู้จักเหนื่อย	part of weapon
अक्षर	ตัวอักษร	alphabet
अक्षरधाम	akshardham	akshardham
अक्षांश	เส้นรุ้ง	latitude
अक्षुण्ण	ครบถ้วน	unabated
अक्सर	มักจะ	often
अखंड	เป็นเสาหิน	gigantic
अखंडता	ความสมบูรณ์	integrity
अखबार	หนังสือพิมพ์	newspaper
अखबारों	หนังสือพิมพ์	news papers
अखिल	ทั้งหมด	all
अख्तर	akhtar	akhter
अगर	ถ้า	if
अगली	ต่อไป	nest
अगले	ต่อไป	next
अगस्त	สิงหาคม	august
अग्नि	ไฟไหม้	fire
अग्निमित्र	agnimitr	agnimithra
अग्रणी	ชั้นนำ	leading
अग्रसर	โยธวาทิต	severity
अग्रिम	ล่วงหน้า	advanced
अचल	คงที่	immovable
अचानक	ทั้งหมดในทันที	suddenly
अच्छा	เรื่องที่ดี	good
अच्छी	ดี	good
अच्छे	เรื่องที่ดี	good
अजंता	ajanta	ajanta - aplace
अजनाभवर्ष	aajna bhavar	ajnabhvarsha
अजमेर	ajmer	ajmer
अजय	ajay	ajay
अज़ीज़	aziz	dear
अजातशत्रु	ajatashatru	a person who has no enemy
अजीब	แปลก	strange
अज्ञात	ไม่ทราบ	unknown
अज्ञान	ความไม่รู้	ignorant
अज्ञेय	ลึกลับ	agney
अटलांटिक	แอตแลนติก	atlantic
अटूट	ตลอดไป	not to be broken
अठारह	สิบแปด	eighteen
अठारहवीं	ที่สิบแปด	18th (eighteenth)
अड्डा	haunt	port
अड्डे	ฐาน	port
अणु	อณู	molecule
अणुओं	โมเลกุล	molecule
अण्डमान	อันดามัน	andaman
अण्डे	ไข่	eggs
अण्डों	ไข่	eggs
अत	ดังนั้น	so
अतः	ดังนั้น	hence
अतएव	ดังนั้น	therefore
अति	มาก	extra
अतिक्रमण	การละเมิด	conquest
अतिथि	แขกรับเชิญ	guest
अतिरिक्त	ขึ้น	apart from, peripheral
अतिवादी	หัวรุนแรง	extremist
अतीत	อดีต	past
अतेन	เอเทน	aten is the disk of the sun
अत्यंत	อย่างมาก	very
अत्यधिक	อย่างมาก	very much
अत्यन्त	อย่างมาก	extremely
अत्याचार	การประหัตประหาร	atrocity
अत्याचारी	ข่มเหง	tyrant
अत्याधिक	มากเกินไป	very large
अत्रि	atri	universe
अथ	ath	therupon
अथर्व	atharva	atharva - name of one vedas
अथर्ववेद	atharva	atharvaved
अथवा	หรือ	or
अदभुत	น่าอัศจรรย์	amazing
अदा	การชำระเงิน	pay
अदालत	ศาล	court
अदृश्य	มองไม่เห็น	invisible
अदृष्ट	คาดไม่ถึง	invisible
अद्भुत	น่าอัศจรรย์	wonderful
अद्यतन	ปรับปรุง	aghathan period
अद्वितीय	เป็นเอกลักษณ์	unimaginable
अद्वैत	แอด	unique
अधरों	โอษฐ์	lips
अधर्म	สิ่งชั่วร้าย	sinful
अधातु	อโลหะ	chemical
अधिक	ขึ้น	more
अधिकतम	ค่าสูงสุด	maximum
अधिकतर	ส่วนใหญ่	more
अधिकता	overabundance	majority
अधिकरण	ศาล	tribunal
अधिकाँश	มากที่สุด	majority
अधिकांश	ส่วนใหญ่ของ	mostly
अधिकांशत	ส่วนใหญ่	maximum
अधिकांशतः	มากที่สุด	accordingly
अधिकाधिक	มากขึ้นเรื่อย ๆ	more
अधिकार	ทางด้านขวา	right
अधिकारिक	เป็นทางการ	official
अधिकारियों	เจ้าหน้าที่	officers
अधिकारी	เจ้าหน้าที่	heir
अधिकृत	มีอำนาจ	occupied
अधिग्रहण	การเข้าซื้อกิจการ	acquisition
अधिनियम	การกระทำ	regulation
अधिपति	เจ้านครสมัยศักดินา	lord
अधिवेशन	เซสชั่น	conference
अधीन	ภายใต้	under control
अधीनता	การครอบงำ	dependency
अधूरा	ไม่สมบูรณ์	incomplete
अध्यक्ष	ประธาน	president
अध्यक्षता	เป็นประธานในพิธี	chairmanship
अध्ययन	การศึกษา	study
अध्ययनों	การศึกษา	lessons
अध्यात्म	จิตวิญญาณ	spiritual
अध्यादेश	พระราชกฤษฎีกา	ordinance
अध्याय	บทที่	chapter
अध्यायों	บท	chapters
अनंत	ไม่มีที่สิ้นสุด	anand
अनघ	บริสุทธิ์	very
अनदेखी	มองข้าม	overlooked
अनन्त	อนันต์	ever last
अनन्य	พิเศษ	different
अनपढ़	ไม่ได้เรียนหนังสือ	uneducated
अनमोल	ไม่มีค่า	priceless
अनवर	อันวาร์	anwar
अनवरत	กระด้าง	sustained
अनशन	หิวตี	hunger strike
अनाज	ซีเรียล	grain
अनाथ	เด็กกำพร้า	parentless
अनार	ผลทับทิม	pomegranate
अनावश्यक	ไม่จำเป็น	unnecessary
अनियंत्रित	เกเร	uncontrolled
अनियमित	ผิดปกติ	irregular
अनिल	คราม	anil (name)
अनिवार्य	จำเป็น	inevitable
अनिश्चित	ไม่แน่ใจ	indefinite
अनु	บทความ	law number
अनुकरण	การแข่งขัน	imitate
अनुकूल	อย่างดี	appropriate
अनुकूलन	การปรับตัว	rosa rugosa
अनुक्रम	ลำดับที่	order
अनुग्रह	ความสง่างาม	request
अनुचित	ไม่ถูกต้อง	improper
अनुच्छेद	บทความ	paragraph
अनुदान	การให้ทุน	grant
अनुनाद	เสียงสะท้อน	sound system
अनुपम	หาที่เปรียบมิได้	non comparable
अनुपस्थिति	การไม่มี	absence
अनुपात	อัตราส่วน	proportionally
अनुपालन	การปฏิบัติตาม	compliance
अनुप्रयोगों	การประยุกต์ใช้งาน	application
अनुबंध	การทำสัญญา	continuance
अनुभव	ประสบการณ์	experience
अनुभवी	มีประสบการณ์	experienced
अनुभाग	ส่วนที่	section
अनुभूति	ความรู้ความเข้าใจ	cognition
अनुमति	ใบอนุญาต	permission
अनुमस्तिष्क	สมองน้อย	hemispheres
अनुमान	การประมาณค่า	guess
अनुमानित	โดยประมาณ	expected
अनुमानों	การประมาณการณ์	guess
अनुयायियों	สมัครพรรคพวก	followers
अनुयायी	สานุศิษย์	follower
अनुराग	ความรัก	love
अनुरूप	อนาล็อก	according
अनुरोध	การร้องขอ	request
अनुवाद	การแปล	translation
अनुवादक	นักแปล	translator
अनुशासन	วินัย	discipline
अनुशीलन	การปฏิบัติ	practice
अनुष्ठान	พิธีกรรม	to follow
अनुष्ठानों	พิธีกรรม	organizations
अनुसंधान	การวิจัย	constitution
अनुसन्धान	การวิจัย	reporter
अनुसरण	การเจริญรอยตาม	to folloe
अनुसार	ตามที่	according
अनुसूचित	ตามเวลาที่กำหนด	scheduled
अनुसूची	กำหนดการ	chart
अनूदित	แปล	translated
अनूबिस	สุสาน	name
अनेक	จำนวนมาก	many
अनेकों	จำนวนมาก	many
अनैतिक	ผิดศีลธรรม	unnatural
अनोखा	เป็นเอกลักษณ์	unique
अनोखी	เป็นเอกลักษณ์	unique
अन्त	ท้ายที่สุด	end
अन्ततः	ในที่สุด	finally
अन्तर	ช่องว่าง	difference
अन्तरजाल	antrjal	internet
अन्तरराष्ट्रीय	ระหว่างประเทศ	international
अन्तरिक्ष	ช่องว่าง	space
अन्तर्गत	ภายใต้	under
अन्तर्राष्ट्रीय	ระหว่างประเทศ	international
अन्तस्थ	ขั้ว	anthasta
अन्तिम	สุดท้าย	last
अन्दर	ภายใน	include
अन्दाज	law.and	guess
अन्ध	คนตาบอด	blind
अन्धकार	ความเศร้าโศก	dark
अन्धेरा	มืด	darkness
अन्न	อาหาร	food
अन्ना	แอนนา	elder brother
अन्य	อื่น ๆ	other
अन्यत्र	ที่อื่น ๆ	anywhere  else
अन्यथा	มิฉะนั้น	else
अन्याय	ความอยุติธรรม	cheat
अन्वेषण	การสำรวจ	enquiry
अन्‍य	อื่น ๆ	other
अप	ขึ้น	up
अपना	ของฉัน	own
अपनाई	บุญธรรม	make own
अपनाने	นำมาใช้	accept
अपनाया	บุญธรรม	adopted
अपनी	ของคุณ	self
अपनीअपनी	apaniapani	own
अपने	ของคุณ	ours
अपनेअपने	ของตน	respective
अपभ्रंश	apabhramsa	corruption
अपमान	การกระทำผิดกฎหมาย	insult
अपमानित	เสื่อมโทรม	degraded
अपराध	อาชญากรรม	crime
अपराधियों	พวกอาชญากร	criminals
अपराधी	ผู้กระทำผิด	criminal
अपराधों	อาชญากรรม	crimes
अपलोड	ขึ้น	upload
अपवाद	ข้อยกเว้น	exception
अपवाह	ของเหลวที่ไหลออก	surface run off
अपशिष्ट	เรื่องของเสีย	waste product
अपहरण	การลักพาตัว	abduction
अपार	หลุด	high
अपितु	แต่	not only
अपील	การอุทธรณ์	appeal
अपूर्णता	ความไม่สมบูรณ์	incompleteness
अपूर्व	อย่างผิดปกติ	extraordinary
अपेक्षा	กว่า	relatively
अपेक्षाकृत	สัมพัทธ์	comparatively
अपेक्षित	ที่คาดหวัง	expected
अप्रत्यक्ष	ทางอ้อม	indirect
अप्रैलजून	apraljun	april - une
अप्सरा	ผีสางเทวดา	fairy
अफगान	อัฟกานิสถาน	afghanistan
अफगानिस्तान	อัฟกานิสถาน	afghanisthan
अफसर	เจ้าหน้าที่	officer
अफ़ग़ानिस्तान	อัฟกานิสถาน	afghanistan
अफ़्रीका	แอฟริกา	africa
अफ़्रीकी	แอฟริกัน	african
अफ्फनपिन्स्चर	affnpinscr	offebnpinschar
अफ्रीका	แอฟริกา	africa
अफ्रीकी	แอฟริกัน	african
अब	ตอนนี้	now
अबतक	จนถึงตอนนี้	so far
अबु	อาบู	abu (name)
अबुल	อาบุล	abul
अब्द	abd	abdh
अब्दुल	อับดุล	abdul - name
अब्दुल्ला	อับดุลลาห์	abdulla
अब्बास	อับบาส	abbas
अब्राहम	อับราฮัม	abraham - name
अभाव	ไม่มี	lack
अभिकलन	คอมพิวเตอร์	assembling
अभिकलित्र	: th	programmable
अभिकल्पना	การออกแบบ	guess
अभिक्रिया	ปฏิกิริยา	reaction
अभिनय	การแสดง	acting
अभिनेता	นักแสดง	actor
अभिनेताओं	นักแสดง	actors
अभिनेत्रियों	ดารา	actress
अभिनेत्री	นักแสดงหญิง	actress
अभिन्न	สำคัญ	integral
अभिप्राय	ความตั้งใจ	meaning
अभिभाषण	ที่อยู่	speach
अभिमन्यु	abhimanyu	abhimanyue
अभिमान	ความภาคภูมิใจ	respect
अभियन्ता	วิศวกร	an engineer
अभियांत्रिकी	วิศวกรรม	to go on
अभियान	การรณรงค์	campaign
अभियानों	การรณรงค์	followers
अभियान्त्रिकी	วิศวกรรม	engineering
अभिरुचि	ดอกเบี้ย	taste
अभिलाषा	ปรารถนา	desire
अभिलेख	บันทึก	a record
अभिलेखों	การบันทึก	inscriptions
अभिव्यक्त	เอ็กซ์เพรส	inspired
अभिव्यक्ति	การแสดงออก	expression
अभिषेक	การถวาย	abhishek - a name
अभिहित	ได้รับการออกแบบ	designated
अभ्यारण्य	วิหาร	santuary
अभ्यास	การฝึกปฏิบัติ	practice
अमर	ความเป็นอมตะ	immortal
अमरनाथ	amarnath	amarnath
अमरावती	amravati	amrawati - a place
अमरीकन	อเมริกัน	american
अमरीका	ประเทศสหรัฐอเมริกา	america
अमरीकी	ประเทศสหรัฐอเมริกา	american
अमल	การปฏิบัติ	follows
अमावस्या	นิวมูน	eclipse
अमिट	ลบไม่ออก	unremovable
अमिताभ	amitabh	amitabh (indian name)
अमीटर	แอมมิเตอร์	ammetre
अमीर	ร่ำรวย	wholesome
अमीरात	เอมิเรต	emirates
अमूर्त	นามธรรม	abstract
अमूल्य	ไม่มีค่า	priceless
अमृतसर	อัมริตซาร์	amritsar
अमेरिकन	อเมริกัน	american
अमेरिका	ประเทศสหรัฐอเมริกา	america
अमोनिया	สารแอมโมเนีย	ammonia found in salt water
अमौसी	amausi	of mango
अम्बा	amba	amba
अम्बालिका	ambalika	ambalika
अम्बिका	แอม	ambika (name)
अम्बेडकर	แอมเบ็ด	ambedkar
अम्ल	กรด	acid
अम्लीय	ที่เป็นกรด	acidic
अम्हारिक	อัมฮาริค	ambharik ( a central north regional language)
अयोध्या	อโยธยา	ayodhya ( lord ram's native place)
अयोध्याकाण्ड	ayodhyakand	ayodya kaant (name of a book)
अरण्यकाण्ड	arnykand	aranya kaand
अरब	อาหรับ	arab
अरबी	ภาษาอาหรับ	arabic
अरबों	พันล้าน	arab
अरविन्द	arvind	arvind
अरस्तु	อริสโตเติล	arastu
अरस्तू	อริสโตเติล	aristotle
अराजकता	ความสับสนวุ่นวาย	unlawful
अरावली	aravali	aravali
अरुण	อรุณ	the sun
अरुणाचल	อรุณาจัล	arunachal
अरे	เฮ้	dear
अर्क	สารสกัดจาก	extract
अर्चना	archana	pray
अर्ज़ी	ใบสมัคร	application
अर्जित	ที่ได้รับ	obtained
अर्जी	ใบสมัคร	application
अर्जुन	อาร์จัน	arjun
अर्जेंटीना	อาร์เจนตินา	argentina
अर्थ	ความหมาย	meaning
अर्थविज्ञान	อรรถศาสตร์	meanings
अर्थव्यवस्था	ด้านเศรษฐกิจ	economic system
अर्थव्यवस्थाओं	เศรษฐกิจ	economies
अर्थशास्त्र	เศรษฐศาสตร์	arthashastra
अर्थशास्त्रियों	นักเศรษฐศาสตร์	economists
अर्थशास्त्री	นักเศรษฐศาสตร์	economist
अर्थात	กล่าวคือ	that is
अर्थात्	คือ	that is
अर्थात्‌	คือ	that is to say
अर्थों	ความรู้สึก	meaning
अर्द्ध	กึ่ง	very
अर्न्तगत	ภายใต้	internal
