<i>	<i>	paragraph sign
a	a	a
c	c	c.
co	co	company
d	d	d
economic	dhaqaale	economic
ed	ed	edition
entertainment	madadaalo	entertainment
f	f	f
google	google	google
h	h	h.
ii	ii	ii
iii	iii	iii
iran	iiraan	iran
isbn	isbn	isbn
iv	iv	iv
ix	ix	ix
iншi	kuwa kale	other
j	j	j.
k	k	k
l	l	l
left	bidix	left
m	m	m.
marketing	suuqgeynta	marketing
my	anaga	my
n	n	n.
na	dul	at
o	o	o
over	dhaaftay	over
p	p	p
pp	pp	year
px	px	pixels
px|	px |	pixels
radio	raadiyaha	radio
rss	rss	rss
shippuuden	shippuuden	shipuuden
stadt	magaalada	village
state	gobolka	state
und	iyo	and
v	v	v
vi	adiga	vi
vii	vii	vii
viii	viii	viii
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	xiv
xix	xix	xix
xixxx	xixxx	xix-xx
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii
xviiixix	xviiixix	xviii-xix
xviixviii	xviixviii	xvii-xviii
xvixvii	xvixvii	xvi-xvii
xvixviii	xvixviii	xvi-xviii
xx	xx	xx
xxi	xxi	xii
y	y	u
  	  	the word to translate is blank
 км	km	km
 м	m	meters
 млн	milyan	mln
 млрд	bilyan	billion
 р	p	year
 р 	p	year
 року	sanadka	year
 році	sanadka	year
 рр	рр	years
 тис	kun	thousands
°с	° s	celsius
à	ku	of
а	iyo	and
абетка	alifbeetada	alphabet
абетки	xarafyada	alphabet
аби	abi	only
або	ama	or
абсолютизму	daacadnimo	absolutism
абсолютна	gebi ahaanba	absolute
абсолютний	gebi ahaanba	absolute
абсолютно	gabi ahaanba	absolute
абсолютної	gebi ahaanba	absolute
абсолютну	gebi ahaanba	absolute
авакум	avakum	habakkuk
аварії	shilalka	accidents
август	ogast	august
августа	ogast	august
авон	avon	avon
австралія	australia	australia
австралії	australia	australia
австроугорської	austro-hangari	austria-hungary
австроугорщини	austro-hangari	austria-hungary
австрійська	austrian	austrian
австрійський	austrian	austrian
австрійської	austrian	austrian
австрія	austria	austria
австрії	austria	austria
автобуси	basaska	buses
автомагістраль	waddo weyn	highway
автоматично	si otomaatig ah	automatically
автомобільний	gaari	automotive
