$	$	Nan
મેનો	меню	Nan
મેમરી	пам&#39;ять	Nan
મેમરીમાં	в пам&#39;яті	Nan
મેયર	міський голова	Nan
મેરી	мері	Nan
મેલ	пошта	Nan
મેળ	матч	None
મેળવતા	отримання	None
મેળવનાર	одержувач	Nan
મેળવવા	отримати	None
મેળવવાની	отримати	None
મેળવવામાં	отримання	None
મેળવી	отримано	Nan
મેળવીને	отримання	None
મેળવે	захоплення	None
મેનેજમેન્ટ	управління	None
મેળવેલી	отримано	Nan
મેની	менні	Nan
મેન	людина	None
મેચ	матч	None
મેચને	матч	None
મેચમાં	у матчі	Nan
મેચો	сірники	Nan
મેચોમાં	у матчах	Nan
મેજર	майор	Nan
મેટ	метт	Nan
મેટ્રિક	метричний	Nan
મેટ્રો	метро	None
મેટ્રોપોલિટન	митрополит	None
મેડિકલ	медичні	None
મેદાન	земля	None
મેદાનમાં	в польових умовах	Nan
મેદાની	рівнини	None
મેદાનો	рівнини	None
મેના	може	None
મેળવ્યા	зрозумів	Nan
મેળવ્યું	зрозумів	Nan
મેળવ્યો	зрозумів	Nan
મોકલી	надісланий	Nan
મોકલે	надсилає	Nan
મોકલેલા	надісланий	Nan
મોકલ્યા	надісланий	Nan
મોકલ્યો	надісланий	Nan
મોકળો	безкоштовно	Nan
મોકો	моко	Nan
મોક્ષ	мокша	Nan
મોગલ	магнат	Nan
મોજા	рукавички	Nan
મોજાં	шкарпетки	Nan
મોજાની	шкарпетки	Nan
મોજાને	шкарпетки	Nan
મોજૂદ	подарунок	Nan
મોટર	двигун	Nan
મોકલાતા	надісланий	Nan
મોકલવામાં	надісланий	Nan
મોકલવાની	надіслати	Nan
મોકલવા	надіслати	Nan
મેળા	ярмарки	Nan
મેળાઓ	ярмарки	Nan
મેળાની	справедливий	Nan
મેળાપ	поєднання	None
મેળામાં	на ярмарку	Nan
મેળો	справедливий	Nan
મેષ	овен	Nan
મેઘાલય	мегалая	Nan
મેસેજ	повідомлення	None
મેહરાબ	арк	Nan
મૈ	може	None
મૈત્રી	дружба	None
મૉડલ	модель	None
મો	пн.	Nan
મોં	рот	Nan
મોંઘી	дорогий	Nan
મેસેજિંગ	повідомлення	None
મેઘાણી	мегані	Nan
મેગેઝિન	журнал	None
મેક્સિકો	мексика	None
મુલાકાતો	інтерв&#39;ю	Nan
મુળ	рідні	Nan
મુળભુત	основні	None
મુળી	редька	Nan
મુવાડા	мувада	Nan
મુશ્કેલ	складно	Nan
મુશ્કેલી	біда	Nan
મુશ્કેલીઓ	ускладнення	Nan
મુસદ્દો	чернетка	Nan
મુસલમાન	мусульманський	Nan
મુસાફરી	подорож	None
મુસ્લિમ	мусульманський	Nan
મુસ્લિમો	мусульмани	None
મુસ્લિમોની	з мусульман	Nan
મુસ્લીમ	мусульманський	Nan
મુલાકાતમાં	в інтерв&#39;ю	Nan
મુલાકાત	відвідати	Nan
મુર્તિ	ідол	Nan
મુમતાજની	мумтаз	Nan
મુઘલ	моголь	Nan
મુજબ	згідно з	Nan
મુદત	термін	None
મુદ્દા	випуски	Nan
મુદ્દાઓ	випуски	Nan
મુદ્દાને	до суті	Nan
મુદ્દે	проблема	None
મુહંમદ	мухаммед	Nan
મુદ્દો	проблема	None
મુદ્રિત	друкується	Nan
મુનશી	мунші	Nan
મુનશીની	мунсіні	Nan
મુનિ	мудрець	Nan
મુનિએ	мудрець	Nan
મુનિના	муніна	Nan
મુમતાજ	мумтаз	Nan
મુદ્રા	постава	Nan
મોટા	великий	None
મુહમ્મદ	мухаммед	Nan
મૂકવા	покласти	Nan
મૃત	мертві	Nan
મૃત્યુ	смерть	None
મૃત્યું	смерть	None
મૃત્યુઓ	смерті	None
મૃત્યુદર	смертність	None
મૃત્યુના	про смерть	Nan
મૃત્યુની	про смерть	Nan
મૃત્યુનો	про смерть	Nan
મે	може	None
મેં	я	None
મેઇન	мен	Nan
મેક	мак	Nan
મેકમેહોન	макмахон	Nan
મેકમેહોને	макмахон	Nan
મેક્સ	макс	None
મૃગીકુંડમાં	в орангутані	Nan
મૂળે	спочатку	None
મૂળિયાં	коріння	None
મૂળભૂત	основні	None
મૂકવામાં	покладіть	Nan
મૂકી	покладіть	Nan
મૂકે	закладає	Nan
મૂક્યો	покладіть	Nan
મૂડી	капітал	None
મૂડીવાદી	капіталістичний	Nan
મૂર્તિ	ідол	Nan
મૂકતા	поклавши	Nan
મૂર્ધન્ય	альвеолярний	Nan
મૂલ્યવાન	цінні	None
મૂલ્યો	цінності	None
મૂળ	оригінал	Nan
મૂળના	походження	None
મૂળનાં	походження	None
મૂળનો	походження	None
મૂળભુત	основні	None
મૂલ્ય	значення	None
મોટાં	великий	None
મોટાપાયા	великі масштаби	Nan
મોટાપાયે	масово	None
યુદ્ધમાં	у бою	Nan
યુદ્ધો	війни	None
યુધિષ્ઠિર	юдхістіра	Nan
યુધીષ્ઠીર	юдхістіра	Nan
યુધ્ધ	війна	None
યુધ્ધમાં	у бою	Nan
યુનાઇટેડ	об&#39;єднані	Nan
યુનાઈટેડ	об&#39;єднані	Nan
યુનિકોડ	unicode	Nan
યુનિટ	одиниця	None
યુનિયન	союз	None
યુનિયનમાં	у союзі	Nan
યુનિયને	союз	None
યુનિવર્સ	всесвіт	None
યુનિવર્સલ	універсальний	None
યુદ્ધનો	війни	None
યુદ્ધની	війни	None
યુદ્ધના	війни	None
યુદ્ધ	війна	None
યુએસએ	сша	None
યુએસના	сша	None
યુએસની	нас	None
યુએસમાં	в сша	Nan
યુકે	великобританія	None
યુકેના	великобританії	None
યુકેની	великобританія	None
યુનિવર્સિટી	університет	None
યુકેનું	великобританії	None
યુક્ત	містять	None
યુક્રેન	україна	None
યુગ	ера	Nan
યુગના	з віку	Nan
યુગમાં	в епоху	Nan
યુઝર	користувач	None
યુઝર્સ	користувачі	Nan
યુકેમાં	у великобританії	Nan
યુએસ	нас	None
યુનિવર્સિટીના	університету	None
યુનિવર્સીટી	університет	None
યોગ્યતા	здатність	None
યોજના	план	None
