$  	$	dollar
=	=	=
>	&gt;	>
a	de	the
ab	ab	ab
aba	aba	aba
abba	gillar det	into
abban	däri	"in that ""abban az esetben"" means ""in (that) case"""
abból	däri	from that
abc	abc	abc
abraham	abraham	abraham
abszint	absinthe	absynth
abszintot	absinthe	absinthe
abszolút	absolut	absolute
abu	abu	abu
ac	ac	ac milan (football)
acdc	acdc	acdc
achát	agat	agate
act	spela teater	act
acél	stål	steel
ad	ge	give
adam	adam	adam
adams	adams	adams
adat	data	data
adatai	information	data
adatait	information	data of
adatok	data	data
adatokat	data	data
adatot	data	data
addig	tills dess	will
addigi	tidigare	current
addigra	då	by then
adja	stiga på	give
adjon	ge	so he give
adminisztratív	administrativ	administrative
admirális	amiral	admiral
adnak	de	they
adni	ge	to give
adolf	adolf	adolf
adott	given	specific
adrian	adrian	adrian
adta	gav	he performed
adtak	de	gave
adták	släppte	gave
ady	ady	ady
adó	beskatta	provider
adódik	på grund av	given
adók	jag ger	taxes
adót	skatter	tax
afganisztán	afghanistan	afghanistan
afganisztáni	afghanistan	of afghanistan
afgán	afghan	afghani
afrika	afrika	africa
afrikai	afrikansk	african
afrikában	afrika	in africa
agatha	agatha	agatha
agy	hjärna	brain
ahhoz	till det	thereto
ahogy	som	as
ahogyan	som	as
ahol	var	where
ahonnan	varifrån	from where
ahova	var	to where
ahová	var	where
ai	ai	this word does not make sense on its own
aids	aids	aids
air	luft	air
aires	aires	aires
airsoft	airsoft	airsoft
ajánlatot	erbjudande	offer
ajánlott	rekommenderad	recommended, offered
ajánlotta	rekommenderad	recommended
akad	eftersläpning	there
akadt	fångad	had
akadtak	det var	could be found
akadályozta	förhindras	obstructed
akadémia	akademi	academy
akadémiai	akademisk	academical
akadémián	akademi	academy
akar	kommer	wants to
akarat	kommer	will
akarata	kommer	will of
akarja	till	wants
akarnak	de vill	they want
akart	efterlyst	he wanted
akarta	efterlyst	wanted
akartak	de ville	wanted
akarták	de ville	wanted
akció	handling	action
