$	$	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ	a	a
అంకారా	ankara	ankara
అంకితం	iyasọtọ	dedicated
అంకురార్పణ	initiative	start
అంకె	nọmba	digit
అంకెల	nọmba	numbers
అంకెలను	awọn nọmba	digits
అంకెలు	awọn nọmba	numerics
అంగదుని	angad	during the period of angadh
అంగారక	maasi	mars
అంగారకుడిపై	angarakudipai	on mars
అంగాలు	atelese	parts
అంగిలి	àfin	angali
అంగీకరించరు	gba	accept
అంగీకరించలేదు	ti gba	did not accept
అంగీకరించారు	ti gba	agreed
అంచనా	ifoju	estimate
అంచనాల	awọn iṣiro	estimates
అంచనాలు	awọn asọtẹlẹ	estimates
అంజలి	anjali	anjali
అంటాం	ti a pe	speaken
అంటాడు	sọ	he says
అంటారు	ṣe	tell
అంటార్కిటికా	antarctica	antarctica
అంటుంటారు	tọka si	tell
అంటున్నారు	sọ	telling
అంటూ	ní bẹ	say
అంటే	kini	it menns
అండ	atilẹyin	shelter
అండమాన్	ati hamani	andaman
అండ్	ati	and
అంత	emi	that much
అంతం	ipari	end
అంతకంటే	diẹ sii	earlier
అంతకు	sẹyìn	then
అంతగా	pọ	so much
అంతటా	jakejado	all over
అంతటి	ju	famous
అంతటితో	ni aaye yẹn	with that
అంతము	ipari	end
అంతరించిన	iparun	ending
అంతరిక్ష	aaye	space
అంతర్	inter	inter
అంతర్గత	ti inu	seeply
అంతర్జాతీయ	international	international
అంతర్జాతీయంగా	ni kariaye	antarjateeyam
అంతర్జాలం	intanẹẹti	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	inu ilohunsoke	internal earth
అంతర్ముఖం	ọlọpọọmídíà	interface
అంతర్యుద్ధం	ogun abẹlé	battle
అంతర్వేది	inter	anthervedi(place name)
అంతస్తుల	itan	stories
అంతా	ohun gbogbo	all
అంతిమ	ik	end
అంతిమంగా	lakotan	at last
అంతే	iyẹn	thats it
అంతేకాక	ati	not only that
అంతేకాదు	awọn	thats not
అంతేగాక	siwaju sii,	not only this
అంత్య	ipari	last
అందం	ẹwa	beauty
అందంగా	lẹwa	beautifully
అందకుండా	dena	not reachable
అందమయిన	lẹwa	beautiful
అందము	ọwọ	beautiful
అందమైన	lẹwa	beautiful
అందరి	gbogbo eniyan	of all
అందరికి	gbogbo	to everybody
అందరికీ	gbogbo eniyan	for everyone
అందరినీ	gbogbo	all
అందరు	gbogbo	all
అందరూ	gbogbo	all
అందానికి	ẹwa	to beauty
అందాల	ẹwa	beauty
అందించడం	pese	giving to
అందించాడు	pese	given
అందించారు	pese	has given
అందించింది	pese	gave
అందించిన	pese	provided
అందించే	pese	giving
అందిన	gbigba	received
అందిస్తాయి	pese	gives
అందిస్తారు	pese	provided
అందిస్తుంది	awọn ipese	gives
అందిస్తున్నాయి	pese	providing
అందుకని	bi eleyi,	thats way
అందుకనే	kilode	because
అందుకు	awọn	thats way
అందుకున్నాడు	gba	received
అందుకున్నారు	gba	taken
అందుకే	kilode	thats way
అందుచేత	nitorinaa	so that
అందునా	laarin	in that
అందుబాటులో	wa	available
అందుబాటులోకి	wa	nearer
అందురు	mo	all
అందువలన	nitorinaa	because of that
అందువల్ల	nitorinaa	because
అందువల్లనే	nitorinaa,	that is why
అంపైర్	umpire	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	ambedkar	ambedkar
అంశం	nkan	topic
అంశాన్ని	nkan	the subject
అంశాల	awọn ohun	subjects
అంశాలను	awọn ohun	things
అంశాలపై	tan	issues
అంశాలు	awọn ohun	parts
అకరణీయ	onipin-iṣẹ	rational
అకస్మాత్తుగా	lojiji	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	ile-iwe giga	academy
అకారాది	lexicon	alphabatical order
అకృత్యాలు	aibikita	cases
అక్క	arabinrin	sister
అక్కడ	ní bẹ	there
అక్కడకు	ní bẹ	there
అక్కడక్కడా	ti tu sita	some places
అక్కడి	awọn	that place
అక్కడికి	ní bẹ	there
అక్కడినుండి	lati ibẹ	that place
అక్కడే	ní bẹ	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	itẹlu	accretion disk
అక్టోబరు	oṣu kẹwa	october
అక్టోబర్	oṣu kẹwa	october
అక్బరు	akbar	akbar
అక్బర్	akbar	akbar
అక్షర	ohun kikọ	letter
అక్షరం	alẹbidi	letter
అక్షరమాల	alẹbidi	alphabets
అక్షరాల	awọn lẹta	letters
అక్షరాస్యత	ede kika	literacy
అఖండ	iwapọ	great
అఖిల	gbogbo	all
అగస్త్యుడు	agastya	agasthyudu
అగ్గిపుల్ల	baramu	matchstick
అగ్ని	iná	fire
అగ్నికి	iná	for fire
అగ్నిపర్వత	onina aruwo	volcano
అగ్నిపర్వతం	onina	mountains
అగ్నిపర్వతములు	onina	volcanos
అగ్నిపర్వతాల	onina	volacano mountains
అగ్నిపర్వతాలు	onina	volcanos
అగ్ర	oke	top
అగ్రచర్వణకాలు	agracarvanakalu	agracharvanakaalu
అగ్రశ్రేణి	oke	topline
అచ్చంపేట	accampeta	acchampet
అచ్చమ్మ	accamma	achhamma
అచ్చుతో	fowó	with a vowel
అజయ్	ajay	ajay
అజర్‌బైజాన్	azerbaijan	ajarbaijan
అటవీ	igbo	gungle
అటు	awọn	other side
అటువంటి	iru	like that
అటూ	kekere	that side
అట్టి	iru	such
అట్లాంటిక్	ede atlantic	atlantic
అడవి	igbo	forest
అడవిలో	igbo	forest
అడవులకు	igbo	to the jungle/forest
అడవులలో	ninu egan	in forests
అడవులు	igbo	forests
అడిగాడు	beere	asked
