$	$	dollar
+	+	+
a	en	and
abc	abc	abc
abdić	abdic	abdić
abdića	abdića	abdic
abdul	abdul	abdul
abdulah	abdulah	abdulah (name)
abdullah	abdullah	abdullah
abortus	abort	abortus
abraham	abraham	abraham,first name
abu	abu	abu
ad	ad	ad
adam	adam	adam
administrativna	administrativ	administrative
administrativne	administrativ	administrative
administrativni	administrativ	administrative
administrativno	administrativt	administrative
adnan	adnan	adnan
adobe	adobe	adobe
adolf	adolf	adolph
adresa	adress	address
adresu	adress	address
adsorpcija	adsorption	absorption
aerodrom	flygplats	airport
aerodroma	flygplats	airport
afera	affär	affair
afganistan	afghanistan	afghanistan
africi	afrika	africa
afrika	afrika	africa
afrike	afrika	africa
afriku	afrika	africa
afričke	afrikansk	african
agencija	byrå	agency
agencije	byråer	agency
agresija	aggression	agression
agresije	aggression	agression
agresora	angripare	aggressor
ahilej	akilles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aisha	aisha
ajet	vers	ayet
ak	ak	ak
akademija	akademi	academy
akademije	akademi	academy
akademiji	akademi	academy
akademiju	akademi	academy
akcija	handling	action
akcije	handlingar	action
ako	om	if
akrozom	akrosomen	akrosome
akt	spela teater	act
aktivan	aktiva	active
aktivna	aktiva	active
aktivni	aktiva	active
aktivno	aktiva	active
aktivnost	aktivitet	activity
aktivnosti	aktiviteter	activities
aktualizirano	uppdaterad	actualized
akumulacije	ansamlingar	accumulation
akutnog	akut	acute
al	al	al
alat	verktyg	tool
alata	verktyg	tools
alate	verktyg	tools
alati	verktyg	tools
albanaca	albaner	albanians
albanci	albaner	albanians
albanija	albania	albania
albanije	albanien	albania
albaniji	albanien	albania
albanski	albanska	albanian
albert	albert	albet
alberto	alberto	aberto
album	album	album
albuma	album	album
albumi	album	albums
albumu	album	album
aleksa	alexa	aleksa
aleksandar	alexander	aleksandar
aleksandra	alexander	alexandra
alen	alen	alen
alexis	alexis	alexis
