$	$	dollar
+	+	+
a	egy	and
abc	abc	abc
abdić	abdic	abdić
abdića	abdića	abdic
abdul	abdul	abdul
abdulah	abdulah	abdulah (name)
abdullah	abdullah	abdullah
abortus	magzatelhajtás	abortus
abraham	abraham	abraham,first name
abu	abu	abu
ad	hirdetés	ad
adam	ádám	adam
administrativna	közigazgatási	administrative
administrativne	közigazgatási	administrative
administrativni	közigazgatási	administrative
administrativno	közigazgatásilag	administrative
adnan	adnan	adnan
adobe	vályogtégla	adobe
adolf	adolf	adolph
adresa	cím	address
adresu	cím	address
adsorpcija	adszorpció	absorption
aerodrom	repülőtér	airport
aerodroma	repülőtér	airport
afera	ügy	affair
afganistan	afganisztán	afghanistan
africi	afrika	africa
afrika	afrika	africa
afrike	afrika	africa
afriku	afrika	africa
afričke	afrikai	african
agencija	ügynökség	agency
agencije	ügynökségek	agency
agresija	agresszió	agression
agresije	agresszió	agression
agresora	agresszor	aggressor
ahilej	achilles	achilles
ahmed	ahmed	ahmed
ahmet	ahmet	ahmet
ahmeta	ahmeta	ahmet
aiša	aisha	aisha
ajet	vers	ayet
ak	ak	ak
akademija	akadémia	academy
akademije	akadémia	academy
akademiji	akadémia	academy
akademiju	akadémia	academy
akcija	akció	action
akcije	akciók	action
ako	ha	if
akrozom	akroszómájú	akrosome
akt	törvény	act
aktivan	aktív	active
aktivna	aktív	active
aktivni	aktív	active
aktivno	aktív	active
aktivnost	tevékenység	activity
aktivnosti	tevékenységek	activities
aktualizirano	korszerűsített	actualized
akumulacije	felhalmozódást	accumulation
akutnog	akut	acute
al	al	al
alat	eszköz	tool
alata	szerszámok	tools
alate	szerszámok	tools
alati	szerszámok	tools
albanaca	albánok	albanians
albanci	albánok	albanians
albanija	albánia	albania
albanije	albánia	albania
albaniji	albánia	albania
albanski	albán	albanian
albert	albert	albet
alberto	alberto	aberto
album	album	album
albuma	album	album
albumi	album	albums
albumu	album	album
aleksa	alexa	aleksa
aleksandar	sándor	aleksandar
