จังหวัดคยองซาง	kyongchang province	0.0
นายสมชัย	mr. somchai	3.3155603987738995e-08
พีระมิด	pyramid	4.467484113171989e-08
ข้อมูลประเทศเดนมาร์ก	information on denmark	1.0164127091320792e-07
ประเทศสวีเดน	sweden	1.7580365964808244e-07
ซิโนไทย	sino-thai	4.114415393592022e-07
รองเท้า	shoes	8.256574899222091e-07
ระบบกษัตริย์ของกัมพูชา	cambodian monarchy	8.520537421290735e-07
น้ำท่วม	flooding	9.745554571510336e-07
ชัยบัญชา	chaibancha	1.0770973735979472e-06
ธงชัย	thongchai	1.2193318249655286e-06
วิทยาเขตสารสนเทศเพชรบุรี	information technology college of petchaburi	1.4474436550457802e-06
พริกหวาน	sweet pepper	1.8115129873450142e-06
แขวงหลวงพระบาง	luang pra bang province	2.1696430468980705e-06
โรลเลอร์เบลด	rollerblade	2.203992114563384e-06
นครปฐม	nakhon pathom	4.033299657515223e-06
ส่วนต่อขยายบางซื่อท่าพระ	bang sue – tha phra expansion	4.344590940758162e-06
อาณาจักรแพกเจ	pakja territory	4.4381145242339705e-06
อำเภอร่อนพิบูลย์	ron phibun district	4.9613856744547415e-06
ปลายคริสต์ศตวรรษที่	late century	5.1241018938647975e-06
มธรรมศาสตร์	thammasat university	5.98651853625535e-06
ครุฑ	garuda	6.0280581857684005e-06
โรงแรม	hotel	7.65801734636157e-06
ต่อมาในสมัยกรุงธนบุรีและกรุงรัตนโกสินทร์เขมรตกอยู่ภายใต้การควบคุมของจักรวรรดิสยามอย่างเข้มงวด	later in thonburi period and rattanakosin period	8.909507879581876e-06
พลังงานไฟฟ้า	electrical energy	8.939556547302785e-06
เซ็กส์	sex	1.1889141045897702e-05
ซูรินาเม	suriname	1.2450699095311811e-05
ไต	kidney	1.3404369316047087e-05
นำกลับมาสร้างใหม่อีกครั้ง	remake (of an old movie)	1.3630702434289634e-05
อุทยานประวัติศาสตร์พนมรุ้ง	phanom rung historical park	1.6743420069387293e-05
ไชยา	chaiya	1.6850455334443096e-05
เกาหลีใต้	south korea	1.9188559366227572e-05
และรัสเซีย	and russia	1.9908339452722624e-05
อำเภอเชียงของ	chiang khong district	2.007853889284709e-05
หัวใจ	heart	2.0645958927793704e-05
เมืองพิจิตร	phichit	2.5040608164335604e-05
ไก่	chicken	2.704908132742419e-05
คาเมนไรเดอร์	kamen rider	2.760909610269704e-05
สุจาริณี	sujarinee	2.8582141744648325e-05
พระมงกุฏเกล้าเจ้าอยู่หัว	phra mongkut klao chao yu hua	2.9191027844206604e-05
จังหวัดนครพนม	nakhon phanom province	2.9643026268039346e-05
ระวิ	rawi	2.9970741109501424e-05
รายชื่อคำในภาษาไทยที่มักเขียนผิด	common misspelled thai words	3.1560835896471225e-05
พลอย	ploy	3.48850785818984e-05
จิบูตี	ji bu dee event on june 27	3.5717598293563106e-05
มหาวิทยาลัยราชภัฏอุตรดิตถ์	uttaradit rajabhat university	3.7001769052582596e-05
มหาวิทยาลัยบูรพา	burapha university	4.858540191615509e-05
นกแก้ว	parot	4.859547997040287e-05
งาน	work, job	4.876754907679785e-05
เพ็ชรทาย	petchtai	4.9751224135824896e-05
ทุกครั้ง	every time	4.980327561697065e-05
ด้านอ่าวไทย	gulf of thailand side	5.1537627962754704e-05
เปิดสอนระดับปริญญาตรี	offer bachelor degree curriculum	5.197198188973109e-05
ภาพยนตร์ตอน	version of the movie	5.245812715355561e-05
โดราเอมอนฉบับภาพยนตร์	doraemon movie edition	5.4158333391917926e-05
ปภ	the order of the direkgunabhorn	5.440453592839178e-05
นราธิป	naratip - a male's name of a singer	5.4856276353631905e-05
