$	$	$
+	+	+
+°c	+ ° c	+c
=	=	=
a	a	a
ab	ab	eu
abbas	abbas	abbas
abbasilər	abbasiden	abbasis
abbasov	abbasov	abbasov
abbasqulu	abbasqulu	abbasgulu
abbaszadə	abbaszade	abbaszadeh
abbasın	abbasın	abbas
abdulla	abdulla	abdullah
abdullayev	abdullayev	am
abidə	denkmal	monument
abidələr	denkmäler	monuments
abidələri	denkmäler	monuments
abidələrin	denkmäler	monuments
abidələrindən	denkmäler	monuments
abidələrinin	denkmäler	monuments
abidənin	des denkmals	monument
abidəsi	denkmal	monument
abş	usa	abs
abşa	abşa	absa
abşda	in den vereinigten staaten	usd
abşeron	absheron	of
abşeronun	von absheron	absheron
abşın	abşin	the u.s.
ac	ac	news
access	zugang	access
aclıq	hunger	hunger
acınohur	acınohur	ajinohur
ad	ad	name
ada	ada	island
adada	auf der insel	the island
adalar	inseln	islands
adaları	inseln	islands
adaların	der inseln	islands
adalarında	auf den inseln	the islands
adam	mann	man
adama	mann	man
adambaşına	pro kopf	per capita
adamlar	menschen	people
adamlara	zu den menschen	people
adamları	männer	people
adamların	von männern	people
adamlarının	deiner männer	people
adamus	mann	adamus
adamı	mann	man
adamın	des mannes	people
adanı	die insel	island
adanın	der insel	the island
adası	insel	island
adasına	auf die insel	island
adasında	auf der insel	island
adasının	der insel	island
addım	schritt	step
addımlar	schritte	steps
addımı	schritt	step
addır	ist der name	is the name
adi	adi	ordinary
adil	adil	just
adlanan	genannt	the so-called
adlandırmaq	anrufen	call
adlandırmışlar	sie riefen an	as the
adlandırılan	genannt	called
adlandırıldı	wurde benannt	renamed
adlandırılmışdır	wurde benannt	named
adlandırılıb	wurde benannt	was named
adlandırılır	heißt	referred to as the
adlandırır	anrufe	as
adlandırırdılar	sie riefen an	called
adlandırırlar	sie rufen an	adlandirilar
adlanır	heißt	is called
adlanırdı	wurde gerufen	was called
adlar	namen	names
adları	namen	names
adlarına	zu ihren namen	titles
adlarından	von ihren namen	names
adlarını	ihre namen	the names of the
adlarının	ihrer namen	names
adlı	genannt	forencic
adlısanlı	benannt	adlisanli
admiral	admiral	admiral
adna	adna	asoa
adnada	adnada	asoa
adnanın	des namens	adnanin
adolf	adolf	adolf
adr	adr	adr
adriatik	adriatic	adriatic
adurbadaqan	adurbadaqan	adurbadaqan
adı	name	ordinary
adın	dein name	your name
adına	im auftrag von	named
adında	im namen von	named
adından	im auftrag von	on behalf of
adını	sein name	name
adının	deines namens	adlnln
adıyla	im namen von	the name of the
adət	gewohnheit	two
adəti	gewohnheit	number
adətləri	gewohnheiten	traditions
adətən	normalerweise	usually
aerodinamika	aerodynamik	aerodynamic
afina	athen	athens
afrika	afrikanisch	africa
afrikada	in afrika	africa
afrikanın	von afrika	africa
afşin	afshin	afsin
agentliyi	agentur	agency
aid	hilfe	about
aiddir	aiddir	apply
aiddirlər	gehören zu	are
ailə	familie	family
ailədə	in der familie	family
ailələri	familien	families
ailənin	der familie	family
ailəsi	familie	family
ailəsində	in der familie	family
ailəsini	seine familie	family
ailəsinin	seiner familie	family
ailəsinə	zu seiner familie	family
ak	ak	ak
akademik	akademisch	academic
akademiya	akademie	academy
