$	$	None
poluarea	la pollution	Nan
polul	pôle	None
poluării	la pollution	Nan
pompei	pompe	Nan
pondere	poids	None
ponderea	poids	None
pop	pop	None
popa	le pape	Nan
popescu	popescu	Nan
popoare	gens	None
popoarele	gens	None
popoarelor	les peuples	Nan
popor	gens	None
poporul	gens	None
poporului	gens	None
poluare	la pollution	Nan
popular	populaire	None
poloniei	pologne	None
poloneză	polonais	None
politice	politique	None
politici	politique	None
politicieni	les politiciens	Nan
politicii	politique	None
politicile	stratégies	None
politică	politique	None
polizaharide	polysaccharides	Nan
poliția	la police	Nan
poliție	police	None
poliției	police	None
polo	polo	None
polonez	polonais	None
poloneze	polonais	None
polonezi	polonais	None
polonezii	poteaux	Nan
polonia	pologne	None
populare	populaire	None
popularitate	popularité	None
popularitatea	popularité	None
portretul	portrait	None
portugalia	le portugal	Nan
portugheză	portugais	None
portul	port	None
portului	port	None
porturi	les ports	Nan
porturile	les ports	Nan
porumb	maïs	None
porumbescu	porumbescu	Nan
porunci	charge	None
porți	portes	None
porțile	portes	None
porțiune	portion	Nan
porțiunea	portion	Nan
porțiuni	portions	Nan
portrete	portraits	None
portret	portrait	None
portalul	portail	None
portal	portail	None
populară	populaire	None
populat	populeux	Nan
populate	peuplé	None
populată	peuplé	None
populația	la population	Nan
populație	population	None
populației	population	None
politica	politique	None
populații	population	None
populațiilor	populations	None
porecla	surnom	None
pornesc	début	None
pornește	départs	Nan
pornind	de	None
pornit	sur	None
port	je porte	Nan
populațiile	populations	None
posedă	avoir	None
politic	politique	None
poliana	poliana	Nan
plecat	disparu	None
plece	laisser	None
plin	plein	None
pline	plein	None
plină	plein	None
ploaie	pluie	None
ploiești	ploiesti	Nan
plumb	conduire	None
plural	pluriel	None
plus	une addition	Nan
plăcere	plaisir	None
plăci	assiettes	Nan
plăcut	agréable	Nan
plătească	payer	None
plăti	paiement	None
plecarea	en quittant	Nan
poalele	pied	None
plecare	départ	None
pleacă	feuilles	None
plasat	mis	None
plasate	mis	None
plasată	mis	None
plasează	mis	None
plasma	plasma	None
plasmă	plasma	None
plastic	plastique	None
plastice	plastique	None
plastici	plastique	None
plata	le paiement	Nan
platforma	plate-forme	Nan
platformă	plate-forme	Nan
platon	platon	None
platou	plateau	None
platoul	étagère	Nan
pleca	laisser	None
poarta	porte	None
poarte	porter	None
poartă	porte	None
poezie	poésie	None
poeziei	poésie	None
poezii	poésie	None
poeziile	poésie	None
poeți	poètes	None
poeții	poètes	None
poeților	poètes	None
pofida	malgré	None
poiana	prairie	Nan
pokemon	pokémon	Nan
poker	poker	None
pokémon	pokémon	Nan
polar	polaire	Nan
polare	polaire	Nan
poli	poly	Nan
poezia	le poème	Nan
poetului	poète	None
poetul	poète	None
poetică	poétique	None
poate	peut être	Nan
poată	pouvez	Nan
pod	pont	None
podiș	plateau	None
podișul	plateau	None
podul	le pont	Nan
podului	pont	None
