$	$	$
+	+	+
++	++	++
<	&lt;	<
<>	&lt;&gt;	<>
<i>	<i>	i
=	=	=
==	==	==
>	&gt;	>
a	a	a
a`zo	a`zo	a'zo
a`zolar	membrii	a'zolar
a`zolari	membrii	a;zolari
a`zolarni	membrii	a'zolarni
a`zomamlakatlar	țările membre	a'zomamlakatlar
a`zosi	membru	a'zosi
aabdugʻafurov	aabdug&#39;afurov	aabdug'afurov
aaron	aaron	aaron
ab	ab	ab
abbos	abbos	abbos
abc	abc	abc
abdulaziz	abdulaziz	abdulaziz
abdulla	abdulla	abdulla
abdullah	abdullah	abdullah
abdulloh	abdulloh	abdulloh
abdullohning	abdullah	abdullohning
abdulmuttalib	abdulmuttalib	abdulmuttalib
abdulmuttalibning	abdulmuttalibning	abdulmuttalibning
abdumanaf	abdumanaf	abdumanaf
abdurashidxon	abdurashidxon	abdurashidxon
abdurauf	abdurauf	prove,
about	despre	about
abraham	abraham	become
abstrakt	abstract	abstract
absurdizm	absurdul	abscess
abu	abu	go
abulgʻozi	abulg&#39;ozi	abulg'ozi
abulqosim	abulqosim	abulqosim
abusaid	abusaid	abusaid
abusaidning	abusaidning	abusaidning
abutolib	abutolib	abutolib
academia	mediul academic	academy
adabiy	literar	literary
adabiyot	literatură	literauture
adabiyoti	literatură	literature
adabiyotida	in literatura	court of law
adabiyotidan	din literatura de specialitate	adabiyotidan
adabiyotining	literatură	adabiyotining
adabiyotlar	cărți	adabiyotlar
adabiyotshunos	critic literar	adabiyotshunos
adabiyotshunosi	critic literar	adabiyotshunosi
adabiytanqidiy	critica literara	literary critique
adam	om	adam
adib	adib	writer
adibi	scriitor	adibi
adolat	justiţie	foothills
adolatli	echitabil	adolatli
adolatni	justiţie	adolatni
adolf	adolf	adolf
aero	aero	aero
aeroporti	aeroporturi	always
afg`on	afghan	afgon
afg`oniston	afghanistan	afganistan
afg`onistonda	în afganistan	afghanistan
afg`onistonga	spre afganistan	afg'onistonga
afgoniston	afghanistan	afgoniston
afgʻoniston	afghanistan	afganistan
aflotun	aflotun	genius
afol	afol	afol
africa	africa	africa
african	african	african
afrika	african	africa
afrikada	in africa	africa
afrikadagi	in africa	afrikadagi
afrikalik	african	afrikalik
afrikaning	din africa	afrikaning
afrikasi	afrikasi	afrikasi
afrosiyob	afrosiyob	afrosiyob
afsonaviy	legendar	afsonavity
after	după	after
agar	dacă	the
agent	agent	agent
agentligi	agenţie	agentligi
agentligida	în agenție	agentligida
agentlik	agenţie	agent
agnostitsizm	agnosticism	agonistism
agrar	agrar	agrarian
agrokimyo	agrochimie	agrokimyo
ahamiyat	importanţă	importance
ahamiyatga	importanţă	ahamiyatga
ahamiyati	importanţă	importance
ahamiyatini	importanţă	ahamiyatini
ahayitmetov	ahayitmetov	ahayitmetov
ahd	ahd	axiom.
ahliga	ahliga	ahliga
ahmad	ahmad	opium
ahmedov	ahmedov	legend
ahmet	ahmet	ahmet
aholi	populație	aholi
aholiga	la populație	sparkle.
aholining	al populației	aholining
aholishunoslik	populație	aholishunoslik
aholisi	populația din	people
aholisida	în populație	aholisida
aholisini	populație	aholisini
aholisining	al populației	aholisining
ahror	ahror	ahror
ahvol	condiție	situation
