$	$	dollars
<	&lt;	<
 г	ડી	y. (year)
 година	વર્ષ	year
 €	€	euro
­	­	-
°	°	degrees
°с	. ઓ	degree celsius
π	π	pi
φ	φ	f
а	એ	a
абдикира	ત્યાગ	abdicate
абридж	સંક્ષેપ	abridge
абритус	એબ્રીટસ	abrittus
абсолютна	સંપૂર્ણ	absolute
абсолютно	સંપૂર્ણપણે	absolutely
абу	અબુ	abu
абълин	abulin	ablin
аварията	દુર્ધટના	breakdown
август	.ગસ્ટ	august
авиация	ઉડ્ડયન	aviation
авив	અવિવ	aviv
австралия	.સ્ટ્રેલિયા	australia
австрийска	austસ્ટ્રિયન	austrian
австрия	riaસ્ટ્રિયા	austria
австроунгария	austસ્ટ્રિયા-હંગેરી	austria-hungary
автобуси	બસો	buss
автогара	બસ સ્ટેશન	bus station
автомагистрала	હાઇવે	motorway
автоматично	આપમેળે	automatic
автомобил	કાર	automobile
автомобила	કાર	car
автомобили	કાર	automobiles
автомобилите	કાર	cars
автономен	સ્વાયત	self-governing
автономия	સ્વાયતતા	autonomy
автономна	સ્વાયત	autonomous
автономни	સ્વાયત	autonomous
автор	લેખક	author
автора	લેખક	author
автори	લેખકો	authors
авторите	લેખકો	the autors
авторитет	અધિકાર	authority
авторитета	અધિકાર	authority
авторски	ક copyrightપિરાઇટ	author's
авторът	લેખક	author
ага	હા	agha
агамемнон	અગમેમન	agamemnon
агент	એજન્ટ	agent
агенти	એજન્ટો	agents
агенция	એજન્સી	agency
агенцията	એજન્સી	the agency
агрипина	એગ્રીપ્પીના	agrippina
ад	માંથી	ad
адам	આદમ	adam
адаптация	અનુકૂલન	adaptation
адекватно	પર્યાપ્ત	adequate
административен	વહીવટી	administrative
административна	વહીવટી	administrative
административната	વહીવટી	the administrative
административни	વહીવટી	administrative
административните	વહીવટી	administrative
административно	વહીવટી રીતે	administrative
администрация	વહીવટ	administration
администрацията	વહીવટ	administration
адолф	એડોલ્ફ	adolf
адрес	સરનામું	address
адреси	સરનામાંઓ	addresses
адрианопол	એડ્રિનોપલ	adrianopol
адриатическо	એડ્રિયાટિક	adriatic
аз	હું	i
азбука	મૂળાક્ષર	alphabet
азбуката	મૂળાક્ષર	alphabet
азбуки	મૂળાક્ષરો	alphabets
азбучен	મૂળાક્ષર	alfabetic
азербайджан	અઝરબૈજાન	azerbaijan
азид	એઝાઇડ	azide
азис	એઝિસ	azis
азия	એશિયા	asia
азот	નાઇટ્રોજન	nitrogen
азотът	નાઇટ્રોજન	nitrogen
айлънд	ટાપુ	island
айнщайн	આઈન્સ્ટાઈન	einstein
айнщайний	આઈન્સ્ટાઈન	ainsteinium
айрес	આયર્સ	aires
айсберг	આઇસબર્ગ	iceberg
айфеловата	એફિલ	eiffel
ак	ak	ak
акад	એકડ	prof.
академик	વિદ્વાન	academician
академия	એકેડેમી	academy
академията	એકેડેમી	academy
ако	જો	if
акт	કાર્ય	act
активен	સક્રિય	active
активи	સંપત્તિ	assets
активите	સંપત્તિ	assets
активна	સક્રિય	active
активната	સક્રિય	active
активни	સક્રિય	active
активните	સક્રિય	active
активно	સક્રિય	actively
активност	પ્રવૃત્તિ	activity
активността	પ્રવૃત્તિ	activity
актове	કૃત્યો	acts
актриса	અભિનેત્રી	actress
актриси	અભિનેત્રીઓ	actresses
актуална	વર્તમાન	current
актьор	અભિનેતા	actor
актьори	કલાકારો	actors
ал	અલ	al
албания	અલ્બેનિયા	albania
албански	અલ્બેનિયન	albanian
албанци	અલ્બેનિયન	albanians
албена	અલ્બેના	albena
алберт	આલ્બર્ટ	albert
албум	આલ્બમ	album
албума	આલ્બમ	album
албуми	આલ્બમ્સ	album
албумът	આલ્બમ	album
алгоритъм	અલ્ગોરિધમનો	algorithm
алдехид	એલ્ડીહાઇડ	aldehyde
александрия	એલેક્ઝાન્ડ્રિયા	alexandria
александров	એલેક્ઝાન્ડ્રોવ	alexandrov
александър	એલેક્ઝાંડર	alexander
алексей	એલેક્સી	alexei
алексий	એલેક્સિયસ	alexy
алел	એલી	allele
алеманда	અલેમાંડા	alemanda
алжир	અલ્જેરિયા	algeria
али	પરંતુ	ali
алкохол	દારૂ	alcohol
аллах	અલ્લાહ	allah
алпийски	આલ્પાઇન	alpine
алпите	આલ્પ્સ	alps
алтаир	વેદી	altair
алтерация	ફેરફાર	aletro
алтернативни	વૈકલ્પિક	alternative
алуминий	એલ્યુમિનિયમ	aluminium
алфа	આલ્ફા	alpha
алфред	આલ્ફ્રેડ	alfred
алън	એલન	allen
аляска	અલાસ્કા	alaska
амадеус	એમેડિયસ	amadeus
амазонка	એમેઝોન	amazon
амбивалентност	દ્વેષ	ambivalence
америка	અમેરિકા	america
американска	અમેરિકન	american
американската	અમેરિકન	american
американски	અમેરિકન	american
американските	અમેરિકન	american
американския	અમેરિકન	american
американският	અમેરિકન	american
американското	અમેરિકન	american
американците	અમેરિકનો	americans
аминокиселини	એમિનો એસિડ	amino acids
аминокиселините	એમિનો એસિડ	amino acids
амоняк	એમોનિયા	ammonia
амплитуда	કંપનવિસ્તાર	amplitude
амстердам	એમ્સ્ટરડેમ	amsterdam
амфора	એમ્ફોરા	amphora
ан	એક	an
ана	આના	anna
анаконда	એનાકોન્ડા	anacond
анален	ગુદા	anal
анализ	વિશ્લેષણ	analysis
анализи	વિશ્લેષણ કરે છે	analysis
ананке	અનંકે	ananke
анастилоза	anastylosis	anastylosis
анатомия	શરીરરચના	anatomy
анатомията	શરીરરચના	anatomy
ангажира	વ્યસ્ત રહે છે	committed
ангел	દેવદૂત	angel
ангелите	એન્જલ્સ	angels
ангелов	એન્જલ્સ	angelov
англ	અંગ્રેજી	engl.
английска	અંગ્રેજી	english
