$	$	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;khalus&gt;	mend
<நிரை>	&lt;row&gt;	hirsels
<நேர்>	&lt;pribadi&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	jika hvin	a chemaical name
அ	sebuah	a
அ.கே.கே	faq	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	inframerah	dark red
அகதிகள்	pengungsi	refugees
அகத்தியர்	sage	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	agam	inside
அகர	secara alfabet	alphabetically
அகரமுதலி	wiktionary	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	alfabetis	alphabet
அகராதி	kamus	dictionary
அகராதிகள்	kamus	alphabets
அகற்ற	menghapuskan	remove
அகற்றி	dihapus	destroy
அகலம்	lebar	width
அகலாங்கு	garis lintang	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	augustus	aghastas
அகிம்சை	tanpa kekerasan	ahimsa, and non violence
அகில	semua	all india
அகிலத்தின்	internasional	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	internasional	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	peduli	other side bank
அக்கால	waktu	during those days
அக்காலகட்டத்தில்	dalam periode	during that time
அக்காலத்தில்	pada waktu itu,	at the time
அக்காலத்து	kuno	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	oktober	october
அக்பரின்	akbar	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	bagian	is a part
அங்கம்	elemen	part
அங்காரா	ankara	ankara
அங்கிருந்த	itu	there
அங்கிருந்து	dari sana	approve
அங்கீகரிக்கப்பட்ட	resmi	authorised
அங்கீகாரம்	autentikasi	recognition
அங்கு	sana	there
அங்குள்ள	itu	on that
அங்கூர்	ankur	angur
அங்கே	sana	there
அசல்	asli	original
அசாதாரண	luar biasa	extraordinary
அசாம்	assam	assam
அசினின்	seperti dalam	asin
அசின்	mencetak	asin
அசோகர்	ashoka	the king asoka
அச்	mencetak	that
அச்சகம்	tekan	press
அச்சின்	mencetak	axis of
அச்சில்	mencetak	in axis
அச்சு	mencetak	axis
அச்சுப்	mencetak	print
அஜித்	ajith	ajith a name
அடக்கம்	terkubur	included
அடக்கும்	penindas	contains
அடங்கிய	berisi	consisting, based
அடங்கியுள்ள	terkandung	with
அடங்கியுள்ளது	terkandung	contains
அடங்கியுள்ளன	termasuk	included
அடங்குகின்றன	mereka termasuk	included
அடங்கும்	termasuk	included
அடங்குவர்	termasuk	including
அடர்த்தி	massa jenis	volume
அடர்த்தியான	tebal	dark
அடி	langkah	feet
அடிகள்	langkah	hits
அடிக்கடி	sering	often
அடிக்குறிப்புகளும்	footer	footnotes
அடிப்படை	dasar	fundamental
அடிப்படைகள்	dasar-dasar	fundamentals
அடிப்படைக்	dasar	fundamentally
அடிப்படைத்	dasar	fundamentally
அடிப்படைப்	dasar	basic of
அடிப்படையாகக்	di	based on the
அடிப்படையாகும்	sangat mendasar	is the fundamental
அடிப்படையான	dasar	fundamentally
அடிப்படையிலான	berbasis	basics
