szerinti	dari	0.0
london	london	0.0
trópusi	tropis	0.0
forradalomban	revolusi	0.0
száraz	kering	0.0
jogok	hak	5.363980300462297e-16
szexualitás	seks	6.323449292711992e-16
szótárak	kamus	3.512849292167223e-07
világban	dunia	4.828685331031366e-07
mű	mereka	5.226229750515194e-07
beszélnek	berbicara	1.434657622015531e-06
erősen	kuat	1.6397707119873813e-06
hatalma	kekuasaan	1.7089818341496604e-06
lépett	dimasukkan	2.0051428144726344e-06
műszaki	teknis	2.3741318596109546e-06
ősz	gugur	2.8321838752227475e-06
felváltva	bergantian	2.8597180578921778e-06
utasítás	instruksi	3.293687597986363e-06
győzelme	kemenangan	4.716558282552007e-06
szám	lagu	5.085430436866023e-06
manapság	sekarang	5.792527541618135e-06
származott	dari	6.307318871216227e-06
jelenetben	kejadian	6.464025466867815e-06
kuba	kuba	6.476417452595569e-06
engedélyt	izin	8.030242480778035e-06
némelyik	beberapa	8.816100993555952e-06
parancsnoka	komandan	9.628721611532769e-06
utódja	penerus	1.075572045874473e-05
maradni	tinggal	1.1070325820689775e-05
folyékony	cair	1.1785027383142969e-05
olcsó	murah	1.2904253760823046e-05
készít	membuat	1.3522329941574442e-05
értelmezés	penafsiran	1.4245816961926333e-05
miatt	untuk	1.4272212222477218e-05
távolabbi	lanjut	1.6113881758243294e-05
különálló	terpisah	1.6198374638938785e-05
rómában	roma	1.6240531080070522e-05
intézménye	institusi	1.7405354507325005e-05
kutatók	peneliti	1.741941993760683e-05
fiatalok	muda	2.0010066807185587e-05
mészárlás	pembantaian	2.0770510575207465e-05
vajon	apakah	2.3658082134358254e-05
biztosítják	memastikan	2.5206316297330272e-05
típusok	jenis	2.5238338411180895e-05
képviseli	mewakili	2.5898593974909014e-05
konyha	dapur	2.6196394072288203e-05
hirtelen	mendadak	2.622554377776615e-05
történészek	sejarawan	2.8851757829963583e-05
juh	domba	2.922829037911207e-05
rosszindulatú	jahat	2.9753368761802864e-05
románia	rumania	3.0154469010462235e-05
eljárás	proses	3.1672571578197835e-05
ensz	un	3.40486624882015e-05
nyelvre	bahasa	3.70067962371873e-05
oroszország	rusia	3.733947426906795e-05
halottak	mati	3.760596845008887e-05
emancipáció	emansipasi	3.8839335617506726e-05
félsziget	semenanjung	3.9822843364356425e-05
legfiatalabb	muda	4.035741200542399e-05
viták	perselisihan	4.1132866686324526e-05
növekedése	pertumbuhan	4.1144111147100575e-05
kortársak	orang	4.120414298575685e-05
teológia	teologi	4.26700895462914e-05
fejlesztés	pengembangan	4.324708996610393e-05
irodalomban	literatur	4.422568505522375e-05
problémája	masalah	4.449775368206743e-05
beszélgetés	berbicara	4.829161429142271e-05
tanár	guru	5.080007792208327e-05
reformkor	reformasi	5.406452318653739e-05
alakul	berkembang	5.478280491510936e-05
könyvet	buku	5.566171174697428e-05
nevéből	namanya	5.7142177723932463e-05
aránya	proporsi	5.7385201869391165e-05
protiszták	protista	5.885925773193465e-05
korának	waktunya	5.948932142480438e-05
meghatározni	menentukan	6.0322315603587246e-05
számokat	angka	6.36401257106721e-05
nyelvhez	bahasa	6.41926796727605e-05
jóllehet	meskipun	6.55020672835709e-05
használat	menggunakan	6.800245703255158e-05
költségeit	biaya	7.057105795448568e-05
részecskék	partikel	7.600031242523632e-05
szervek	tubuh	7.684364490934039e-05
család	keluarga	7.70335269018252e-05
mindketten	kedua	7.75953627070387e-05
alapítója	pendiri	7.803713201945692e-05
küldtek	dikirim	7.98789869797888e-05
jellemzi	fitur	8.378848102273373e-05
darab	bagian	8.565499049956551e-05
menekülni	diri	8.739061514669057e-05
hír	berita	9.125735250899485e-05
sikere	keberhasilan	9.430775690159764e-05
farkas	serigala	0.00010144492442193014
hollandia	belanda	0.00010158146024559842
fejlődik	berkembang	0.00010342188624521304
trónra	takhta	0.00010351924080786915
kialakulását	pembentukan	0.0001035371982206644
egészséges	sehat	0.00010686493940620662
index	indeks	0.00011298730750727673
megfelel	pemenuhan	0.00011546413482001815
bizottsága	komite	0.00011711127545810924
kezdődtek	mulai	0.0001295875058827207
parasztság	tani	0.0001333932915172553
eredményezett	menghasilkan	0.0001335237413811995
svájc	swiss	0.00013468226954123307
kerületi	keliling	0.00013765959842671662
fenol	fenol	0.00013850421408035158
ég	langit	0.00014352873152337036
nincs	tidak	0.00015149080175277891
királynő	ratu	0.00015373555492307408
játékban	permainan	0.00015446083152968447
bolygó	planet	0.0001547799525466545
kutyák	anjing	0.00015625624823462984
elnökévé	presiden	0.0001624511752505028
eső	hujan	0.00016318613376366316
processzor	prosesor	0.00016323542000983796
személyében	dari	0.00016569832840251225
nál	di	0.00016841239836314415
elnökének	presiden	0.00016956038754203467
szövege	teks	0.00017750935214377422
rendbe	baik	0.00017993696790033796
ugyanis	yaitu	0.0001820757226750663
készen	siap	0.00018286096243771827
talajon	tanah	0.00018945808955917473
stressz	menekankan	0.0001920971322209454
beszéd	pidato	0.00019854409225026026
szél	angin	0.00019876040373598085
egyrészt	satunya	0.0002015185642377649
terhesség	kehamilan	0.00020231506350134421
keleten	timur	0.00020408336352264905
teszik	membuat	0.00020641163640073114
szünet	sebentar	0.0002088370174956033
képességű	kapasitas	0.00021116097973720424
hatalommal	kekuasaan	0.00021116097973720424
lényegesen	signifikan	0.00021282864066794098
közigazgatási	administratif	0.00021626867717056947
gyümölcs	buah	0.00021761265060062652
melléknevek	sifat	0.0002227041379879268
erősségű	kekuatan	0.0002288834206641619
ukrajna	ukraina	0.00024112592423018828
terjedő	untuk	0.00024139067646203647
jelöltek	kandidat	0.0002427093232897136
noha	meskipun	0.00024596478101953436
erőket	kekuatan	0.0002470045800612666
híres	terkenal	0.0002483512687409557
nehézségek	kesulitan	0.00026474317921801294
befolyásolják	mempengaruhi	0.00026819717294969083
figyelhető	diamati	0.0002746701899424375
lengyelek	polandia	0.00028117790432129983
történeteket	cerita	0.0002842773408171159
függetlenségét	kemerdekaan	0.0002881888745454382
arról	tentang	0.0002944288388963999
terén	di	0.00029521900853387445
néhány	beberapa	0.00029749806891603346
