ab	أ	ab
abba	أبا	abba
abbas	عباس	abbas
abbey	دير	abbey
abc	اي بي سي	abc
abort	الإجهاض	abortion
aborter	الإجهاض	abortions
about	أم	about
abraham	ابراهيم	abraham
absint	الأفسنتين	absinthe
absolut	إطلاقا	absolute; total
absoluta	مطلق	absolute
absolution	الغفران	absolution
absorberas	يمتص	(gets) absorbed
abstrakta	نبذة مختصرة	abstract
abu	أبو	abu
ac	ac	ac
academy	الأكاديمية	academy
acceptera	قبول	accept
accepterad	قبلت	acceptable
accepterade	قبلت	accepted
accepterar	قبول	accepts
accepterat	قبلت	accepted
acdc	acdc	ac/dc
action	عمل	action
ad	ميلادي	ad
adam	آدم	adam
adams	آدمز	adams
adeln	النبلاء	nobility
adhd	أحد	adhd
adjektiv	الصفة	adjective
administration	الادارة	administration
administrationen	الادارة	administration
administrativ	إداري	administration
administrativa	إداري	administrative
administrativt	إداريا	administrative
adolf	أدولف	adolf
adolfs	أدولف	adolf's
adrian	أدريان	adrian
advokat	محامي	lawyer
af	af	of (old swedish)
affärer	اعمال	business
afghanistan	أفغانستان	afghanistan
africa	أفريقيا	africa
afrika	أفريقيا	africa
afrikaner	الأفارقة	africans
afrikansk	الأفريقي	african
afrikanska	الأفريقي	african
afrikas	أفريقيا	africa's
afrodite	أفروديت	afrodite
aftonbladet	سي إن إن	aftonbladet
age	عمر	age
agent	وكيل	agent
agera	فعل	act
agerande	سلوك	acting
aggressiv	عدواني	aggressive
agnes	أغنيس	agnes
agnetha	agnetha	agnetha
agnosticism	اللاأدرية	agnosticism
agnostiker	محايد دينيا	agnostic
ahmed	أحمد	ahmed
aids	الإيدز	aids
aik	-حسنا	aik
airlines	الخطوط الجوية	airlines
airport	مطار	airport
ajax	اجاكس	ajax
akademi	الأكاديمية	academy
akademien	الأكاديمية	the academy
akademiens	الأكاديمية	the academy's
akademisk	أكاديمي	academical
akademiska	أكاديمي	academical
akc	akc	akc
akon	صيدلي	akon
akondroplasi	التقزم	achondroplasia
aktiebolag	شركة محدودة	companies
aktier	تشارك	stock
aktiv	نشيط	active
aktiva	نشيط	active
aktivitet	نشاط	activity
