ab	अब	ab
abba	अब्बा	abba
abbas	अब्बास	abbas
abbey	बौद्ध मठ	abbey
abc	एबीसी	abc
abort	गर्भपात	abortion
aborter	गर्भपात	abortions
about	ओम	about
abraham	अब्राहम	abraham
absint	चिरायता	absinthe
absolut	पूर्ण रूप से	absolute; total
absoluta	पूर्ण	absolute
absolution	मुक्ति	absolution
absorberas	को अवशोषित	(gets) absorbed
abstrakta	सार	abstract
abu	अबू	abu
ac	एसी	ac
academy	अकादमी	academy
acceptera	स्वीकार करना	accept
accepterad	स्वीकार किए जाते हैं	acceptable
accepterade	स्वीकार किए जाते हैं	accepted
accepterar	स्वीकार करना	accepts
accepterat	स्वीकार किए जाते हैं	accepted
acdc	प्रत्यावर्ती धारा दिष्ट धारा	ac/dc
action	कार्य	action
ad	a.d	ad
adam	एडम	adam
adams	एडम्स	adams
adeln	रईसों	nobility
adhd	एडीएचडी	adhd
adjektiv	विशेषण	adjective
administration	शासन प्रबंध	administration
administrationen	शासन प्रबंध	administration
administrativ	प्रशासनिक	administration
administrativa	प्रशासनिक	administrative
administrativt	प्रशासनिक रूप से	administrative
adolf	एडॉल्फ	adolf
adolfs	एडॉल्फ	adolf's
adrian	एड्रियन	adrian
advokat	वकील	lawyer
af	ए एफ	of (old swedish)
affärer	व्यापार	business
afghanistan	अफ़ग़ानिस्तान	afghanistan
africa	अफ्रीका	africa
afrika	अफ्रीका	africa
afrikaner	अफ्रीकियों	africans
afrikansk	अफ़्रीकी	african
afrikanska	अफ़्रीकी	african
afrikas	अफ्रीका	africa's
afrodite	afrodite	afrodite
aftonbladet	सीएनएन	aftonbladet
age	आयु	age
agent	एजेंट	agent
agera	कार्य	act
agerande	व्यवहार	acting
aggressiv	आक्रामक	aggressive
agnes	एग्नेस	agnes
agnetha	agnetha	agnetha
agnosticism	अज्ञेयवाद	agnosticism
agnostiker	अज्ञेयवाद का	agnostic
ahmed	अहमद	ahmed
aids	एड्स	aids
aik	-alk	aik
airlines	एयरलाइंस	airlines
airport	हवाई अड्डा	airport
ajax	ajax	ajax
akademi	अकादमी	academy
akademien	अकादमी	the academy
akademiens	अकादमी	the academy's
akademisk	शैक्षिक	academical
akademiska	शैक्षिक	academical
akc	एकेसी	akc
akon	pharmacon	akon
akondroplasi	achondroplasia	achondroplasia
aktiebolag	लिमिटेड कंपनी	companies
aktier	शेयरों	stock
aktiv	सक्रिय	active
aktiva	सक्रिय	active
aktivitet	गतिविधि	activity
aktiviteten	गतिविधि	activity
aktiviteter	गतिविधियों	activities
aktivt	सक्रिय	actively
aktuell	वर्तमान	current
aktuella	वर्तमान	current
aktuellt	वर्तमान	current
aktörer	अभिनेताओं	players
akut	तीव्र	acute
al	अल	alder
alan	एलन	alan
alaska	अलास्का	alaska
albaner	अल्बेनीया	albanians
albanien	अल्बानिया	albania
albanska	अल्बानियन	albanian
albert	अल्बर्ट	albert
album	एल्बम	album
albumen	एल्बम	the albums
albumet	एल्बम	album
albumets	एल्बम	album's
alces	alces	alces
aldrig	कभी नहीँ	never
ale	यवसुरा	ale
alex	एलेक्स	alex
alexander	सिकंदर	alexander
alexanders	alexanders	alexanders
alexandra	एलेक्जेंड्रा	alexandra
alexandria	सिकंदरिया	alexandria
alf	alf	alf
alfa	अल्फा	alpha
alfabet	वर्णमाला	alphabets
alfabetet	वर्णमाला	alphabet
alfabetisk	वर्णमाला	alphabetical
alfred	अल्फ्रेड	alfred
alger	अल्जीयर्स	algaes
algeriet	एलजीरिया	algeria
ali	अली	ali
alice	ऐलिस	alice
alkohol	शराब	alcohol
alkoholer	एल्कोहल	alcohols
alla	सब	all
allan	एलन	allan
alldeles	सही	completely
allen	एलन	allen
allians	संधि	alliance
alliansen	संधि	the alliance
allierad	मित्र	allied
allierade	सम्बद्ध	allied
allierades	सम्बद्ध	allied's
allmän	सामान्य	general
allmänhet	जनता	in general
allmänheten	जनता	public
allmänna	सामान्य	general
allmänt	आम तौर पर	commonly
allra	बहुत	very
alls	बिल्कुल भी	all
allsvenskan	allsvenskan	allsvenskan
allt	सब	all
alltför	बहुत	all too
alltid	हमेशा	always
allting	सब कुछ	everything
alltjämt	फिर भी	remains
alltmer	तेजी से	increasingly
alltsedan	जबसे	even since
alltså	दूसरे शब्दों में	so
allvar	गंभीरता से	earnest
allvarlig	गंभीर	serious
allvarliga	गंभीर	serious
allvarligt	गंभीरता से	serious
alperna	आल्पस	alps
alqaida	अलकायदा	al-qaida
alternativ	विकल्प	alternative
alternativa	विकल्प	alternative
alternativt	वैकल्पिक रूप से	alternatively
