драма	drāma	0.0
потвърждава	apstiprina	0.0
станало	noticis	0.0
юпитер	jupiters	0.0
противоречия	pretrunas	0.0
отличава	izšķir	0.0
сред	vidus	1.8174626032172196e-16
неговия	viņa	2.4037099832412014e-16
работил	strādāja	5.639663982995612e-16
борбата	cīņa	1.1211992763352211e-15
австралия	austrālija	1.0953050736082337e-07
религиите	reliģijas	1.2418610319152956e-07
военната	karaspēks	3.306792979665557e-07
околността	apkārtne	3.6132471759166757e-07
вирусът	vīruss	3.870094942402733e-07
университет	universitāte	6.352589612218309e-07
разликата	atšķirība	9.779428303616438e-07
кралица	karaliene	1.0432138642190926e-06
диаметърът	diametrs	1.4492933935685352e-06
римски	romiešu	1.5594199539839811e-06
дете	bērns	1.6791987697508088e-06
липсва	trūkst	1.814391481696323e-06
езически	pagānu	1.814391481696323e-06
създаде	izveidots	1.982313664326053e-06
найизвестният	slavenākais	1.9890232895442704e-06
буквите	burti	2.0904033881489693e-06
училището	skola	2.0950564869107984e-06
мускули	muskuļi	2.68829649060403e-06
калифорния	kalifornijā	3.0665485565870833e-06
възраждането	atmoda	3.295008741278729e-06
математика	matemātika	3.602653220955793e-06
звуци	skaņas	3.828581772274689e-06
клетъчните	šūnu	3.935469669121157e-06
веднъж	vienreiz	4.519350344641793e-06
брегове	krastos	4.786061311427128e-06
допълнителни	papildu	5.76970088309463e-06
излизат	ārā	6.112611537199973e-06
диамант	dimants	7.372935047116898e-06
обслужва	kalpo	7.6017700473845336e-06
градско	pilsētas	8.798768288387097e-06
народа	cilvēki	9.076879205627275e-06
военния	karaspēks	9.378384648089014e-06
боеве	cīņas	9.554173590307302e-06
продукти	produkti	9.5542255512448e-06
музиката	mūzika	1.0365790735817089e-05
катедралата	katedrāle	1.0674926744394185e-05
доходи	ienākumi	1.100512986605206e-05
учени	zinātnieki	1.2660893865078015e-05
описват	aprakstīt	1.4156675366919278e-05
болести	slimības	1.4959681686465168e-05
мюсюлманите	musulmaņi	1.6022365363090365e-05
казахстан	kazahstāna	1.603273438441331e-05
човешко	cilvēku	1.8003091528847344e-05
проучвания	studijas	1.8223972029723843e-05
теоретично	teorētiski	1.8246100005763637e-05
основното	galvenais	1.834005567436268e-05
средни	vidēja	1.860332632069692e-05
гърците	grieķi	1.8827762804327798e-05
увеличават	palielināt	1.9289119635937002e-05
играчите	spēlētāji	1.9412308693437457e-05
дните	dienas	1.9938783459753373e-05
стомана	tērauda	2.0263813052700855e-05
убиват	nogalina	2.1203808190490168e-05
театър	teātris	2.1272342663279122e-05
смисъла	nozīme	2.1494902359378744e-05
университети	universitātes	2.1850402643482648e-05
последван	sekoja	2.2591160418348884e-05
фондация	pamats	2.3281818609133878e-05
творба	darbs	2.3346708513463546e-05
защитата	aizsardzība	2.4741093205463532e-05
човешка	cilvēku	2.558550371135396e-05
причиняват	cēlonis	2.7013294939882745e-05
засягат	ietekmēt	3.090355979896524e-05
виктор	viktors	3.1072970260525356e-05
музея	muzejs	3.362283323400343e-05
защитават	aizsargāt	3.432079286922968e-05
катедрала	katedrāle	3.446146694957e-05
форми	formas	3.575128796968489e-05
гибелта	liktenis	3.7781927038737756e-05
фридрих	frīdrihs	3.791662155102101e-05
заглавието	nosaukums	3.9266395452687747e-05
помалък	mazāks	3.994238370636574e-05
преобладаващо	pārsvarā	4.142780949482585e-05
северозападните	ziemeļrietumu	4.151136126475087e-05
побързо	ātrāk	4.2119507212054835e-05
напредък	progresu	4.274251078312651e-05
градовете	pilsētas	4.368240947765225e-05
вяра	ticība	4.579027966855516e-05
срещани	radušās	4.5810871317583016e-05
тенис	teniss	4.8383481826847044e-05
теми	tēmas	5.039971122341346e-05
изследователи	pētnieki	5.0574207073352335e-05
ефект	efekts	5.128149238659105e-05
законодателна	likumdošanas	5.2463959722453644e-05
симптоми	simptomi	5.247725082825766e-05
финансова	finanšu	5.4652539128729505e-05
великолепни	lielisks	5.48900776941493e-05
институции	institūcijas	5.623545299229042e-05
римляните	romieši	5.658126836223189e-05
ислямска	islāma	5.7413255345646334e-05
свине	cūkas	5.8625735327392104e-05
монако	monako	5.977847913016581e-05
земеделски	lauksaimniecības	5.9964881318561306e-05
съществува	pastāv	6.053343306686215e-05
първите	pirmais	6.179181079261071e-05
считана	uzskatīts	6.262370140322093e-05
молекулата	molekulu	6.322371094219341e-05
базата	bāze	6.599275341612474e-05
край	beigas	7.264743932952866e-05
диаманти	dimanti	7.334254107117939e-05
жена	sieviete	7.541164470236361e-05
индонезия	indonēzija	7.54650598389921e-05
светът	pasaule	7.608985508926659e-05
философи	filozofi	7.653201466466551e-05
посоката	virziens	7.707922033345206e-05
музика	mūzika	7.926889291518606e-05
начин	veids	8.252798884064202e-05
фестивали	festivāli	8.691131486173098e-05
растение	augs	8.750605671329027e-05
статуя	statuja	8.757090492408902e-05
треньор	treneris	8.788966866698292e-05
юдаизма	jūdaisms	8.801380381092856e-05
церемония	ceremonija	8.852332217723441e-05
слоя	slānis	9.085670213319894e-05
знаци	zīmes	9.162121816056077e-05
лутер	luters	9.313525482740673e-05
търговище	laukums	9.34598884722465e-05
осъществяване	ieviešana	9.346871520413701e-05
разпространена	izplatīts	9.380497740348874e-05
независим	neatkarīgs	9.385990886137513e-05
тялото	ķermenis	9.731437738883107e-05
виена	vīne	9.792037298533321e-05
стихотворения	dzejoļi	9.865341975790043e-05
названието	vārds	9.985875580079037e-05
галактиката	galaktika	0.0001010841515270589
православните	pareizticīgie	0.00010371209596901302
фирма	uzņēmums	0.00010419864223538999
завършена	pabeigts	0.00010536899052003055
пиеси	lugas	0.00010571034128874045
религията	reliģija	0.00010660679179661149
океански	okeāna	0.00010685869704845845
опитът	pieredze	0.00010844955385476647
рим	roma	0.00010853318012212751
стилът	stils	0.0001086734138013903
вещество	viela	0.00011497655022429117
концентрацията	koncentrēšanās	0.0001156155501872684
икономическо	ekonomiski	0.0001178599013536129
ера	laikmets	0.000122727776992023
египетски	ēģiptiešu	0.000123906459939805
месечна	mēnesī	0.0001252393212483118
предприятия	uzņēmumiem	0.00012841120271439262
изразени	izteikts	0.00013598245860875778
истини	patiesības	0.00013627322072929605
административни	administratīvā	0.00013769879575373998
пише	rakstīt	0.00013805441775176203
дъга	varavīksne	0.0001380819109708657
дружество	uzņēmums	0.0001390760732837546
философ	filozofs	0.0001398500952206937
белтъци	olbaltumvielas	0.00014365278917417506
кучета	suņi	0.00014514521245112644
мъжете	vīrieši	0.00014520921420445423
предварително	iepriekš	0.00014546807162541664
любовта	mīlestība	0.00014606807441656816
главните	galvenais	0.00015188646827430063
симптомите	simptomi	0.00015318740366647172
участниците	dalībnieki	0.00015517692242507402
помалко	mazāk	0.00015668003881664954
периоди	periodi	0.00015672024972218957
реките	upes	0.00016024431219776176
зима	ziema	0.00016077637762672474
мозъка	smadzenes	0.0001613375621403212
претенции	apgalvo	0.00016169917956054014
молекули	molekulas	0.00016189959398257324
провъзгласен	pasludināja	0.0001656323146836296
изкуството	māksla	0.00016789477940114446
крал	karalis	0.00016810231303903024
нютон	ņūtons	0.0001685359831854415
национални	nacionālais	0.00017318675979941992
малкият	mazais	0.0001760110708992637
части	daļas	0.00018475978151218407
каквото	būtu	0.0001859100792123521
галерията	galerija	0.00018602393942033946
популации	populācija	0.00018787647688087107
третата	trešais	0.0001930012465466294
започнала	sākās	0.00019432904152556017
здраве	veselība	0.0001971169596055615
шестте	seši	0.00019936810188568517
