<i>	<i>	Nan
промислове	industrieel	None
промисловий	industrieel	None
промислових	industrieel	None
промислового	industrieel	None
промисловості	industrie	None
промислової	industrieel	None
промислові	industrieel	None
промисловість	industrie	None
проникнення	penetratie	None
пропаганди	propaganda	None
проповіді	preken	Nan
пропозицію	aanbod	None
пропозиція	aanbod	None
пропозицією	voorstel	None
пропозиції	aanbiedingen	Nan
пролетаріату	van het proletariaat	Nan
пройшов	geslaagd	None
пройшли	geslaagd	None
пройшла	geslaagd	None
продукції	producten	None
проект	project	None
проекти	projecten	None
проектом	project	None
проекту	project	None
проектування	ontwerpen	None
проектів	projecten	None
пропонує	aanbiedingen	Nan
проживали	leefde	None
проживають	leven	None
проживає	leeft	None
проза	proza	Nan
прозаїк	proza schrijver	Nan
прози	proza	Nan
прозі	proza	Nan
пройти	slagen voor	Nan
проживання	residentie	None
продукція	product	None
просвіта	lumen	Nan
проспект	prospectus	Nan
протилежних	tegenover	None
протиріччя	tegenstrijdigheid	Nan
протистояння	oppositie	None
протоки	zeestraten	Nan
протоколу	protocol	None
протокою	zeestraat	Nan
протон	proton	Nan
протонів	protonen	Nan
протягом	voor	None
протяжність	lengte	None
протікає	stroomt	None
проф	prof	None
професора	professor	None
професійний	professioneel	None
професійних	professioneel	None
противника	de vijand	Nan
противагу	contragewicht	Nan
проти	tegen	None
протесту	protest	None
простежується	kan getraceerd worden	Nan
простий	gemakkelijk	None
простих	gemakkelijk	None
просто	gewoon	None
простори	spaties	Nan
простору	ruimte	None
просторі	ruimte	None
просвітництва	verlichting	None
простої	inactief	Nan
прості	gemakkelijk	None
простір	ruimte	None
просування	promotie	None
проте	maar	None
протекторат	protectoraat	Nan
протест	protest	None
протестантизму	protestantisme	None
простягається	breidt zich uit	Nan
професійної	professioneel	None
продукцію	producten	None
продукту	product	None
проводити	gedrag	None
проводить	uitvoeren	None
проводиться	wordt uitgevoerd	Nan
проводом	draad	None
проводу	draad	None
проводять	besteden	None
проводяться	worden gehouden	Nan
провів	uitgegeven	None
провідна	leidend	Nan
провідне	leidend	Nan
провідника	geleider	Nan
провідним	leidend	Nan
провідними	leidend	Nan
провідних	leidend	Nan
провідною	leidend	Nan
проводилися	werden uitgevoerd	Nan
проводили	uitgevoerd	None
проводилася	uitgevoerd	None
проводився	uitgevoerd	None
приєднання	toetreding	None
про	over	None
проблем	problemen	None
проблема	probleem	None
проблемами	problemen	None
проблеми	problemen	None
проблемою	probleem	None
провідну	leidend	Nan
проблему	probleem	None
проведення	uitvoeren	None
проведенні	dirigeren	Nan
проведено	uitgevoerd	None
проведені	uitgevoerd	None
провели	uitgegeven	None
провести	spenderen	Nan
проводив	uitgevoerd	None
проведена	uitgevoerd	None
продуктів	producten	None
провідні	leidend	Nan
провінція	provincie	None
продовженням	voortzetting	None
продовжив	vervolgde	None
продовжував	vervolgde	None
продовжувала	vervolgde	None
продовжували	vervolgde	None
продовжувати	doorgaan met	Nan
продовжують	doorgaan met	Nan
продовжує	gaat verder	Nan
продовжується	gaat verder	Nan
продукт	product	None
продукти	producten	None
продуктивних	productief	Nan
продуктивності	productiviteit	Nan
продуктивність	productiviteit	Nan
продуктом	product	None
продовження	voortzetting	None
продажу	verkoop	None
продаж	verkoop	None
прогресу	vooruitgang	None
провінції	provincies	None
проголосив	uitgeroepen	None
проголосила	uitgeroepen	None
проголосили	uitgeroepen	None
проголошення	proclamatie	Nan
проголошено	uitgeroepen	None
програм	programma&#39;s	Nan
провінцій	provincies	None
програма	programma	None
