<i>	<i>	Nan
промислове	индустриален	Nan
промисловий	индустриален	Nan
промислових	индустриален	Nan
промислового	индустриален	Nan
промисловості	промишленост	None
промислової	индустриален	Nan
промислові	индустриален	Nan
промисловість	промишленост	None
проникнення	проникване	None
пропаганди	пропаганда	None
проповіді	проповеди	Nan
пропозицію	оферта	Nan
пропозиція	оферта	Nan
пропозицією	предложение	None
пропозиції	оферти	Nan
пролетаріату	на пролетариата	Nan
пройшов	преминали	None
пройшли	преминали	None
пройшла	преминали	None
продукції	продукти	None
проект	проект	None
проекти	проекти	None
проектом	проект	None
проекту	проект	None
проектування	проектиране	Nan
проектів	проекти	None
пропонує	оферти	Nan
проживали	живял	None
проживають	на живо	Nan
проживає	живота	None
проза	проза	Nan
прозаїк	прозаик	Nan
прози	проза	Nan
прозі	проза	Nan
пройти	минавам	Nan
проживання	жилище	Nan
продукція	продукт	None
просвіта	лумен	Nan
проспект	проспект	Nan
протилежних	противоположен	Nan
протиріччя	противоречие	None
протистояння	опозиция	None
протоки	затруднения	None
протоколу	протокол	None
протокою	пролив	None
протон	протон	None
протонів	протони	None
протягом	за	None
протяжність	дължина	None
протікає	потоци	None
проф	проф	Nan
професора	професор	None
професійний	професионален	None
професійних	професионален	None
противника	врагът	Nan
противагу	противотежест	Nan
проти	срещу	None
протесту	протест	None
простежується	може да се проследи	Nan
простий	прост	Nan
простих	прост	Nan
просто	просто	None
простори	пространства	None
простору	пространство	None
просторі	пространство	None
просвітництва	просвещение	Nan
простої	празен	Nan
прості	прост	Nan
простір	пространство	None
просування	насърчаване	Nan
проте	но	None
протекторат	протекторат	Nan
протест	протест	None
протестантизму	протестантство	None
простягається	простира	None
професійної	професионален	None
продукцію	продукти	None
продукту	продукт	None
проводити	поведение, ръководене	Nan
проводить	за провеждане	Nan
проводиться	се извършва	Nan
проводом	тел	None
проводу	тел	None
проводять	харча	Nan
проводяться	се провеждат	Nan
провів	прекарах	Nan
провідна	водещ	None
провідне	водещ	None
провідника	проводник	None
провідним	водещ	None
провідними	водещ	None
провідних	водещ	None
провідною	водещ	None
проводилися	бяха проведени	Nan
проводили	проведено	None
проводилася	се проведе	Nan
проводився	се проведе	Nan
приєднання	достъп	None
про	относно	None
проблем	проблеми	None
проблема	проблем	None
проблемами	проблеми	None
проблеми	проблеми	None
проблемою	проблем	None
провідну	водещ	None
проблему	проблем	None
проведення	извършване	Nan
проведенні	провеждане	None
проведено	проведено	None
проведені	проведено	None
провели	прекарах	Nan
провести	харча	Nan
проводив	проведено	None
проведена	проведено	None
продуктів	продукти	None
провідні	водещ	None
провінція	провинция	None
продовженням	продължаване	Nan
продовжив	продължи	None
продовжував	продължи	None
продовжувала	продължи	None
продовжували	продължи	None
продовжувати	продължи	None
продовжують	продължи	None
продовжує	продължава	None
продовжується	продължава	None
продукт	продукт	None
продукти	продукти	None
продуктивних	продуктивен	Nan
продуктивності	продуктивност	Nan
продуктивність	продуктивност	Nan
продуктом	продукт	None
продовження	продължаване	Nan
продажу	търговски	None
продаж	продажна	Nan
прогресу	прогрес	None
провінції	провинции	None
проголосив	провъзгласена	Nan
проголосила	провъзгласена	Nan
проголосили	провъзгласена	Nan
проголошення	прокламация	Nan
проголошено	провъзгласена	Nan
програм	програми	None
провінцій	провинции	None
програма	програма	None
програмне	софтуер	None
програмного	софтуер	None
програмою	програма	None
програму	програма	None
програмування	програмиране	Nan
програмі	програма	None
прогрес	прогрес	None
програми	програми	None
професійні	професионален	None
прохання	поискване	Nan
проходження	пасаж	Nan
піднебіння	небце	Nan
піднесення	екзалтация	Nan
підпис	подпис	Nan
підписав	подписан	None
підписали	подписан	None
підписання	подпис	Nan
підпорядкування	подчиненост	Nan
підприємництва	предприемачеството	Nan
підприємств	предприятия	None
підприємства	предприятия	None
підприємствами	предприятия	None
підприємствах	предприятия	None
підприємство	начинание	Nan
підпілля	под земята	Nan
підрахунками	изчисления	None
підлягає	предмет на	Nan
підлягають	предмет на	Nan
підземні	под земята	Nan
підземних	под земята	Nan
північну	северен	None
північні	северен	None
північній	северен	None
півонія	божур	None
півострова	полуостров	None
півострові	полуостров	None
півострів	полуостров	None
підрозділ	мерна единица	Nan
півфінал	полуфинал	Nan
підвищення	нараства	None
підводних	под вода	Nan
підготовка	подготовка	None
підготовки	обучение	None
підготовку	обучение	None
підготовці	подготовка	None
піддається	изложен	Nan
під	при	None
північної	северен	None
підрозділи	единици	None
підручник	учебник	Nan
підтримці	поддържа	None
підходи	подходи	Nan
підходу	приближаване	Nan
підходів	подходи	Nan
підхід	приближаване	Nan
пізнання	знание	None
пізнати	да знам	Nan
пізно	късен	Nan
пізнього	от късното	Nan
пізній	късен	Nan
пізніше	по късно	Nan
пізніше 	по късно	Nan
пізніших	по късно	Nan
пізніші	по късно	Nan
пікассо	пикасо	None
підтримує	подпори	Nan
підтримують	поддържа	None
підтримувати	поддържа	None
підтримували	подкрепена	Nan
підручники	учебници	Nan
підсистема	подсистема	Nan
підстави	основание	None
підставою	основа	None
підставі	основание	None
підсумками	резултати	None
підтвердження	потвърждаване	Nan
підрозділів	единици	None
підтверджують	потвърждаване	Nan
підтримання	поддръжка	None
підтримка	поддържа	None
підтримки	поддържа	None
підтримкою	поддържа	None
підтримку	поддържа	None
підтримував	подкрепена	Nan
підтримувала	подкрепена	Nan
підтримали	подкрепена	Nan
північносхідній	североизток	None
північному	север	None
північнозахідній	северозападна	None
прямих	директен	None
прямо	директен	None
прямого	директен	None
прямої	направо	Nan
прямі	директен	None
прізвисько	прякор	Nan
прізвища	фамилните имена	Nan
прізвище	име	None
пріоритет	приоритет	Nan
психологічних	психологичен	Nan
психологія	психология	None
психології	психология	None
психіки	психика	Nan
птахи	птици	None
птахів	птици	None
прямим	директен	None
прямий	директен	None
пряма	направо	Nan
проявів	проявления	Nan
проходив	преминали	None
проходили	преминали	None
проходить	да мина	Nan
проходять	минавам	Nan
процедури	процедури	Nan
процес	процес	None
процесами	процеси	None
публікацій	публикации	None
процесах	процеси	None
процесом	процес	None
процесора	процесор	None
процесу	процес	None
процесі	процес	None
процесів	процеси	None
прояви	проявления	Nan
проявляється	се проявява	Nan
процеси	процеси	None
публікації	публикации	None
публіцист	публицист	Nan
публічних	обществен	None
південної	южен	None
південну	южен	None
південні	южен	None
південній	южен	None
південь	южно	None
півдня	половината от деня	Nan
півдні	южно	None
південносхідної	югоизточно	Nan
півдні 	южно	Nan
півночі	север	None
північ	север	None
північна	северен	None
північне	северен	None
північний	северен	None
північних	северен	None
північного	северен	None
півкулі	полукълбо	None
причорноморї	черноморие	None
південному	южен	None
південного	южен	None
пункт	вещ	Nan
пункти	елементи	None
пунктів	елементи	None
пустелі	пустинен	Nan
пушкін	пушкин	None
пушкіна	пушкин	None
пшениця	пшеница	None
південнозахідній	югозападен	Nan
пшениці	пшеница	None
пять	пет	None
пєс	куче	None
пєса	куче	None
пєси	пиеси	None
південна	южен	None
південний	южен	None
південних	южен	None
пяти	пет	None
пір	тогава	None
причорноморя	черноморие	None
причиною	причината	None
прагнення	желание	None
прагнув	търси	None
прагнула	копнееше	Nan
прагнули	търси	None
прагнуть	да се стреми	Nan
прагнучи	стремеж	Nan
празі	проза	Nan
практика	практика	None
практики	практики	None
практику	практика	None
практиці	практика	None
практичне	практичен	Nan
практичних	практичен	Nan
практично	практически	None
практичної	практичен	Nan
прагне	копнее	Nan
праві	прав	None
праву	прав	None
православя	православие	None
правобережжя	десен бряг	Nan
правобережжі	десен бряг	Nan
правова	правен	Nan
правових	правен	Nan
правової	правен	Nan
правом	прав	None
правому	надясно	None
прапор	флаг	None
правопис	правопис	None
праворуч	прав	None
православна	православен	None
православний	православен	None
