$	$	None
poluarea	verontreiniging	Nan
polul	pool	Nan
poluării	verontreiniging	Nan
pompei	pomp	Nan
pondere	gewicht	None
ponderea	gewicht	None
pop	knal	Nan
popa	paus	None
popescu	popescu	Nan
popoare	mensen	None
popoarele	mensen	None
popoarelor	volkeren	None
popor	mensen	None
poporul	mensen	None
poporului	mensen	None
poluare	verontreiniging	Nan
popular	populair	None
poloniei	polen	None
poloneză	pools	None
politice	politiek	None
politici	het beleid	Nan
politicieni	politici	None
politicii	het beleid	Nan
politicile	beleid	None
politică	het beleid	Nan
polizaharide	polysacchariden	Nan
poliția	de politie	Nan
poliție	politie	None
poliției	politie	None
polo	polo	None
polonez	pools	None
poloneze	pools	None
polonezi	pools	None
polonezii	polen	None
polonia	polen	None
populare	populair	None
popularitate	populariteit	None
popularitatea	populariteit	None
portretul	portret	None
portugalia	portugal	None
portugheză	portugees	None
portul	haven	None
portului	haven	None
porturi	poorten	None
porturile	poorten	None
porumb	maïs	None
porumbescu	porumbescu	Nan
porunci	in rekening brengen	Nan
porți	poorten	None
porțile	poorten	None
porțiune	deel	None
porțiunea	deel	None
porțiuni	porties	Nan
portrete	portretten	None
portret	portret	None
portalul	portaal	None
portal	portaal	None
populară	populair	None
populat	dichtbevolkt	Nan
populate	bevolkt	None
populată	bevolkt	None
populația	de bevolking	Nan
populație	bevolking	None
populației	bevolking	None
politica	het beleid	Nan
populații	bevolking	None
populațiilor	populaties	None
porecla	bijnaam	None
pornesc	begin	None
pornește	begint	None
pornind	van	None
pornit	aan	None
port	ik draag	Nan
populațiile	populaties	None
posedă	hebben	None
politic	politiek	None
poliana	poliana	Nan
plecat	weg	None
plece	vertrekken	None
plin	vol	None
pline	vol	None
plină	vol	None
ploaie	regen	None
ploiești	ploiesti	Nan
plumb	lood	Nan
plural	meervoud	None
plus	toevoeging	None
plăcere	genoegen	Nan
plăci	borden	Nan
plăcut	aangenaam	Nan
plătească	betalen	None
plăti	betaling	None
plecarea	weggaan	Nan
poalele	voet	None
plecare	vertrek	None
pleacă	bladeren	None
plasat	geplaatst	None
plasate	geplaatst	None
plasată	geplaatst	None
plasează	geplaatst	None
plasma	plasma	Nan
plasmă	plasma	Nan
plastic	plastic	None
plastice	plastic	None
plastici	plastic	None
plata	de betaling	Nan
platforma	platform	None
platformă	platform	None
platon	plato	Nan
platou	plateau	None
platoul	plank	Nan
pleca	vertrekken	None
poarta	poort	None
poarte	slijtage	Nan
poartă	poort	None
poezie	poëzie	None
poeziei	poëzie	None
poezii	poëzie	None
poeziile	poëzie	None
poeți	dichters	None
poeții	dichters	None
poeților	dichters	None
pofida	ondanks	None
poiana	weide	Nan
pokemon	pokemon	Nan
poker	poker	None
pokémon	pokémon	None
polar	polair	Nan
polare	polair	Nan
poli	poly	None
poezia	het gedicht	Nan
poetului	dichter	None
poetul	dichter	None
poetică	poëtica	Nan
poate	kan zijn	Nan
poată	kan	None
pod	brug	None
podiș	plateau	None
podișul	plateau	None
podul	de brug	Nan
podului	brug	None
politehnica	polytechnisch	Nan
poduri	bruggen	None
poem	gedicht	None
poeme	gedichten	None
poemele	gedichten	None
poemul	het gedicht	Nan
poet	dichter	None
poetic	poëtisch	Nan
poetice	poëzie	None
poe	poe	Nan
planurile	plannen	None
poseidon	poseidon	Nan
posibil	mogelijk	None
premiilor	prijzen	None
premiu	prijs	None
premiul	prijs	None
premiului	prijs	None
preocupat	gepreoccupeerd	Nan
preocupările	bedenkingen	Nan
preot	priester	None
preotul	de priester	Nan
preoți	priesterschap	Nan
preoții	priesters	None
preponderent	overwegend	None
prepuțului	voorhuid	Nan
presa	de pers	Nan
presei	druk op	Nan
presiune	druk	None
premiile	prijzen	None
presiunea	druk	None
premii	prijzen	None
premiera	première	None
prefectura	prefectuur	Nan
preferat	favoriete	None
preferată	favoriete	None
preferă	verkiezen	Nan
pregătea	klaar	None
pregătire	opleiding	None
pregătirea	voorbereiding	None
pregătit	bereid	None
preia	overnemen	None
preluarea	nemen	None
preluat	over-	Nan
preluate	genomen	None
preluată	genomen	None
prelucrare	verwerken	None
prelucrarea	verwerken	None
premieră	première	None
presiuni	drukken	None
presiunii	druk	None
prestigiu	prestige	Nan
prezentate	gepresenteerd	None
prezentată	jouw aanwezigheid	Nan
prezente	cadeau	Nan
prezentând	laten zien	Nan
prezentă	cadeau	Nan
prezența	cadeau	Nan
prezenței	aanwezigheid	None
prezenți	cadeau	Nan
prezență	cadeau	Nan
prezidențiale	presidentieel	Nan
prezinte	cadeau	Nan
prezintă	laten zien	Nan
președinte	voorzitter	None
președintele	de president	Nan
președintelui	president	None
prezentat	gepresenteerd	None
prezentarea	diavoorstelling	Nan
prezentare	presentatie	None
prezenta	cadeau	Nan
prestigiul	het prestige	Nan
presupune	uitgaan van	Nan
presupus	verondersteld	None
presă	de pers	Nan
pretinde	beweren	None
pretins	vermeend	Nan
pretutindeni	overal	None
prefect	prefect	Nan
prevede	biedt	None
prevederile	voorzieningen	None
preveni	afwenden	Nan
prevenirea	preventie	None
prevăzut	voorzien	None
prevăzute	voorzien	None
prevăzută	voorzien	None
prezent	cadeau	Nan
prevedea	voorzien	None
posesia	bezit	None
prefață	voorwoord	Nan
predominant	overheersend	Nan
potrivit	rechtsaf	Nan
potter	pottenbakker	Nan
poveste	verhaal	None
povestea	het verhaal	Nan
povestește	vertelt	None
povestiri	verhalen	None
povești	sprookjes	Nan
poveștile	verhalen	None
power	macht	None
poze	afbeeldingen	None
pozitiv	positief	None
pozitive	positief	None
pozitivă	positief	None
poziția	de positie	Nan
poziție	positie	None
potențialul	potentieel	None
poziției	positie	None
potențial	potentieel	None
potabilă	drinken	None
posibile	mogelijk	None
posibilitate	mogelijkheid	None
posibilitatea	mogelijkheid	None
posibilă	mogelijk	None
post	post	None
postbelică	naoorlogse	None
postmodernismul	postmodernisme	Nan
postmodernismului	postmodernisme	Nan
postmodernă	postmodern	Nan
postmortem	post-mortem	Nan
postul	de post	Nan
postum	postuum	None
posturi	berichten	None
posturile	berichten	None
pot	kan	None
potaissa	potaissa	Nan
poziții	posities	None
pozițiile	posities	None
poșta	post	None
precedent	vorige	None
precedente	vorige	None
precipitații	regenval	None
precipitațiile	regenval	None
precipitațiilor	regenval	None
precis	nauwkeurig	None
precisă	nauwkeurig	None
precizat	gegeven	None
precizează	staten	None
precizie	precisie	Nan
precum	leuk vinden	Nan
precădere	prioriteit	Nan
preda	onderwijzen	Nan
predare	vertolking	Nan
predat	onderwezen	None
precedat	voorafgegaan	Nan
preajma	in de omgeving van	Nan
prea	te	None
prahova	prahova	Nan
poștal	post-	Nan
poștale	post-	Nan
poți	je kan	Nan
pp	pp	Nan
practic	praktisch	None
practica	praktijk	None
practicarea	praktijk	None
predomină	prevaleert	Nan
practicat	geoefend	Nan
practici	praktijken	None
practicile	praktijken	None
practică	praktijk	None
prada	prooi	None
pradă	prooi	None
praga	praag	None
pragul	drempel	None
practice	praktisch	None
planuri	plannen	None
planului	plan	None
planul	het plan	Nan
particulelor	deeltjes	None
partid	partij	None
partide	partijen	None
partidele	partijen	None
partidelor	partijen	None
partidul	partij	None
partidului	partij	None
parțial	gedeeltelijk	None
parțială	gedeeltelijk	None
pas	stap	None
pasaj	passage	None
pasaje	passages	None
pasajul	de doorgang	Nan
pascal	paschal	Nan
pasionat	hartstochtelijk	Nan
particulele	deeltjes	None
pasiune	passie	None
particule	deeltjes	None
particulare	bijzonder	None
parlamentară	parlementair	Nan
parlamentul	parlement	None
parlamentului	parlement	None
parohia	parochie	None
parte	een deel	Nan
partea	de	None
partener	partner	None
participa	deelnemen	None
participanți	deelnemers	None
participare	deelname	None
participarea	deelname	None
participat	deelgenomen	Nan
participe	deelnemen	None
participă	deelnemen	None
particular	privaat	Nan
particularități	kenmerken	None
pasiunea	passie	None
pasiv	passief	None
pasul	omhoog	None
pașa	pasja	Nan
pași	stappen	None
paștele	pasen	None
paștelui	pasen	None
paști	pasen	None
pc	pc	None
pcr	pcr	Nan
pdl	pdl	Nan
pe	aan	None
pearl	parel	Nan
pedagogică	onderwijs	None
pedeapsa	straf	None
pedeapsă	straf	None
peisaj	landschap	None
peisajul	het landschap	Nan
pavilionul	vlag	None
pavel	paul	None
paulo	paulo	None
pauker	pauker	Nan
pasăre	vogel	None
patra	vierde	None
patria	land	None
patriarh	patriarch	Nan
patriarhul	patriarch	Nan
patriciu	patriciu	Nan
patrie	land	None
parlamentare	parlementair	Nan
patriei	land	None
patrimoniul	erfgoed	None
patrimoniului	erfgoed	None
patrocle	patroclus	Nan
patru	vier	None
patrulea	vierde	None
patruzeci	veertig	None
patul	het bed	Nan
patrimoniu	erfgoed	None
peleș	peles	Nan
parlamentar	parlementair	Nan
park	park	None
oxigenului	zuurstof	None
oțel	staal	None
oțelului	staal	None
oțet	azijn	Nan
p	p	Nan
pace	vrede	None
pacea	vrede	None
pacient	geduldig	Nan
pacientul	geduldig	Nan
pacientului	geduldig	Nan
pacific	grote oceaan	Nan
pacificului	grote oceaan	Nan
pactul	pact	Nan
pactului	pact	Nan
pagina	bladzijde	Nan
oxigenul	zuurstof	None
