$	ps	$
+	+	+
++	++	++
<	&lt;	<
<>	&lt;&gt;	<>
<i>	<i>	i
=	=	=
==	==	==
>	&gt;	>
a	una	a
a`zo	a`zo	a'zo
a`zolar	miembros	a'zolar
a`zolari	miembros	a;zolari
a`zolarni	miembros	a'zolarni
a`zomamlakatlar	países miembros	a'zomamlakatlar
a`zosi	miembro	a'zosi
aabdugʻafurov	aabdugʻafurov	aabdug'afurov
aaron	aaron	aaron
ab	ab	ab
abbos	abbos	abbos
abc	a b c	abc
abdulaziz	abdulaziz	abdulaziz
abdulla	abdulla	abdulla
abdullah	abdullah	abdullah
abdulloh	abdulloh	abdulloh
abdullohning	abdullah	abdullohning
abdulmuttalib	abdulmuttalib	abdulmuttalib
abdulmuttalibning	abdulmuttalibning	abdulmuttalibning
abdumanaf	abdumanaf	abdumanaf
abdurashidxon	abdurashidxon	abdurashidxon
abdurauf	abdurauf	prove,
about	acerca de	about
abraham	abrahán	become
abstrakt	resumen	abstract
absurdizm	absurdo	abscess
abu	abu	go
abulgʻozi	abulgʻozi	abulg'ozi
abulqosim	abulqosim	abulqosim
abusaid	abusaid	abusaid
abusaidning	abusaidning	abusaidning
abutolib	abutolib	abutolib
academia	academia	academy
adabiy	literario	literary
adabiyot	literatura	literauture
adabiyoti	literatura	literature
adabiyotida	en la literatura	court of law
adabiyotidan	de la literatura	adabiyotidan
adabiyotining	literatura	adabiyotining
adabiyotlar	libros	adabiyotlar
adabiyotshunos	crítico literario	adabiyotshunos
adabiyotshunosi	crítico literario	adabiyotshunosi
adabiytanqidiy	crítica literaria	literary critique
adam	hombre	adam
adib	adib	writer
adibi	escritor	adibi
adolat	justicia	foothills
adolatli	justa	adolatli
adolatni	justicia	adolatni
adolf	adolf	adolf
aero	aero	aero
aeroporti	aeropuertos	always
afg`on	afgano	afgon
afg`oniston	afganistán	afganistan
afg`onistonda	en afganistán	afghanistan
afg`onistonga	a afganistán	afg'onistonga
afgoniston	afganistán	afgoniston
afgʻoniston	afganistán	afganistan
aflotun	aflotun	genius
afol	afol	afol
africa	áfrica	africa
african	africano	african
afrika	africano	africa
afrikada	en áfrica	africa
afrikadagi	en áfrica	afrikadagi
afrikalik	africano	afrikalik
afrikaning	de áfrica	afrikaning
afrikasi	afrikasi	afrikasi
afrosiyob	afrosiyob	afrosiyob
afsonaviy	legendario	afsonavity
after	después	after
agar	si	the
agent	agente	agent
agentligi	agencia	agentligi
agentligida	en la agencia	agentligida
agentlik	agencia	agent
agnostitsizm	agnosticismo	agonistism
agrar	agrar	agrarian
agrokimyo	agroquímica	agrokimyo
ahamiyat	importancia	importance
ahamiyatga	importancia	ahamiyatga
ahamiyati	importancia	importance
ahamiyatini	importancia	ahamiyatini
ahayitmetov	ahayitmetov	ahayitmetov
ahd	ahd	axiom.
ahliga	ahliga	ahliga
ahmad	ahmad	opium
ahmedov	ahmedov	legend
ahmet	ahmet	ahmet
aholi	población	aholi
aholiga	a la población	sparkle.
aholining	de la población	aholining
aholishunoslik	población	aholishunoslik
aholisi	población de	people
aholisida	en la población	aholisida
aholisini	población	aholisini
aholisining	de la población	aholisining
ahror	ahror	ahror
ahvol	condición	situation
ahvoli	condición	opium
ahvolini	condición	ahvolini
ahvolni	condición	ahvolni
air	aire	air
airlines	aerolíneas	airlines
airport	aeropuerto	airport
airports	aeropuertos	airports
ajam	ajam	opium
ajdoddan	de antepasado	ajdoddan
ajdodlari	antepasados	part
ajdodlarimiz	nuestros ancestros	ajdodlarimiz
ajdodlarini	antepasados	ajdodlarini
ajoyib	excelente	astonishing
ajralgan	apartado	ajralgan
ajralib	apartado	ajralib
ajratib	desconectar	ajratib
ajratiladi	apartado	ajratiladi
ajratilgan	apartado	ajratilgan
ajratish	asignación	ajratish
ajziy	ajziy	ajziy
akademik	académico	academic
akademiyasi	academia	unrestful.
akasi	akasi	akasi
akauka	acauka	akauka
akdeniz	akdeniz	akdeni
aks	aks	aks
aksar	más	aksar
aksari	aksari	usually
aksariyat	más	majority
aksariyati	más	aksariyati
aksariyatini	la mayoría de ellos	split box
aksincha	viceversa	to the contrary
aksini	aksini	to the contrary
aksiyalar	comparte	assist
aktiv	activo	aktiv
aktrisa	actriz	aktrisa
aktyor	actor	aktyor
akustik	acústico	akustik
al	alabama	al
alabama	alabama	alabama
alan	zona	alan
alar	del ala	alar
alaska	alaska	alaska
alayhi	alayhi	alayhi
alayhissalom	alayhissalom	alayhissalom
alayhissalomga	alayhissalomga	upon him peace
alayhissalomning	alayhissalomning	alayhissalomning
albania	albania	albania
albaniya	albania	albaniya
albert	albert	albert
albom	álbum	album
albomda	en el album	albomda
albomdan	del album	albomdan
albomga	al album	albamana
albomi	álbumes	albomi
albomida	en el album	albomida
albomidagi	en el album	albomen
albomidan	del album	abdmon
albomiga	al album	albaniya
albomini	álbumes	albumin
albomining	del album	allbomining
albomlar	álbumes	albomlar
albomlari	álbumes	albomlari
albomni	álbumes	album
albomning	del album	albomniong
album	álbum	album
aldı	recibido	aldi
aleksandr	alexandr	aleksandr
alex	alex	alex
alfred	alfredo	alfred
algebra	álgebra	algebra
alghazi	alghazi	alghazi
algoritm	algoritmo	algorithm
alhadis	alhadis	alhadis
ali	ali	ali
alifbo	alfabeto	alifbo
alifbolar	alfabetos	alifbolar
alifbosi	alfabeto	alifbosi
alisher	alisher	alisher
alisherga	alisherga	alisherga
alisherning	alisherning	alisherning
alixon	alixon	alixon
aljabr	álgebra	aljab
aljomi	aljomi	aljomi
all	todas	all
allel	alelo	allel
allellar	alelos	allellar
alliteratsiya	aliteración	allietation
alloh	alloh	alloh
alloma	alloma	allergy
almashinib	intercambiado	already
almashuvchi	intercambiable	almashuvchi
almost	casi	almost
alohida	por separado	alohida
alone	solo	alone
along	a lo largo	along
aloqa	comunicación	aloqa
aloqada	en contacto	aloqada
aloqador	relacionado	aloqador
aloqalar	relaciones	aloqalar
aloqalari	relaciones	aloqalari
aloqalarini	contactos	aloqalarini
aloqalarni	contactos	aloqalarni
aloqaning	de comunicación	connectioning,relationing
aloxida	aloxida	aloxida
alp	montaña	alp
alqoida	alqoida	alqoida
alternativ	alternativa	alternative
although	a pesar de que	although
alva	alva	alva
alxorazmiy	alcaraziami	alxorazmiy
alyaska	alaska	alyaska
am	a.m	with
amadeus	amadeo	amadeus
amakisi	amakisi	aluminium
amal	amal	position,post
amalda	en la práctica	amalda
amaldorlari	oficiales	amaldorlari
amalga	en lugar	executing
amaliy	práctico	amaliy
amaranth	amaranto	amarnath
america	america	america
american	americano	american
amerika	america	america
amerikada	en américa	amerikada
amerikaga	a américa	amerikaga
amerikalik	americano	american
amerikaning	de américa	american
amerikasi	america	american
amfiteatrdek	anfiteatro	amfiteatrdek
amin	amén	sure
amir	amir	amir
amiri	amiri	america
amirligi	emirato	the khanate
amirliglar	emiratos	amirliglar
amirlik	emirato	amirlik
amirliklari	emiratos	amirliklari
ammo	munición	while
amr	amr	amr
amudaryo	amudaryo	amudaryo
amudaryoning	del amudarya	ampersand
amur	amur	amur
an	un	an
ana	madre	over there
anadolu	anadolu	anadolu
analitik	analítico	analytic(al)
ananaviy	tradicional	ananaviy
anbar	almacén	anbar
anbiyo	profeta	anbiyo
ancak	pero	nitrify.
ancha	mucho	ancha
anchagina	bastante	quite a lot
ancient	antiguo	ancient
and	y	and
anda	anda	anda
andalib	andalib	nightingale
andijon	andijon	andijon
andorra	andorra	andorra
andy	andy	andy
anga	anga	anga
angel	ángel	angel
angels	ángeles	angels
angilla	angila	angilla
anglash	comprensión	anaphora
anglatadi	medio	anglatadi
anglatdi	significaba	anglatdi
anglatib	sentido	anglatib
anglatishi	sentido	anglatishi
angliya	inglaterra	angliya
angliyada	en inglaterra	in england
angola	angola	angola
angor	angor	angor
aniklangan	identificado	aniklangan
animatsiya	animación	animatsiya
aniq	claro	precise
aniqlanadi	determinado	aniqlanadi
aniqlangan	detectado	anatolia
aniqlash	determinación	to become clear
aniqlashga	para determinar	aniqlashga
aniqlaydi	determina	aniqlaydi
aniqlik	exactitud	exactness
anjeles	ángeles	anjeles
ankara	ankara	ankara
annan	annan	annan
annaеv	annaev	annaev
anne	ana	anne
another	otro	another
anqara	anqara	defined name
ansambli	conjunto	ansambli
antarktida	en la antártida	antarctica
anthem	himno	anthem
antigua	antigua	antigua
antik	antiguo	antique
antillalar	antillas	replica
antlaşması	juramento	antlasmasi
anvar	anvar	anvar
anʼanalar	tradiciones	an'analar
anʼanalarga	tradiciones	an'analarga
anʼanalari	tradiciones	an'analari
anʼanalarini	tradiciones	an'analarini
anʼanaviy	tradicional	an'anavity
apple	manzana	apple
apr	abr	apr
aprel	abril	april
aprelda	en abril	april
aprelida	en abril	aprelida
aqayumov	aqayumov	apayumov
aql	mente	aql
aqodiriy	aqodiriy	aqodiriy
aqsh	estados unidos	aqsh
aqshda	en los estados unidos	aqshda
aqshdagi	en los estados unidos	aqshdagi
aqshdan	de los estados unidos	aqshdan
aqshning	de los estados unidos	aqshning
arab	árabe	arab
arabcha	arábica	arabcha
arabistoni	arabistoni	arabistoni
arablar	los árabes	arablar
arafasida	en la víspera	arafasida
aralash	mezclado	aralash
aralashgan	mezclado	aralashgan
arastu	arastu	king
arastuning	arastuning	arastuning
arasında	entre	arasinda
araviya	coche	arabia
arbobi	arbobi	arbobi
archa	archa	archa
ardasher	ardasher	ardasher
are	son	are
area	zona	area
areas	áreas	areas
aretaik	aretaico	aretaik
argentina	argentina	argentina
argumentlar	argumentos	argumentlar
arifmetika	aritmética	arifmetika
arirang	arirang	arirang
aris	aris	can
arizona	arizona	arizona
arkanzas	arkansas	arkanzas
arki	arcos	arki
armaniston	armaniston	armaniston
armanlar	armenios	armanlar
armiya	ejército	army
armiyalari	ejércitos	armiyalai
armiyasi	ejército	armiyasi
armiyasiga	al ejercito	arkansas
armiyasining	del ejercito	armiyasining
aro	aro	aro
around	alrededor	around
array	formación	array
arslon	león	arslon
art	arte	art
artemida	artemida	artemida
article	artículo	article
artist	artista	artist
artistic	artístico	artistic
aruba	aruba	aruba
arustamov	arustamov	arustanov
aruz	aruz	classical arabic-persian prosody
arxangelsk	arxangelsk	arxangelsk
arxar	argar	communication.
arxeo	arqueología	arxeo
arxeologik	arqueológico	archaeological
arxeologiya	arqueología	arxeologiya
arximed	arquímedes	arximed
arxitektura	arquitectura	arxitektura
arxеologiya	arqueología	arxeology
arzon	barato	for nothing
as	como	as
asaka	asaka	asaka
asar	asar	aser
asarda	en el juego	asarda
asarga	asarga	asarga
asari	poema	asari
asarida	en el trabajo	asarida
asarini	asarini	asarini
asarining	del trabajo	asarining
asarlar	trabajos	asarlar
asarlarda	en los trabajos	asarlarda
asarlardan	de las obras	to be impressed or influenced
asarlarga	trabajos	to be impressed or influenced
asarlari	trabajos	asarlari
asarlarida	en sus obras	to be impressed or influenced
asarlaridan	de sus obras	honeybee
asarlarini	trabajos	asarlarini
asarlarining	trabajos	asarlarining
asarlarni	trabajos	asarlarni
asarlarning	de obras	to be impressed
asarni	asarni	asarni
asarning	del trabajo	asarning
asbob	herramienta	and
asboblar	herramientas	tool
asboblari	herramientas	asboblari
asboblarni	herramientas	archive
ashulalari	canciones	ashulalari
ashyoning	del artículo	things
ashyoviy	material	ashyoviy
asia	asia	asia
asian	asiático	asian
ask	pedir	ask
askar	soldado	soldier
askarlar	soldados	soldier
askarlari	soldados	asynchronous
askcom	askcom	ask.com
asl	asl	asl
asli	asli	asli
asos	base	body text
asosan	básicamente	asosan
asoschilari	fundadores	founder, intiator
asoschilaridan	de los fundadores	asoschilaridan
asoschisi	fundador	asoschisi
asosda	básicamente	base
asosga	sobre la base de	asosga
asosi	base	asosi
asosida	residencia en	asosida
asosidagi	residencia en	on the basis of
asosini	base	asosini
asosiy	básico	asosiy
asoslanadi	residencia en	asoslanadi
asoslangan	residencia en	asoslangan
asoslanib	residencia en	least
asoslari	lo esencial	asoslari
asoslarini	los basicos	asoslarini
asr	asr	asr
asrda	siglo	asrda
asrdan	siglo	asrdan
asrga	siglo	asrga
asrgacha	siglo	asrgacha
asri	asri	enmity,
asrida	siglo	centuries-long
asriga	siglo	asriga
asrlar	siglos	asrlar
asrlarda	siglos	asrlarda
asrlardagi	siglos	asrlardagi
asrlardan	siglos	asrlardan
asrlarga	siglos	chop
asrning	siglo	judge
asrа	asra	asra
assambleya	montaje	assembly
assambleyaning	montaje	assambleyaning
assambleyasi	montaje	assembly
assotsiativligi	asociatividad	atom.
assunan	assunan	this
astasekin	astasekin	astasekin
astronom	astrónomo	astronom
astronomik	astronómico	astronomical
astronomiya	astronomía	astronomy
at	a	at
atagan	atagan	atagan
ataladi	llamado	ataladi
atalgan	llamado	against
atalib	atalib	atheism
ataluvchi	llamado	called
atama	atama	term
atamalari	condiciones	on-line
atamani	atamani	great
atamaning	del término	atamaning
atamasi	término	atamasi
atamasini	término	atamasini
atash	atash	atash
atashadi	atashadi	beboshvoq.
atashgan	llamado	atashgan
ataydi	él llama	ataydi
ataydilar	ellos llaman	atay coll
ataylab	deliberadamente	ataylab
ateist	ateo	atheism
ateistlar	ateos	ateistlar
ateizm	ateísmo	atiezm
atigi	atigi	atigi
atkinson	atkinson	atkinson
atlantika	atlántico	puff
atletika	atletismo	augsburg
atmosfera	atmósfera	atmosphere
atmosferasi	atmósfera	atmosphere
atom	átomo	atom
atomi	átomos	atom
atomlar	átomos	atom
atomlari	átomos	atom
atomning	del átomo	atomning
atoqli	famoso	renowned
atoyi	atoyi	atoyi
atrof	atrofia	atrof
atrofi	atrofia	atrofi
atrofida	alrededor	atrofida
atrofidagi	alrededor	atrofidagi
atrofmuhit	ambiente	atrofmuhit
att	att	at&t
attorning	abogado	attorning
audio	audio	audia
australia	australia	australia
av	av	av
avazbiy	avazbiy	avazbiy
aveiro	aveiro	aveiro
avestoda	avestoda	avestoda
avgust	agosto	treatment.
avgustda	en agosto	august
avgustida	en agosto	august
aviabombardimonlar	bombarderos de aviones	australia
avj	avj	avj
avjiga	avjiga	avjiga
avliyo	santo	avliyo
avlod	generacion	avlod
avlodi	generacion	avlodi
avlodlarga	generaciones	avlodlarga
avlodlari	generaciones	avlodlari
avloniy	avloniy	avloniy
avrupa	europa	avrupa
avstraliya	australia	basket
avstria	avstria	avstria
avstriya	austria	bo'shat-,
avtomatik	automático	avtomatik
avtomobil	coche	tested
avtomobillar	coches	automobile
avtomobilni	el coche	avtomobilini
avtomobilsozlik	automotor	avtomobilsozlik
avtonomiya	autonomía	avtonomiya
avv	avv	sided;
avval	primero	avval
avvalboshda	ante todo	avvalboshda
avvaldan	por adelantado	avvaldan
avvalgi	anterior	avvalgi
avvaliga	primero	avvaliga
avvalo	ante todo	suvga
away	lejos	away
axborot	información	autoshape
axloq	moralidad	axloq
axloqiy	moral	axloqiy
ayblanib	cargado	ayblanib
ayblashadi	culpa	auto-recover
aydaho	aydaho	aydaho
aylana	circulo	circle
aylanadi	se convierte	substract
aylanasining	del círculo	aylanasining
aylandi	convertido	aylandi
aylangan	volverse	aylangan
aylanib	dar la vuelta	crazy
aylanish	rotación	aylanish
aylanishi	ciclo	circle
aylanishiga	ciclo	aylanishiga
aylanma	rotación	aylanma
aylantirdi	convertido	turned into something
aylantiriladi	convertido	aylantiriladi
aylantirildi	convertido	aylantirildi
aylantirish	convertir	caus. of
aynan	exactamente	aynan
ayni	lo mismo	exact
ayniqsa	especialmente	ayniqsa
ayol	mujer	ayol
ayollar	mujer	ayollar
ayon	ayon	ayon
ayova	ayova	ayova
ayrim	algunos	ayrim
ayritom	ayritom	ayritom
aytadi	él dice	aytadi
aytdi	él dijo	aytdi
aytdim	dije	aytdim
aytgan	él dijo	aytgan
aytganda	en otras palabras	aytganda
aytib	narración	aytib
aytiladi	se dice	pronunciation
aytilgan	dijo	aytilgan
aytish	decir	aytish
aytishdi	ellos dijeron	aytishdi
aytishicha	él dice	aytishicha
aytishni	decir	aytishni
azerbaijon	azerbaiyán	azerbaijon
azim	azim	azim
azo	azo	azo
azolari	azoles	azolari
azoligi	azoligi	azoligi
azosi	azosi	azosi
azot	nitrógeno	azot
aʻzolari	miembros	sexual
aʼzolari	miembros	a'zolari
aʼzosi	miembro	a'zosi
b	si	b
ba`zi	algunos	ba'zi
baa	balido	baa
baby	bebé	baby
back	espalda	back
bad	malo	bad
badiiy	malo	badilly
badiuzzamon	badiuzzamon	prosecutor.
badminton	bádminton	badminton
bag`ishlangan	dedicado a	liver
bagʻishlab	dedicando	bag'ishla-:
bagʻishlangan	dedicado a	to commemorate
bagʻishlaydi	dedica	to commemorate
bahadur	bahadur	qurdosh:
baho	evaluación	origin
bahodir	es valiente	bahodir
bahodirxon	bahodirxon	bahodirxon
bahoiy	bahaiy	price
bahoiylik	precio	bahoiylik
baholanishi	ser evaluado	baholanistan
bahor	primavera	spring
bahorda	en la primavera	bahorda
bahoulloh	bahoulloh	bahoulloh
bahrayn	bahrayn	bahrayn
bahs	debate	bahs
bahslar	debates	bahslar
bajara	bajara	bajara
bajaradi	hace	baja
bajarilish	cumplimiento	bajarilish
bajarish	hacer	bajarish
bajarishga	que hacer	bajarishga
bajarishi	actuación	to execute
bakr	bakr	bakr
baland	alto	baland
balandligi	altura	balandligi
balet	ballet	balet
baliq	pez	baliq
baliqchi	pescador	fish
baliqchilik	pescar	fishery
balkan	balcón	balkan
balki	tal vez	balki
baltika	baltica	baltika
balx	balx	balx
balxga	balxga	a type of sorghum
balxiy	balxiy	kerning
bamisoli	bamisoli	bamisoli
band	ocupado	band
bangladesh	bangladesh	bangladesh
banki	bancos	banki
banklar	bancos	banklar
banks	bancos	banks
baqtriya	bactria	baqtriya
baqtriyada	en bactria	baqtriyada
baqtriyaning	de bactria	baqtriyaning
baraban	tambor	baraban
barabanchi	batería	drummer
barabanlar	tambores	all
barak	barak	plenty,sufficiency
baraka	baraka	lively.
baravar	igual	baravar
barbados	barbados	barbados
barbuda	barbuda	barbuda
barcha	todas	barcha
barchamizga	a todos nosotros	barchamizga
barham	barham	barham
baribir	de todas formas	baribir
barpo	barpo	barpo
barqaror	estable	barqaror
bartaraf	eliminar	bartaraf
basgitara	basgitara	guitar
basgitarachi	basgitarachi	stop guitarist
bashorat	predicción	bashorat
basic	básico	basic
basketbol	baloncesto	basketball
bass	bajo	bass
bastakor	bastakor	bastakor
bastakorlari	compositores	bastakorlari
batafsil	más	batafsil
batamom	batamom	batamon
batlimusning	batlimusning	batlimusning
bavariya	baviera	bavariya
baxreyn	bahrein	baxreyn
baxslar	debates	basra
baxt	felicidad	luck
bay	bahía	bay
bayezit	bayezit	basketball
bayon	declaración	bayon
bayonotiga	declaración	reed
