participant	participant	0.0
quartet	quatuor	0.0
wayne	wayne	0.0
balzac	balzac	0.0
technologies	technologies	0.0
six	six	2.8466432880299443e-16
jennifer	jennifer	4.774028986389784e-16
margaret	margaret	8.175790991233071e-16
daniel	daniel	4.457680191667231e-15
aged	âgée	1.6904328005030134e-07
heracles	héraclès	1.9981951844584783e-07
earthquake	tremblement	3.5838538152038903e-07
belt	ceinture	3.9039913873300076e-07
community	communauté	4.1373824766453323e-07
depression	dépression	5.071178567131775e-07
ranking	classement	5.358130938588565e-07
question	question	5.392246959001124e-07
guitarist	guitariste	6.295105596261587e-07
neolithic	néolithique	6.763478379225482e-07
truth	vérité	7.304170490811113e-07
train	train	9.577766110289896e-07
duck	canard	9.99077394133685e-07
bourdieu	bourdieu	1.1939369342059665e-06
hallyday	hallyday	1.2871033534953018e-06
qualities	qualités	1.6514779926603577e-06
usa	usa	1.9048368220943782e-06
its	sest	1.9069997104676987e-06
contradiction	contradiction	2.0646049780568047e-06
temples	temples	2.065917084737348e-06
pythagoras	pythagore	2.5182296369408717e-06
favoring	favorisant	2.7708527337483765e-06
aures	aurès	2.886322013193727e-06
serge	serge	2.9555857778344055e-06
zinc	zinc	3.1956578072538622e-06
renovation	rénovation	3.3569263596014184e-06
warming	réchauffement	3.458974880948863e-06
gdp	pib	3.5437020063871838e-06
ceramic	céramique	3.587282016413944e-06
sphere	sphère	3.662086238988335e-06
mercy	séparer	3.793899644267947e-06
associate	associé	3.945727536772863e-06
derivative	dérivée	4.130655376575148e-06
celebration	célébration	4.474336954084786e-06
the acquisition	lacquisition	4.514568519974918e-06
linstauration	linstauration	4.532465325433995e-06
property	propriété	4.8702882988526804e-06
bolivia	bolivie	4.874722734565016e-06
pilgrims	pèlerins	5.032879763003638e-06
taurine	taurine	5.301589168594094e-06
isle	île	5.424237111191435e-06
angles	angles	5.63435288940131e-06
mafia	mafia	5.782962941225141e-06
ps	ps	6.108931349453909e-06
audio	audio	6.534520531589896e-06
eiffel	eiffel	6.655419739419296e-06
cnrs	cnrs	6.988710080721362e-06
develop	développer	7.093198768101836e-06
fourteen	quatorze	7.390636061390368e-06
uprising	soulèvement	7.748709899015309e-06
dhenri	dhenri	7.926755064198686e-06
buddhism	bouddhisme	8.34980246997433e-06
mentioned	mentionné	8.634834639389688e-06
quantum	quantique	8.691346203889463e-06
amsterdam	amsterdam	9.038045059184037e-06
far	loin	9.324964653399794e-06
molecules	molécules	9.873475596068846e-06
background	fond	9.8932486690418e-06
exams	examens	9.946335551244782e-06
created	créés	1.0180667144252093e-05
fossils	fossiles	1.051481018894674e-05
universe	universe	1.0644290969722454e-05
matrix	matrix	1.1024393078483931e-05
cycle	cycle	1.1139451193898723e-05
explain	interpréter	1.2126770950642756e-05
tokyo	tōkyō	1.2328342631170885e-05
salvador	salvador	1.2328342631170885e-05
administrations	administrations	1.2334731947572938e-05
westminster	westminster	1.2335439719093688e-05
consultation	consultation	1.2549307846727273e-05
expressions	expressions	1.2693803788397127e-05
neutrality	neutralité	1.2838576017798255e-05
visa	visa	1.319799220956847e-05
wealth	richesse	1.3284744524772409e-05
tunis	tunis	1.3680807739786452e-05
burkina	burkina	1.4271390731705305e-05
tension	tension	1.4502322573025805e-05
diaspora	diaspora	1.4502322573025805e-05
via	via	1.4782360894734914e-05
complementary	complémentaires	1.499955079387392e-05
johann	johann	1.5148233832768643e-05
biographers	biographes	1.5776929324586086e-05
akon	akon	1.600660234888329e-05
memories	souvenirs	1.6225783906135244e-05
successively	successivement	1.6301845140863497e-05
lionel	lionel	1.6592072950267507e-05
surveys	sondages	1.6903119173827952e-05
communists	communistes	1.70650604625066e-05
terminator	terminator	1.7209281084321502e-05
prince	prince	1.7209281084321502e-05
capitalism	capitalisme	1.778394507000272e-05
director	réalisateur	1.790025042780114e-05
citizenship	citoyenneté	1.7970411932377192e-05
yes	oui	1.866002158445685e-05
plastic	plastiques	1.875432731744787e-05
wales	galles	1.88225498064287e-05
abc	abc	2.001985694744711e-05
monastery	monastère	2.0571988608428007e-05
kong	kong	2.0651506462997076e-05
declared	déclarée	2.1829817315605888e-05
smith	smith	2.1977135667810712e-05
discontent	mécontentement	2.2777813173609556e-05
edited	édité	2.3817809929733255e-05
jura	jura	2.4672384103440623e-05
legislations	législations	2.539775253008687e-05
lyonnaise	lyonnaise	2.553524271902381e-05
laccent	laccent	2.5924845398048476e-05
dance	danse	2.71179861397931e-05
nicolas	nicolas	2.7818748935507175e-05
windows	windows	2.796698971818167e-05
mussolini	mussolini	2.9031901259184938e-05
wind turbines	éoliennes	2.9069791187793936e-05
the ussr	lurss	2.9727270217439657e-05
fourth	quatrième	2.9764171530670498e-05
death eaters	mangemorts	2.9953423441285134e-05
u	u	3.013174393147925e-05
survived	survécu	3.080998866267744e-05
bordeaux	bordeaux	3.163576452956132e-05
bardot	bardot	3.1672571578197835e-05
annexes	annexes	3.2015744406152664e-05
nantes	nantes	3.339464586448983e-05
scabies	gale	3.3825225873997886e-05
andes	andes	3.440611211017042e-05
mountain	montagne	3.4669293236517163e-05
adviser	conseiller	3.551134744665057e-05
telecommunications	télécommunications	3.5901020001823806e-05
rhone	rhône	3.624734273283291e-05
