$  	$	Nan
parlamentben	البرلمان	None
parlamenti	برلماني	Nan
parlamentáris	برلماني	Nan
part	حفل	None
parti	ساحلي	Nan
partjai	ساحل	None
partján	دعم	None
partnere	شريك	None
partnerei	شركاء	Nan
partnerek	شركاء	Nan
parton	الى الشاطئ	Nan
partra	الى الشاطئ	Nan
partraszállás	الهبوط	None
party	حفل	None
pascal	باسكال	Nan
parlament	البرلمان	None
passzív	مبني للمجهول	Nan
parkot	منتزه	Nan
parkjai	الحدائق	None
paradicsom	طماطم	Nan
paralelogramma	متوازي الاضلاع	Nan
parancs	أمر	None
parancsnok	قائد	None
parancsnoka	قائد	None
parancsnoki	قائد	None
parancsot	أمر	None
parancsára	أمر	None
parasztok	الفلاحين	None
parasztság	الفلاحين	None
parco	باركو	Nan
paris	باريس	None
park	منتزه	Nan
parkban	منتزه	Nan
parker	باركر	Nan
parkok	الحدائق	None
papírra	ورقة	None
pata	حافر	Nan
pataky	باتاكي	Nan
perui	بيرو	Nan
perzsa	اللغة الفارسية	Nan
perzsia	إيران	None
perzsák	الفرس	None
pest	آفة	Nan
pesten	بودابست	Nan
pesti	آفة	Nan
pestis	طاعون	Nan
pestre	إلى بودابست	Nan
pete	البويضة	None
peter	نفذ	Nan
petőfi	البيتيفي	Nan
phi	فاي	Nan
phil	فيل	Nan
philip	فيليب	None
peru	بيرو	Nan
patak	جدول	None
persze	بالتاكيد	Nan
periódusos	الجدول الدوري	Nan
patrick	باتريك	Nan
paul	بول	None
paula	بولا	Nan
paulina	بولينا	None
paulo	باولو	Nan
paunik	باون	Nan
pc	الكمبيوتر	None
pearl	لؤلؤة	Nan
pedig	فى الاعاده	Nan
pekingi	بكين	None
per	الشيب	Nan
perc	دقيقة	None
peremén	الحافة	Nan
periféria	محيط	None
period	فترة	None
perry	بيري	Nan
papír	ورقة	None
papp	باب	None
papok	الكهنة	None
oszkár	أوسكار	Nan
oszlik	منقسم	Nan
oszlop	عمود	None
oszlott	منقسم	Nan
oszmán	عثمان	None
osztható	قابل للقسمة	Nan
osztja	تشارك	None
osztják	منقسم	Nan
osztotta	منقسم	Nan
osztották	منقسم	Nan
osztrák	النمساوي	None
osztrákmagyar	النمسا والمجر	Nan
osztrákok	نمساويون	Nan
osztály	صف دراسي	Nan
osztályban	صف دراسي	Nan
ostroma	الحصار	None
ott	هناك	None
ostrom	حصار	None
oscardíjat	جوائز أوسكار	Nan
országokból	بلدان	None
országos	الوطني	None
országot	بلد	None
országra	بلد	None
országszerte	على مدار	Nan
országában	بلد	None
országát	بلد	None
ortodox	الأرثوذكسية	None
orvos	طبيب	None
orvosi	طبي	Nan
orvosok	الأطباء	None
orális	عن طريق الفم	Nan
