$	$	None
piogge	ploile	Nan
pioggia	ploaie	None
piombo	conduce	None
pirata	pirat	Nan
pirati	pirați	Nan
pisano	pisa	Nan
pio	pios	Nan
pista	urmări	None
pistola	armă	Nan
pistols	pistoale	Nan
pitagora	pitagora	None
pitt	pitt	Nan
pittore	pictor	None
pittori	pictori	None
piste	piese	None
pino	brad	None
pink	roz	None
pinehearst	pinehearst	Nan
piemontesi	piemont	Nan
piena	deplin	None
pienamente	complet	None
pieno	deplin	None
piero	piero	Nan
pierre	pierre	None
pietra	piatră	Nan
pietre	pietre	None
pietro	petru	None
pietà	milă	None
pil	pil	Nan
pilastri	piloni	Nan
pilota	pilot	Nan
piloti	piloți	Nan
pinacoteca	galerie de picturi	Nan
pittura	pictură	None
piemontese	piemonteză	Nan
piuttosto	mai degraba	Nan
placca	farfurie	Nan
poco	mic	None
podio	podium	Nan
poema	poem	None
poemi	poezii	None
poesia	poezie	None
poesie	poezii	None
pochi	puțini	None
poeta	poet	None
poetico	poetic	None
poi	apoi	None
poiché	la fel de	Nan
point	punct	None
poker	pocher	Nan
pokémon	pokémon	None
poetica	poetică	None
poche	puțini	None
poca	mic de statura	Nan
po	pic	Nan
placche	plăci	None
place	loc	None
plasma	plasmă	None
plastica	plastic	None
platino	platină	Nan
platinum	platină	Nan
platone	platon	None
playoff	playoffs	Nan
playstation	play station	Nan
plesso	plex	Nan
plotarea	plotarea	Nan
plurale	plural	None
plus	la care se adauga	Nan
plutarco	plutarco	Nan
plutonio	plutoniu	Nan
più	mai mult	Nan
polacca	lustrui	Nan
piemonte	piemontană	Nan
piede	picior	None
perugia	perugia	Nan
però	in orice caz	Nan
pesante	greu	None
pesantemente	puternic	None
pesanti	greu	None
pesca	pescuit	None
pertanto	prin urmare	Nan
pescara	pescara	Nan
pesci	pesti	Nan
peso	greutate	None
peste	ciumă	Nan
pete	pete	None
petrarca	petrarca	Nan
petrelli	petreli	Nan
pesce	peşte	Nan
persone	oameni	None
personalmente	personal	None
personalità	personalitate	None
persa	pierdut	None
perse	ratat	Nan
persecuzione	persecuţie	Nan
persero	pierdut	None
persia	persia	None
persiana	orb	Nan
persiani	persană	None
persiano	persană	None
persino	chiar	None
perso	pierdut	None
persona	persoană	Nan
personaggi	caractere	None
personaggio	caracter	None
personale	personal	None
personali	personal	None
petrolio	petrol	None
piedi	picioare	None
petto	cufăr	Nan
pezzo	bucată	None
piante	plante	None
pianura	teren plat	Nan
pianure	depresiuni	None
piattaforma	platformă	None
piatti	bucate	Nan
piatto	farfurie	Nan
pianta	plantă	Nan
piazza	pătrat	None
picasso	picasso	None
picco	vârf	None
piccola	mic	None
piccole	mic	None
piccoli	cei mici	Nan
piccolo	mic	None
piazze	pătrate	Nan
pianoforte	pian	None
piano	plan	None
pianista	pianist	Nan
phi	phi	Nan
phil	phil	Nan
philip	philip	Nan
phillips	phillips	Nan
phoebe	phoebe	Nan
phoenix	fenix	Nan
pi	pi	None
piace	imi place	Nan
piacere	plăcere	None
piana	apartament	Nan
pianeggiante	apartament	Nan
pianeta	planetă	None
pianeti	planete	None
piani	planuri	None
pianificazione	planificare	Nan
pezzi	bucăți	None
polacchi	lustrui	Nan
polacco	lustrui	Nan
polare	polar	None
potendo	fiind capabil	Nan
potente	puternic	None
potenti	puternic	None
potenza	putere	None
potenze	puteri	None
potenziale	potenţial	Nan
postumo	postum	None
potenziali	potenţial	Nan
potenzialmente	practic	None
poter	poate sa	Nan
potere	putere	None
poteri	puteri	None
potersi	ei pot	Nan
potesse	ar putea	Nan
potenzialità	potenţialitate	Nan
posto	loc	None
posti	locuri	None
posteriormente	posteriorly	Nan
possedere	a avea	Nan
possedeva	el a detinut	Nan
possesso	deţinere	Nan
possiamo	noi putem	Nan
possibile	posibil	None
possibili	posibil	None
possibilità	posibilitate	None
possiede	deține	None
possiedono	poseda	Nan
possono	poate sa	Nan
post	post	None
posta	poștă	Nan
poste	poste	Nan
posteriore	spate	None
posteriori	spate	None
potessero	ar putea	Nan
possano	poate sa	Nan
poteva	ar putea	Nan
potranno	voi	None
prato	luncă	None
precedente	precedent	None
precedentemente	în prealabil	Nan
precedenti	anterior	None
precedenza	prioritate	None
preceduta	precedat	None
pratico	practic	None
preceduto	precedat	None
precisa	precis	None
precisamente	exact	None
precise	precis	None
precisi	precis	None
precisione	precizie	None
preciso	precis	None
precipitazioni	precipitaţii	Nan
pratiche	practici	None
praticato	practicat	None
praticata	practicat	None
potrebbe	ar putea	Nan
potrebbero	s-ar putea	Nan
potrà	voi	None
potter	olar	Nan
potuto	ar putea	Nan
poté	ar putea	Nan
povera	sărac	None
poveri	sărac	None
povero	sărac	None
povertà	sărăcie	Nan
pozzi	puțuri	Nan
pozzo	fântână	Nan
praga	praga	None
pratica	practică	None
praticamente	practic	None
potevano	ei ar putea	Nan
possa	poate sa	Nan
