$	$	$
a	до	to
abba	аба	abba
abbandona	листя	leave
abbandonando	відмова від	abandoning
abbandonare	відмовитися	leave
abbandonata	занедбаний	abandoned
abbandonato	занедбаний	abandoned
abbandono	залишення	abandon
abbandonò	він відмовився	abandonment
abbastanza	достатньо	enough
abbia	має	has
abbiamo	ми маємо	we
abbiano	мати	have
abbondanti	рясний	abundant
abc	абс	abc
abile	розумний	skillful
abilità	навички	ability skill expertise prowess proficiency craft capacity capability cleverness knack mastery ingenuity cunning know-how skillfulness adroitness skilfulness sleight adeptness artifice mastership expertness
abitanti	жителів	people
abitata	заселений	inhabited
abitato	заселений	inhabited
abitazioni	будинки	home
abiti	одяг	clothes
abitudini	звички	habits
aborto	аборт	abortion
about	о	about
abruzzese	абруццо	abruzzo
abruzzi	абруцці	abruzzi
abruzzo	абруццо	abruzzo
ac	b.c	a.c.
academy	академія	academy
accadde	сталося	it happened
accade	це буває	happens
accademia	академія	academy
accaduto	сталося	happenend
accanto	наступний	near
accedere	увійдіть у систему	enter
accesso	доступ	access
accetta	сокира	accepted
accettare	прийняти	accept
accettata	прийнято	accepted
accettato	затверджено	accepted
accettò	я приймаю	acceptable
acciai	сталей	steels
acciaio	сталь	steel
accoglie	вітає	holds
accoglienza	гостинність	accoglienza
accolto	вітали	welcomed
accompagna	супроводжує	brings
accompagnata	супроводжується	accompanied
accompagnati	супроводжується	accompanied
accompagnato	супроводжується	accompanied
accordi	угод	agreements
accordo	угоду	agreement
accorge	повідомлення	notice
accusa	звинувачення	accusation
accusato	обвинувачений	accused
accuse	звинувачення	charges
acdc	ейсі дісі	acdc
ace	туз	ace
achille	ахілл	achille
acidi	кислоти	acids
acido	кислота	acid
acqua	вода	water
acque	води	water
acquisire	придбати	acquire
acquisito	наділений	purchase
acquista	купити	buy
acquistare	купити	buy
acquistato	придбано	purchased
acronimo	абревіатура	acronym
action	дії	action
actress	актриса	actress
acustica	акустика	acoustics
acuta	гострий	acute
ad	до	to
adams	адамс	adams
adatta	підходить	suitable
adattamenti	пристосування	adaptations
adattamento	адаптація	adaptation
adatto	підходить	suitable
addetti	інсайдери	employees
