+	+	None
pop	pop	None
popmusik	pop muzika	Nan
popularität	popularnost	None
population	stanovništva	None
populationen	populacije	None
populär	popularan	None
populäre	popularan	None
populären	popularan	None
pornografie	pornografija	Nan
porsche	porsche	Nan
port	luka	None
portal	portalu	Nan
porto	poštarina	Nan
porträt	portret	None
porträts	portreti	Nan
pompeius	pompey	Nan
portugal	portugal	None
poly	poli	Nan
polnischen	poljski	None
pol	pol	Nan
polen	poljska	None
polens	poljska	None
police	policija	None
politik	politika	None
politiker	političar	None
politikern	političari	None
politisch	politički	None
politische	političkih	None
politischen	političkih	None
politischer	više politički	Nan
politisches	političkih	None
polizei	policija	None
polizisten	policajci	Nan
polnische	poljski	None
polo	polo	Nan
poker	poker	Nan
portugals	portugal	None
portugiesischen	portugalski	Nan
praktisch	praktički	None
praktische	praktičan	Nan
praktischen	praktičan	Nan
praktiziert	vežbala	Nan
praxis	vežba	Nan
preis	cijena	None
preise	cijene	None
preisen	pohvale	Nan
premier	premijera	None
premiere	premijera	None
premierminister	premijer	None
presley	presley	Nan
presleys	presleys	Nan
presse	pritisnite	Nan
pressefreiheit	sloboda štampe	Nan
praktiken	prakse	Nan
portugiesische	portugalski	Nan
prager	prag	None
power	snage	None
pos	pos	Nan
position	pozicija	None
positionen	pozicije	None
positiv	pozitivno	Nan
positive	pozitivno	Nan
positiven	pozitivno	Nan
positiver	pozitivnije	Nan
post	pošta	None
posten	pošta	None
potential	potencijal	None
potentielle	potencijal	None
potomacarmee	potomacarmee	Nan
potsdam	potsdam	Nan
potsdamer	potsdamer	Nan
potter	lončar	Nan
prag	prag	None
pokal	šolja	Nan
point	poentu	Nan
plötzlich	odjednom	Nan
physikalischen	fizički	None
physiker	fizičar	Nan
physiologie	fiziologija	Nan
physische	fizički	None
physischen	fizički	None
phänomen	pojava	None
phänomene	pojava	None
phönix	phoenix	Nan
pi	pi	None
picasso	picasso	Nan
picassos	picassos	Nan
picchu	picchu	Nan
pictures	slike	None
piece	komad	Nan
piercing	piercing	Nan
physikalische	fizički	None
piercings	piercing	Nan
physik	fizika	None
php	php	Nan
ph	ph	None
phase	faza	None
phasen	uživo	None
phi	fi	Nan
phil	phil	Nan
philip	philip	Nan
philippinen	filippini	Nan
philosoph	filozof	None
philosophen	filozofi	None
philosophie	filozofija	None
philosophische	filozofskog	Nan
philosophischen	filozofskog	Nan
phoenix	phoenix	Nan
photosynthese	fotosinteza	None
photovoltaik	fotonaponski	Nan
phwert	ph vrijednost	Nan
pierre	pierre	None
pilger	hodočasnik	Nan
piloten	piloti	Nan
platons	platoni	Nan
platte	tanjur	Nan
platten	tanjure	Nan
plattform	platforma	Nan
platz	prostor	None
player	igrača	None
playstation	play station	Nan
plaza	plaza	Nan
plegie	plegie	Nan
plural	množina	Nan
plus	plus	None
pläne	planova	None
plänen	planova	None
plätze	mjesta	None
plätzen	mjesta	None
platon	platon	None
platin	platina	Nan
plasmodium	plazmodijum	Nan
planungen	planiranje	None
pin	pin code	Nan
pink	roze	Nan
piper	piper	Nan
piraten	gusar	Nan
piratenpartei	gusarska zabava	Nan
pitt	pitt	Nan
pkt	poentu	Nan
pressekonferenz	konferencija za štampu	Nan
pkw	auto	Nan
plan	plan	None
planen	planirati	Nan
planet	planeta	None
planeten	planeta	None
plant	planova	None
plante	planirano	Nan
planung	planiranje	None
place	mesto	Nan
pflichten	obavezati	Nan
preußen	prusija	Nan
preußische	pruski	Nan
präsident	predsednika	Nan
präsidenten	predsednika	Nan
präsidentin	predsednika	Nan
präsidentschaft	predsjedavanje	Nan
präsidentschaftswahlen	predsjednički izbori	Nan
prävention	prevencija	Nan
prüfung	ispit	Nan
ps	ps	Nan
pseudonym	pseudonim	Nan
psychiatrie	psihijatrija	Nan
psychisch	psihološki	Nan
psychische	psihološki	Nan
psychischen	mentalnog	Nan
psychoanalyse	psihoanaliza	Nan
psychologie	psihologija	None
präsenz	prisustvo	None
psychologische	psihološki	Nan
präsentierte	predstavljeno	Nan
präsentieren	prisutan	None
proteste	protesti	Nan
protesten	protestirati	Nan
protokoll	protokol	None
protokolle	protokoli	None
provinz	provincija	None
provinzen	provincije	None
prozent	procenat	None
prozess	procesa	None
prozesse	procesa	None
prozessen	procesa	None
prägen	oblik	None
prägte	u obliku	Nan
prägten	u obliku	Nan
prägung	utiskivanje	Nan
präsent	prisutan	None
präsentiert	poklonima	Nan
protestantischen	protestantski	Nan
psychologischen	psihološki	Nan
pt	pt	Nan
quasi	tako reći	Nan
quattro	quattro	Nan
queen	kraljice	None
queens	kraljice	None
quelle	izvor	None
quellen	nabreknuti	Nan
quentin	kventin	Nan
quer	preko	None
quinn	quinn	Nan
quote	citat	Nan
quoten	kvote	Nan
québec	québec	Nan
r	r	None
r^	r ^	Nan
raab	raab	Nan
quartal	četvrtina	Nan
psychotherapie	psihoterapija	Nan
qualität	kvaliteta	None
qualifizierten	kvalifikovani	Nan
pubertät	pubertet	Nan
publikationen	publikacije	Nan
publikum	publiku	None
publishing	izdavaštvo	Nan
puerto	puerto	Nan
punjab	punjab	Nan
punk	punk	None
punkt	tačka	None
punkte	bodovi	Nan
punkten	rezultat	None
px	px	Nan
pythagoras	pitagora	None
q	q	None
quadrat	kvadrat	Nan
qualifikation	kvalifikacija	Nan
qualitativ	kvalitativni	Nan
protestantische	protestantski	Nan
protestanten	protestanti	None
protest	protestirati	Nan
privater	privatnije	Nan
privates	privatni	None
privatleben	privatni život	Nan
privilegien	privilegija	Nan
prix	prix	Nan
pro	per	Nan
problem	problem	None
problematik	problem	None
problematisch	problematičan	Nan
probleme	problemi	None
problemen	problemi	None
problemlos	nema problema	Nan
produkt	proizvod	None
produkte	proizvodi	None
produkten	proizvodi	None
privaten	privatni	None
produktion	proizvodnja	None
private	privatni	None
priorität	prioritet	Nan
preußischen	pruski	Nan
preußischer	pruski	Nan
priester	sveštenik	Nan
primzahl	prost broj	Nan
primzahlen	primarni brojevi	Nan
primär	primarna	None
primäre	primarna	None
primären	primarna	None
princeton	princeton	Nan
printmedien	štampani mediji	Nan
prinz	princ	None
prinzessin	princeza	None
prinzip	princip	None
prinzipiell	u principu	Nan
prinzipien	principa	None
privat	privatno	None
produktionen	produkcije	None
produzent	proizvođač	None
produzenten	proizvođača	None
prominente	slavne ličnosti	Nan
prominenten	slavne ličnosti	Nan
promotion	promocija	Nan
propaganda	propaganda	Nan
propheten	prorok	Nan
prophylaxe	profilaksa	Nan
proportional	proporcionalan	Nan
prosieben	prosieben	Nan
prostata	prostate	Nan
prostituierte	prostitutka	Nan
prostituierten	prostitutke	Nan
protagonisten	protagonisti	Nan
protein	protein	Nan
proteine	proteini	None
proteinen	proteini	None
projekts	projekat	None
projekten	projekti	None
projekte	projekti	None
projekt	projekat	None
produzieren	za proizvodnju	Nan
produziert	proizvedeno	Nan
produzierte	proizvedeno	Nan
produzierten	proizvedeno	Nan
prof	prof	None
professionelle	profesionalni	Nan
professionellen	profesionalni	Nan
preußens	prusija	Nan
professor	profesor	None
profitieren	korist	None
prognose	prognoza	Nan
programm	program	None
programme	programi	None
programmen	programi	None
programms	programi	None
project	projekat	None
profil	profil	None
pflicht	obavezno	None
pflegte	navikli	Nan
pflege	održavanje	None
offizielle	službeni	None
offiziellen	službeni	None
offizieller	službeni	None
offizier	oficir	Nan
offiziere	oficiri	Nan
oft	često	None
oftmals	često	None
ohio	ohio	Nan
ohmschen	ohmički	Nan
ohne	bez	None
ohnehin	svejedno	Nan
ohren	uši	Nan
oktober	oktobar	Nan
old	stari	None
oldenbourg	oldenbourg	Nan
offiziell	zvanično	None
oldenburg	oldenburg	Nan
offensive	uvredljiv	Nan
offener	otvorenije	Nan
obgleich	iako	None
obiwan	obiwan	Nan
objekt	objekta	None
objekte	objekata	None
objekten	objekata	None
oblast	oblast	None
obst	voće	None
obwohl	iako	None
oder	ili	None
of	od	None
offen	otvorena	None
offenbar	očigledno	Nan
offenbart	obelodanio	Nan
offene	otvorena	None
offenen	otvorena	None
offensichtlich	ocigledno	Nan
obersten	vrhovni	None
oliver	oliver	Nan
olympia	olimpija	Nan
optik	optika	Nan
optimale	optimalno	Nan
optische	optički	None
optischen	optički	None
or	ili	None
orange	narandžasta	Nan
orchester	orkestar	None
orden	medalja	None
ordens	red	None
ordnete	naređeno	Nan
ordnung	red	None
orf	orf	Nan
organ	orgulje	Nan
organe	organi	None
organen	organi	None
opposition	opozicija	Nan
olivia	olivia	Nan
opfern	žrtvovati se	Nan
opern	opera	None
olympiastadion	olimpijski stadion	Nan
olympische	olimpijada	Nan
olympischen	olimpijada	Nan
omega	omega	Nan
one	jedan	None
onkel	stric	Nan
onkelz	onkelz	Nan
online	on-line	Nan
ono	ono	None
op	op	Nan
opel	opel	Nan
oper	opera	None
opera	opera	None
operation	operacija	None
operationen	operacije	None
opfer	žrtva	None
oberste	vrh	None
oberschicht	viša klasa	Nan
oberrhein	gornja rajna	Nan
normalverteilung	normalna distribucija	Nan
norman	norman	Nan
normen	standardima	None
norris	norris	Nan
north	sjever	None
norwegen	norveška	None
not	ne	None
note	razreda	Nan
noten	ocjene	None
notwendig	neophodno	None
notwendige	neophodno	None
notwendigen	neophodno	None
notwendigkeit	potreba	None
nova	nova	None
november	novembra	None
normalfall	normalan slučaj	Nan
nr	ne	None
normalerweise	obično	None
normalen	normalno	None
norddeutschland	sjevernoj njemačkoj	Nan
norden	sjever	None
nordens	sjever	None
nordirland	sjeverna irska	Nan
nordischen	nordijski	Nan
nordkorea	sjeverna koreja	Nan
nordosten	sjeveroistok	Nan
nordrheinwestfalen	sjeverna rajna-vestfalija	Nan
nordsee	sjeverno more	Nan
nordstaaten	sjeverne države	Nan
nordvirginiaarmee	vojska severne virdžinije	Nan
nordwesten	sjeverozapad	Nan
norm	standardna	None
normal	normalno	None
normale	normalno	None
normaler	normalnije	Nan
nsdap	nsdap	Nan
null	nula	None
nummer	broj	None
nötig	neophodno	None
nötige	neophodno	None
nötigen	prisiliti	Nan
nürnberg	nirnberg	Nan
nürnberger	nirnberg	Nan
ob	ako	None
obama	obama	Nan
oben	gore	None
ober	gornji	None
oberbefehlshaber	glavnokomandujući	Nan
oberbürgermeister	gradonačelnik	None
obere	gornji	None
oberen	gornji	None
oberfläche	površina	None
oberhalb	gore	None
nördlicher	sjeverno	None
nördlichen	sjeverno	None
nördliche	sjeverno	None
nördlich	sjever	None
nummern	brojevima	None
nun	sad	None
nunmehr	sad	None
nur	samo	None
nutzbar	upotrebljiv	Nan
nutzen	upotreba	None
nutzer	korisnik	None
organisation	organizacija	None
nutzt	koristi	None
nutzten	koristi	None
nutzung	upotreba	None
nächste	sljedeći	None
nächsten	sljedeći	None
nähe	zatvoriti	Nan
näher	bliže	None
nämlich	naime	None
nutzte	koristi	None
organisationen	organizacije	None
organische	organski	Nan
organischen	organski	Nan
passiert	se desava	Nan
passive	pasivan	Nan
passt	uklapa se	Nan
patient	pacijent	Nan
patienten	pacijent	Nan
patrick	patrick	Nan
paul	paul	None
paulo	paulo	Nan
pause	pauza	None
pazifik	pacifik	Nan
pazifischen	tihi	None
pc	kom	None
pdfdatei	pdf datoteka	Nan
pearl	biser	Nan
pedro	pedro	Nan
passieren	dogoditi	Nan
peggy	peggy	Nan
passen	stane	Nan
party	zabava	Nan
parlament	kuće parlamenta	Nan
parlamentarische	parlamentarni	Nan
parlamentarischen	parlamentarni	Nan
parlaments	parlamenti	Nan
parlamentswahlen	parlamentarni izbori	Nan
part	deo	Nan
partei	politička stranka	Nan
parteien	zabave	Nan
parteitag	stranačka konvencija	Nan
partido	partido	Nan
partie	igra	None
partner	partnera	None
partnern	partneri	None
partnerschaft	partnerstvo	Nan
partnerschaften	partnerstva	Nan
passagiere	putnici	None
peking	peking	Nan
penis	penis	None
pennsylvania	pennsylvania	Nan
persönlicher	ličniji	Nan
persönlichkeit	ličnost	None
persönlichkeiten	ličnosti	None
peru	peru	None
pest	štetočina	Nan
peter	peter	None
petersburg	petersburg	Nan
petrelli	petrelli	Nan
peyton	peyton	Nan
pfalz	nepce	Nan
pferd	konj	None
pferde	konji	None
pflanze	biljka	None
pflanzen	biljke	None
pflanzenarten	biljne vrste	Nan
persönlichen	lični	None
persönliche	lični	None
persönlich	lično	None
perspektiven	perspektive	Nan
penny	novčić	Nan
people	ljudi	None
peoples	naroda	None
per	od	None
perfekt	savršeno	Nan
periode	period	None
permanent	stalni	None
parks	parkovi	None
perry	perry	Nan
persischen	perzijski	None
person	osoba	None
personal	osoblje	Nan
personalausweis	lična karta	Nan
personen	ljudi	None
personenverkehr	putnički saobraćaj	Nan
perspektive	perspektiva	Nan
perser	perzijski	None
rache	osveta	Nan
parker	parker	Nan
pariser	pariški	None
orthodoxen	pravoslavni	None
ortschaften	lokalitetima	Nan
os	os	None
oscar	oscar	Nan
oskar	oscar	Nan
osmanen	osmanlije	None
osmanische	otoman	Nan
osmanischen	otoman	Nan
osnabrück	osnabrueck	Nan
ost	istok	None
ostasien	istočna azija	Nan
osten	istok	None
ostens	istok	None
ostern	uskrs	None
osteuropa	istočna evropa	Nan
orthodoxe	pravoslavni	None
ostküste	istočna obala	Nan
orten	locirati	Nan
ort	mesto	Nan
organisieren	organizovati	Nan
organisiert	organizovano	Nan
organisierte	organizovano	Nan
organisierten	organizovano	Nan
organismen	organizmi	None
organismus	organizam	None
orgasmus	orgazam	Nan
orientieren	orijentirati	Nan
orientiert	orjentisan	Nan
orientierte	orjentisan	Nan
orientierten	orjentisan	Nan
orientierung	orijentacija	Nan
original	originalni	None
originaltitel	originalni naslov	Nan
orson	orson	Nan
orte	mjesta	None
ostsee	balticko more	Nan
osze	osze	Nan
otto	otto	Nan
palais	palata	Nan
palast	palata	Nan
palma	palma	Nan
palmer	palmer	Nan
palästina	palestina	Nan
panzer	tenk	Nan
papier	papir	None
papst	papa	None
paracetamol	paracetamol	Nan
paraguay	paragvaj	Nan
parallel	paralelno	None
parallele	paralelno	None
parallelen	paralelno	None
parameter	parametar	Nan
paris	pariz	None
pakt	pakt	None
pakistans	pakistanu	Nan
pakistan	pakistan	None
pakete	paketi	Nan
our	naše	None
out	napolje	Nan
over	preko	None
owen	owen	Nan
oxford	oxford	Nan
oxidation	oksidacija	None
ozean	okean	None
park	park	None
ozeanien	oceania	Nan
paar	par	None
paare	parovi	Nan
pablo	pablo	Nan
pacific	tihi	None
paderborn	paderborn	Nan
padmé	padmé	Nan
paket	paket	Nan
p	str	Nan
norddeutschen	sjeverna njemačka	Nan
rachel	rachel	Nan
radikalen	radikalan	Nan
scheidung	razvod	None
scheinbar	naizgled	Nan
scheinen	izgleda da jesu	Nan
scheint	čini se	Nan
scheitern	neuspjeh	Nan
scheitert	ne uspijeva	Nan
scheiterte	nije uspio	Nan
scheiterten	nije uspio	Nan
schema	šemu	Nan
schicht	sloj	None
schichten	slojeve	Nan
schicken	poslati	Nan
schicksal	sudbina	None
schickt	šalje	None
schickte	poslao	None
scheiden	razvod	None
schied	otišao	None
schauspielerin	glumica	None
schauspiel	igra	None
schach	šah	None
schaden	oštećenja	None
schaffen	stvoriti	None
schafft	stvara	None
schaffte	uspeli	Nan
schaffung	kreacija	Nan
schalke	skitnica	Nan
schaltungen	sklopovi	None
schambehaarung	stidne dlake	Nan
schamhaare	stidne dlake	Nan
schamlippen	labia	Nan
scharf	oštar	Nan
scharia	šerijat	Nan
schatten	sjena	Nan
schauplatz	lokaciju	Nan
schauspieler	glumca	Nan
sc	sc	Nan
schiedsrichter	sudija	None
schienen	šine	Nan
schlangen	zmije	None
schlecht	loše	None
schlechte	loše	None
schlechten	loše	None
schlechter	lošije	Nan
schleswigholstein	schleswigholstein	Nan
schlicht	običan	Nan
schließen	zaključiti	None
schließlich	napokon	None
schließt	zatvara	None
schließung	zatvaranje	Nan
schloss	zaključati	Nan
schlossen	zatvoreno	Nan
schlug	udario	Nan
schluss	dosta	None
schlange	zmija	None
schien	činilo se	Nan
schlagzeug	bubnjevi	Nan
schlag	udarac	None
schienennetz	željeznička mreža	Nan
schienenverkehr	željeznički saobraćaj	Nan
schiff	brod	None
schiffe	brodovi	None
schiffen	brodovi	None
schiffes	brod	None
schifffahrt	otprema	Nan
schild	znak	None
schilddrüse	štitnjača	Nan
schildert	opisuje	None
schiller	schiller	Nan
schillers	šilerima	Nan
schizophrenie	šizofrenija	Nan
schlacht	bitka	None
schlaf	spavati	Nan
schlagen	tukli	Nan
saß	sat	None
sawyer	pila	Nan
save	spremi	Nan
rücksicht	razmatranje	Nan
rückspiel	druga noga	Nan
rückte	pomerio gore	Nan
rücktritt	ostavka	Nan
rückzug	povući	None
s	s	None
sa	sat	None
saale	saale	Nan
saarbrücken	saarbrücken	Nan
saarland	saarland	Nan
saarlandes	saarlandes	Nan
sabine	sabine	Nan
sache	stvar	None
sachsen	saška	Nan
sachsenanhalt	saksonija-anhalt	Nan
rückseite	nazad	None
sagen	reći	None
rückläufig	opadajući	Nan
rückgang	pad	None
ryan	ryan	Nan
räuber	razbojnik	Nan
räume	sobe	None
räumen	isprazniti	Nan
räumliche	prostorni	Nan
río	río	Nan
römer	romanski	Nan
römern	rimljani	None
römische	romanski	Nan
römischen	romanski	Nan
römischer	romanski	Nan
römisches	romanski	Nan
römischkatholische	rimokatolički	Nan
römischkatholischen	rimokatolički	Nan
rücken	potez	Nan
rückkehr	povratak	None
sagt	kaže	None
sagte	rekao	None
sah	pila	Nan
sank	potonuo	Nan
sankt	santa	Nan
santa	santa	Nan
santiago	santiago	Nan
santo	santo	Nan
sapiens	sapiens	Nan
sara	sara	Nan
sarah	sarah	Nan
sat	sat	None
sata	sata	None
saturn	saturn	Nan
satz	rečenica	None
saudiarabien	saudijska arabija	Nan
sauer	ljuti	Nan
sauerstoff	kiseonik	None
sang	pevala	Nan
sandy	pješčana	Nan
sandra	sandra	Nan
sand	peska	Nan
sahara	sahara	Nan
sahen	pila	Nan
saint	svetac	Nan
saison	sezona	None
saiten	žice	Nan
salvador	salvador	None
salzburg	salzburg	Nan
schlägt	otkucaja	Nan
sam	sam	None
sammeln	skupiti	Nan
sammlung	kolekcija	None
sammlungen	kolekcije	Nan
samstag	subota	Nan
samt	baršun	Nan
samuel	samuel	Nan
san	san	None
samen	semenke	Nan
russlands	rusija	None
schlösser	dvorci	Nan
schmalen	uska	Nan
schöne	ljupko	Nan
schönen	prekrasno	Nan
schönheit	ljepota	Nan
schöpfer	tvorac	None
schöpfung	kreacija	Nan
schüler	student	None
schülerin	učenik	None
schülern	studenti	None
schützen	zaštititi	Nan
schützt	štiti	None
science	nauka	None
scientology	scijentologija	Nan
scott	scott	Nan
sean	sean	Nan
seattle	seattle	Nan
schön	prekrasno	Nan
sebastian	sebastian	Nan
schäuble	schäuble	Nan
schätzungen	procjene	None
schwierig	teško	None
schwierige	teško	None
schwierigen	teško	None
schwieriger	teže	None
schwierigkeiten	nevolja	Nan
schwimmen	plivati	Nan
schwäche	slabost	Nan
schwächen	slabosti	Nan
schädel	lobanja	None
schäden	oštećenja	None
schädigung	oštećenja	None
schäfer	pastir	Nan
schäferhund	pastirski pas	Nan
schätzt	procjene	None
schätzung	procjena	Nan
schätzungsweise	procenjena	Nan
schwestern	sestre	None
sechs	šest	None
sechsten	šesto	Nan
seinerzeit	u to vrijeme	Nan
seines	njegov	None
seit	od tada	Nan
seitdem	od tada	Nan
seite	stranicu	Nan
seiten	stranica	None
seitens	sa strane	Nan
seither	od tada	Nan
seitlich	bočno	Nan
sektor	sektor	None
sekunde	sekunda	Nan
sekunden	sekundi	None
sekundäre	sekundarno	Nan
sekundären	sekundarno	Nan
selben	isto	None
seinerseits	zauzvrat	Nan
sechste	šesto	Nan
seiner	njegov	None
seinem	njegov	None
secret	tajna	None
sed	sed	Nan
see	jezero	None
seegurken	morske krastavce	Nan
seele	duša	None
seelen	duše	None
seen	jezera	None
sehen	vidi	None
sehenswürdigkeiten	atrakcije	None
