$ tỉ	милијарду долара	$ billion
abc	абц	abc
abdul	абдул	abdul
abkhazia	абхазија	a name
about	о томе	about
abraham	абрахам	abraham
abrams	абрамс	abrams
abscbn	абсцбн	abscbn
account	рачун	account
aceh	ацех	(proper noun) aceh
achilles	ахила	achilles
acia	ациа	acia
acid	киселина	acid
ada	ада	ada
adams	адамс	(proper noun) adams
addisonwesley	аддисонвеслеи	(proper noun) addison-wesley
adn	адн	adn
adobe	адобе	adobe
adrian	адриан	(proper noun) adrian
adsl	адсл	adsl
advanced	напредни	advanced
aedes	аедес	aedes
aegypti	аегипти	aegypti
aero	аеро	(proper noun) aero, as in the aero l-39 albatros jet
afc	афц	afc
aff	аф	aff
afghanistan	афганистан	afghanistan
africa	африка	(proper noun) africa
african	афрички	african
ag	аг	ag
agasa	агаса	(proper noun) agasa, as in hiroshi agasa
agassi	агасси	agassi
ai	ко	who
ailen	ирски	ailen
aim	циљ	aim
air	ваздух	air
airbus	аирбус	airbus
aisne	аисне	aisne
ajax	ајак	ajax
ak	ак	ak
akatsuki	акатсуки	akastuki
akms	акмс	akms
akô	здраво	ako
al	ал	al
alabama	алабама	alabama
alaska	аласка	alaska
albania	албаниа	albania
albatros	албатрос	(proper noun) albatros, as in the aero l-39 albatros
albert	алберт	(proper noun) albert
alberto	алберто	(proper noun) alberto
albion	албион	albion, an ancient name for great britain
albuquerque	албукуеркуе	albuquerque
albus	албус	albus
alexa	алека	alexa
alexandra	александра	alexandra
alexandria	александрија	alexandria
alexandros	алекандрос	alexandros
alexey	алекеи	alexey
alfred	алфред	(proper noun) alfred, as in alfred kinsey
algérie	алгерија	algerie
ali	али	ali
alice	алице	this is a name
allan	аллан	(proper noun) allan, as in edgar allan poe
allen	аллен	(proper noun) allen
allmusic	аллмусиц	allmusíc
alois	алоис	alois
alonso	алонсо	alonso
alpher	алпхер	(proper noun) alpher
alps	алпе	alps
altai	алтаи	altai
always	увек	luon luon
amaravati	амаравати	amaravati
amazon	амазон	amazon
amdo	амдо	(proper noun) amdo
ame	аме	ame
ami	да ли сам	ami
amiens	амиенс	amiens
amin	амин	(proper noun) amin, as in nagib amin
amm	амм	amm
amoniac	амонијак	ammonium (n.)
amphitrite	амфритрит	(proper noun) amphitrite, a greek sea goddess
an	ан	"(should be ""an toàn"") safe"
anand	ананд	anand
anata	аната	anata
anatolia	анатолија	anatolia
andalusia	андалусиа	andalusia
andaman	андаман	andaman
anderson	андерсон	anderson
andes	андес	andes
andorra	андора	andorra
andrew	андрев	andrew
andré	андре	andre, as in andre morval
andy	анди	(proper noun) andy, as in andy warhol
anfield	анфиелд	anfield
ang	анг	ang
angkor	ангкор	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	англосаксон	anglo-saxon
anh	брате	english
anhmỹ	британци	"(term should be ""anh mỹ"") english or american"
anhpháp	енглески француски	england-france
ankara	анкара	ankara
ankyl	анкил	ankly
anna	анна	anna
annam	ан нам	a name the way french called middle vietnam as a colony
annan	аннан	annan
anne	анне	anne, a name
anorthosit	анортхосит	anorthosit, a type of igneous rock (n.)
anthony	антхони	anthony
antigua	антигуа	(proper noun) antigua
anton	антон	anton
antonov	антонов	antonov
any	било који	any
anđêhít	алдехид	aldehydes
ao	језерце	pond
aotearoa	аотеароа	aotearoa
apollo	аполон	apollo
apple	јабука	apple
aquinas	акуинас	a name
arab	арапски	(proper noun) arab
archetypal	архетипски	archetypal
archive	архива	archive
arctan	арцтан	a function
ares	арес	ares
argentina	аргентина	(proper noun) the south american nation of argentina
argo	арго	argo
arias	арије	arias
aringarosa	арингароса	aringarosa, as in manuel aringarosa
aristotle	аристотел	aristotle
arizona	аризона	arizona, as in the state
ark	арк	ark
arkansas	арканзас	arkansas
arlington	арлингтон	(proper noun) arlington
armenia	армени	(proper noun) armenia
armstrong	армстронг	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	арнолд	arnold
arsenal	арсенал	arsenal
artemis	артемис	(proper noun) artemis, the greek goddess of the hunt
aruba	аруба	aruba
