+	+	+
<	&lt;	<
=	=	equal
^circ	^ सर्किल	circ
a^	एक ^	a^
aachen	आकिन	aachen
aachener	aachener	aachen's
aaron	हारून	aaron
ab	से	from
abba	अंजीर	abba
abbau	टूट - फूट	reduction
abbildung	चित्रण	image
abbildungen	चित्र	map
abbruch	रद्द करना	break up
abc	एबीसी	abc
abend	ईव	evening
abends	शाम को	in the evening
abenteuer	साहसिक	adventure
aber	परंतु	but
abfolge	अनुक्रम	course
abgabe	उगाही	delivery
abgebaut	कम किया हुआ	dismantled
abgeben	प्रस्तुत	dispense
abgebildet	का चित्र	shown
abgebrochen	रद्द	cancelled
abgegeben	प्रस्तुत	submitted
abgegrenzt	सीमांकित	deferred
abgehalten	आयोजित	prevented
abgekürzt	संक्षिप्त	abbreviated
abgelehnt	इंकार कर दिया	rejected
abgeleitet	निकाली गई	derived
abgelöst	जगह ले ली	replaced
abgeordnete	डिप्टी	member of parliament
abgeordneten	डिप्टी	representatives
abgeordnetenhaus	लोक - सभा	house of deputies
abgeschafft	समाप्त किया	abolished
abgeschlossen	पूरा कर लिया है	finished
abgesehen	अलग	apart from
abgesetzt	बंद	stopped
abgewickelt	संभाला	operated
abgrenzung	हदबंदी	assignment
abhängig	आश्रित	dependent
abhängigkeit	निर्भरता	addiction
abitur	उच्च विद्यालय	german high school diploma
abkehr	प्रस्थान	renunciation
abkommen	समझौता	agreement
abkürzung	संक्षिप्त नाम	acronym
abkürzungen	संक्षिप्त रूपों	acronym
ablauf	प्रक्रिया	course
ablehnte	इंकार कर दिया	rejected
ablehnung	अस्वीकार	decline
ableiten	परिणाम निकालना	derive
ableitung	यौगिक	derivative
ableitungen	डेरिवेटिव	discharge lines
abmessungen	आयाम	boundaries
abneigung	घृणा	dislike
aborigines	आदिवासी	aborigines
abraham	अब्राहम	abraham
abs	पेट	break
absatz	अनुच्छेद	paragraph
abschaffung	उन्मूलन	abolition
abschluss	स्नातक स्तर की पढ़ाई	completion
abschnitt	अनुभाग	section
abschnitte	वर्गों	sections
abschreibung	मूल्यह्रास	deduction
abseits	ऑफसाइड	outside
absetzen	ड्रॉप	deducted
absicht	इरादा	intention
absichtlich	जानबूझ कर	on purpose
absinth	चिरायता	absinthe
absolut	पूर्ण रूप से	absolute
absolute	पूर्ण	absolute
absoluten	पूर्ण	absolute
absolventen	स्नातकों	graduate
absolvierte	स्नातक की उपाधि प्राप्त	graduated
absorbiert	को अवशोषित	absorbed
abstammung	वंशावली	lineage
abstand	दूरी	distance
abstimmung	मतदान	voting
abständen	दूरी	intervals
abteilung	विभाग	division
abteilungen	विभागों	divison
abtreibung	गर्भपात	abortion
abu	अबू	abu
abwanderung	प्रवासी	emigration
abwechselnd	वैकल्पिक रूप से	changing
abwehr	रक्षा	defense
abweichende	भी घूम	deviating
abweichung	विचलन	deviation
abweichungen	विचलन	differences
abwesenheit	अनुपस्थिति	abscence
abzug	कटौती	trigger
academy	अकादमी	academy
acetylsalicylsäure	एसिटाइलसैलीसिलिक अम्ल	acetylsalicylic acid
achat	सुलेमानी पत्थर	agate stone
achse	एक्सिस	axis
acht	आठ	eight
achtelfinale	16 का दौर	round before the quarterfinal
achten	सम्मान करना, बहुत सोचना	respect
action	कार्य	action
adam	एडम	adam
adams	एडम्स	adams
adel	महान	nobleness
adenauer	adenauer	adenauer
adipositas	मोटापा	obesity
adler	ईगल	eagle
administrative	प्रशासनिक	administrative
admiral	एडमिरल	admiral
adolf	एडॉल्फ	adolf
adresse	पता	addresses
adressen	पतों	addresses
adria	एड्रियाटिक	adria
af	ए एफ	af
affäre	चक्कर	affair
afghanistan	अफ़ग़ानिस्तान	afghanistan
africa	अफ्रीका	africa
african	अफ़्रीकी	african
afrika	अफ्रीका	africa
afrikanische	अफ़्रीकी	african
afrikanischen	अफ़्रीकी	african
afrikas	अफ्रीका	africa
ag	एजी	ag
agent	एजेंट	agent
agenten	एजेंटों	agents
agentur	एजेंसी	agency
agglomeration	ढेर	aggregation
agnostizismus	अज्ञेयवाद	agnosticism
aids	एड्स	aids
air	वायु	air
airbus	एयरबस	airbus
aires	आयर्स	buenos aires (argentina)
airlines	विमान सेवाओं	airlines
airport	हवाई अड्डा	airport
airways	वायुमार्ग	airways
akademie	अकादमी	academy
akademische	शैक्षिक	academical
akademischen	शैक्षिक	academic
akademischer	शैक्षिक	academic
akt	कार्य	act
akteure	अभिनेताओं	actors
aktion	कार्य	action
aktionen	क्रिया	events
aktiv	सक्रिय	active
aktive	सक्रिय	active
aktiven	सक्रिय	active
aktiver	अधिक सक्रिय	active
aktiviert	सक्रिय	enable
aktivität	गतिविधि	activity
aktivitäten	गतिविधियों	activities
aktuell	वर्तमान	current
aktuelle	वर्तमान	current
aktuellen	वर्तमान	current
aktueller	अधिक वर्तमान	current
akute	तीव्र	acute
akuten	तीव्र	acute
akzeptanz	स्वीकार	acceptance
akzeptieren	स्वीकार करना	to accept
akzeptiert	स्वीकार किए जाते हैं	accepted
akzeptierte	स्वीकार किए जाते हैं	accepted
al	अल	al
alabama	अलबामा	alabama
alan	एलन	alan
alaska	अलास्का	alaska
alb	alb	mountains
albanien	अल्बानिया	albania
albanischen	अल्बानियन	albanian
alben	एलबम	album
albert	अल्बर्ट	albert
albrecht	अल्ब्रेक्ट	albrecht
album	एल्बम	album
albums	एलबम	album
albus	albus	albus
alex	एलेक्स	alex
alexander	सिकंदर	alexander, male first name
alexanders	alexanders	alexander's
alexandria	सिकंदरिया	alexandria
alfred	अल्फ्रेड	alfred
algerien	एलजीरिया	algeria
ali	अली	ali
alias	उपनाम	alias
alice	ऐलिस	alice
alkohol	शराब	alcohol
alle	सब	all
allein	अकेला	alone
alleine	अकेला	alone
alleinige	एकमात्र	exclusive
allem	सब कुछ	everything
allen	हर कोई	all
allenfalls	ज्यादा से ज्यादा	anyhow
aller	सब	all
allerdings	वास्तव में	vera
alles	सब कुछ	everything
allesamt	उन सभी को	all
allgemein	सामान्य	in general
allgemeine	सामान्य	general
allgemeinen	सामान्य	general
allgemeiner	ज़्यादा सामान्य	general
allgemeines	सामान्य	general
alliance	संधि	alliance
allianz	संधि	alliance
alliierten	सहयोगी दलों	allied
alljährlich	वार्षिक	annually
allmählich	धीरे - धीरे	step by step
alpen	आल्पस	alps
alpha	अल्फा	alpha
alphabet	वर्णमाला	alphabet
alphabets	अक्षर	alphabet
als	जैसा	as
also	इसलिए	thus
alt	पुराना	old
alte	पुराना	ancient
alten	पुराना	old
alter	आयु	age
alternativ	वैकल्पिक रूप से	alternatively
alternative	विकल्प	alternative
alternativen	विकल्प	alternative
alters	आयु	age
altertum	प्राचीन काल	old age
altes	पुराना वाला	old
altstadt	पुराना शहर	old town
aluminium	अल्युमीनियम	aluminium
am	पर	on
amadeus	एमॅड्यूस	amadeus
amalia	amalia	amalia
america	अमेरिका	america
amerika	अमेरिका	america
amerikaner	अमेरिकन	american
amerikanische	अमेरिकन	american
amerikanischen	अमेरिकन	american
amerikanischer	अधिक अमेरिकी	american
amerikas	अमेरिका	america
aminosäuren	अमीनो अम्ल	amino acids
ammoniak	अमोनिया	ammonia
amphetamin	एम्फ़ैटेमिन	amphetamine
amsterdam	एम्स्टर्डम	amsterdam
amt	कार्यालय	office
amtes	कार्यालय	department
amtliche	आधिकारिक	official
amtlichen	आधिकारिक	official
amtsantritt	पद ग्रहण करना	inauguration
amtssprache	आधिकारिक भाषा	offical language
amtssprachen	आधिकारिक भाषायें	offical languages
amtszeit	कार्यलय समय	term of office
amy	एमी	amy
an	पर	to
ana	एना	ana
anakin	एनाकिन	anakin
anakondas	ऍनाकोन्डा	anakondas.de
analog	अनुरूप	analogous
analogen	अनुरूप	analog
analverkehr	गुदा मैथुन	anal intercourse
analyse	विश्लेषण	analysis
analysen	विश्लेषण	analysis
analysis	विश्लेषण	analysis
anatomie	शरीर रचना विज्ञान	anatomy
anbau	खेती	growing
anbieten	देने के लिए	suggest
anbieter	प्रदाताओं	providers
anbindung	संबंध	connection
and	तथा	and
anden	को	andes
andere	अन्य	other
anderem	अन्य	other
anderen	अन्य	other
anderer	एक और	other
andererseits	दूसरी ओर	on the other side
anderes	अन्य	other
anders	विभिन्न	different
anderson	एंडरसन	anderson
andersson	एंडरसन	andersson
andrea	एंड्रिया	andrea
andreas	एंड्रियास	andreas
andrew	एंड्रयू	andrew
andré	आंद्रे	andre
andy	एंडी	andy
anerkannt	स्वीकार किए जाते हैं	recognized
anerkannte	पहचान लिया	recognized
anerkannten	पहचान लिया	accepted
anerkennung	मान्यता	recognition
anfang	शुरू	beginning
anfangs	सर्वप्रथम	initially
anforderungen	शर्तेँ	requirements
anfrage	जांच	request
anfragen	अनुरोध	inquire
anfälle	बरामदगी	attacks
anfänge	शुरुआत	beginnings
anfängen	शुरू	beginning
anfänglich	शुरू में	initially
anfänglichen	प्रारंभिक	initial
anführer	नेता	leader
angabe	विनिर्देश	information
angebaut	वयस्क	grown
angeblich	कथित तौर पर	supposedly
angebliche	माना	alleged
angeblichen	माना	reported
angebot	प्रस्ताव	offer
angebote	सौदों	offers
angeboten	की पेशकश की	offered
angebracht	उचित	appropriate
angeführt	उद्धृत	adduced
angegeben	निर्दिष्ट	given
angegebenen	निर्दिष्ट	provided
angegriffen	हमला किया	affected
angehören	के संबंधित	belong to
angehörige	रिश्तेदारों	member
angehörigen	रिश्तेदारों	relatives
angehört	को सुना	heard
angekommen	पहुंच गए	arrived
angekündigt	की घोषणा की	announced
angel	बंसी	angel
angela	एंजेला	angela
angelegenheiten	कार्य	affairs
angelegt	बनाया था	put on
angelegte	बनाया था	established
angelegten	बनाया था	issue
angelehnt	अधखुला	based on
angeles	एंजिल्स	angeles
angels	स्वर्गदूतों	angels
angenommen	स्वीकार किए जाते हैं	assumed
angeordnet	व्यवस्था की	arranged
angepasst	अनुकूलित	adapted
angeregt	उत्साहित	suggested
angeschlossen	जुड़े हुए	associated
angeschlossenen	जुड़े हुए	affiliated
angesehen	देखी	highly reputated
angesehenen	आदरणीय	respected
angesichts	दिया हुआ	facing
angesiedelt	स्थित	settled
angesprochen	संबोधित	addressed
angestellte	कर्मचारियों	employees
angestellten	कर्मचारियों	employee
angestrebt	मांगा	sought
angestrebte	के लिए लक्षित	aspired
angewandt	लागू	applied
angewandte	लागू	applied
angewendet	लागू	applied
angewiesen	निर्भर	relies
angezeigt	दिखाया गया है	shown
angreifer	हमलावर	attacker
angrenzenden	सटा हुआ	adjoining
angriff	हमला	attack
angriffe	आक्रमण	attacks
angriffen	हमला किया	attacks
angriffs	हमला	attack
angst	चिंता	fear
anhaltende	दृढ़	continuous
anhaltenden	दृढ़	continuously
anhand	आधारित	by
anhang	आसक्ति	appendix
anhänger	लटकन	follower
anhängern	अनुयायियों	follower
aniston	एनिस्टन	aniston
anklage	आरोप	accusation
ankunft	आगमन	arrival
anlage	निवेश	plant
anlagen	निवेश	compound
anlass	अवसर	opportunity
anlehnung	झुकाव	based on
anlässlich	अवसर पर	on the occasion of
anmerkung	टिप्पणी	note
anmerkungen	टिप्पणियों	notes
ann	ऐन	ann
anna	अन्ना	anna
annahme	दत्तक ग्रहण	presumption
annahmen	ग्रहण	assumptions
anne	ऐनी	anne
annehmen	स्वीकार करना	assume
annimmt	मान लिया गया है	accepts
annähernd	लगभग	almost
annäherung	पहुंच	approach
anordnung	व्यवस्था	appointment
anpassung	अनुकूलन	adaption
anregung	उत्तेजना	idea
ans	ans	to
ansatz	पहुंच	approach
anschlag	हमला	attack
anschließend	बाद में	subsequently
anschließende	आगामी	following
anschließenden	आगामी	following
anschluss	संबंध	integration
anschläge	आक्रमण	attacks
ansehen	की ओर देखें	standing
ansicht	राय	outlook
ansichten	विचारों	opinions
ansiedlung	समझौता	settling
ansonsten	अन्यथा	apart from that
anspielung	इन्युएन्दो	allusion
anspielungen	संकेतों	innuendo
ansprache	भाषण	speech
ansprechen	से बात करें	contradict
anspruch	दावा	claim
ansprüche	उम्मीदें	claim
anstatt	के बजाय	instead
ansteckung	संक्रमण	infection
anstelle	के बजाय	instead
anstieg	वृद्धि	increase
anstrengungen	प्रयासों	efforts
ansässig	निवासी	resident
ansässige	निवासी	resident
ansässigen	निवासी	residentiary
ansätze	दृष्टिकोण	approaches
antarktis	अंटार्कटिक	antarctica
anteil	तुलना में	part
anteile	शेयरों	parts
antenne	एंटीना	antenna
anthony	एंथोनी	anthony
anthropologie	मनुष्य जाति का विज्ञान	anthropology
antibiotika	एंटीबायोटिक दवाओं	antibiotics
antidepressiva	अवसादरोधी	antidepressants
antike	प्राचीन	antique
antiken	प्राचीन	ancient
antikörper	एंटीबॉडी	antibodies
antisemitische	सामी विरोधी	anti-semitic
antisemitismus	यहूदी विरोधी भावना	anti-semitism
antoinette	antoinette	antoinette
anton	एंटोन	anton
antonio	एंटोनियो	antonio
antrag	आवेदन	application
antrieb	चलाना	drive
antwort	उत्तर	answer
antworten	जवाब दे दो	answers
antwortete	ने उत्तर दिया	answered
anus	गुदा	anus
anwalt	वकील	lawyer
anweisung	अनुदेश	assignment
anweisungen	अनुदेश	orders
anwendung	आवेदन	application
anwendungen	अनुप्रयोग	applications
anwesend	वर्तमान	present
anwesenden	वर्तमान	present
anwesenheit	उपस्थिति	presence
anzahl	संख्या	amount
anzeichen	संकेत	evidence
anzeige	प्रदर्शन	complaint
anzeigen	प्रदर्शन	advertise
anzunehmen	कल्पना करने के लिए	assume
anzusehen	देखने के लिए	to see
anzutreffen	मिलना	meet
apartheid	रंगभेद	apartheid
apple	सेब	apple
april	अप्रैल	april
arabisch	अरबी	arabic
arabische	अरब	arabic
arabischen	अरब	arabic
arbeit	काम	work
arbeiten	काम	work
arbeiter	मज़दूर	workers
arbeitet	काम कर रहा है	work
arbeitete	काम	worked
arbeiteten	काम	worked
arbeitgeber	नियोक्ता	employer
arbeitnehmer	मज़दूर	employee
arbeitsgemeinschaft	काम करने वाला समहू	society
arbeitslosenquote	बेरोजगारी दर	unemployment rate
arbeitslosigkeit	बेरोजगारी	unemployment
arbeitsmarkt	श्रम बाजार	labour markt
arbeitsplatz	कार्यस्थल	job
arbeitsplätze	नौकरियां	jobs
architekt	वास्तुकार	architect
architekten	आर्किटेक्ट	architects
architektur	आर्किटेक्चर	achitecture
archiv	पुरालेख	archive
archäologische	पुरातात्विक	archeologic
archäologischen	पुरातात्विक	archaeological
ard	अर्द	ard
are	कर रहे हैं	are
area	क्षेत्र	area
arena	अखाड़ा	arena
argentinien	अर्जेंटीना	argentina
argentiniens	अर्जेंटीना	argentinia's
argentinische	अर्जेंटीना	argentinean
argument	बहस	argument
argumente	बहस	arguments
argumentieren	लोगों का तर्क है	argue
aristoteles	अरस्तू	aristotle
arizona	एरिज़ोना	arizona
arm	गरीब	poor
arme	गरीब	poor
armee	सेना	army
armeen	सेनाओं	armies
armen	गरीब	poor
armenien	आर्मीनिया	armenia
arminius	arminius	arminius
armut	दरिद्रता	poorness
army	सेना	military force
arnold	अर्नोल्ड	arnold
art	कला	kind
arten	जाति	species
arthrose	जोड़बंदी	arthrosis
arthur	आर्थर	arthur
artikel	आइटम	articles
artikeln	सामग्री	articles
arzt	चिकित्सक	physician
asche	एश	ashes
aserbaidschan	आज़रबाइजान	azerbaijan
asiatische	एशियाई	asian
asiatischen	एशियाई	asian
asien	एशिया	asia
asiens	एशिया	of asia
aspekt	पहलू	issue
aspekte	पहलुओं	aspects
aspekten	पहलुओं	aspects
aspergersyndrom	एस्पर्जर सिन्ड्रोम	syndrome
association	संगति	association
astra	एस्ट्रा	astra
