$	$	$
+	+	+
`	`	'
a	egy	a
abas	mindkét	two
abc	abc	abc
abi	mindkét	both
abiem	mindkettőnek	two
abinieki	kétéltűek	amphibia
abiniekiem	kétéltűek	amphibians
abinieku	kétéltűek	amphibian
aborts	magzatelhajtás	miscarriage
abortu	magzatelhajtás	abortion
absolventi	pályakezdő	graduates
absolūta	abszolút	absolute
absolūtais	abszolút	the absolute
absolūti	teljesen	absolutely
absolūtisma	abszolutizmus	absolutist
absolūtisms	abszolutizmus	absolutism
absolūto	abszolút	absolute
absolūtā	abszolút	the absolute
absolūtās	abszolút	absolute
absorbcija	abszorpció	absorption
absorbē	elnyeli	absorb
abu	mindkét	two
abus	mindkét	two
abām	mindkét	two
abās	mindkettőben	two
acetamīds	acetamid	acetamide
aci	szem	wink
acinonyx	acinonyx	acinonyx
acis	szemek	eyes
ack	ack	ack
acs	szem	eye
acu	szem	eye
acīm	szemek	eye
acīmredzot	magától értetődően	obviously
acīs	szemek	eyes
ad	hirdetés	ad
adaptācija	alkalmazkodás	adaptation
address	cím	address
administratīvais	közigazgatási	administrative
administratīvi	közigazgatásilag	administrative
administratīvo	közigazgatási	administrative
administratīvā	közigazgatási	administrative
administratīvās	közigazgatási	administrative
administrācija	adminisztráció	administration
administrācijas	adminisztráció	administration
adrese	cím	address
adreses	címek	addresses
adresi	cím	address
adresēm	címek	addresses,
adrešu	cím	addresses
adrijas	adriai	adriatic
afganistāna	afganisztán	afghanistan
afganistānas	afganisztán	afghani
afganistānā	afganisztánban	afghanistan
afrodīte	afrodité	aphrodite
agregatori	aggregátor	aggregrator
agri	agrár	early
agrā	korai	early
agrāk	korábban	past,
agrāko	az egykori	earlier
agrākās	korábban	earlier
agrīno	korai	early
agrīnā	korai	early
agrīnās	korai	early
ahl	ahl	ahl
ahāts	achát	agate
aicina	felszólít	calls
aicināja	hívott	aicinaja
aids	aids	aids
aigars	aigars	aigars
ainas	ainas	scenes
ainava	tájkép	landscape
ainavas	tájak	our carbon
ainavu	tájkép	landscapecijas
aisbergs	úszó jéghegy	iceburg
aitas	juh	sheep
aiz	mögött	after
aizbēga	elfutott	fled
aizgūti	kölcsönzött	borrowed
aizgūts	kölcsönzött	borrowed
aiziet	elhagyni	leave
aiziešanas	indulás	aizesanas
aizjūras	tengerentúli	oversea
aizkraukles	hollók	aizkraukles
aizliedz	tiltott	prohibits
aizliedza	kitiltva	banned
aizliegta	tiltott	prohibited
aizliegts	tiltott	prohibited
aizliegums	tilalom	ban
aizliegumu	tilalom	ban
aizmugures	hátulsó	back
aizmugurē	hátul	behind
aizsardzība	védelem	guarding
aizsardzībai	védelem	protection
aizsardzības	védelem	protection
aizsardzību	védelem	protection
aizsardzībā	védelem	guarding
aizsarggrāvis	várárok	a moat
aizsargā	véd	protector
aizsargājamie	védett	protected
aizsargājamo	védett	protected
aizsargāt	megvédeni	defend
aizsargātu	véd	protect
aizslēgs	zár	shutter
aizstāt	cserélje	replace
aizstāvji	védők	defenders
aizstāvēja	védte	defended
aizstāvēt	megvédeni	defend
aizsāka	indult	started
aizsākumi	kezdetek	dates
aizsākās	indult	begins
aizvada	elvisz	removed
aizvadīja	költött	played
