$	$	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	° c	°c
آثار	вещи	ruins
آثارها	ефектите му	its antiques
آخر	още	last
آخرها	най-новите	last one
آخرون	други	others
آخرين	други	others
آخيل	ахил	acheles
آدم	адам	adam
آراء	мненията	opinions
آسكي	ascii	ascian
آسيا	азия	asia
آشوربانيبال	ашурбанипал	ashorbanibal
آل	най-	the
آلات	машини	tools
آلاف	хиляди	thousands
آلام	майката	pain
آلة	машина	machine
آلهة	gods	gods
آلية	механизъм	mechanism
آمن	сигурност	safe
آمنة	сейф	amina
آمون	амон	amon
آن	че	the same time
آنذاك	по това време	by then
آي	който	i
آيات	стихове	quran verses
آية	стих	verse
أ	а	a
أئمة	имамите	leaders
أب	баща	august
أبا	oppa	aba
أباتيت	апатит	apatit
أباه	баща му	his father
أبحاث	изследване	researches
أبدا	начало	never
أبداً	начало	at all
أبدًا	начало	never
أبرز	най-забележителни	most conspicuous
أبرزها	най-забележителни	the most obvious of them
أبريل	април	april
أبطال	champions	heroes
أبعد	далече	far
أبناء	деца	sons
أبنائه	синовете му	his sons
أبو	абу	abou
أبواب	врата	gates
أبوظبي	абу даби	abu dhabi
أبوه	баща му	his father
أبى	баща ми	dad
أبي	баща ми	father of
أبيب	тел	aviv
أبيه	баща му	his father
أتاتورك	ататюрк	atatork
أتباع	следното	followers
أتباعه	неговите последователи	his followers
أتت	дойде	came
أتى	дойде	came up
أثار	вещи	effected
أثارت	aroused	provoked
أثبت	доказа	proofed
أثبتت	доказвам	proved
أثر	ефект	effect
أثرت	повлиян	affect
أثره	ефектът му	his trace
أثرية	античен	antique
أثناء	по време на	during
أثينا	атина	athene
أجبر	принуден	forced
أجرام	престъпление	celestial bodies
أجراها	направено от	conducted by the
أجرى	бягай	conducted
أجريت	проведен	conducted
أجزاء	части	parts
أجسام	тела	bodies
أجل	да	sake
أجمع	събирам	agreed
أجمل	най-красивата	the most beautiful
أجنبية	чужда жена	foreign
أجنحة	крила	sections
أجهزة	устройства	equipment
أحادي	единичен	single
أحاديث	хадисите	ahaadeeth
أحب	обичам	the most loved
أحجية	пъзели	mystery
أحد	един	one of
أحداث	събития	event
أحدث	последния	the latest
أحدهم	някой	one of them
أحدهما	един от тях	one of them
أحزاب	страни	parties
أحسن	най-доброто	best
أحكام	провизии	decisions
أحلام	dreams	ahlam
أحمد	ахмад	ahmed
أحمدي	ахмади	ahmade
أحمر	червен	red
أحوال	условия	matters
أحياء	биология	districts
أحيان	понякога	sometimes
أحيانا	понякога	sometimes
أحياناً	понякога	often
أحيانًا	понякога	sometimes
أخاه	неговия брат	his brother
أخبار	новини	news
أخت	сестра	sister
أخته	неговата сестра	his sister
أخذ	снемане	take
أخذت	взех	took
أخر	още	another
أخرج	излез	go out
أخرى	друг	other
أخطاء	грешки	mistakes
أخطر	най-опасни	the most serious
أخلاقية	етичен	morality
أخوه	братя	his brother
أخيرا	накрая	finally
أخيه	неговия брат	his brother
أخيون	брат	achaens
أداء	производителност	performance
أداة	инструмент	tool
أدب	литература	literature
أدبية	литературен	literary
أدت	водени	resulted
أدخل	въведете	have been entered
أدرك	осъзнах	realized
أدلة	улики	evidences
أدناه	по-долу	down
أدنى	минимум	lowest
أدوار	ининг	roles
أدولف	адолф	adolf
أدوية	лекарства	drugs
أدى	водени	resulted
أدّت	водени	it caused
أدّى	извършва	led to
أذربيجان	азербайджан	azerbaijan
أراد	искам	wanted
أرادت	тя искаше	wants to
أراض	земи	territories
أراضي	земи	lands
أراضيها	нейна територия	lands
أرباع	кръгове	quarters
أربع	четири	four
أربعة	четири	four
أربعين	четиридесет	forty
أرجاء	разсрочено	sides
أرخبيل	архипелаг	archipelago
أرخميدس	архимед	archimed
أرسطو	аристотел	aristo
أرسل	изпрати	he sent
أرسلان	арслан	arsalan
أرسلت	изпратих	sent
أرسله	изпрати го	sent him
أرض	земя	land
أرضية	етаж	earth
أرقام	численост	numbers
أركان	стълбове	arkan
أرمينيا	армения	armenia
أزمة	криза	crisis
أس	ас	s
أسابيع	седмици	weeks
أساس	основа	basis
أساسا	в основата си	originally
أساساً	в основата си	base
أساسي	основен	main
أساسيا	съществен	essentially
أساسية	основен	essential
أساسًا	в основата си	principally
أساليب	техники	methods
أسامة	осама	osama
أسباب	причини	reasons
أسبانيا	испания	spain
أسبوع	седмица	week
أستاذ	професор	professor
أستراليا	австралия	australia
أسد	лъв	asad
أسر	заснемане	families
أسرار	тайните	secrets
أسرة	семейство	family
أسرته	неговото семейство	his family
أسرع	по-бързо	the quickest
أسس	установят	foundations
أسست	основан	established
أسسها	основал го	founded
أسطورة	легенда	legend
أسطول	флота	fleet
أسعار	цени	prices
أسعد	най-щастливото	as'ad
