$	$	dollar
+	+	plus
<>	&lt;&gt;	<>
=	=	equal to
==	==	==
>	&gt;	greterthan
 	 	sura
 × 	×	x
π	π	tt
అ		a
అంకారా	อังการา	ankara
అంకితం	ทุ่มเท	dedicated
అంకురార్పణ	ความคิดริเริ่ม	start
అంకె	จำนวน	digit
అంకెల	หลัก	numbers
అంకెలను	ตัวเลข	digits
అంకెలు	ตัวเลข	numerics
అంగదుని	angad	during the period of angadh
అంగారక	ดาวอังคาร	mars
అంగారకుడిపై	angarakudipai	on mars
అంగాలు	เพียงผู้เดียว	parts
అంగిలి	เพดานปาก	angali
అంగీకరించరు	ยอมรับ	accept
అంగీకరించలేదు	ได้รับการยอมรับ	did not accept
అంగీకరించారు	ได้รับการยอมรับ	agreed
అంచనా	โดยประมาณ	estimate
అంచనాల	ประมาณการ	estimates
అంచనాలు	การคาดการณ์	estimates
అంజలి	anjali	anjali
అంటాం	เรียกว่า	speaken
అంటాడు	กล่าวว่า	he says
అంటారు	คือ	tell
అంటార్కిటికా	ทวิปแอนตาร์กติกา	antarctica
అంటుంటారు	อ้างถึง	tell
అంటున్నారు	กล่าวว่า	telling
అంటూ	ที่นั่น	say
అంటే	อะไร	it menns
అండ	สนับสนุน	shelter
అండమాన్	อันดามัน	andaman
అండ్	และ	and
అంత	ผม	that much
అంతం	ปลาย	end
అంతకంటే	มากกว่า	earlier
అంతకు	ก่อน	then
అంతగా	มาก	so much
అంతటా	ตลอด	all over
అంతటి	เกิน	famous
అంతటితో	ตรงจุดนั้น	with that
అంతము	ปลาย	end
అంతరించిన	สูญพันธุ์	ending
అంతరిక్ష	ช่องว่าง	space
అంతర్	ฝัง	inter
అంతర్గత	ภายใน	seeply
అంతర్జాతీయ	ระหว่างประเทศ	international
అంతర్జాతీయంగా	ในระดับนานาชาติ	antarjateeyam
అంతర్జాలం	อินเทอร์เน็ต	internet
అంతర్జీవ	antarjiva	inside water
అంతర్భాగం	การตกแต่งภายใน	internal earth
అంతర్ముఖం	อินเตอร์เฟซ	interface
అంతర్యుద్ధం	สงครามกลางเมือง	battle
అంతర్వేది	ฝัง	anthervedi(place name)
అంతస్తుల	เรื่องราว	stories
అంతా	ทุกอย่าง	all
అంతిమ	สุดท้าย	end
అంతిమంగా	ในที่สุด	at last
అంతే	ที่	thats it
అంతేకాక	และ	not only that
అంతేకాదు		thats not
అంతేగాక	เพิ่มเติม	not only this
అంత్య	ปลาย	last
అందం	ความงาม	beauty
అందంగా	น่ารัก	beautifully
అందకుండా	ห้าม	not reachable
అందమయిన	สวย	beautiful
అందము	ความงาม	beautiful
అందమైన	สวย	beautiful
అందరి	ทุกคน	of all
అందరికి	ทั้งหมด	to everybody
అందరికీ	ทุกคน	for everyone
అందరినీ	ทั้งหมด	all
అందరు	ทั้งหมด	all
అందరూ	ทั้งหมด	all
అందానికి	ความงาม	to beauty
అందాల	ความงาม	beauty
అందించడం	หาก	giving to
అందించాడు	ให้	given
అందించారు	ให้	has given
అందించింది	ให้	gave
అందించిన	ให้	provided
అందించే	เสนอ	giving
అందిన	ใบเสร็จรับเงิน	received
అందిస్తాయి	เสนอ	gives
అందిస్తారు	เสนอ	provided
అందిస్తుంది	โปรโมชั่น	gives
అందిస్తున్నాయి	เสนอ	providing
అందుకని	เช่นนี้	thats way
అందుకనే	ทำไม	because
అందుకు		thats way
అందుకున్నాడు	ที่ได้รับ	received
అందుకున్నారు	ที่ได้รับ	taken
అందుకే	ทำไม	thats way
అందుచేత	ดังนั้น	so that
అందునా	ภายใน	in that
అందుబాటులో	ที่มีจำหน่าย	available
అందుబాటులోకి	ที่มีจำหน่าย	nearer
అందురు	หรือเป็นที่รู้จัก	all
అందువలన	ดังนั้น	because of that
అందువల్ల	ดังนั้น	because
అందువల్లనే	ดังนั้น,	that is why
అంపైర్	ผู้ตัดสิน	umpire
అంబెల్లిఫెరె	apiaceae	ambeliferre
అంబేద్కర్	แอมเบ็ด	ambedkar
అంశం	สิ่งของ	topic
అంశాన్ని	สิ่งของ	the subject
అంశాల	รายการ	subjects
అంశాలను	รายการ	things
అంశాలపై	บน	issues
అంశాలు	รายการ	parts
అకరణీయ	มีเหตุผล	rational
అకస్మాత్తుగా	ทันใดนั้น	suddenly
అకాంథేసి	akanthesi	acantaceae
అకాడమీ	สถานศึกษา	academy
అకారాది	พจนานุกรม	alphabatical order
అకృత్యాలు	การละเลย	cases
అక్క	น้องสาว	sister
అక్కడ	ที่นั่น	there
అక్కడకు	ที่นั่น	there
అక్కడక్కడా	มีฝนฟ้าคะนองกระจาย	some places
అక్కడి		that place
అక్కడికి	ที่นั่น	there
అక్కడినుండి	จากที่นั่น	that place
అక్కడే	ที่นั่น	there
అక్కినేని	akkineni	akkineni
అక్క్రీషణ్	การเพิ่ม	accretion disk
అక్టోబరు	ตุลาคม	october
అక్టోబర్	ตุลาคม	october
అక్బరు	อัคบาร์	akbar
అక్బర్	อัคบาร์	akbar
అక్షర	ตัวละคร	letter
అక్షరం	ตัวอักษร	letter
అక్షరమాల	ตัวอักษร	alphabets
అక్షరాల	จดหมาย	letters
అక్షరాస్యత	การรู้หนังสือ	literacy
అఖండ	ครบถ้วน	great
అఖిల	ทั้งหมด	all
అగస్త్యుడు	agastya	agasthyudu
అగ్గిపుల్ల	การจับคู่	matchstick
అగ్ని	ไฟ	fire
అగ్నికి	ไฟ	for fire
అగ్నిపర్వత	เกี่ยวกับภูเขาไฟ	volcano
అగ్నిపర్వతం	ภูเขาไฟ	mountains
అగ్నిపర్వతములు	ภูเขาไฟ	volcanos
అగ్నిపర్వతాల	ภูเขาไฟ	volacano mountains
