$	$	None
मालिश	masaj	Nan
मालिनी	malini	Nan
मालिकों	proprietarii	Nan
मालिकाना	proprietate	None
मालिक	proprietar	Nan
माला	ghirlandă	Nan
मालदीवज	maldive	Nan
मालदीव	maldive	Nan
माल	bunuri	None
मार्शल	mareșal	Nan
मार्मिक	emoționant	Nan
मार्टिन	martin	None
मार्चअप्रैल	martie aprilie	Nan
मार्च	martie	None
मार्गों	traseele	Nan
मार्गशीर्ष	cap de drum	Nan
मार्गरेट	margaret	Nan
मार	ucide	None
मारना	ucidere	Nan
मारने	a ucide	Nan
मारवाड़	marwar	Nan
मारा	lovit	None
मारी	mari	None
मालूम	cunoscut	None
मारीच	marich	Nan
मार्क	marcă	None
मार्क्स	marx	None
मार्क्सवाद	marxism	Nan
मार्क्सवादी	marxist	Nan
मार्ग	cale	None
मार्गदर्शन	îndrumare	Nan
मारे	ucis	None
माले	masculin	None
मासिक	lunar	None
मास्टर	maestru	None
मिथ्या	fals	Nan
मिनट	minut	Nan
मिनर्वा	minerva	None
मिनी	mini	Nan
मिर्च	ardei iute	Nan
मिर्ज़ा	mirza	Nan
मिथुन	zodia gemeni	Nan
मिर्जा	mirza	Nan
मिलकर	împreună	None
मिलती	obține	None
मिलते	te văd	Nan
मिलन	milano	None
मिलना	obține	None
मिलने	a întâlni	Nan
मिल	obține	None
माया	maya	Nan
मिथिला	mithila	Nan
मित्रों	prieteni	None
माह	lună	None
माहवारी	menstruaţie	Nan
माहौल	atmosfera	None
मिंग	ming	Nan
मिट	şters	Nan
मिटटी	sol	None
मिथक	mit	None
मिटा	şterge	Nan
मिट्टी	sol	None
मिठाई	dulce	None
मिडिया	mass-media	Nan
मित्तल	mittal	Nan
मित्र	prieten	None
मित्रता	prietenie	None
मिटाने	şterge	Nan
मिला	întâlnit	None
मायनों	sporadic	Nan
मामूली	minor	None
माध्यमिक	secundar	None
माधुर्य	melodie	None
माधुरी	madhuri	Nan
माधव	madhav	Nan
मादा	femeie	None
मादक	îmbătător	Nan
माथे	frunte	None
माथुर	pe scurt	Nan
मात्रा	cantitatea	None
मात्र	numai	None
मातृभाषा	tonul mamei	Nan
मातृ	mamă	None
मातापिता	mamă tată	Nan
माता	mamă	None
मातरम्	mataram	Nan
मात	outperform	Nan
माचिस	matchbox	Nan
मांगी	căutat	None
मांगे	mange	Nan
मांस	carne	None
मांसपेशियों	muşchii	Nan
मांसाहारी	non vegetarian	Nan
माइक्रो	micro	None
माध्यमों	mediumi	Nan
माइक्रोप्रोसेसर	cu microprocesor	Nan
माई	mai	None
माउंट	montură	Nan
माउण्ट	montură	Nan
