$	$	None
मालिश	மசாஜ்	Nan
मालिनी	மாலினி	Nan
मालिकों	உரிமையாளர்கள்	Nan
मालिकाना	தனியுரிம	Nan
मालिक	உரிமையாளர்	Nan
माला	கார்லண்ட்	Nan
मालदीवज	மாலத்தீவுகள்	Nan
मालदीव	மாலத்தீவு	Nan
माल	பொருட்கள்	None
मार्शल	மார்ஷல்	Nan
मार्मिक	தொடுதல்	Nan
मार्टिन	மார்ட்டின்	None
मार्चअप्रैल	மார்ச் ஏப்ரல்	Nan
मार्च	மார்ச்	None
मार्गों	வழிகள்	None
मार्गशीर्ष	சாலை தலை	Nan
मार्गरेट	மார்கரெட்	Nan
मार	கொல்லுங்கள்	Nan
मारना	கொலை	None
मारने	கொல்ல	Nan
मारवाड़	மார்வார்	Nan
मारा	வெற்றி	Nan
मारी	மாரி	None
मालूम	தெரிந்தவை	Nan
मारीच	மாரிச்	Nan
मार्क	குறி	None
मार्क्स	மார்க்ஸ்	None
मार्क्सवाद	மார்க்சியம்	Nan
मार्क्सवादी	மார்க்சிஸ்ட்	Nan
मार्ग	வழி	Nan
मार्गदर्शन	வழிகாட்டல்	Nan
मारे	கொல்லப்பட்டார்	None
माले	ஆண்	None
मासिक	மாதாந்திர	Nan
मास्टर	குரு	None
मिथ्या	பொய்	Nan
मिनट	நிமிடம்	Nan
मिनर्वा	மினெர்வா	Nan
मिनी	மினி	Nan
मिर्च	மிளகாய்	Nan
मिर्ज़ा	மிர்சா	Nan
मिथुन	ஜெமினி	Nan
मिर्जा	மிர்சா	Nan
मिलकर	ஒன்றாக	None
मिलती	பெறு	Nan
मिलते	சந்திக்கிறேன்	Nan
मिलन	மிலன்	Nan
मिलना	பெறு	Nan
मिलने	சந்திக்க	Nan
मिल	பெறு	Nan
माया	மாயா	None
मिथिला	மிதிலா	Nan
मित्रों	நண்பர்கள்	None
माह	மாதம்	None
माहवारी	மாதவிடாய்	None
माहौल	காற்றுமண்டலம்	Nan
मिंग	மிங்	None
मिट	அழிக்கப்பட்டது	Nan
मिटटी	மண்	None
मिथक	கட்டுக்கதை	Nan
मिटा	அழிக்க	None
मिट्टी	மண்	None
मिठाई	இனிப்பு	Nan
मिडिया	மீடியா	None
मित्तल	மிட்டல்	Nan
मित्र	நண்பர்	Nan
मित्रता	நட்பு	None
मिटाने	அழிக்க	None
मिला	சந்தித்தார்	Nan
मायनों	அவ்வப்போது	Nan
मामूली	மைனர்	None
माध्यमिक	இரண்டாம் நிலை	Nan
माधुर्य	மெல்லிசை	Nan
माधुरी	மாதுரி	Nan
माधव	மாதவ்	Nan
मादा	பெண்	None
मादक	போதை	Nan
माथे	நெற்றியில்	Nan
माथुर	சுருக்கமாக கூறினார்	Nan
मात्रा	அளவு	None
मात्र	மட்டும்	None
मातृभाषा	அம்மா தொடுதல்	Nan
मातृ	அம்மா	None
मातापिता	தாய் தந்தை	Nan
माता	அம்மா	None
मातरम्	மாதரம்	Nan
मात	சிறப்பாக செயல்படுங்கள்	Nan
माचिस	தீப்பெட்டி	Nan
मांगी	தேடியது	Nan
मांगे	மாங்கே	Nan
मांस	இறைச்சி	None
मांसपेशियों	தசைகள்	Nan
मांसाहारी	அசைவம்	Nan
माइक्रो	மைக்ரோ	None
माध्यमों	நடுத்தரங்கள்	Nan
माइक्रोप्रोसेसर	நுண்செயலி	Nan
माई	மாய்	Nan
माउंट	மவுண்ட்	None
माउण्ट	மவுண்ட்	None
माउन्टबेटन	மவுண்ட்பேட்டன்	Nan
माउस	சுட்டி	None
माघ	மாக்	Nan
