<i>	<i>	paragraph sign
a	een	a
c	c	c.
co	co	company
d	d	d
economic	economisch	economic
ed	red	edition
entertainment	amusement	entertainment
f	f	f
google	google	google
h	h	h.
ii	ii	ii
iii	iii	iii
iran	iran	iran
isbn	isbn	isbn
iv	iv	iv
ix	ix	ix
iншi	anderen	other
j	j	j.
k	k	k
l	l	l
left	links	left
m	m	m.
marketing	marketing	marketing
my	wij	my
n	n	n.
na	aan	at
o	o	o
over	over-	over
p	p	p
pp	pp	year
px	px	pixels
px|	px |	pixels
radio	radio	radio
rss	rss	rss
shippuuden	shippuuden	shipuuden
stadt	stad	village
state	staat	state
und	en	and
v	v	v
vi	u	vi
vii	vii	vii
viii	viii	viii
x	x	x
xi	xi	xi
xii	xii	xii
xiii	xiii	xiii
xiv	xiv	xiv
xix	xix	xix
xixxx	xixxx	xix-xx
xml	xml	xml
xv	xv	xv
xvi	xvi	xvi
xvii	xvii	xvii
xviii	xviii	xviii
xviiixix	xviiixix	xviii-xix
xviixviii	xviixviii	xvii-xviii
xvixvii	xvixvii	xvi-xvii
xvixviii	xvixviii	xvi-xviii
xx	xx	xx
xxi	xxi	xii
y	y	u
  	  	the word to translate is blank
 км	km	km
 м	m	meters
 млн	miljoen	mln
 млрд	miljard	billion
 р	p	year
 р 	p	year
 року	jaar	year
 році	jaar	year
 рр	рр	years
 тис	duizend	thousands
°с	° s	celsius
à	naar	of
а	en	and
абетка	alfabet	alphabet
абетки	alfabetten	alphabet
аби	abi	only
або	of	or
абсолютизму	absolutisme	absolutism
абсолютна	absoluut	absolute
абсолютний	absoluut	absolute
абсолютно	absoluut	absolute
абсолютної	absoluut	absolute
абсолютну	absoluut	absolute
авакум	avakum	habakkuk
аварії	ongevallen	accidents
август	augustus	august
августа	augustus	august
авон	avon	avon
австралія	australië	australia
австралії	australië	australia
австроугорської	oostenrijks-hongaars	austria-hungary
австроугорщини	oostenrijks-hongaars	austria-hungary
австрійська	oostenrijks	austrian
австрійський	oostenrijks	austrian
австрійської	oostenrijks	austrian
австрія	oostenrijk	austria
австрії	oostenrijk	austria
автобуси	bussen	buses
автомагістраль	snelweg	highway
автоматично	automatisch	automatically
автомобільний	auto-	automotive
автомобілів	auto&#39;s	cars
автономна	autonoom	autonoumuos
автономних	autonoom	autonomous
автономної	autonoom	autonomuos
автономні	autonoom	autonomous
автономію	autonomie	autonomy
автономія	autonomie	autonomy
автономії	autonomie	autonomy
автор	auteur	author
автора	auteur	author
автори	auteurs	authors
авторитет	gezag	authority
автором	door de auteur	author
авторство	auteurschap	authority
авторське	auteur	author
авторських	auteursrechten	author's
авторського	auteursrechten	author
авторські	auteursrechten	author's
