$	$	Nan
opción	aṣayan	Nan
opera	opera	Nan
operaciones	mosi	Nan
operación	isẹ	Nan
operador	oniṣẹ	Nan
operadores	awọn oniṣẹ	Nan
operar	ṣiṣẹ	Nan
operativo	ṣiṣẹ	Nan
operativos	ṣiṣẹ	Nan
opiniones	awọn ero	Nan
opinión	ero	Nan
opone	tako	Nan
oponen	àtakò	Nan
oportunidad	aye	Nan
oportunidades	awọn aye	Nan
opciones	awọn aṣayan	Nan
oposición	àtakò	Nan
op	op	Nan
ontología	ori	None
oleada	igbi	Nan
olga	olga	Nan
olmeca	olmec	Nan
olmecas	olmecs	Nan
olvidar	lati gbagbe	Nan
olímpico	olimpiiki	Nan
olímpicos	ere idaraya	Nan
omar	omar	Nan
oms	àjọ who	Nan
once	mọkanla	Nan
onda	igbi	Nan
ondas	igbi	Nan
one	ọkan	Nan
online	lori ila-	Nan
ono	bi beko	Nan
onu	un	Nan
ola	igbi	Nan
opositores	alatako	Nan
opuestas	alatako	Nan
ordenó	paṣẹ	Nan
ordinario	apanilẹrin	Nan
organismo	oni-iye	Nan
organismos	oganisimu	Nan
organiza	awọn oluṣeto	Nan
organizaciones	ajo	None
organización	agbari	Nan
organizada	ṣeto	Nan
organizadas	ṣeto	Nan
organizado	ṣeto	Nan
organizados	ṣeto	Nan
organizan	ṣeto	Nan
organizar	ṣeto	Nan
organizó	ṣeto	Nan
orgasmo	oofa	Nan
ordenar	paṣẹ	Nan
opuesta	idakeji	Nan
ordenamiento	fun	None
ordenadores	awọn kọmputa	Nan
opuesto	idakeji	Nan
opuestos	alatako	Nan
opuso	tako	Nan
or	tabi	None
oraciones	àdúrà	Nan
oración	gbolohun ọrọ	Nan
oral	ẹnu	Nan
orbital	orbital	Nan
orbitales	orbital	Nan
orden	paṣẹ	Nan
ordena	bibere	Nan
ordenación	ìlana	Nan
ordenada	paṣẹ	Nan
ordenado	ṣeto	Nan
ordenador	kọmputa	Nan
ordenados	ṣeto	Nan
ojos	oju	Nan
ojo	oju	Nan
oh	o	Nan
ocasionó	ṣẹlẹ	Nan
ocasión	aye	Nan
occidental	iwọ oorun	Nan
occidentales	iwọ oorun	Nan
occidente	oorun	Nan
oceanía	oceania	Nan
oceánica	òkun	Nan
oceánicas	òkun	Nan
oceánico	òkun	Nan
ochenta	ọgọrin	Nan
ocho	mẹjọ	Nan
ocio	fàájì	Nan
octava	ikẹjọ	Nan
octavio	octavius	Nan
octubre	oṣu kẹwa	Nan
ocasiones	awọn ayeye	Nan
ocular	orugun	Nan
ocasionalmente	lẹẹkọọkan	Nan
obviamente	o han ni	Nan
obstante	sibẹsibẹ	Nan
obstáculo	idiwọ	Nan
obstáculos	awọn idiwọ	Nan
obtención	gba	None
obtener	gba	None
obtenida	gba	None
obtenidas	gba	None
obtenido	gba	None
obtenidos	gba	None
obteniendo	gba	None
obtenía	gba	None
obtiene	gba	None
obtienen	gba	None
obtuvieron	wọn	None
obtuvo	gba	None
obvio	kedere	Nan
oculta	farapamọ	Nan
ocultar	tọju	Nan
ocupa	wa lori	Nan
of	ti	Nan
ofensiva	ibinu	Nan
oferta	ìfilọ	Nan
office	ọfiisi	Nan
oficial	osise	Nan
oficiales	awọn olori	Nan
oficialmente	ifowosi	Nan
oficina	ọfiisi	Nan
oficinas	awọn ọfiisi	Nan
oficio	iṣẹ	Nan
ofrece	awọn ipese	Nan
ofrecen	ìfilọ	Nan
ofrecer	ìfilọ	Nan
ofreció	ti a nṣe	Nan
ofrendas	awọn ipese	Nan
oeste	oorun	Nan
odiseo	odysseus	Nan
odisea	odyssey	Nan
odio	korira	Nan
ocupación	iṣẹ	Nan
ocupada	nṣiṣe lọwọ	Nan
ocupado	ti tẹdo	Nan
ocupados	nṣiṣe lọwọ	Nan
ocupan	gbalaye	Nan
ocupando	occupying	Nan
ocupar	gbalaye	Nan
orgullo	igberaga	Nan
ocuparon	ti tẹdo	Nan
ocurre	o n ṣẹlẹ	Nan
ocurren	waye	Nan
ocurrido	ṣẹlẹ	Nan
ocurrir	waye	Nan
ocurrió	ṣẹlẹ	Nan
océano	okun	Nan
océanos	òkun	Nan
ocupó	ti tẹdo	Nan
orgánica	organic	Nan
orgánicas	organic	Nan
orgánico	organic	Nan
panzer	paneli	Nan
papa	baba	Nan
papas	poteto	Nan
papel	iwe	Nan
papeles	awọn iwe	Nan
papiro	papyrus	Nan
paquete	package	Nan
paquetes	awọn idii	Nan
par	meji	Nan
para	fun	None
paradigma	awojiji	Nan
paraguay	paraguay	Nan
paraguaya	paraguayan	Nan
paralela	pọgba	Nan
paralelamente	pọgba	Nan
panteón	pantheon	Nan
paralelas	pọgba	Nan
pantalla	iboju	Nan
pandemias	ajakaye-arun	Nan
pakistán	pakistan	Nan
palabra	ọrọ	Nan
palabras	awọn ọrọ	Nan
palacio	ààfin	Nan
palacios	ààfin	Nan
paladar	aafin	Nan
palanca	lefa	Nan
paleolítico	tètè	None
palestina	palestine	Nan
palestinos	palestinians	Nan
palma	ọpẹ	Nan
palos	ọpá	Nan
pan	burẹdi	Nan
panamá	panama	Nan
pandemia	àrùn	None
panorama	panorama	Nan
paralelo	pọgba	Nan
paralelos	awọn afiwera	Nan
paramore	paramore	Nan
parker	adugbo	Nan
parlamentaria	ile igbimọ aṣofin	Nan
parlamento	ile igbimọ aṣofin	Nan
parpadeo	didẹ	Nan
parque	agba	None
parques	ogba	Nan
parte	apakan	Nan
parten	kuro	Nan
partes	awọn ẹya	Nan
participa	kopa	Nan
participación	ikopa	Nan
participado	kopa	Nan
participan	kopa	Nan
participantes	olukopa	Nan
participar	kopa	Nan
park	gbesile	Nan
paris	paris	Nan
parientes	ọmọ	None
pares	orisii	Nan
paraná	parana	Nan
paraíso	paradise	Nan
parcial	apa	Nan
parcialmente	ni apakan	Nan
pardo	brown	Nan
parece	o dabi pe	Nan
parecen	wọn	None
paja	koriko	Nan
parecer	dabi	Nan
parecido	jọra	Nan
parecía	dabi	Nan
pared	ogiri	Nan
paredes	odi	Nan
pareja	tọkọtaya	Nan
parejas	awọn tọkọtaya	Nan
parentesco	ibatan	Nan
parecida	bakanna	Nan
observó	mo ṣetọju	Nan
paisajes	awọn ala-ilẹ	Nan
pagos	awọn sisanwo	Nan
originarios	atilẹba	Nan
originó	ti ipilẹṣẹ	Nan
orillas	eti okun	Nan
orina	ito	Nan
orinoco	orinoco	Nan
orlando	orlando	Nan
orleans	oloye	None
oro	wúrà	Nan
orozco	orozco	Nan
orquesta	olutoju	Nan
ortega	ortega	Nan
ortodoxa	àtijọ	Nan
ortodoxos	àtijọ	Nan
ortografía	itanjẹ aranse	Nan
orígenes	awọn ipilẹṣẹ	Nan
originario	atilẹba	Nan
os	iwo	Nan
originaria	atilẹba	Nan
originalmente	ni akọkọ	Nan
orgánicos	organic	Nan
orgánulos	awọn ẹya ara	Nan
orientación	iṣalaye	Nan
orientada	iṣalaye	Nan
orientadas	iṣalaye	Nan
orientado	iṣalaye	Nan
oriental	ila-oorun	Nan
orientales	ila-oorun	Nan
oriente	ila-oorun	Nan
origen	oti	Nan
origina	wa	Nan
originado	ti ipilẹṣẹ	Nan
original	atilẹba	Nan
originales	atilẹba	Nan
originalidad	ipilẹṣẹ	Nan
originan	pilẹṣẹ	Nan
oscar	oscar	None
oscila	oscillates	Nan
oscilación	oscillation	Nan
oxidación	ifoyina	Nan
oxígeno	atẹgun	Nan
ozono	osonu	Nan
oído	eti	Nan
pablo	pọ́ọ̀lù	Nan
paciente	alaisan	Nan
pacientes	alaisan	Nan
pacto	majẹmu	Nan
pacífica	alaafia	None
pacífico	alaafia	None
padre	baba	Nan
padres	awọn obi	Nan
pagar	sanwo	Nan
page	oju iwe	Nan
pago	isanwo	Nan
oxford	oxford	Nan
ovario	nipasẹ ọna	Nan
out	jade	Nan
otto	otto	Nan
oscura	dudu	Nan
oscuras	dudu	Nan
oscuridad	okunkun	None
oscuro	dudu	Nan
oscuros	dudu	Nan
oso	jẹri	Nan
otan	nato	None
paisaje	ala-ilẹ	Nan
otomano	ilu ottoman	Nan
otorgado	funni	Nan
otorgó	funni	Nan
otoño	ṣubu	Nan
otra	omiiran	Nan
otras	awọn miiran	Nan
otro	omiiran	Nan
otros	awọn miiran	Nan
otorga	igbeowosile	Nan
participaron	kopa	Nan
observatorio	akiyesi	Nan
observar	ṣọ	Nan
necesarios	pataki	Nan
necesidad	nilo	Nan
necesidades	aini	Nan
necesita	nilo lati	Nan
necesitaba	nilo	Nan
necesitan	wọn	None
neerlandés	dutch	Nan
negación	kiko	None
negativa	odi	Nan
negativamente	ni odi	Nan
negativas	odi	Nan
negativo	odi	Nan
negativos	odi	Nan
negociaciones	awọn ijiroro	Nan
negociación	idunadura	Nan
necesario	pataki	Nan
negocio	ibaṣowo	Nan
necesarias	pataki	Nan
necesaria	pataki	Nan
naturalista	alamọdaju	Nan
naturalmente	nipa ti	Nan
naval	ologun	Nan
navales	ologun	Nan
navarra	navarre	Nan
navarro	navarrese	Nan
nave	ọkọ oju-omi	Nan
navegación	lilọ	Nan
navegador	aṣàwákiri	Nan
navegadores	aṣawakiri	Nan
naves	omi	None
navidad	keresimesi	Nan
nazi	ara nazi	Nan
nazis	nazis	Nan
nazismo	nazism	Nan
necesariamente	dandan	None
naturalismo	isurami	Nan
negocios	iṣowo	Nan
negras	dudu	Nan
neutro	didoju	Nan
neutrones	awọn ẹla ara	Nan
news	awọn iroyin	Nan
newton	newton	Nan
ni	bẹni	Nan
nicaragua	nicaragua	Nan
nicaragüense	nicaraguan	Nan
nick	lóyún	Nan
nickelodeon	nickelodeon	Nan
nicolás	nicholas	Nan
niega	sẹ	Nan
niegan	sẹ	Nan
nietzsche	nietzsche	Nan
nieve	yinyin	Nan
night	alẹ	Nan
neutralidad	ipinya	Nan
negra	dudu	Nan
neutral	didoju	Nan
neuronal	ara	Nan
negro	dudu	Nan
negros	dudu	Nan
negó	sẹ	Nan
nelson	nelson	Nan
neoliberalismo	neoliberalism	Nan
neolítico	neolithic	Nan
neruda	omobinrin	Nan
nervio	aifọkanbalẹ	Nan
nervios	ara	Nan
nerviosas	aifọkanbalẹ	Nan
nervioso	aifọkanbalẹ	Nan
neta	àwọn	Nan
network	nẹtiwọọki	Nan
neumonía	àìsàn òtútù àyà	Nan
neurona	neuron	Nan
neuronas	awọn iṣan ara	Nan
naturaleza	iseda	Nan
naturales	àbínibí	Nan
natural	àbínibí	Nan
mística	mysticism	Nan
módem	modẹmu	Nan
módems	awọn modẹmu	Nan
módulo	module	Nan
módulos	awọn modulu	Nan
móvil	alagbeka	Nan
móviles	mobiles	Nan
múltiple	lọpọlọpọ	Nan
múltiples	lọpọlọpọ	Nan
múnich	munich	Nan
músculo	iṣan	Nan
músculos	iṣan	Nan
música	orin	Nan
músico	olorin	Nan
músicos	awọn akọrin	Nan
mínimos	minima	Nan
n	n	Nan
mínimo	o kere ju	Nan
mínima	o kere ju	Nan
máximas	maxims	Nan
máximo	o pọju	Nan
máximos	giga	Nan
médica	egbogi	Nan
médicas	egbogi	Nan
médici	oogun	Nan
médico	dokita	Nan
médicos	egbogi	Nan
médula	ọra	Nan
mérito	anfani	Nan
método	ọna	Nan
métodos	awọn ọna	Nan
métrica	metiriki	Nan
méxico	meksiko	None
mí	emi	Nan
mínimas	o kere ju	Nan
na	ni	Nan
nace	bi	Nan
nacen	ti wa ni a bi	Nan
naranja	ọsan	Nan
nariz	imu	Nan
narra	sọ	None
narraciones	awọn asọtẹlẹ	Nan
narrador	akọọlẹ itan	Nan
narrativa	itan	Nan
narrativo	itan	Nan
naruto	naruto	Nan
nasa	ikoko	Nan
natal	abinibi	Nan
natalidad	ibi	Nan
national	orilẹ-ede	Nan
nativa	abinibi	Nan
nativo	abinibi	Nan
nativos	abinibi eniyan	Nan
napoleón	napoleon	Nan
nanotecnología	nanotechnology	Nan
nadie	kankan	None
nada	ohunkohun	Nan
nacer	bi	Nan
nacida	bi	Nan
nacido	bi	Nan
nacidos	bi	Nan
naciente	alaanu	Nan
nacieron	ni a bi	Nan
nacimiento	ibi	Nan
nikola	nikola	Nan
nacional	orilẹ-ede	Nan
nacionalidad	abínibí-èdè	Nan
nacionalismo	t’orilẹ-ede	Nan
nacionalista	t’orilẹ-ede	Nan
nacionalistas	nationalists	Nan
naciones	awọn orilẹ-ede	Nan
nació	a bi	Nan
nación	orílẹ-èdè	Nan
nacionales	orilẹ-ede	Nan
nilo	nile	Nan
ninguna	kò si	Nan
ninguno	kò si	Nan
numerosas	lọpọlọpọ	Nan
numerosos	lọpọlọpọ	Nan
numérica	nọmba	Nan
numérico	nomba	Nan
nunca	rara	Nan
nutrición	ounjẹ	Nan
nutrientes	awọn ounjẹ	Nan
n°	rárá.	Nan
nº	rárá.	Nan
náhuatl	nahuatl	Nan
nápoles	naples	Nan
níquel	nickel	Nan
nótese	akiyesi	Nan
núcleo	mojuto	Nan
núcleos	ìgbó	Nan
numeración	nọmba	Nan
número	nọmba	Nan
nulo	asan	Nan
nuevos	tuntun	None
nubes	awọsanma	Nan
nuclear	iparun	Nan
nucleares	iparun	Nan
nucleico	apọju	Nan
nucleicos	apọju	Nan
nucleótidos	awọn ẹla ara	Nan
nuestra	tiwa	Nan
nuestras	tiwa	Nan
nuestro	tiwa	Nan
nuestros	tiwa	Nan
nueva	tuntun	None
nuevamente	lẹẹkansi	Nan
nuevas	tuntun	None
nueve	mẹsan	Nan
nuevo	tuntun	None
nula	ofo	Nan
números	awọn nọmba	Nan
o	tabi	None
oasis	ajesara	Nan
obras	ìtàgé	Nan
obregón	obregon	Nan
obrera	oṣiṣẹ	Nan
obrero	oṣiṣẹ	Nan
obreros	osise	Nan
observa	wo	Nan
observable	akiyesi	Nan
observaciones	awọn akiyesi	Nan
observación	akiyesi	Nan
observado	šakiyesi	Nan
observador	oluwo	Nan
observadores	awọn alafojusi	Nan
observados	šakiyesi	Nan
observan	ṣọ	Nan
observando	wíwo	Nan
obra	iṣẹ	Nan
obligó	agbara	None
obligatorio	beere	Nan
obligatoria	agbara	None
obama	obama	Nan
obesidad	isanraju	Nan
obispo	bishop	Nan
obispos	awon bishop	Nan
objetiva	eredi	Nan
objetividad	ifura	Nan
objetivo	eredi	Nan
nube	awọsanma	Nan
objetivos	awọn afojusun	Nan
objetos	nkan	None
obliga	adehun	Nan
obligaciones	awọn adehun	Nan
obligación	ọranyan	Nan
obligada	agbara	None
obligado	rọ	Nan
obligados	owun	Nan
objeto	nnkan	Nan
