$	$	None
பதினான்கு	quattordici	None
பதினாறாம்	benedetto	None
பதினாறு	sedici	None
பதினெட்டாம்	diciottesimo	Nan
பதினெட்டு	diciotto	Nan
பதினெண்	patinen	Nan
பதித்த	costellato	Nan
பதினொரு	undici	None
பதிப்பானது	edizione	None
பதிப்பில்	edizione	None
பதிப்பு	edizione	None
பதிப்புகள்	versioni	None
பதிப்புரிமை	diritto d&#39;autore	Nan
பதிற்றுப்பத்து	patirruppattu	Nan
பதிப்பகம்	stampa	None
பதிலாக	invece di	Nan
பதி	registrazione	None
பதவியில்	in ufficio	Nan
பண்பாடுகளில்	nelle culture	Nan
பண்பாடுகளை	culture	None
பண்பாடுகள்	culture	None
பண்பாடும்	culture	None
பண்பாட்டின்	di cultura	Nan
பண்பாட்டில்	nella cultura	Nan
பதவியை	inviare	None
பண்பாட்டு	etichetta	None
பண்பாட்டுக்கு	alla cultura	Nan
பண்பாட்டுச்	cultura	None
பண்பு	cortesia	Nan
பண்புகளை	attributi	Nan
பண்புகள்	proprietà	None
பதவிக்கு	ufficio	None
பண்பாட்டுக்	cultura	None
பதில்	rispondere	None
பதிவகம்	registro	None
பதிவிறக்கம்	scarica	Nan
பனிப்போர்	guerra fredda	Nan
பனிமனிதன்	pupazzo di neve	Nan
பனியருவி	paniyaruvi	Nan
பனை	palma	None
பன்னாட்டு	multinazionale	Nan
பன்னாட்டுக்	internazionale	None
பனிப்	freddo	None
பன்னிரண்டு	dodici	None
பன்னிரெண்டு	dodici	None
பன்முக	plurale	None
பன்முகத்தன்மை	diversità	None
பன்மை	plurale	None
பன்றி	maiale	Nan
பன்றிக்	suino	Nan
பன்னிரு	dodici	None
பனிக்கட்டி	ghiacciato	Nan
பனி	neve	None
பனாமா	panama	Nan
பதிவுகள்	messaggi	None
பத்தாண்டுகளில்	nel decennio	Nan
பத்தாம்	decimo	None
பத்திரிகை	giornale	None
பத்திரிகைகள்	riviste	None
பத்திரிக்கை	stampa	None
பத்து	dieci	None
பத்துப்பாட்டு	pattupattu	Nan
பத்தொன்பதாம்	diciannovesimo	Nan
பத்மநாதன்	pathmanathan	Nan
பந்தய	da corsa	Nan
பந்தயம்	gara	None
பந்து	palla	None
பந்தை	palla	None
பந்தைக்	palla	None
பண்பாடு	cultura	None
பண்பலை	fm	Nan
பண்ணைகள்	farms	Nan
பண்ணை	azienda agricola	Nan
படையில்	vigente	Nan
படையெடுத்து	invasa	Nan
படையெடுப்பின்	invasione	Nan
படையெடுப்புக்கு	invasore	Nan
படையை	esercito	None
பட்ச	minimo	None
படையின்	vigore	None
பட்சத்தில்	nell&#39;eventualità	Nan
பட்ட	il	None
பட்டங்களும்	gradi	None
பட்டது	ridipinto	Nan
பட்டனர்	erano	None
பட்டம்	grado	None
பட்டயங்கள்	swords	Nan
பட்சம்	meno	None
படையினர்	soldati	None
படையணிகள்	divisioni	None
படைப்புகள்	creazioni	Nan
படுத்தப்பட்ட	sistematico	None
படுத்தப்பட்டது	sono stati fatti	Nan
படுத்தி	cenno	Nan
படுத்தும்	reputato	Nan
படும்	volere	None
படை	truppe	None
படைகளால்	dalle truppe	Nan
படைகளின்	forze	None
படைகளில்	forze	None
படைகளை	truppe	None
படைகள்	forze	None
படைத்த	creatore	None
படைத்துறை	militare	None
படைப்பு	offerte	None
படைப்புகளில்	nei lavori	Nan
பட்டியலில்	elenco	None
பப்பாளி	papaia	Nan
பட்டியல்	elenco	None
பட்டு	felpa	Nan
பணிகள்	funzioni	None
பணிபுரிந்தார்	lavorato	None
பணிபுரியும்	lavorando	None
பணியாகும்	compito	None
