$	$	Nan
polen	польща	None
police	поліція	None
politici	політиків	Nan
politicus	політик	Nan
politie	правозастосування	Nan
politiek	політика	None
politieke	політичні	None
polo	поло	Nan
poly	полі	None
pompeius	помпезний	Nan
pompen	насоси	Nan
pont	пором	Nan
pony	поні	Nan
pools	польська	None
poolse	шліфувати	Nan
polders	польдери	Nan
poort	ворота	None
pokémon	покемон	Nan
points	бали	Nan
plichten	мита	Nan
ploeg	плуг	Nan
ploegen	оранка	Nan
plot	сюжет	None
plotarea	plotarea	Nan
plotdata=	сюжетні дані =	Nan
plotseling	раптом	Nan
plotselinge	раптовий	Nan
plus	плюс	None
po	по	None
podium	етап	None
poes	кіт	Nan
poging	спроба	None
pogingen	спроби	None
point	бал	Nan
poker	покер	Nan
poorten	ворота	None
poot	нога	Nan
pop	лялька	Nan
positie	положення	None
positief	позитивний	Nan
posities	позиції	None
positieve	позитивний	Nan
post	пост	None
postuum	посмертно	Nan
poten	ніжки	Nan
potentieel	потенціал	None
potentiële	потенціал	None
potomac	потомак	Nan
potter	гончар	Nan
power	потужність	None
poëzie	поезії	None
praag	прага	Nan
praagse	молитися	Nan
pos	поз	Nan
portugezen	португальська	None
portugese	португальська	None
portugees	португальська	None
popart	поп-арт	Nan
popmuziek	поп-музика	Nan
populair	популярний	None
populairder	більш популярні	Nan
populaire	популярний	None
populairste	найпопулярніше	Nan
populariteit	популярність	None
plezier	задоволення	None
populatie	населення	None
pornografie	порнографія	Nan
port	портвейн	Nan
portaal	портал	None
porto	поштові витрати	Nan
portret	портрет	None
portretten	портрети	None
portugal	португалія	None
populaties	популяції	None
prachtige	чудова	Nan
plekken	плями	Nan
pleinen	квадрати	Nan
pim	прищик	Nan
pink	маленький палець	Nan
pinksteren	п&#39;ятидесятниця	Nan
pippi	пеппі	Nan
piramide	піраміда	None
piramiden	піраміди	None
piramides	піраміди	None
pirate	пірат	Nan
pisang	пісанг	Nan
pitt	пітт	Nan
pius	пій	Nan
pk	кінські сили	Nan
plaat	тарілка	Nan
plaats	місце	None
plaatse	пляма	Nan
piloot	пілот	Nan
plaatselijk	місцеві	None
pilatus	пілатус	Nan
pijnlijk	болісно	Nan
pianist	піаністка	Nan
piano	фортепіано	None
picasso	пікассо	None
picchu	пікчу	Nan
pico	піко	Nan
piece	шматок	Nan
pier	пристань	Nan
piercing	пронизливий	Nan
piercings	пірсинг	Nan
pierre	пристань	Nan
piet	піт	Nan
pieten	п&#39;єтен	Nan
pieter	пітер	Nan
pietro	піетро	Nan
pijn	біль	None
pijnlijke	болісно	Nan
plaatselijke	місцеві	None
plaatsen	місце	None
plaatsgevonden	сталося	None
platen	тарілки	Nan
platenlabel	лейбл	Nan
platenmaatschappij	звукозаписна компанія	Nan
platentektoniek	тектоніка плит	Nan
platform	платформа	None
platina	платина	Nan
platte	квартира	Nan
platteland	країна	None
play	грати	None
player	гравець	Nan
playstation	ігрова приставка	Nan
plaza	площа	None
pleegde	вчинено	Nan
plegen	вчинити	Nan
plein	майдан	None
plateau	плато	None
plat	квартира	Nan
plastic	пластикові	Nan
plassen	пісяти	Nan
plaatsje	місто	None
plaatst	місця	None
plaatste	розміщений	Nan
plaatsvinden	відбуватися	Nan
plaatsvindt	відбувається, має місце, проходить	Nan
plaatsvond	сталося	None
plafond	стеля	Nan
plek	місце	None
plan	план	None
planeten	планети	None
plannen	план	None
planning	графік	None
plant	рослина	Nan
plantages	плантації	Nan
planten	рослини	None
plantensoorten	види рослин	Nan
planeet	планети	None
pi	пі	Nan
praktijk	практика	None
praktisch	практичні	Nan
provincie	провінція	None
provincies	провінції	None
provinciën	провінції	None
provocatus	провокатус	Nan
proxyserver	проксі-сервер	Nan
pruisen	пруссія	Nan
pruisische	прусський	Nan
ps	пс	Nan
psv	psv	Nan
psychiatrische	психіатричний	Nan
psychisch	психологічно	Nan
psychische	психічний	Nan
psychoanalyse	психоаналіз	Nan
psychologie	психологія	None
psychologische	психологічний	Nan
provinciale	провінційний	Nan
psychose	психоз	Nan
protocol	протокол	Nan
protestantse	протестант	Nan
progressieve	прогресивний	Nan
project	проект	None
projecten	проектів	None
prominente	видатний	None
promoten	сприяти	Nan
promotie	просування	None
prooi	здобич	Nan
prooidieren	здобич тварин	Nan
prooien	здобич	Nan
propaganda	пропаганда	Nan
prostitutie	проституція	Nan
protest	протестувати	Nan
protestanten	протестанти	Nan
protestantisme	протестантизм	Nan
protestants	протестант	Nan
protesten	протести	Nan
psychotische	психотичний	Nan
ptolemaeus	птолемей	Nan
puberteit	статеве дозрівання	Nan
q	q	Nan
qua	ква	Nan
quarto	кварту	Nan
que	черга	Nan
queen	королева	Nan
queens	королеви	Nan
quod	квад	Nan
québec	квебек	Nan
r	r	Nan
ra	ра	Nan
raad	порада	Nan
raakt	дотики	Nan
raakte	хіт	Nan
raakten	хіт	Nan
race	гонка	Nan
pänchen	pänchen	Nan
pythagoras	піфагор	None
pyreneeën	піренеї	Nan
pvv	пвв	Nan
public	громадські	None
publicatie	видання	None
publicaties	публікацій	None
publiceerde	опубліковано	None
publiceren	опублікувати	Nan
publiciteit	гласність	Nan
publiek	аудиторії	None
programmas	програм	None
publieke	громадські	None
puerto	пуерто	Nan
punk	панк	Nan
punt	бал	Nan
punten	бали	Nan
pure	чистий	None
puur	чистий	None
pvda	pvda	Nan
publiekelijk	публічно	Nan
praktijken	практики	None
programma	програма	None
profeten	пророків	Nan
prestigieuze	престижно	Nan
preventie	профілактика	Nan
priem	шило	Nan
priemgetal	просте число	Nan
priemgetallen	прості числа	Nan
priester	священик	Nan
priesters	священики	None
prijs	ціна	None
prijzen	ціни	None
prikkels	стимули	Nan
primair	первинний	Nan
primaire	первинний	Nan
primaten	примати	Nan
primera	primera	Nan
primitieve	примітивні	Nan
prestaties	виконання	None
prince	князя	None
prestatie	виконання	None
presidentsverkiezingen	президентські вибори	Nan
praktische	практичні	Nan
praten	розмовляти	Nan
precies	точно	None
precieze	точні	None
prehistorie	передісторія	Nan
premier	прем&#39;єр-міністр	Nan
premiers	прем&#39;єр-міністри	Nan
première	прем’єра	Nan
presentatie	презентація	Nan
presentator	ведучий	Nan
presentatoren	ведучі	Nan
presenteerde	представлено	None
president	президент	None
presidenten	президенти	Nan
presidentschap	президентство	Nan
presley	преслі	Nan
principe	принцип	None
principes	принципи	None
prins	принц	Nan
produceerde	виробляється	Nan
produceert	виробляє	None
producent	виробник	None
producenten	виробники	Nan
producer	виробник	None
produceren	виробляти	Nan
product	продукт	None
producten	продукція	None
productie	виробництво	None
proeven	смак	Nan
prof	проф	None
profeet	пророк	Nan
professioneel	професійний	None
professionele	професійний	None
professor	професор	Nan
prodigy	блуд	Nan
processen	процеси	None
