$	ps	your
+	+	+
<i>	<i>	me
<i><i>	<i><i>	<me><i>
<wareega	<wareega	<round
=	=	=
==	==	==
===xoriyadii	=== libertad	===xoriyadii
a	una	a
aa	una	he was
aaayadda	verso	aaayadda
aabaha	el padre	father
aabahayo	nuestro padre	aabahayo
aabbe	padre	father
aabbihii	su padre	father
aabbihiis	su padre	his father
aabe	padre	father
aabihii	el padre	his father
aabihiina	mi padre	aabihiina
aabihiis	su padre	his father
aabihiisna	su padre	aabihiisna
aad	tú	you
aada	vamos	walk on to
aadam	humanidad	adam
aadamka	humanos	human being
aadamuhu	humanidad	deprived
aadan	tú	you do
aadanaha	seres humanos	human
aadanuhu	humanos	human
aaday	fuimos	he went to
aaden	tu fuiste	aden
aadey	ido	out where
aadka	muy	toss
aadna	vamos	and
aado	ir	to go to
aafo	una crisis	disaster
aagga	zona	area
aaggii	la zona	aaggii
aakhiraa	en el más allá	aakhirraa
aakhiraba	en el más allá	hereafter
aakhirana	en el más allá	next
aakhiro	en el más allá	hereafter
aakhiroba	el más allá	speak evil things
aalacimraan	se han ido	aalacimraan
aalo	una herramienta	questions about
aamdiga	confesión	aamdiga
aamin	confiar	secure
aaminaan	creer	trust
aamini	fiel	trust
aamino	creer	a
aaminsan	creer	believe
aaminsanyahay	créame	thought
aaminsanyihiin	creer	emotions
aamisan	créelo	believe that
aammiin	créeme	amen
aamus	silencio	silence
aan	no	i
aanan	yo no	i
aanay	ellos no	not
aannaan	no lo hicimos	we
aannu	nos	we
aanu	compasión	not
aanuu	sin	does not
aar	aar	revenge
aargoosi	venganza	revenge
aas	entierro	bury
aasaar	entierro	aasaar
aasaarta	entierro	aasaarta
aasaartan	esta base	ancient
aasaasaha	el fundador	aasaasaha
aasaasay	fundado	he founded
aasaasayaasha	fundadores	founders of
aasaasayaashii	los fundadores	founders of
aasaasi	básico	basic
aasaasiga	básico	the fundamental
aasaasihii	fundador	of
aasaaska	la fundación	foundation
aasaaskii	la fundación	the foundation
aasaastay	fundado	laid the foundation of
aasaasy	fundación	aasaasy
aasan	descanso	get buried
aasanyahay	enterrado	assanyahay
aasay	enterrado	he buried
aasaynaa	enterrar	aasaynaa
aasiya	asia	asia
aasiyamaanta	su inactividad	assiyamaanta
aasiyo	cariñoso	aasiyo
aay	aay	hey you
aayadaha	versos	verses
aayadda	verso	verse
ab	ab	non
abaabul	movilizar	coordination
abaabulay	organizado	he organized
abaal	recompensa	reward
abaalmariyo	recompensas	he may reward
abaar	sequía	drought
abaaro	tornillo	droughts
abaarso	objetivo	abaarso
abaarta	sequía	abbarta
abaartii	la sequía	drought spell
ababa	el siguiente	addis ababa
ababuleen	abolido	ababuleen
abd	abd	abd
abdalle	abdalle	abdalle
abdi	abd	abdi
abdirahman	amigo	abdirahman
abdirashid	abdrashid	take care
abdul	el abdul	abdul
abdulkarim	abdulkarim	abdulkarim
abdullah	abdullah	abdullah
abdullahi	mis amigos	abdullahi
abdulle	abdulle	abdulle
abdulrahman	el abdulrahman	abdul rahman
abdulsalam	abdulsalam	abdulsalam
abeba	mariposa	capital of ethiopia
abgaal	cuchara	abgal
abii	etc.	abii
abiidhaalib	alianza	abiidhaalib
abiikar	al menos	abikar
abil	hábil	abil
abkhazia	abjasia	"abkhazia "" disputed territory and considers itself an independent state"
abokar	amigo	abokor and muuse
abokor	amigo	abokor
abooreey	serpiente	abooreey
abraha	abras	abraha
abriil	abril	april
abroone	abroone	abroone
absame	absame	tribe
abshir	abshir	abshir
absuge	absuge	absuge
abti	tío	maternal uncle
abtigiis	su tío	abtigiis
abtirisiinyihiisu	innumerable	abtirishiinyihiisu
abtirsada	genealogía	between
abtirsadaan	genealogía	came originally from
abtirsiinyada	genealogía	waste time
abtiyaashiis	ascendencia	abtiyaashiis
abu	cosa	abu
abul	abul	abul
abuu	crear	abu
abuubakar	creador	abubakar
abuubakari	creador	abuubakari
abuukar	creador	abukar
abuuraa	crea	he creates what he pleases
abuurantay	creado	then established
abuuray	creado	he created
abuurey	creado	mate
abuuro	crear	create
abuurtay	creado	has forged it?
abwaan	artista	artist
