$	$	$
+	+	+
+°c	+ ° c	+c
=	=	=
a	een	a
ab	ab	eu
abbas	abbas	abbas
abbasilər	abbasiden	abbasis
abbasov	abbasov	abbasov
abbasqulu	abbasqulu	abbasgulu
abbaszadə	abbaszade	abbaszadeh
abbasın	abbasın	abbas
abdulla	abdulla	abdullah
abdullayev	abdullayev	am
abidə	monument	monument
abidələr	monumenten	monuments
abidələri	monumenten	monuments
abidələrin	monumenten	monuments
abidələrindən	monumenten	monuments
abidələrinin	monumenten	monuments
abidənin	van het monument	monument
abidəsi	monument	monument
abş	vs	abs
abşa	abşa	absa
abşda	in de verenigde staten	usd
abşeron	absheron	of
abşeronun	van absheron	absheron
abşın	abşin	the u.s.
ac	ac	news
access	toegang	access
aclıq	honger	hunger
acınohur	acınohur	ajinohur
ad	advertentie	name
ada	ada	island
adada	op het eiland	the island
adalar	eilanden	islands
adaları	eilanden	islands
adaların	van de eilanden	islands
adalarında	op de eilanden	the islands
adam	mens	man
adama	mens	man
adambaşına	per hoofd	per capita
adamlar	mensen	people
adamlara	aan de mensen	people
adamları	mannen	people
adamların	van mannen	people
adamlarının	van je mannen	people
adamus	mens	adamus
adamı	mens	man
adamın	van de man	people
adanı	het eiland	island
adanın	van het eiland	the island
adası	eiland	island
adasına	naar het eiland	island
adasında	op het eiland	island
adasının	van het eiland	island
addım	stap	step
addımlar	stappen	steps
addımı	stap	step
addır	is de naam	is the name
adi	naam	ordinary
adil	adil	just
adlanan	gebeld	the so-called
adlandırmaq	bellen	call
adlandırmışlar	ze riepen	as the
adlandırılan	gebeld	called
adlandırıldı	was genaamd	renamed
adlandırılmışdır	was genaamd	named
adlandırılıb	was genaamd	was named
adlandırılır	wordt genoemd	referred to as the
adlandırır	oproepen	as
adlandırırdılar	ze riepen	called
adlandırırlar	zij bellen	adlandirilar
adlanır	wordt genoemd	is called
adlanırdı	heette	was called
adlar	namen	names
adları	namen	names
adlarına	aan hun namen	titles
adlarından	van hun namen	names
adlarını	hun namen	the names of the
adlarının	van hun namen	names
adlı	gebeld	forencic
adlısanlı	genaamd	adlisanli
admiral	admiraal	admiral
adna	adna	asoa
adnada	adnada	asoa
adnanın	van de naam	adnanin
adolf	adolf	adolf
adr	adr	adr
adriatik	adriatisch	adriatic
adurbadaqan	adurbadaqan	adurbadaqan
adı	naam	ordinary
adın	uw naam	your name
adına	namens	named
adında	in de naam van	named
adından	van naam	on behalf of
adını	zijn naam	name
adının	uw naam	adlnln
adıyla	in de naam van	the name of the
adət	gewoonte	two
adəti	gewoonte	number
adətləri	gewoonten	traditions
adətən	meestal	usually
aerodinamika	aërodynamica	aerodynamic
afina	athene	athens
afrika	afrikaanse	africa
afrikada	in afrika	africa
afrikanın	van afrika	africa
afşin	afshin	afsin
agentliyi	agentschap	agency
aid	behoren	about
aiddir	aiddir	apply
aiddirlər	behoren tot	are
ailə	familie	family
ailədə	in het gezin	family
ailələri	gezinnen	families
ailənin	van de familie	family
ailəsi	familie	family
ailəsində	in het gezin	family
ailəsini	zijn familie	family
ailəsinin	van zijn familie	family
ailəsinə	aan zijn familie	family
ak	ak	ak
akademik	academisch	academic
akademiya	academie	academy
