aajo	konyol	hospitality
aala	berbatasan	border
aanu	kasih sayang	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	kelumpuhan	fasting
abala	bagian	division
abeikojopo	ahli waris perempuan	subset
abeorile	kepulangan	nation
abesahara	percikan	under the sahara
abidi	alfabet	abidi
abidjan	pernah	abidjan
abo	wanita	security
aburunmu	kekejian kita	reduced in value, diminished
abálájo	berpengalaman	that is why
abé	jarum	under
abínibí	kebangsaan	inborn
abúléko	desa	village
accra	accra	accra
adaba	mudah	factor
adabaye	baiklah	previously-existing
adarihunrun	pembersih	human
addis	addis	addis
adeda	alam	creator
adiokan	tersendiri	stubbornness
adágbà	lebih tua	adagba
adúgbò kútò	tetangga di jalan	kuto area
adúgbò mókóla	mukosa mukosa	mokola area
adúgbò quarry	tetangga tambang	neighborhood
adúgbò ìdí	alasan lingkungan	area
afida	keluarga	element
afomo	sebagai contoh	cleansing
afoyemo	ringkasan	abstract
africa	afrika	africa
african	afrika	ara afrika
africans	orang afric	africans
aféfé	kincir angin	air
agba	cat	principal
agbado	jagung	maize
agbara	kekuasaan	power
agbaye	dunia	world
agbeinadie	tanah pertanian	semi-conductor
agbà	seorang dewasa	adult
agbàbò	pelindung	adopted child
agbára	kekuasaan	power
agbéiná	pemadam kebakaran	conductor
agio	menangis	agio
aintimulo	aintimulo	un-exploited
aisi	kekurangan	lack
ajagun	anjing	ajagun
aje	ekonomi	trade
ajemoroyin	interogasi	reporting
ajibola	jadwal acara	ajibola
ajo	perjalanan	firms
ajoro	perjalanan	discussion
ajọra	replika	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artileri	akinpelu
akokolo	titik	period
akole	kita tidak bisa	title
akoni	kita tidak memiliki	teacher
akopa	pertama dan terutama	participant
akopo	kompilasi	assembly
akátá	serigala	african american
akíkanjú	berani	courageous
akíngbógun	batalyon	akingbogun
akẹ́kọ̀ọ́	siswa	students
ala	turun	limit
alaabo	cacat	protection
alaadanida	tidak diinginkan	individual
alaafia	perdamaian	peace
alaafin	palsu	alaafin
aladaani	pribadi	privately-owned
aladani	pribadi	self-owned
aladanida	sewenang-wenang	private
alaidogba	tidak seimbang	unequal
alaigbara	sangat menarik	neutron
alaini	miskin	the poor
alakitiyan	aktivis	activist
alakobere	pemula	primary
alalaye	bersahaja	explanatory
alawose	ramalan	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	kemerdekaan	independent
alpha	alfa	alpha
alubàbá	ayah	drummer
alukuraani	qur&#39;an	quran
alumoni	kuratif	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	pemrakarsa	primary education
alápapò	penggantian	general
alátise	artis	alatise
aláyèwò	inspektur	expert
aláísàn	sakit	the sick
alúwo	ledakan	traditional cults
alọ́po	dompet	tied
amazonas	amazonas	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	mobil atap terbuka	reform
amosi	mesjid	amos
améríkà	amerika	america
améríkà	amerika	america
an	sebuah	him
anabi	nabi	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	selatan	southern
apaguusuilaorun	barat daya	south-western
apaguusuiwoorun	barat daya	part of the south
apailaorun	matahari terbit	east side
apaiwoorun	barat	eastern side
aparapo	kombinasi	confederation
apeja	nelayan	fisherman
apeere	sebagai contoh	example
apis	lebah	apis
apòmù	celemek	apomu
apẹ̀rè	celemek	example
arabu	arab	arab
aralíle	tropis	healthy body
arinkankan	yang ini	nationalist
ariso	aris	oral tradition
ariwaarin	timur tengah	mid-north
ariwaguusu	barat daya	north-south
arkansas	arkansas	arkansas
aroko	tumbuh-tumbuhan	composition
aruleyin	halo	carried on the back
arun	penyakit	disease
aryan	aryan	aryan
aráa	saudara	people from
arábíà	alfabetis	arabia
aráròmí	halo	araromi
arópò	penyuapan	substitute
arúgbó	usia tua	elderly
arọ	kuno	cripple
asagun	kemenangan	intial, first (referring to the 13 colonies)
ascii	temukan	ascii
aseeto	penyelesaian	unfair
aseyori	keberhasilan	success
asipa	deviasi	first to kill
assessment	penilaian	ayewo
asìko	omong kosong	time; ni asiko=when
asèdá	alami	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	diterima	from time
atimo	rencana	inland
atinrin	tertawa	thin
atun	mundur	also
atunse	koreksi	revision
australia	australia	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesia	austronesian
austríà	australia	austria
avar	avar	avar
awari	penemuan	discovery
awo	piring	of
awonara	emosi	people of
awoòn	templat	people
awon	mereka	they
awuruju	gaib	shady
awùjo	kesopanan	society
awújẹ	skandal	root
aya	ayat	chest
ayeye	kekekalan	celebration
ayàfi	itu baik-baik saja	only if
ayò	ay	game
azikiwe	akal sehat	azikwe
aṣòkan	individu	united
baa	adalah	be with
babaláwo	laba laba	herbalist
bahrain	bahrain	bahrain
balẹ̀	biarkan dia	settled
bang	bang	bang
banle	banle	banle
bara	tahun lalu	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	sekarang	like this
bayìí	sekarang	this
bce	jauh	bce
beauharnais	beauharnais	beauharnais
beijing	beijing	beijing
belarus	belarus	belarus
belgium	belgium	belgium
bengal	benggala	bengal
bengali	benggala	bengal
benin	bangku	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	kembali	bharata
bibeli	alkitab	bible
biribiri	hancur	intense
black	hitam	dudu
bodies	tubuh	ara
bojú	lihatlah	take care
bole	batang	ground
bolt	baut	bolt
bolívar	bolivar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	menjembatani	bridgeport
britain	britania	britain
brítánì	inggris	britain
bu	itu adalah	give
buenaventura	buenaventura	buenaventura
bujumbura	diperluas	bujumbura
burúkú	jahat	bad
by	oleh	does not translate directly, does not exist
bàbá	ayahnya	father
bákannáà	demikian juga	likewise
bálè	balon	lying on the ground
bárakú	kecanduan	habitual
báyìí	sekarang	this
bèrẹ̀	memulai dengan	started
béè	seperti itu	than
bòtswánà	bus	botswana
búburú	buruk	bad
búrú	beranilah	wicked
bẹ̀rẹ̀	untuk memulai	started
bẹ́	bangkrut	also
bẹ́ljíọ̀m	beril	belgium
bẹ́ẹ̀ni	iya	yes
bẹ́ẹ̀sìni	iya	that is it
cairo	kemarahan	cairo
calabar	mengunyah permen karet	calabar
canaria	canaria	canaria
cape	tanjung	cape
casablanca	casablanca	casablanca
caslon	kasino	caslon
cathedral	katedral	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	berpikir	chebbi
cherished	dihargai	mu lokunkundun
china	cina	china
cipollone	sipollone	cipollone
clear	bersih	danmanran
code	kode	code
coetsee	coetsee	coetese
coloured	berwarna	alawo dudu
coming	kedatangan	yo jade
compared	dibandingkan	does not directly translate
computers	komputer	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	tenggorokan	cunha
da	dan	back; but in this form it is unnecessary
dagbasoke	tumbuh	developing
dandan	wajib	a must
dani	memegang	hand-held
darapo	ikuti	joinedd
daru	menghancurkan	scattered
dates	tanggal	pada si
delhi	tidak	delhi
denver	denver	denver
des	des	des
describes	menjelaskan	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	pengembangan	idagbasoke
didagba	persamaan	growing
didasile	pembentukan	established
