$	$	None
paus	திமிங்கிலம்	None
pawai	அணிவகுப்பு	Nan
payah	நொண்டி	Nan
payudara	மார்பக	None
payung	குடை	Nan
pbb	ஐக்கிய நாடுகள்	Nan
pc	பிசி	Nan
pci	pci	Nan
pda	pda	Nan
pdb	pdb	Nan
pdf	pdf	Nan
pdi	pdi	Nan
pdip	pdip	Nan
pdrb	pdrb	Nan
pebisnis	தொழிலதிபர்	Nan
paul	பால்	None
pecah	உடைந்த	Nan
patungpatung	சிலைகள்	None
pattimura	பட்டிமுரா	Nan
pasti	நிச்சயமாக	Nan
pasukan	துருப்புக்கள்	Nan
pasukannya	அவரது இராணுவம்	Nan
pasukanpasukan	துருப்புக்கள்	Nan
pasundan	பசுந்தன்	Nan
pasuruan	pasuruan	Nan
patah	உடைந்த	Nan
patahan	தவறு	None
paten	காப்புரிமை	None
pati	ஸ்டார்ச்	Nan
patih	கவர்னர்	Nan
patogen	நோய்க்கிருமி	Nan
patologi	நோயியல்	Nan
patrick	பேட்ரிக்	Nan
patroli	ரோந்து	Nan
patung	சிலை	None
pasteur	பாஸ்டர்	Nan
pecahan	பின்னம்	Nan
pecel	pecel	Nan
pekanbaru	பெக்கன்பரு	Nan
pekat	குவிந்துள்ளது	Nan
pekerja	தொழிலாளி	Nan
pekerjaan	தொழில்	None
pekerjaannya	அவரது வேலை	Nan
pelabuhan	போர்ட்	None
peladen	சேவையகம்	Nan
pelajar	மாணவர்	None
pelajaran	பாடம்	None
pelaksana	நிறைவேற்றுபவர்	Nan
pelaksanaan	செயல்படுத்தல்	Nan
pelaksanaannya	செயல்படுத்துதல்	Nan
pelaku	குற்றவாளிகள்	Nan
pelanggan	வாடிக்கையாளர்	Nan
pelanggaran	மீறல்	Nan
pekan	வாரம்	None
pecahnya	உடைப்பு	Nan
pekalongan	pekalongan	Nan
pejuang	போர்வீரன்	Nan
pecinta	காதலன்	Nan
pedagang	வர்த்தகர்	Nan
pedagogi	கற்பித்தல்	Nan
pedalaman	உள்நாட்டு	None
pedang	வாள்	None
pedangnya	வாள்	None
pedas	காரமான	Nan
pedesaan	கிராமப்புற	Nan
pedoman	வழிகாட்டுதல்கள்	Nan
peduli	பராமரிப்பு	None
pegangan	கைப்பிடி	Nan
pegawai	ஊழியர்	Nan
pegunungan	மலைகள்	None
pein	pein	Nan
pejabat	அதிகாரி	None
peka	உணர்திறன்	Nan
pelangi	வானவில்	Nan
passer	வழிப்போக்கன்	Nan
pasokan	விநியோகி	Nan
paolo	பாவ்லோ	Nan
papan	பலகை	None
paparan	நேரிடுவது	Nan
papua	பப்புவா	None
para	பாரா	Nan
parade	அணிவகுப்பு	Nan
paradigma	முன்னுதாரணம்	Nan
paragraf	பத்தி	Nan
paraguay	பராகுவே	Nan
parah	கடுமையானது	Nan
paralel	இணையாக	None
parameter	அளவுரு	Nan
parang	machete	Nan
pararaton	pararaton	Nan
parasit	ஒட்டுண்ணி	Nan
pantun	pantun	Nan
pariaman	pariaman	Nan
panti	வீடு	None
pantas	பொருத்தமானது	None
panggang	வறுக்கப்பட்ட	Nan
panggilan	அழைப்பு	None
panggung	நிலை	None
pangkal	அடித்தளம்	Nan
pangkalan	அடித்தளம்	Nan
pangkalpinang	தண்டு அடிப்படை	Nan
pangkat	ரேங்க்	Nan
panglima	தளபதி	Nan
panitia	குழு	None
panjalu	நீண்டது	Nan
panjang	நீண்டது	Nan
panjangnya	நீளம்	None
panji	பதாகை	Nan
pankreas	கணையம்	None
pantai	கடற்கரை	None
panthera	பாந்தெரா	Nan
pass	பாஸ்	None
parikesit	parikesit	Nan
paris	பாரிஸ்	None
pas	சரியான	None
pasai	pasai	Nan
pasal	கட்டுரை	None
pasang	அதை நிறுவவும்	Nan
pasangan	ஜோடி	Nan
pasangannya	அவரது கூட்டாளர்	Nan
pasar	சந்தை	None
pasaran	சந்தை	None
pasca	அஞ்சல்	Nan
pascal	பாஸ்கல்	None
pasien	நோயாளி	Nan
pasif	செயலற்ற	Nan
pasifik	பசிபிக்	None
pasir	மணல்	None
paskah	ஈஸ்டர்	Nan
parwa	பர்வா	Nan
paripurna	முழுமையான	None
paruparu	நுரையீரல்	None
paru	நுரையீரல்	None
parit	அகழிகள்	Nan
pariwisata	சுற்றுலா	None
park	பூங்கா	None
parkir	வாகன நிறுத்துமிடம்	Nan
parlemen	பாராளுமன்றம்	None
parlementer	பாராளுமன்றம்	None
parman	பர்மன்	Nan
parsial	பகுதி	Nan
partai	கட்சி	None
partaipartai	கட்சி	None
partikel	துகள்	None
partikelpartikel	துகள்கள்	None
partisi	பகிர்வு	Nan
partisipasi	பங்கேற்பு	Nan
partner	கூட்டாளர்	Nan
paruh	கொக்கு	Nan
pelaporan	புகாரளித்தல்	Nan
pelarangan	தடை	None
pelarian	தப்பிக்க	Nan
pemeliharaan	பராமரிப்பு	None
pemeluk	கட்டிப்பிடி	Nan
pemenang	வெற்றி	Nan
pemencaran	சிதறல்	Nan
pemenuhan	பூர்த்தி	None
pemeran	நடிகர்	None
pemerataan	சம விநியோகம்	Nan
pemeriksa	பரிசோதகர்	Nan
pemeriksaan	தேர்வு	Nan
pemerintah	அரசு	None
pemerintahan	அரசு	None
pemerintahannya	அவரது அரசாங்கம்	Nan
pemetaan	விவரணையாக்கம்	Nan
pemikir	சிந்தனையாளர்	Nan
pemikiran	சிந்தனை	None
pemekaran	பிரிவு	None
pemikiranpemikiran	எண்ணங்கள்	None
pemegang	வைத்திருப்பவர்	Nan
pemburu	வேட்டைக்காரன்	Nan
pembinaan	பயிற்சி	None
pemblokiran	தடுப்பது	None
pembuahan	கருத்தாக்கம்	Nan
pembuangan	அகற்றல்	Nan
pembuat	தயாரிப்பாளர்	Nan
pembuatan	தயாரித்தல்	Nan
pembuatannya	அதை உருவாக்குதல்	Nan
pembubaran	கலைப்பு	Nan
pembuka	தொடக்க	None
pembukaan	திறப்பு	Nan
pembuktian	ஆதாரம்	None
pembuluh	நாளங்கள்	Nan
pembungkus	போர்த்தி	Nan
pembunuh	கொலையாளி	Nan
pembunuhan	கொலை	None
pemecahan	தீர்க்கும்	None
pembicaraan	பேச்சு	None
pemilahan	வரிசைப்படுத்துதல்	Nan
pemilihan	தேர்தல்	Nan
pemukiman	தீர்வு	None
pemula	ஒரு தொடக்க	Nan
pemuliaan	இனப்பெருக்க	Nan
pemulihan	மீட்பு	Nan
pemungutan	சேகரிப்பு	None
penafsiran	விளக்கம்	None
penakluk	வெற்றியாளர்	Nan
penaklukan	வெற்றி	Nan
penalaran	பகுத்தறிவு	None
penalti	தண்டம்	Nan
penamaan	பெயரிடுதல்	Nan
penambahan	கூடுதலாக	None
penampakan	பார்வை	None
penampilan	தோற்றம்	Nan
penampilannya	அவரது தோற்றம்	Nan
pemujaan	வழிபாடு	None
pemilih	தேர்ந்தெடுப்பவர்	Nan
pemugaran	மறுசீரமைப்பு	None
pemrosesan	செயலாக்கம்	Nan
pemilik	உரிமையாளர்	Nan
pemiliknya	உரிமையாளர்	Nan
pemilu	தேர்தல்கள்	None
pemimpi	கனவு காண்பவர்	Nan
pemimpin	தலைவர்	None
pemimpinnya	அதன் தலைவர்	Nan
pemindahan	அகற்றுதல்	Nan
pemindai	ஸ்கேனர்	Nan
pemisah	பிரிப்பான்	Nan
pemisahan	பிரிப்பு	None
pemodelan	மாடலிங்	Nan
pemotongan	வெட்டுதல்	Nan
pempek	pempek	Nan
pemrogram	புரோகிராமர்	Nan
pemrograman	நிரலாக்க	None
pemuda	இளைஞன்	Nan
pembicara	பேச்சாளர்	Nan
pembiayaan	நிதி	None
pembesaran	விரிவாக்கம்	None
peluncuran	தொடங்குதல்	Nan
peluru	புல்லட்	Nan
peluruhan	சிதைவு	Nan
pemahaman	புரிதல்	Nan
pemain	ஆட்டக்காரர்	Nan
pemakai	பயனர்	None
pemakaian	பயன்பாடு	None
pemakaman	இறுதி சடங்கு	Nan
pemakan	தின்னும்	Nan
pemanasan	வெப்பமடைகிறது	Nan
pemancar	டிரான்ஸ்மிட்டர்	Nan
pemandangan	இயற்கைக்காட்சி	Nan
pemandian	குளியல்	Nan
pemanfaatan	பயன்பாடு	None
pemangsa	வேட்டையாடும்	None
pelukis	ஓவியர்	None
pemasangan	நிறுவல்	None
peluang	வாய்ப்பு	None
pelita	விளக்கு	None
pelarut	கரைப்பான்	Nan
pelataran	நீதிமன்றம்	None
pelatih	பயிற்சியாளர்	Nan
pelatihan	பயிற்சி	None
pelaut	மாலுமி	Nan
pelayan	பணியாளர்	None
pelayanan	சேவை	None
pelayaran	கப்பல்	None
pelbagai	பல்வேறு	None
pelengkap	பூர்த்தி	None
pelepah	நடுப்பகுதி	Nan
pelepasan	வெளியீடு	None
pelestarian	பாதுகாத்தல்	None
peliharaan	செல்லம்	Nan
pelindung	பாதுகாவலர்	Nan
pelopor	முன்னோடி	None
pemasaran	சந்தைப்படுத்தல்	Nan
pemasok	வழங்குபவர்	Nan
pemasukan	வருமானம்	None
pembelahan	பிரிவு	None
pembelajaran	கற்றல்	None
pembeli	வாங்குபவர்	Nan
pembelian	கொள்முதல்	None
pembentuk	ஃபார்மர்கள்	Nan
pembentukan	உருவாக்கம்	None
pembentukannya	அதன் உருவாக்கம்	Nan
pemberantasan	ஒழிப்பு	None
pemberdayaan	அதிகாரம்	None
pemberhentian	பணிநீக்கம்	Nan
pemberi	கொடுப்பவர்	Nan
pemberian	கொடுப்பது	None
pemberontak	கிளர்ச்சி	None
pemberontakan	கிளர்ச்சி	None
pembersihan	சுத்தம்	Nan
pembela	பாதுகாப்பு வழக்கறிஞர்	Nan
pembedahan	அறுவை சிகிச்சை	Nan
pembebasan	விடுதலை	None
pembayaran	கட்டணம்	None
pembaca	வாசகர்	None
pembacaan	வாசிப்பு	None
pembagian	பிரிவு	None
pembaharuan	புதுப்பித்தல்	Nan
pembahasan	கலந்துரையாடல்	Nan
pembakaran	எரிப்பு	Nan
pembalap	ரேசர்	Nan
pangeran	இளவரசன்	None
pembalasan	பதிலடி	Nan
pembangunan	வளர்ச்சி	Nan
pembantaian	படுகொலை	Nan
pembantu	ஒரு வேலைக்காரி	Nan
pembaruan	புதுப்பித்தல்	Nan
pembatas	டிலிமிட்டர்	Nan
pembatasan	கட்டுப்பாடு	None
pembawa	கேரியர்	Nan
pembangkit	ஜெனரேட்டர்	Nan
penampungan	தங்குமிடம்	Nan
pangan	உணவு	None
panel	குழு	None
nurani	மனசாட்சி	Nan
nusa	தாயகம்	None
nusantara	தீவுக்கூட்டம்	Nan
nutrien	ஊட்டச்சத்து	None
nutrisi	ஊட்டச்சத்து	None
nv	nv	Nan
nvram	nvram	Nan
ny	ny	Nan
nya	அவரது	Nan
nyai	nyai	Nan
nyak	nyak	Nan
nyaman	வசதியானது	Nan
nyamuk	கொசு	Nan
nyanyian	பாடல்	None
