cirill	кирилица	0.0
minket	нас	0.0
péter	петър	0.0
állama	състояния	2.4744512146991213e-16
ausztriát	австрия	8.081223863076221e-08
franciaország	франция	1.1853925593446592e-07
egyébként	другото	3.4479856871162675e-07
második	втори	3.481321608017539e-07
izland	исландия	4.6441473736047117e-07
kisebbségi	малцинства	6.89802245192857e-07
folytatni	продължи	8.201980027644811e-07
önállóan	собствен	9.051686292718598e-07
elért	достигнал	1.4071387388570461e-06
gyilkosság	убийство	1.4613830399528306e-06
eredményeket	резултати	1.4825426007316882e-06
váltak	станали	1.8720724504563693e-06
híd	мост	1.8952208279307742e-06
onnan	оттам	2.6470249145506013e-06
minőségű	качество	4.240129662245985e-06
január	януари	4.496430101179771e-06
méghozzá	дори	4.7820267219306435e-06
tapasztalatok	преживявания	4.8663506703874326e-06
részről	част	5.166110600049457e-06
erőszak	насилие	5.373991366925593e-06
cigányok	цигани	5.826876711633607e-06
róma	рим	5.9695818067066235e-06
alkoholt	алкохол	6.573458678652048e-06
feszültség	напрежение	6.812265684896305e-06
média	средства	6.840161023024038e-06
közigazgatásilag	административно	7.570418209829247e-06
legutóbbi	последно	7.752684699078842e-06
istenek	богове	7.870906442513084e-06
felnőttek	възрастни	8.165266085744432e-06
ókori	древен	8.493309372038622e-06
amíg	до	9.96065192927349e-06
jövő	бъдеще	1.0104874686489952e-05
fordítások	преводи	1.0239392531607726e-05
részeket	части	1.0570809558188238e-05
szerepet	роля	1.4905803943815957e-05
kereszténység	християнство	1.5511830657664012e-05
évente	ежегодно	1.5586922448602433e-05
dalmácia	далмация	1.5925833726252845e-05
ezalatt	междувременно	1.6721899825357832e-05
ténylegesen	факто	1.672387009492864e-05
lovagok	рицари	1.6970412349585892e-05
fegyver	оръжие	1.9136022308454455e-05
felhasználó	потребител	1.965885701458296e-05
azoknak	тези	1.9751334512481928e-05
férfit	мъж	2.1917102189534318e-05
találkozhatunk	се	2.6968426704714267e-05
achát	ахат	2.803007470496325e-05
festette	от	2.956795920540079e-05
dinasztia	династия	3.0385716344278723e-05
bűnök	престъпления	3.2231112086618975e-05
születés	раждане	3.348718068587898e-05
alakító	формиране	3.393756926417038e-05
irányba	посока	3.586969219934188e-05
egyiptomi	египетски	3.595228032653904e-05
kortársai	съвременници	3.8006336155870435e-05
folytak	проведено	4.0131185753483185e-05
örökre	завинаги	4.0431289297440475e-05
ausztrália	австралия	4.055552876297622e-05
koncertet	концерт	4.0894012669871966e-05
kiadványok	публикации	4.2857034881080696e-05
portré	портрет	4.566639753469485e-05
fa	дърво	4.6296512387365425e-05
amelyik	който	5.081551126783556e-05
vatikán	ватикана	5.0864265547210834e-05
élnek	живеят	5.285408292473581e-05
szezonban	сезон	5.4986144077406206e-05
állattenyésztés	животновъдство	5.596132372834752e-05
véleményét	преглед	5.614504335806873e-05
legelső	първи	5.7297643977692214e-05
állandó	постоянен	5.780666389440275e-05
indiai	индийски	5.7907788691573e-05
helyesen	правилно	5.832298862045805e-05
szimbóluma	символ	5.875627974523501e-05
megszűnése	договора	6.001684758947967e-05
fogak	зъби	6.0736762263030456e-05
oszlik	разделен	6.102053045890757e-05
teljesítményt	мощност	6.59302751286362e-05
osztották	разделен	6.731537852894407e-05
lányok	момичета	6.892728521274047e-05
odüsszeusz	одисей	7.08183889954871e-05
szerbiában	сърбия	7.138478219391082e-05
évtized	десетилетие	7.529303705679573e-05
párizsba	париж	7.600031242523632e-05
indul	започва	7.604334888044056e-05
elvileg	теория	7.753382739633027e-05
hatást	ефект	7.887217486501639e-05
mozgalom	движение	7.987499942911924e-05
agy	мозък	8.053773315188728e-05
követően	следното	8.155503083571088e-05
közös	срещани	8.183365117191617e-05
mindenkinek	всички	8.294934487976419e-05
éve	година	8.340045406299922e-05
katonák	войници	9.045028364541143e-05
kereszténységet	християнство	9.125073886023758e-05
tanította	преподава	9.246677097204083e-05
erősen	силен	9.30824004835144e-05
környezeti	среда	9.505767096001819e-05
bizonyítékot	доказателства	9.589824835367257e-05
kezd	начало	9.972978413975165e-05
jégkorszak	епоха	0.00010076258288070953
köztük	включително	0.00011031300025660714
királynő	кралица	0.0001132573766992846
párizs	париж	0.00011653690051479659
reggel	сутрин	0.0001170722258791572
autók	автомобили	0.00011944985105613672
erzsébetet	елизабет	0.00011955984247806833
afganisztán	афганистан	0.0001195633100125849
gazdaságot	икономика	0.00012257405856324255
élve	жив	0.00012275097681215577
kontinens	континент	0.00012380214140673084
lánya	дъщеря	0.00012633586809726276
szükség	трябва	0.00012690230842500269
értékét	стойността	0.00012729639749676418
áprilisban	април	0.0001280535734617379
egymástól	друг	0.00013489166096501118
novemberben	ноември	0.00013842218376425565
parasztok	селяни	0.0001391219346139256
civilizáció	цивилизация	0.00013947233836777748
honvédség	армия	0.00014174947479162286
athén	атина	0.00014348106859158816
gondolták	мисъл	0.00014516573137426426
kivételével	изключение	0.00014613038248743881
világbajnoki	първенство	0.00014803740132762018
zene	музика	0.00015006269322199545
forgalomban	трафик	0.0001544340662347948
technológia	технология	0.00015802427921251424
szocialista	социалистически	0.0001675835524827644
makedón	македонски	0.00017897648449768878
gyulladás	възпаление	0.00018040755865144902
speciális	специален	0.0001822879521506091
tengerszint	ниво	0.0001835599502195325
autonómiát	автономия	0.0001846826737927023
ahonnan	къде	0.000186711981209342
orosz	руски	0.00018906182557263255
állapotot	състояние	0.00019043702236762563
mintegy	някои	0.00019240094291938682
három	три	0.00019350924749572906
palota	дворец	0.00020042656716620015
nőt	жена	0.0002025233433315832
növények	растения	0.00020287447816596198
kommunizmus	комунизъм	0.00020376537608690924
utalva	до	0.00020465781315193328
állatok	животни	0.0002069887144246596
elnevezésű	име	0.0002110722737246076
foltok	петна	0.00021181476122997465
édesapja	баща	0.00021257441913592975
bibliában	библията	0.0002128299069007187
ideológia	идеология	0.00021451941545186606
világháborús	война	0.0002192041570675604
depresszió	депресия	0.0002209262429675916
ezután	това	0.00022182950303242555
számmal	номер	0.00022273428119778593
dacára	въпреки	0.00022823872632954495
szerbia	сърбия	0.00022951800596224413
kapcsolatot	връзка	0.00023189678913072294
feltétel	състояние	0.00024500088637904367
szaturnusz	сатурн	0.00024773050115870664
tenisz	тенис	0.00024859237718150246
trója	троя	0.00024886303200752005
értek	стойност	0.00025275804419500584
feladat	задача	0.0002529478381833428
jót	добре	0.0002582894518743838
használtak	използвана	0.0002708115309202051
kialakulásának	образуване	0.0002736398847313274
hidat	мост	0.00027461604102394204
jeruzsálem	йерусалим	0.00027723872139841807
eléggé	достатъчно	0.0002780498236168167
szabadságharc	независимост	0.00027846033014069474
egyebek	други	0.00027865873046960563
jugoszlávia	югославия	0.0002853274640980057
hatalommal	мощност	0.00029034244619917
láva	лава	0.0002907313311107055
elméletet	теория	0.00029225837933498974
peru	перу	0.0002964677218941264
felesége	жена	0.0002979120674111676
külföldön	чужбина	0.00030282740191758914
vélhetően	вероятно	0.00030422454752108784
mező	поле	0.0003161870779098237
csoportok	групи	0.00032376758907087897
labdarúgóválogatott	отбор	0.0003242263950397904
esetenként	понякога	0.0003257457346175217
szezont	сезон	0.0003267435075430409
változtatni	промяна	0.00033226725839093546
tudták	могъл	0.0003393399420392724
boszniai	босна	0.0003398084495529969
tervét	план	0.0003443956276958619
törvényeket	закони	0.00034696100180576996
majd	тогава	0.0003532160663409751
látogatók	посетителите	0.0003552460521614017
szív	сърце	0.00035629576699284794
botrány	скандал	0.00035778910505878216
négyszer	пъти	0.0003579808685400304
míg	докато	0.0003580715803941427
március	март	0.00035899791673211357
brazíliában	бразилия	0.00036013333864987973
századi	век	0.0003655980467811411
kívánja	желанието	0.0003663801054914183
fél	страна	0.0003666390828757101
nyolcvanas	години	0.00036912899119037043
il	ил	0.00037197739884550177
költő	поет	0.000373373065736709
nyomására	от	0.0003735338458636113
északamerikai	америка	0.00037904348842384154
denudáció	денудация	0.00038140448486033196
mindegyike	всеки	0.00038354241734697735
elektronok	електрони	0.00038565637634194774
mesterek	майстори	0.00039743137598386515
hatalmat	мощност	0.00040124542691286275
költészet	поезия	0.0004040012178155705
emiatt	това	0.0004081144821701518
szavak	думи	0.0004099795097691679
hőmérséklet	температура	0.00041116607343274445
részét	част	0.0004134849627834359
parancsnoka	командир	0.00041428009115462454
erzsébet	елизабет	0.0004186697453410582
résztvevők	участниците	0.0004188247953016515
épületet	сграда	0.00042315534169363013
tagjaként	член	0.0004236835275118494
megjelentek	появи	0.00042515749264104873
bach	бах	0.0004311689882974202
tanulmányozása	изучаване	0.00043824901162165653
újabban	напоследък	0.0004408921480185774
évekre	години	0.00044089718924560155
európaiak	европейците	0.0004427538857030121
áldozatok	жертви	0.00044839258000118433
hatását	ефект	0.00045020731966570357
nukleáris	ядрен	0.0004533098687670927
ezért	следователно	0.00046216130975294654
járó	с	0.0004644038577960088
elejétől	начало	0.0004684456862071191
tudás	знание	0.00046934035789540396
állampolgár	гражданин	0.0004701647134616456
alapvetően	си	0.0004823507195887162
különbözik	различават	0.0004826932275044794
háromszög	триъгълник	0.00048302819600323365
házat	къща	0.0004863705727671548
repülőtere	летища	0.0004887342805944026
velence	венеция	0.0004932849570783819
emlékmű	паметник	0.0004949418115524466
lélek	душа	0.0004956629553072778
ahol	където	0.0004959162667415412
matematika	математика	0.0004967686111633567
tudják	знаят	0.0005053362113144708
velencében	венеция	0.0005134973287036996
alkalmazásával	приложение	0.0005145741295485287
forrásokból	източници	0.0005184234416015966
atombomba	бомба	0.0005195628179812375
gyom	плевел	0.0005207247511792773
tengerpart	плаж	0.0005211861876415759
történelemben	история	0.000528484251666264
zeneszerzőnek	композитор	0.0005334155287768614
uralmát	правило	0.0005338224952754897
radio	радио	0.0005357424283019287
szelén	селен	0.0005396023539353458
felkarcsont	кост	0.0005426461467778014
technika	техниката	0.0005477100222682107
amivel	който	0.0005576860019263956
kötetben	звука	0.0005634723980353387
harcművészeti	изкуства	0.000565285279689405
katonai	военен	0.000568966058519752
szerbül	сръбски	0.0005697500220642717
száz	сто	0.0005697959386522539
perzsák	персите	0.0005855269343789319
kiadta	освободен	0.0005946033054399539
szerbek	сърбите	0.0005964839195951279
jogok	права	0.0006006234722424642
komoly	сериозно	0.0006013571678211707
labdarúgás	футбол	0.0006044024313770789
kelta	келтски	0.0006054139231346713
albánia	албания	0.0006202538588779823
konferencia	конференция	0.0006250536070970312
barát	приятел	0.0006485585076878402
filmkritikusok	критици	0.0006528530504352057
hatalmi	мощност	0.000654958259359975
kijelenti	състояния	0.000655902515822031
súlyosabb	сериозно	0.0006620480475653852
hollandiában	холандия	0.0006656507487622912
szerte	около	0.0006671974656902494
naptól	ден	0.0006676363607720327
étterem	ресторант	0.000667975050426241
levele	писмо	0.0006730147521386976
később	късно	0.0006759428002493268
lesznek	бъде	0.0006782494265346606
népszámlálás	населението	0.000691888599891401
királlyal	цар	0.0006953095046941299
lehessen	бъде	0.0006954997371213613
választott	избрана	0.0007019101308143279
róbert	робърт	0.0007132829448471771
győzelem	победа	0.0007149573568392824
katonái	военен	0.0007166695847354705
barátságos	приятелски	0.0007167290588427582
brüsszel	брюксел	0.0007180374146676208
törökök	турски	0.0007224294088627064
történt	се	0.0007243210862761714
adó	данък	0.0007278359280182144
iszlám	ислямски	0.0007279216824065985
zenés	музикален	0.0007343191650051193
egyenlet	уравнение	0.0007379160211687268
futam	раса	0.000739560073521511
írásában	писане	0.000741360888655989
piramisok	пирамиди	0.0007503578274118904
állam	състояние	0.0007511660268151745
visszatértek	се	0.0007603813099830431
turnéja	турне	0.0007659094410747573
mégis	това	0.0007689642365857025
munkálatok	работа	0.0007718971725504829
jellemzői	характеристика	0.0007741918516562132
programok	програми	0.0007803811094316765
tölti	прекарва	0.0007884546708732166
buzérfélék	брошови	0.0007889564343510514
buddhizmus	будизъм	0.0007911071137326675
szél	вятър	0.0007950693891564619
hullám	вълна	0.0008010583937390057
szövetsége	федерация	0.0008071212379197017
albán	албански	0.0008247924347077325
úgy	бизнес	0.0008270094757200863
híres	известен	0.0008454998599950923
kikötője	пристанище	0.0008562807749879712
valószínűséggel	вероятно	0.0008605802039337049
jelenthet	представляват	0.000865932440406641
áprilisi	април	0.000868905853890035
visszatérni	да	0.0008751181424695177
termék	продукт	0.0008753186282173976
tömegközlekedési	транспорт	0.0008757771907526133
partjai	крайбрежие	0.0008941283130094935
valamennyi	всичко	0.0008989960605581634
gyerekeket	деца	0.0009069910423241476
parkok	паркове	0.0009136478177244661
kuba	куба	0.0009346953727058055
íródott	писмен	0.0009376896754732371
firenzében	флоренция	0.0009411407039668559
országokban	държави	0.0009453067233103473
argentína	аржентина	0.000949555392020361
szöveget	текст	0.0009579547297402193
fokozat	степен	0.0009582133049776244
tatárok	татари	0.0009615434805403761
későbbi	късно	0.0009652813775996964
gitár	китара	0.0009696615809123517
tárgyát	предмет	0.0009762011243744042
asszony	жена	0.0009815043577167096
idejére	времето	0.0009860015781896906
tanácsköztársaság	република	0.000988715720445402
átmenetileg	временно	0.0009953458893735359
okán	на	0.0009973919536796177
isten	бог	0.0010075818938614955
telepedtek	установен	0.0010086076103107552
oldalak	страници	0.0010121997347328198
sátán	сатаната	0.001026719886635275
emlékezetes	се	0.0010364924299503533
július	юли	0.001046375078934124
mindenképpen	определено	0.0010479002068980814
nehogy	да	0.0010532245991574977
lipcse	лайпциг	0.0010532257661614328
bekövetkezett	в	0.0010532523646553165
cserébe	замяна	0.001072924394350173
név	име	0.0010747844313956612
időnként	понякога	0.0010786357901254398
információkat	информация	0.00108048432186147
költészete	поезия	0.0010937505382358497
választották	избран	0.0010988858694768234
színeket	цветове	0.001099181453147626
konfliktusok	конфликти	0.0011102517067760936
