$	dollar təşkil edib	$
+	+	+
+x	+ x	+x
<i>	<i>	<i>
=	=	=
>	&gt;	>
a	a	and
aaron	aaron	aaron
ab	ab	and
abad	abbot	abbot
abaty	abbey	abbey
aber	estuar	estuary
aberaeron	aberaeron	aberaeron
aberconwy	estuar	aberconwy
aberffraw	boşalmaq	aberffraw
abergwaun	balıqçı	fishguard
abergwyngregyn	abergwyngregyn	abergwyngregyn
aberhonddu	brecon	brecon
aberpennar	estuar	mountain ash
abertawe	qaranquş	swansea
aberteifi	qaranquş	cardigan
aberthu	qurban	sacrifice
aberystwyth	aberstwyth	aberystwyth
about	haqqında	about
above	yuxarıda	above
abraham	abraham	abraham
abrahamig	abrahamic	abrahamic
abse	abse	abse
absenoldeb	yoxluğu	absence
ac	və	and
academaidd	akademik	academic
academi	akademiya	academy
academic	akademik	academic
academy	akademiya	academy
acen	vurğu	accent
achau	damazlıq	genealogy
achlysur	münasibətilə	event
achlysurol	ara-sıra	casual
achos	səbəb	case
achosi	səbəb	cause
achosion	səbəb olur	cases
achosir	səbəb oldu	caused
achosodd	səbəb oldu	caused
achoswyd	səbəb oldu	caused
achub	qazanc	save
acid	turşu	acid
acknowledgements	tanıma	acknowledgements
aconcagua	aconcagua	aconcagua
acrocephalus	akrosefali	acrocephalus
acronym	qısaltma	acronym
acropolis	akropol	acropolis
act	hərəkət etmək	act
actif	aktivdir	active
actifadu	aktivləşdirmə	activation
actifedd	aktivlik	activity
actio	fəaliyyət göstərir	acting
actor	aktyor	actor
actores	aktrisa	actress
actorion	aktyorlar	actors
acw	orada	there
acwstig	akustik	acoustic
ad	elan	ad
adael	buraxmaq	leave
adain	qanad	wing
adam	adam	adam
adams	adams	adams
adar	quşlar	birds
adawyd	qalıb	left
add	əlavə edin	add
adda	söz	adam
addas	uyğun	suitable
addaswyd	uyğunlaşdırılmışdır	modified
addewid	söz	promise
addition	əlavə	addition
addo	söz	promise
addoli	ibadət etmək	worship
addoliad	ibadət etmək	worship
addolir	ibadət olunur	worshiped
addrefnu	təchiz etmək	reorganize
addurno	bəzək	decorating
addysg	təhsili	education
addysgol	təhsil	educational
addysgu	tədris	teaching
adeg	vaxt	time
adegau	vaxtlarda	times
adeilad	bina	building
adeiladau	binalar	buildings
adeiladodd	tikdirdi	built
adeiladu	tikinti	construction
adeiladur	quruluşu	building of
adeiladwaith	tikinti	construction
adeiladwyd	tikilib	built
adeiledd	quruluşu	structure
adennill	sağalmaq	recovery
adenydd	qanadlar	wings
aderyn	quş	bird
aderyndrycin	aderyndrycin	manx
adfeilion	xarabalıqlar	ruins
adfer	bərpa	recovery
adferiad	bərpa	recovery
adferwyd	sağaldı	recovered
adfywiad	canlanma	regeneration
adler	adler	adler
adlewyrchu	əks etdirir	reflect
adlewyrchur	əks etdirir	adlewyrchur
adloniant	əyləncə	entertainment
adlonni	əyləndirmək	entertain
adnabod	şəxsiyyət	identification
adnabyddir	məlumdur	known
adnabyddus	yaxşı bilinir	known
adnewyddu	yenilənmə	renewal
adnod	ayə	verse
adnodd	resurs	resource
