$	$	None
మాధ్యమాలు	средства	None
మాధ్యమిక	втори	None
మానం	мярка	None
మానభంగం	изнасилване	Nan
మానవ	човек	None
మానవగణం	manavaganam	Nan
మానవజాతి	етническа принадлежност	Nan
మానవుడి	мъж	None
మానవుడు	мъж	None
మానవుని	мъж	None
మానవుల	хората	None
మానవులకు	хората	None
మానవులను	хората	None
మానవులలో	хората	None
మానవులు	хората	None
మాధ్యమాల	средства	None
మానస	манас	Nan
మాధ్యమం	средства	None
మాదిరిగా	като	None
మాటలలో	думи	None
మాటలు	думи	None
మాట్లాడతారు	speak	Nan
మాట్లాడుతారు	speak	Nan
మాట్లాడే	говорещ	Nan
మాట్లాడేవారు	високоговорители	Nan
మాడ్యూల్	модул	None
మాణిక్యం	manikyam	Nan
మాత	месец	None
మాతా	мата	Nan
మాతృభాష	майка	None
మాత్రం	най-	Nan
మాత్రము	само	None
మాత్రమే	само	None
మాదిరి	проба	Nan
మాధవ	мадхава	Nan
మాటల	думи	None
మానసిక	умствен	Nan
మాని	много	None
మారుతుంది	промяна	None
మారుతూ	редуващ се	Nan
మారే	превключването	Nan
మారేడు	maredu	Nan
మార్కాపురం	markapuram	Nan
మార్కెటులో	пазар	None
మార్కెట్	пазар	None
మార్కెట్టు	пазар	None
మార్క్	марка	None
మార్క్స్	marks	Nan
మార్గంలో	път	None
మార్గము	пасаж	Nan
మార్గానికి	път	None
మార్గాల	средства	None
మార్గాలను	маршрути	None
మారుతుంటాయి	промяна	None
మానసికంగా	умствено	Nan
మారు	alter	Nan
మారిన	оказа	Nan
మాన్	мъж	None
మామ	чичо	None
మామిడి	манго	Nan
మామూలు	нормален	Nan
మామూలుగా	обикновено	None
మాయ	маи	Nan
మాయం	ядох	Nan
మాయా	маи	Nan
మాయాబజార్	sakshi	Nan
మారటం	превключването	Nan
మారడం	ключ	None
మారాడు	оказа	Nan
మారాయి	променена	None
మారి	mari	Nan
మారింది	променена	None
మారిపోయింది	променена	None
మార్గాలలో	начини	None
మాటను	думата	None
మాటకి	рик	Nan
మహర్షి	махариши	Nan
మహల్	махал	None
మహా	страхотен	Nan
మహాకవి	поет	None
మహాత్మా	махатма	Nan
మహానంది	маханади	Nan
మహానది	маханади	Nan
మహానుభావుడు	просяците	Nan
మహానుభావులు	mahanubhavulu	Nan
మహాప్రస్థానం	mahaprasthanam	Nan
మహాభారత	махабхарата	Nan
మహాభారతం	махабхарата	Nan
మహాభారతంలో	махабхарата	Nan
మహాభారతంలోని	махабхарата	Nan
మహాభారతము	махабхарата	Nan
మహమ్మారి	епидемия	Nan
మహాభారతాన్ని	махабхарата	Nan
మహమ్మద్	мохамед	None
మహమ్మదీయులు	мюсюлмани	None
మల్టీ	multi	Nan
మల్లయ్య	mallaiah	Nan
మల్లికార్జున	mallikarjun	Nan
మల్లీశ్వరి	включи	Nan
మళయాళ	малаялам	Nan
మళ్లీ	отново	None
మళ్ళీ	отново	None
మసాలా	подправка	Nan
మసీదు	джамия	None
మసీదులు	джамии	None
మస్కట్	талисман	Nan
మస్జిద్	джамия	None
మహబూబ్	mehboob	Nan
మహబూబ్‌నగర్	mahbubnagar	Nan
మహమ్మదీయ	мюсюлманин	Nan
మహమ్మదు	мохамед	None
మాటని	не съм сигурен	Nan
మహాముని	mahamuni	Nan
మహాయానం	mahayanam	Nan
మహిళా	дамски	Nan
మహేంద్ర	махендра	Nan
మహేష్	махеш	Nan
మా	наш	None
మాంటిల్	мантия	Nan
మాండలికాలు	диалекти	None
మాంసం	месо	None
మాంసాహారం	други	None
మాకు	нас	None
మాక్స్	max	Nan
మాఘ	magha	Nan
మాచర్ల	материалният свят	Nan
మాచెర్ల	macherla	Nan
మాజీ	бившият	None
మాట	магьосничество	Nan
మహిళలు	жени	None
మహాయాన	махаяна	None
మహిళలకు	жени	None
మహిమ	слава	None
మహారాజా	махараджа	Nan
మహారాజు	махараджа	Nan
మహారాష్ట్ర	махаращра	Nan
మహారాష్ట్రలో	махаращра	Nan
మహారాష్ట్రలోని	махаращра	Nan
మహాలక్ష్మి	mahalakshmi	Nan
మహావిష్ణువు	вишну	None
మహాశివరాత్రి	маха шиваратри	Nan
మహాసభ	конгрес	None
మహాసముద్ర	океан	None
మహాసముద్రం	океан	None
మహాసముద్రంలో	океан	None
మహాసముద్రంలోని	океан	None
మహాసముద్రపు	океан	None
మహాసముద్రము	океан	None
మహిమలు	чудесата	Nan
మలేషియా	малайзия	None
మార్గాలు	начини	None
మార్చబడింది	променена	None
ముఖ్యంగా	особено	None
ముఖ్యపట్టణం	централно управление	Nan
ముఖ్యమంత్రి	главен	None
ముఖ్యమంత్రిగా	главен министър	Nan
ముఖ్యమంత్రులు	главен	None
ముఖ్యమయిన	най-важните	Nan
ముఖ్యమైన	важно	None
ముఖ్యమైనది	важно	None
ముఖ్యమైనవి	важно	None
ముఖ్యాంశాలు	акценти	Nan
ముఖ్యులు	първични избори	Nan
ముగిసింది	от	None
ముగిసిన	приключила	Nan
ముగుస్తుంది	завършва	None
ముగ్గు	три	None
ముఖ్యం	важно	None
ముగ్గురు	три	None
ముఖము	лице	None
ముఖ	на лицето	Nan
ముందు	преди	None
ముందుకు	напред	None
ముందుగా	на първо място	Nan
ముందుగానే	advance	Nan
ముందున్న	преди	None
ముందుమాట	предговор	Nan
ముందే	преди	None
ముంబాయి	мумбай	Nan
ముంబై	мумбай	Nan
ముంబైలో	мумбай	Nan
ముక్కలను	парчета	None
ముక్కలు	парчета	None
ముక్కలుగా	парчета	None
ముక్కు	нос	None
ముక్తి	освободен	None
ముఖం	лице	None
ముందరి	преден	None
ముఘల్	ярък	Nan
ముట్నూరి	mutnuri	Nan
మున్నగు	тъй като	Nan
మున్సిపల్	общински	None
ముప్పు	заплаха	None
ముప్పై	тридесет	Nan
ముళ్ళపూడి	mullapudi	Nan
ముసలి	стар	None
ముసునూరి	musunuri	Nan
ముస్లిం	мюсюлманин	Nan
ముస్లింల	мюсюлмани	None
ముస్లింలు	мюсюлмани	None
ముస్లిముల	мюсюлмани	None
ముస్లిములు	мюсюлмани	None
ముస్లిమ్	мюсюлманин	Nan
ముహమ్మద్	мохамед	None
మూగ	тъп	Nan
మునులు	давя	Nan
ముట్టడి	мания	Nan
మునుపు	преди това	Nan
మునిసిపల్	общински	None
ముడతలు	гофриран	Nan
ముడి	коса	None
ముడిపడి	асошиейтед	Nan
ముత్యం	перла	Nan
ముత్యాల	перли	Nan
ముదిగొండ	mudigonda	Nan
ముదురు	тъмен	Nan
ముద్దు	целувка	Nan
ముద్దుల	любим	Nan
ముద్ర	тюлен	Nan
ముద్రణ	печат	None
ముద్రలు	logos	Nan
ముద్రించారు	капаците	Nan
ముని	муни	Nan
మునిగి	потопен	Nan
మునుపటి	предишен	Nan
మార్చడం	смяна	None
ముందడుగు	напред	None
మీలో	мило	Nan
మాల్	търговски център	Nan
మాల్దీవుల	малдиви	Nan
మాల్దీవులు	малдиви	Nan
మాస	месец	None
మాసంలో	месец	None
మాస్	маса	None
మాస్కో	москва	None
మాస్టర్	майстор	None
మింగ్	минг	Nan
మించి	| повече ▼	Nan
మించిన	мълния	Nan
మిక్కిలి	консумирането	Nan
మిగతా	друг	None
మిగిలి	останалото	None
మిగిలిన	останалите	None
మాలిక్	малик	Nan
మిగిలినవి	други	None
మాల	mala	Nan
మార్షల్	маршал	None
మార్చాడు	променена	None
మార్చారు	променена	None
మార్చి	март	None
మార్చింది	променена	None
మార్చిఏప్రిల్	marciepril	Nan
మార్చే	за промяна	Nan
మార్చ్	март	None
మార్టిన్	лястовица	Nan
మార్పిడి	обмен	None
మార్పు	промяна	None
మార్పుల	промени в	Nan
మార్పులకు	промяна	None
మార్పులను	промени в	Nan
మార్పులు	промени в	Nan
మార్లు	уикенд	Nan
మార్స్	марс	None
ముంతాజ్	мумтаз	Nan
మిచిగన్	мичиган	Nan
మిఠాయి	сладкарница	Nan
మీ	вашият	Nan
మీకు	вие	Nan
మీటర్ల	м	None
మీటర్లు	м	None
మీడియా	средства	None
మీథేన్	метан	None
మీద	на	None
మీదకి	обиколен	Nan
మీదకు	на	None
మీదా	на	None
మీది	твой	Nan
మీదికి	на борда	Nan
మీదుగా	над	None
మీరు	вие	Nan
మీర్	mir	Nan
మిస్టర్	г-н.	Nan
మిచిగాన్	мичиган	Nan
మిషన్	мисия	None
మిశ్రమం	сместа	Nan
మిడిల్	среден	None
మిత్ర	mitra	Nan
మిత్రుడు	приятел	None
మిత్రులు	приятели	None
మినహా	с изключение	Nan
మినహాయించి	с изключение на	Nan
మినహాయింపు	изключение	None
మిర్చి	mirchi	Nan
మిలటరీ	военен	None
మిలిటరీ	военен	None
మిలియన్	милион	None
మిలియన్ల	милиони	None
