$	$	$
<	&lt;	<
=	=	equal to
==	==	==
^	^	^
|	|	fullstop
~	~	to
°	°	degree
अ	a	a
अंकगणित	aritmetika	numerics
अंकारा	ankara	ankara
अंकित	ankit	mentioned
अंकीय	digitalni	numerical
अंकों	cifre	numbers
अंग	deo	part
अंगूर	grožđe	grapes
अंगो	udovi	organs
अंगों	udovi	limbs
अंग्रेज	engleski	britisher
अंग्रेज़ी	engleski	english
अंग्रेजी	engleski	english
अंग्रेजो	britanci	britishers
अंग्रेजों	britanac	americans
अंचल	zona	zone, sector
अंजाम	rezultat	result
अंजीर	sl	anjir a fruit
अंडमान	andaman	andaman
अंडाशय	jajnik	ovary
अंडे	jaja	eggs
अंत	završetak	end
अंतत	napokon	finally
अंततः	napokon	at the end
अंतर	razlika	difference
अंतरजाल	internet	connected
अंतरण	transfer	transfer
अंतरराष्ट्रीय	međunarodni	international
अंतराल	interval	change
अंतराष्ट्रीय	međunarodni	international
अंतरिक्ष	prostor	space
अंतरिम	privremena	interim
अंतर्गत	under	based
अंतर्दृष्टि	uvid	insight
अंतर्राष्ट्रीय	međunarodni	international
अंतिम	zadnji	last
अंदर	iznutra	in
अंदाज	stil	guess
अंध	slepa	blind
अंधकार	tama	darkness
अंधेरी	mračno	andheri- a place
अंपायर	umrijeti	umpire
अंबानी	ambani	ambani
अंश	deo	part
अंशों	stepeni	parts
अकबर	akbar	akbar
अकादमी	akademija	academy
अकार	uzrok	shape
अकाल	glad	famine
अकेला	sam	alone
अकेले	sam	alone
अक्टूबर	oktobar	october
अक्तूबर	oktobar	october
अक्तूबरदिसंबर	oktobar decembar	october-december
अक्षम	onemogućeno	durable
अक्षय	obnovljivi	part of weapon
अक्षर	pismo	alphabet
अक्षरधाम	akshardham	akshardham
अक्षांश	zemljopisna širina	latitude
अक्षुण्ण	netaknut	unabated
अक्सर	često	often
अखंड	neprekinuta	gigantic
अखंडता	integritet	integrity
अखबार	novine	newspaper
अखबारों	novine	news papers
अखिल	akhil	all
अख्तर	akhtar	akhter
अगर	ako	if
अगली	sljedeći	nest
अगले	sljedeći	next
अगस्त	avgusta	august
अग्नि	agni	fire
अग्निमित्र	agnimitra	agnimithra
अग्रणी	vodeći	leading
अग्रसर	napred	severity
अग्रिम	unaprijed	advanced
अचल	nepokretna	immovable
अचानक	odjednom	suddenly
अच्छा	dobro	good
अच्छी	dobro	good
अच्छे	dobro	good
अजंता	ajanta	ajanta - aplace
अजनाभवर्ष	aajna bhavar	ajnabhvarsha
अजमेर	ajmer	ajmer
अजय	ajay	ajay
अज़ीज़	azeez	dear
अजातशत्रु	ajatashatru	a person who has no enemy
अजीब	čudno	strange
अज्ञात	nepoznato	unknown
अज्ञान	neznanje	ignorant
अज्ञेय	nepoznat	agney
अटलांटिक	atlantika	atlantic
अटूट	neraskidiva	not to be broken
अठारह	osamnaest	eighteen
अठारहवीं	osamnaesti	18th (eighteenth)
अड्डा	den	port
अड्डे	baza	port
अणु	molekule	molecule
अणुओं	molekule	molecule
अण्डमान	andaman	andaman
अण्डे	jaja	eggs
अण्डों	jaja	eggs
अत	stoga	so
अतः	stoga	hence
अतएव	stoga	therefore
अति	ekstremno	extra
अतिक्रमण	enkroachment	conquest
अतिथि	gost	guest
अतिरिक्त	osim	apart from, peripheral
अतिवादी	ekstremistički	extremist
अतीत	prošlost	past
अतेन	aten	aten is the disk of the sun
अत्यंत	ekstremno	very
अत्यधिक	višak	very much
अत्यन्त	veoma	extremely
अत्याचार	mučenja	atrocity
अत्याचारी	progonitelj	tyrant
अत्याधिक	još	very large
अत्रि	atri	universe
अथ	ath	therupon
अथर्व	atharva	atharva - name of one vedas
अथर्ववेद	atharvaveda	atharvaved
अथवा	ili	or
अदभुत	nevjerojatno	amazing
अदा	ada	pay
अदालत	sud	court
अदृश्य	nevidljivo	invisible
अदृष्ट	neviđeno	invisible
अद्भुत	divno	wonderful
अद्यतन	ažuriranja	aghathan period
अद्वितीय	jedinstven	unimaginable
अद्वैत	advaita	unique
अधरों	polovina	lips
अधर्म	pogrešno	sinful
अधातु	nemetalni	chemical
अधिक	više	more
अधिकतम	maksimalno	maximum
अधिकतर	večina	more
अधिकता	višak	majority
अधिकरण	tribunal	tribunal
अधिकाँश	većina	majority
अधिकांश	većina	mostly
अधिकांशत	uglavnom	maximum
अधिकांशतः	uglavnom	accordingly
अधिकाधिक	više i više	more
अधिकार	prava	right
अधिकारिक	zvanična	official
अधिकारियों	oficiri	officers
अधिकारी	policajac	heir
अधिकृत	ovlašteno	occupied
अधिग्रहण	akvizicija	acquisition
अधिनियम	zakon	regulation
अधिपति	suzerain	lord
अधिवेशन	sjednica	conference
अधीन	under	under control
अधीनता	podređivanje	dependency
अधूरा	nepotpuno	incomplete
अध्यक्ष	redatelja	president
अध्यक्षता	predsjedavao	chairmanship
अध्ययन	studija	study
अध्ययनों	studije	lessons
अध्यात्म	duhovnost	spiritual
अध्यादेश	pravilnik	ordinance
अध्याय	poglavlje	chapter
अध्यायों	poglavlja	chapters
अनंत	beskrajan	anand
अनघ	anagh	very
अनदेखी	neviđeno	overlooked
अनन्त	vječna	ever last
अनन्य	jedinstven	different
अनपढ़	nepismeni	uneducated
अनमोल	neprocjenjivo	priceless
अनवर	anwar	anwar
अनवरत	neumoljivo	sustained
अनशन	brzo	hunger strike
अनाज	zrno	grain
अनाथ	siroče	parentless
अनार	šipak	pomegranate
अनावश्यक	nepotrebno	unnecessary
अनियंत्रित	nekontrolirano	uncontrolled
अनियमित	nepravilno	irregular
अनिल	anil	anil (name)
अनिवार्य	obavezno	inevitable
अनिश्चित	nesigurna	indefinite
अनु	anu	law number
अनुकरण	simulacija	imitate
अनुकूल	povoljno	appropriate
अनुकूलन	prilagodba	rosa rugosa
अनुक्रम	slijed	order
अनुग्रह	grace	request
अनुचित	neprikladno	improper
अनुच्छेद	član	paragraph
अनुदान	grant	grant
अनुनाद	rezonanca	sound system
अनुपम	anupam	non comparable
अनुपस्थिति	odsutnost	absence
अनुपात	omjer	proportionally
अनुपालन	usklađenost	compliance
अनुप्रयोगों	aplikacije	application
अनुबंध	ugovor	continuance
अनुभव	iskustvo	experience
अनुभवी	iskusan	experienced
अनुभाग	odjeljak	section
अनुभूति	osjećaj	cognition
अनुमति	dozvola	permission
अनुमस्तिष्क	cerebellum	hemispheres
अनुमान	procjena	guess
अनुमानित	procenjena	expected
अनुमानों	projekcije	guess
अनुयायियों	sljedbenici	followers
अनुयायी	sljedbenici	follower
अनुराग	naklonost	love
अनुरूप	prema	according
अनुरोध	zahtjev	request
अनुवाद	prevod	translation
अनुवादक	prevodilac	translator
अनुशासन	dicipline	discipline
अनुशीलन	vežba	practice
अनुष्ठान	ritual	to follow
अनुष्ठानों	rituali	organizations
अनुसंधान	istraživanje	constitution
अनुसन्धान	istraživanje	reporter
अनुसरण	potraga	to folloe
अनुसार	prema tome	according
अनुसूचित	planirano	scheduled
अनुसूची	raspored	chart
अनूदित	prevedeno	translated
अनूबिस	anubis	name
अनेक	nekoliko	many
अनेकों	mnogi	many
अनैतिक	nemoralno	unnatural
अनोखा	jedinstven	unique
अनोखी	jedinstven	unique
अन्त	kraj	end
अन्ततः	na kraju	finally
अन्तर	razlika	difference
अन्तरजाल	internet	internet
अन्तरराष्ट्रीय	međunarodni	international
अन्तरिक्ष	prostor	space
अन्तर्गत	under	under
अन्तर्राष्ट्रीय	međunarodni	international
अन्तस्थ	utelovljen	anthasta
अन्तिम	zadnji	last
अन्दर	in	include
अन्दाज	pogodi	guess
अन्ध	slepa	blind
अन्धकार	tama	dark
अन्धेरा	mračno	darkness
अन्न	zrno	food
अन्ना	anna	elder brother
अन्य	drugo	other
अन्यत्र	negdje drugdje	anywhere  else
अन्यथा	inače	else
अन्याय	nepravde	cheat
अन्वेषण	istraživanje	enquiry
अन्‍य	drugo	other
अप	gore	up
अपना	naše	own
अपनाई	nastavili	make own
अपनाने	usvojiti	accept
अपनाया	usvojena	adopted
अपनी	moj	self
अपनीअपनी	tvoj	own
अपने	naši	ours
अपनेअपने	tvoj	respective
अपभ्रंश	dodatak	corruption
अपमान	uvreda	insult
अपमानित	uvređena	degraded
अपराध	zločin	crime
अपराधियों	zločinci	criminals
अपराधी	zločinački	criminal
अपराधों	zločini	crimes
अपलोड	pošaljite	upload
अपवाद	izuzetak	exception
अपवाह	ottok	surface run off
अपशिष्ट	otpad	waste product
अपहरण	kidnapped	abduction
अपार	neiscrpno	high
अपितु	ali	not only
अपील	žalba	appeal
अपूर्णता	nesavršenost	incompleteness
अपूर्व	retko	extraordinary
अपेक्षा	ocekujte	relatively
अपेक्षाकृत	relativno	comparatively
अपेक्षित	očekivano	expected
अप्रत्यक्ष	indirektno	indirect
अप्रैलजून	apriljoon	april - une
अप्सरा	patuljak	fairy
अफगान	afganistanski	afghanistan
अफगानिस्तान	afganistan	afghanisthan
अफसर	policajac	officer
अफ़ग़ानिस्तान	afganistan	afghanistan
अफ़्रीका	afrika	africa
अफ़्रीकी	afrički	african
अफ्फनपिन्स्चर	afffuncture	offebnpinschar
अफ्रीका	afrika	africa
अफ्रीकी	afrički	african
अब	sad	now
अबतक	do sada	so far
अबु	abu	abu (name)
अबुल	abul	abul
अब्द	abd	abdh
अब्दुल	abdul	abdul - name
अब्दुल्ला	abdulla	abdulla
अब्बास	abbas	abbas
अब्राहम	abraham	abraham - name
अभाव	nedostatak	lack
अभिकलन	računanje	assembling
अभिकलित्र	kompjuter	programmable
अभिकल्पना	dizajn	guess
अभिक्रिया	reakcija	reaction
अभिनय	glume	acting
अभिनेता	glumac	actor
अभिनेताओं	glumci	actors
अभिनेत्रियों	glumice	actress
अभिनेत्री	glumica	actress
अभिन्न	integral	integral
अभिप्राय	namjera	meaning
अभिभाषण	adresa	speach
अभिमन्यु	abhimanyu	abhimanyue
अभिमान	ponos	respect
अभियन्ता	inženjer	an engineer
अभियांत्रिकी	inženjering	to go on
अभियान	kampanja	campaign
अभियानों	kampanje	followers
अभियान्त्रिकी	inženjering	engineering
अभिरुचि	kamata	taste
अभिलाषा	želja	desire
अभिलेख	zapis	a record
अभिलेखों	zapisi	inscriptions
अभिव्यक्त	izraženo	inspired
अभिव्यक्ति	izraz	expression
अभिषेक	abhishek	abhishek - a name
अभिहित	namenjen	designated
अभ्यारण्य	svetište	santuary
अभ्यास	vežba	practice
अमर	besmrtna	immortal
अमरनाथ	amarnath	amarnath
अमरावती	amravati	amrawati - a place
अमरीकन	američko	american
अमरीका	amerika	america
अमरीकी	američko	american
अमल	izvršenje	follows
अमावस्या	amavasya	eclipse
अमिट	neizbrisivo	unremovable
अमिताभ	amitabh	amitabh (indian name)
अमीटर	ampermetar	ammetre
अमीर	bogat	wholesome
अमीरात	emirate	emirates
अमूर्त	sažetak	abstract
अमूल्य	neprocjenjivo	priceless
अमृतसर	amritsar	amritsar
अमेरिकन	američko	american
अमेरिका	amerika	america
अमोनिया	amonijak	ammonia found in salt water
अमौसी	amausi	of mango
अम्बा	amba	amba
अम्बालिका	ambalaika	ambalika
अम्बिका	ambika	ambika (name)
अम्बेडकर	ambedkar	ambedkar
अम्ल	kiselina	acid
अम्लीय	kisele	acidic
अम्हारिक	amharski	ambharik ( a central north regional language)
अयोध्या	ayodhya	ayodhya ( lord ram's native place)
अयोध्याकाण्ड	ayodhya	ayodya kaant (name of a book)
अरण्यकाण्ड	backwoods	aranya kaand
अरब	arapski	arab
अरबी	arapski	arabic
अरबों	milijarde	arab
अरविन्द	arvind	arvind
अरस्तु	aristotel	arastu
अरस्तू	aristotel	aristotle
अराजकता	anarhija	unlawful
अरावली	aravali	aravali
अरुण	arun	the sun
अरुणाचल	arunachal	arunachal
अरे	hej	dear
अर्क	ekstrakt	extract
अर्चना	archana	pray
अर्ज़ी	primjena	application
अर्जित	zaradio	obtained
अर्जी	primjena	application
अर्जुन	arjun	arjun
अर्जेंटीना	argentina	argentina
अर्थ	značenje	meaning
अर्थविज्ञान	ekonomija	meanings
अर्थव्यवस्था	ekonomija	economic system
अर्थव्यवस्थाओं	ekonomije	economies
अर्थशास्त्र	ekonomija	arthashastra
अर्थशास्त्रियों	ekonomisti	economists
अर्थशास्त्री	ekonomista	economist
अर्थात	značenje	that is
अर्थात्	to jest	that is
अर्थात्‌	to jest	that is to say
अर्थों	značenje	meaning
अर्द्ध	polu	very
अर्न्तगत	under	internal
अर्पित	posvećen	giving
अल	al	al
अलंकरण	ornamentacija	beautification
अलंकार	ornamentacija	metaphor
अलंकृत	ukrašen	decorated
अलकनन्दा	alaknanda	alaknanda
अलग	osim	different
अलगअलग	različite	different
अलगाव	izolacija	secession
अलाउद्दीन	alauddin	allauddin
अलावा	osim	other than
अलिखित	nepisano	unwritten
अली	ali	ali
अलौकिक	nadnaravno	supernatural
अल्प	malo	meager
अल्पना	alpana	drawings & paintings made by the women at the courtyard on occations
अल्पायु	mladi	short lived
अल्फा	alfa	alpha
अल्फ्रेड	alfred	alfred
अल्मोड़ा	almora	almoda (place)
अल्लाह	bože	god
अवकाश	praznik	vacasion
अवतरण	sletanje	landing
अवतरित	descended	undistributed
अवतार	avatar	avatar
अवतारों	avatari	avatar
अवतीर्ण	utjelovljena	appear
अवधारणा	akreditacija	idea
अवधारणाओं	pojmovi	conceptions
अवधि	period	period
अवधी	awadhi	awadhi
अवमानना	prezir	humiliation
अवयव	komponente	organism
अवयवों	sastojci	body parts
अवरोध	pregrada	hurdle
अवलोकन	pregled	observation
अवशिष्ट	preostali	last
अवशेष	ostaci	remains
अवशेषों	ostatak	remniscents
अवशोषक	apsorber	digestion
अवशोषण	apsorpcija	adsorption
अवशोषित	apsorbirano	absorb
अवश्य	svakako	certainly
अवसर	šansa	oppertunity
अवस्था	država	situation
अवस्थाओं	države	states
अवार्ड	nagrada	award
अविश्वास	nepoverenje	unfaith
अवैध	nezakonito	illigal
अशांति	poremećaj	unrest
अशुभ	neuspješno	inauspicious
अशोक	ashok	ashok
अश्वत्थामा	ashwatthama	ashwadhama(name)
अश्वमेध	ashwamedh	ashwamedha
अश्विनी	ashwini	ashwini
अष्टमी	osmo	eigth day of the month of hindu calender
असंख्य	mnogobrojne	myriad
असंतुलन	neravnoteža	imbalance
असंतोष	nezadovoljstvo	discontent
असंभव	nemoguće	impossible
असफल	nije uspjelo	fail
असफलता	neuspjeh	failure
असम	assam	assam
असमर्थ	nije moguće	helpless
असमानता	nejednakost	differences
असमिका	assamese	inequality
असमिया	assamese	asamese
असर	uticaj	effect
असल	originalni	real
असली	pravi	real
असहयोग	nesaradnja	non-cooperation
असहाय	bespomoćno	helpless
असाधारण	izvanredan	abnormal
असामान्य	neobično	unusual
असीम	beskonačno	boundaryless
असीमित	neograničeno	unlimited
असुर	asura	devil
असुरक्षित	nesiguran	unsafe
असुरों	asuras	demon
असेम्बली	skupština	assembly
असोसिएशन	udruženje	association
अस्त	set	set
अस्तित्व	postojanje	existance
अस्तु	u stvarnosti	astu
अस्त्र	oružje	weapon
अस्त्रों	oružje	weapons
अस्थाई	privremena	temporary
अस्थायी	privremena	temporary
अस्थि	kost	bone
अस्थिर	nestabilno	unstable
अस्थिरता	nestabilnost	instability
अस्पताल	bolnica	hospital
अस्पतालों	bolnice	hospitals
अस्पष्ट	nejasno	obscure
अस्पृश्य	nedodirljiv	untouchability
अस्पृश्यता	nedodirljivost	untouchabililty
अस्वीकार	odbaci	deny
अस्वीकृत	odbijeno	reject
अस्वीकृति	neodobravanje	unacceptable
अस्सी	osamdeset	80
अहंकार	ego	proud
