$	ps	Nan
pār	acerca de	Nan
pāra	pareja	None
pārbauda	comprobado	Nan
pārbaudes	inspecciones	Nan
pārbaudīt	cheque	Nan
pārcēla	movido	Nan
pārcēlās	movido	Nan
pārdaugavas	crecimiento excesivo	Nan
pārdeva	vendido	None
pārdot	vender	None
pārdoti	vendido	None
pārdošanas	ventas	None
pārdzīvoja	sobrevivió	Nan
pāreja	transición	None
pārejas	transiciones	Nan
px|	px |	Nan
pārejot	transición	None
px	px	Nan
putnus	aves	None
pussala	península	None
pussalas	península	None
pussalu	península	None
pussalā	península	None
pusvadītāju	semiconductor	None
pusē	medio	None
pusēm	fiestas	None
pusēs	lados	None
putekļi	polvo	None
putekļu	polvo	None
putna	pájaro	Nan
putni	aves	None
putniem	aves	None
putns	pájaro	Nan
putnu	aves	None
pušu	fiestas	None
pāreju	transición	None
pārgāja	conmutado	Nan
pāri	encima	None
pārstāja	detenido	None
pārstāv	representa	None
pārstāvis	representante	None
pārstāvji	representantes	None
pārstāvjiem	representantes	None
pārstāvju	representantes	None
pārstāvjus	representantes	None
pārstāvniecības	representaciones	None
pārstāvēja	representado	None
pārstāvēta	representado	None
pārsvars	predominio	None
pārsvaru	predominio	None
pārsvarā	principalmente	None
pārsūtīšanai	para transferir	Nan
pārtapa	convertido en	Nan
pārstrādes	reciclaje	None
pārsniegt	exceder	Nan
pārsniedz	excede	Nan
pārrauga	supervisado por	Nan
pāriet	cambiar	None
pāris	pareja	None
pārklāj	cubrir	None
pārklājas	superposición	Nan
pārkāpumiem	infracciones	Nan
pārkāpums	violación	None
pārliecināts	por supuesto	Nan
puslodē	hemisferio	None
pārliecība	confianza	None
pārlūkprogrammas	navegadores	None
pārlūkprogrammu	navegador	None
pārmaiņas	cambios	None
pārmaiņu	cambio	None
pārmaiņām	cambio	None
pārraide	transmisión	None
pārraides	transmisiones	Nan
pārlūkprogramma	navegador	None
puslode	hemisferio	None
pusi	medio	None
puses	lados	None
protonu	protón	None
province	provincia	None
provinces	provincias	None
provinci	provincias	None
provincē	provincia	None
provincēm	provincias	None
provinču	provincias	None
proza	prosa	None
prozas	prosa	None
prāmju	transportar	None
prāta	mente	None
prātu	mente	None
prēmija	prima	None
prēmijas	bonos	Nan
prēmiju	prima	None
protokolus	protocolos	None
protokolu	protocolo	None
protokols	protocolo	None
protokoli	protocolos	None
projekta	proyecto	None
projektiem	proyectos	None
projekts	proyecto	None
projektu	proyecto	None
projektus	proyectos	None
proletariāts	proletariado	None
prom	paseo	None
psiholoģija	psicología	None
prometijs	prometeo	Nan
proporcionāli	proporcionalmente	Nan
protams	por supuesto	Nan
protestantisms	protestantismo	None
protestantu	protestante	None
protestiem	protestas	None
proti	a saber	Nan
protokola	protocolo	None
proporcijas	dimensiones	None
pārtiek	alimenta	Nan
psiholoģijas	psicología	None
psr	psr	Nan
punkta	punto	None
punkti	puntos	None
punktiem	puntos	None
punkts	punto	None
punktu	punto	None
punktus	puntos	None
punktā	punto	None
purva	purva	Nan
purvciemā	en purvciems	Nan
purvi	purvi	Nan
purvs	pantano	Nan
purvu	purvu	Nan
purvītis	pantano	Nan
puse	medio	None
pusei	medio	None
pumpurošanās	en ciernes	Nan
pulveri	polvo	None
pulsārs	pulsar	Nan
pulkvedis	coronel	None
psrs	psrs	Nan
publicēja	publicado por	Nan
publicēta	publicado	None
publicēti	publicado	None
publicēts	publicado	None
publikas	el público	Nan
publikācija	publicación	None
pskp	pskp	Nan
publiski	en público	Nan
publiskās	público	None
puds	pudines	Nan
puertoriko	puerto rico	Nan
pulka	regimiento	Nan
pulks	tropa	Nan
pulksteņa	reloj	None
pulkvedi	coronel	None
publisku	público	None
progresu	progreso	None
pārtika	comida	None
pārtiku	comida	None
radušos	incurrido	Nan
radušās	incurrido	Nan
radās	ocurrió	None
radīja	creado	None
radījis	creado por	Nan
radījusi	creado por	Nan
radīt	crear	None
radīta	creado	None
radīti	creado	None
radīto	creado	None
radīts	creado	None
radītu	crear	None
raga	raga	Nan
ragu	ragu	Nan
raidīt	para transmitir	Nan
radušies	incurrido	Nan
rainis	rainis	Nan
radusies	ocurrió	None
radioaktīvo	radioactivo	Nan
pūlēm	esfuerzo	None
pūniešu	púnico	Nan
pūķa	continuar	None
pūķi	dragones	Nan
pūķiem	dragones	Nan
pūķis	continuar	None
pūķu	continuar	None
pūš	soplo	Nan
q	q	None
r	r	None
ra	real academia de bellas artes	Nan
rada	pista	None
radies	radios	None
radikāli	radicalmente	None
radio	radio	None
radiācijas	radiación	None
raiņa	arco iris	Nan
rajona	distrito	None
rajoni	distritos	None
raksturot	para caracterizar	Nan
raksturs	naturaleza	None
raksturu	naturaleza	None
raksturīga	característica	None
raksturīgas	característica	None
raksturīgi	característica	None
raksturīgo	característica	None
raksturīgs	característica	None
raksturīgās	característica	None
rakstus	artículos	None
rakstā	en el artículo	Nan
rakstība	ortografía	None
rakstības	ortografía	None
rakstību	ortografía	None
rakstīja	escribió	None
raksturojums	caracteristicas	Nan
raksturo	caracteriza	None
rakstura	naturaleza	None
rakstu	escribir	None
rajoniem	distritos	None
rajonos	distritos	None
rajons	distrito	None
rajonu	distrito	None
rajonus	distritos	None
rajonā	distrito	None
raksta	escribe	None
pūlis	multitud	None
raksti	escribir	None
rakstniecības	escritura	None
rakstnieki	escritores	None
rakstniekiem	escritores	None
rakstnieku	escritor	None
rakstos	artículos	None
