+	+	None
ห้วยขวาง	huai khwang	Nan
ห้วยทับทัน	huai thap than	Nan
ห้องน้ำ	tualete	Nan
ห้องสมุด	bibliotēka	None
ห้าง	veikalā	Nan
ห้างฉัตร	pakārt tērzēšanu	Nan
ห้างหุ้นส่วนจำกัด	komandītsabiedrība	Nan
ฬาพานิช	komerciāls	Nan
อก	krūts	Nan
อคิลลีส	ahillejs	Nan
องคชาต	dzimumorgāni	Nan
องคต	organizācija	Nan
องค์กรปกครองส่วนท้องถิ่น	vietējās pašvaldības organizācija	Nan
องค์การนิสิต	studentu organizācija	Nan
องค์การมหาชน	sabiedriskā organizācija	Nan
องค์การสหประชาชาติ	apvienotās nācijas	Nan
องค์บาก	ong baks	Nan
อนึ่ง	starp citu	Nan
อนาลโย	analogs	Nan
อนันตรัย	anantai	Nan
อนันตยะ	anantaya	Nan
อธิบายว่า	izskaidro to	Nan
อธิการบดีมหาวิทยาลัยธรรมศาสตร์	thammasat universitātes prezidents	Nan
ห่วงใย	rūpes	None
อธิการบดี	kanclere	Nan
อดีตรองนายกรัฐมนตรี	bijušais premjerministra vietnieks	Nan
อดีตผู้บัญชาการทหารบก	bijušais militārais komandieris	Nan
อดีต	bijušais	None
อดิศักดิ์	adisak	Nan
องอาจ	varens	Nan
องค์ประกันหงสา	hongsa apdrošināšana	Nan
อดีตรองหัวหน้าหน่วยที่	bijušais vienības vadītāja vietnieks	Nan
อนุทิน	dienasgrāmata	Nan
หเตุการณ์	situācija	None
หุ่น	leļļu	Nan
หลักสูตรวิทยาศาสตรมหาบัณฑิต	zinātņu maģistra programma	Nan
หลังจาก	pēc	None
หลังสงคราม	pēc kara	Nan
หลังสงครามโลกครั้งที่	pēc pasaules kara	Nan
หลังสงครามโลกครั้งที่สอง	pēc otrā pasaules kara	Nan
หลังเหตุการณ์	pēc pasākuma	Nan
หลาย	daudzi	None
หลีกภัย	bēgšana	Nan
หลุมดำจิ๋ว	mazs melnais caurums	Nan
หล่มสัก	lom sak	Nan
หวาย	rotangpalmas	Nan
หอก	šķēps	Nan
หอประชุมพ่อขุนรามคำแหงมหาราช	karaļa ramkhamhaenga lielā auditorija	Nan
หอมรดกไทย	taizemes mantojuma zāle	Nan
หอย	gliemenes	Nan
หอไอเฟล	eifeļa tornis	Nan
หัก	atskaitīt	Nan
หุตะสิงห์	huta dzied	Nan
หี	puncis	Nan
หินไซอัล	slānekļa akmens	Nan
หินแกรนิต	granīts	Nan
หินเชิร์ต	akmens krekls	Nan
หินอ่อน	marmors	Nan
หุ่นยนต์	robots	Nan
หินปูน	kaļķakmens	None
หาดทรายแก้ว	sai kaew pludmale	Nan
หาง	aste	None
หัวใจ	sirds	None
หัวโขน	maska	Nan
หัวหิน	hua hin	Nan
หัว	galva	None
หาบเร่	vanags	Nan
หลักสูตรภาษาไทย	taizemes valodas kurss	Nan
อนุสรณ์สถาน	piemiņas vieta	Nan
อปักธงชัย	pak thongchai	Nan
ออกมาในอะนิเมะเท่านั้น	iznāk tikai anime	Nan
ออกอากาศ	pārraide	None
ออกอากาศครั้งที่	tiek rādīts	Nan
ออกอากาศทางช่อง	raidījums	Nan
ออกัสตัส	augusts	None
ออกเป็น	into	Nan
ออกแบบตัวละคร	rakstzīmju dizains	Nan
ออนไลน์	tiešsaistē	Nan
ออฟ	izslēgts	Nan
ออลแบนี	sabiedrotie	Nan
ออสเตรเลีย	austrālija	None
ออโตทรอพ	autobots	Nan
อะ	kas	None
อะซูไรต์	azurīts	Nan
อะตอม	atoms	None
อะนิเมะ	anime	Nan
อะบุราเมะ	aburame	Nan
อัธฮา	athha	Nan
อัตราการว่างงาน	bezdarba līmenis	Nan
อัฒภาค	semikols	Nan
อัญมณี	dārgakmens	None
อังการา	ankara	Nan
อังกฤษสมัยแองโกล-นอร์มัน	anglo-normanu angļu valoda	Nan
ออกฉายครั้งแรกเมื่อวันที่	pirmoreiz tika demonstrēta	Nan
อักษรเกาหลี	korejiešu alfabēts	Nan
อักษร	vēstule	None
อะโลน	vienatnē	Nan
อะโกนิสต์	agonists	Nan
อะลูมิเนียม	alumīnijs	None
อะมาเดอุส	amadeus	Nan
อะพาไทต์	apetīte	Nan
อักษรย่อ	saīsinājumi	Nan
อนุสรา	anusara	Nan
ออ	vai	None
อสมท	mcot	Nan
อพอลโล่	apollo	Nan
อพิมาย	aphimai	Nan
อภัยนุราช	piedod	Nan
อภินันท์	aphinan	Nan
อภิปรัชญา	metafizika	Nan
อภิรักษ์	afirak	Nan
อมฤต	miris	None
อมาตยกุล	amatayakun	Nan
อยู่	ir	None
อยู่วิทยา	fizioloģija	Nan
อยู่ห่างออกไปจากชายฝั่ง	tālu no krasta	Nan
อยู่แล้ว	gan jau	Nan
อยู่ในเขตอำเภอกุฉินารายณ์	atrodas kučinarai rajonā	Nan
อย่างต่อเนื่อง	nepārtraukti	None
อย่างแพร่หลาย	plaši	None
อย่างไรก็ตาม	tomēr	None
อร	orn	Nan
อศรีประจันต์	asri pračāns	Nan
อวัยวะเพศ	dzimumorgāni	Nan
อวัยวะสืบพันธุ์หญิง	sieviešu dzimumorgāni	Nan
อวัยวะสืบพันธุ์สตรีด้านนอก	sieviešu dzimumorgāni no ārpuses	Nan
อวอร์ดส	balvas	None
อลิซ	alise	Nan
อสามชุก	sems čuks	Nan
อลาสก้า	aļaska	None
อรุณี	aruneja	Nan
อริยสัจ	cēlā patiesība	Nan
อรัญประเทศ	aranyaprathet	Nan
อรรถพร	athaphon	Nan
อรรถกถา	komentārs	Nan
อรทัย	jauna meitene	Nan
อลังการ	rotājumi	Nan
อันดับ	vērtējums	Nan
หลักสูตรภาษาอังกฤษ	angļu valodas kurss	Nan
หลักสูตรนานาชาติ	starptautiskais kurss	Nan
หน้าอก	krūtīs	Nan
หมวด	grupa	None
หมวดหมู่	kategorija	None
หมวดหมู่กลุ่มดนตรีที่ก่อตั้งในปี	mūzikas grupas kategorija dibināta 2006	Nan
หมวดหมู่กลุ่มดนตรีสัญชาติเกาหลี	korejiešu mūzikas grupas kategorija	Nan
หมวดหมู่กวีชาวไทย	taizemes dzejnieka kategorija	Nan
หมวดหมู่การฉลองปีใหม่	jaunā gada svinību kategorija	Nan
หมวดหมู่การประท้วงในประเทศไทย	kategoriju protests taizemē	Nan
หมวดหมู่การ์ตูนญี่ปุ่นแนวโชเน็น	kategorija: japāņu multfilma, shonen stils	Nan
หมวดหมู่จุลชีววิทยา	mikrobioloģijas kategorija	Nan
หมวดหมู่ชาวไทยที่นับถือศาสนาพุทธ	kategorija taizemes budisti	Nan
หมวดหมู่ชาวไทยที่เกิดในต่างประเทศ	kategorija taizemieši, kas dzimuši ārzemēs	Nan
หมวดหมู่ดาวเคราะห์ชั้นใน	iekšējās planētas kategorija	Nan
หมวดหมู่ดาวเคราะห์หิน	planētas akmens kategorija	Nan
หมวดหมู่ทหารอากาศชาวไทย	taizemes gaisa spēku kategorija	Nan
หมวดหมู่ทหารเรือชาวไทย	taizemes flotes kategorija	Nan
หมวดหมู่นักการเมืองไทย	taizemes politiķu kategorija	Nan
หมวดหมู่ประวัติศาสตร์ไทย	taizemes vēstures kategorija	Nan
หมวดหมู่บุคคลที่เกี่ยวข้องกับเหตุการณ์	ar notikumu saistīto cilvēku kategorija	Nan
หมวดหมู่บุคคลจากโรงเรียนมงฟอร์ตวิทยาลัย	monforta koledžas personu kategorija	Nan
หมวดหมู่บุคคลจากโรงเรียนนายร้อยพระจุลจอมเกล้า	kategorijas no čulachomklao karaliskās militārās akadēmijas	Nan
หมวดหมู่บุคคลจากสถาบันบัณฑิตพัฒนศิลป์	cilvēku kategorija no bunditpatanasilpa institūta	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยอ๊อกซฟอร์ด	oksfordas universitātes individuālā kategorija	Nan
หน่วยพันธุกรรม	ģenētiskā vienība	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยสุโขทัยธรรมาธิราช	kategorijas no sukhothai thammathirat open university	Nan
หมวดหมู่บุคคลจากจุฬาลงกรณ์มหาวิทยาลัย	kategorijas no chulalongkorn university	Nan
หมวดหมู่บอยแบนด์	zēnu grupas kategorija	Nan
หมวดหมู่บริษัทที่ก่อตั้งในปี	kategorija uzņēmums dibināts	Nan
หมวดหมู่บริษัทของไทย	taizemes uzņēmuma kategorija	Nan
หมวดหมู่นายกรัฐมนตรีไทย	kategorija taizemes premjerministrs	Nan
หมวดหมู่นักร้องไทย	taizemes dziedātāju kategorija	Nan
หมวดหมู่บุคคลจากมหาวิทยาลัยธรรมศาสตร์	thammasat universitātes kategorija	Nan
หมวดหมู่ประเภทของภาพยนตร์	filmas kategorijas kategorija	Nan
หน่วยประมวลผลกลาง	centrālā procesora bloks	Nan
หน่วยที่	vienība	None
ส่วนหัว	galvene	Nan
ส่วนในฤดูฝนน้ำจะท่วมทุกปี	lietus sezonā ūdens plūdīs katru gadu.	Nan
ส่วนใหญ่	lielākā daļa	Nan
ส่วนใหญ่เป็นโรงสีข้าว	lielākā daļa no tām ir rīsu dzirnavas.	Nan
ส่องแสง	spīdēt	Nan
ส้ม	apelsīns	Nan
ส้มเช้ง	oranža oranža	Nan
ส้มโอ	greipfrūti	Nan
หงษ์ทอง	hon thong	Nan
หงษ์มานพ	hong manop	Nan
หงสกุล	honkons sakuls	Nan
หญ้าทะเล	jūras zāle	Nan
หญ้าฝรั่น	safrāns	None
หนองคาย	nong khai	Nan
หนองม่วง	nong muangs	Nan
หนองหาน	nong han	Nan
หนองฮี	nong hee	Nan
หน่วยทหารในค่าย	militārā vienība nometnē	Nan
หน่วยคำเติม	morfēma	Nan
หน่วยความจำ	atmiņas	None
หนุ่ม	jauns	None
หนุมาน	hanuman	Nan
หนึ่งธิดา	viena meita	Nan
หน่วยบัญชาการนาวิกโยธิน	jūras štābs	Nan
หนึ่ง	viens	None
หนังสือลามก	pornogrāfiskās grāmatas	Nan
หนังสือการ์ตูน	komiksu grāmata	Nan
หนังสือ	grāmata	None
หนัก	smags	Nan
หนอน	tārps	Nan
หนองแซง	zangs	Nan
หนังใหญ่	liela filma	Nan
หลักสูตรปกติ	normāls kurss	Nan
หมวดหมู่ปรัชญา	filozofijas kategorija	Nan
หมวดหมู่พระราชปทินัดดาในรัชกาลที่	kategorijas karaliskais valdīšana valdīšanas laikā	Nan
หมอชิต	morchit	Nan
หมากรุกสากล	starptautiskais šahs	Nan
หมายความว่า	nozīmē	None
หมู่	cūka	Nan
หมู่ที่	ciems	Nan
หมู่เกาะเคย์แมน	kaimanu salas	Nan
หมู่เกาะแบลีแอริก	baleāru salas	Nan
หมู่เกาะโซโลมอน	zālamana salas	Nan
หม่อมราชวงศ์ปรีดิยาธร	r. pridijathorns	Nan
หม่อมหลวงปิ่น	mamma pin	Nan
หม่อมเจ้าจุฑาวัชร	prince jutawatchai	Nan
หม่อมเจ้าวัชรวีร์	prince watcharawee	Nan
หม่อมเจ้าวัชรเรศร	mamma vatčaračorna	Nan
หม้อข้าวหม้อแกงลิง	nepentē	Nan
หยุ่น	elastīga	Nan
หรั่ง	langa	Nan
หรือ	vai	None
หลักสูตรที่เปิดสอน	kurss	Nan
หลักสูตรการจัดการดุษฏีบัณฑิต	filozofijas doktora studiju programma menedžmentā	Nan
หลักสี่	laksi	Nan
หลักทรัพย์	vērtspapīri	Nan
หลักจริยธรรม	ētika	None
หลอดเลือดแดงใหญ่เอออร์ตา	aorta	Nan
หมวดหมู่โรงเรียนบุรุษในประเทศไทย	vīriešu skolas kategorija taizemē	Nan
หลอดอาหาร	barības vads	Nan
หลวง	karaliskais	Nan
หรือเรียกว่า	vai sauc	Nan
หรือที่เรียกกันว่า	zināms arī kā	Nan
หรือที่รู้จักกันในชื่อ	vai pazīstams kā	Nan
หรือชื่อทางการคือ	vai arī oficiālais nosaukums ir	Nan
หรือการแสดงธงชาติ	vai arī parādot valsts karogu	Nan
หลอก	pseido	Nan
หมวดหมู่พระราชนัดดาในรัชกาลที่	kategorija valdības mazdēls	Nan
หมวดหมู่โรงเรียนที่มีอัตราการแข่งขันสูง	skolas kategorija ar augstu konkurences līmeni	Nan
หมวดหมู่แนวพระราชดำริ	iniciatīvas kategorija	Nan
หมวดหมู่พระราชปนัดดาในรัชกาลที่	kategorija karalis panadda valdīšanas laikā	Nan
หมวดหมู่พิธีกรไทย	kategorija taizemes vadītāji	Nan
หมวดหมู่ฟุตบอลในประเทศไทย	futbola kategorija taizemē	Nan
หมวดหมู่ภัยธรรมชาติ	dabas katastrofu kategorija	Nan
หมวดหมู่ภัยพิบัติทางการแพทย์	medicīniskās katastrofas kategorija	Nan
หมวดหมู่มหาวิทยาลัยธรรมศาสตร์	thamasatas universitātes kategorija	Nan
หมวดหมู่รัชกาลที่	kategorijas valdīšana	Nan
หมวดหมู่รัฐคอมมิวนิสต์	komunistiskās valsts kategorija	Nan
หมวดหมู่รัฐมนตรีว่าการกระทรวงการต่างประเทศไทย	kategorija: taizemes ārlietu ministrs	Nan
หมวดหมู่รัฐวิสาหกิจไทย	kategorija taizemes uzņēmumi	Nan
หมวดหมู่รัฐสิ้นสภาพในทวีปเอเชีย	kategorijas valsts dzēsta āzijā	Nan
หมวดหมู่รัฐและดินแดนที่ก่อตั้งในปี	kategorija valsts un teritorija, kas dibināta 2004	Nan
หมวดหมู่รายการโทรทัศน์ไทย	taizemes televīzijas programmu kategorija	Nan
หมวดหมู่ละครโทรทัศน์ไทย	kategorija taizemes televīzijas drāma	Nan
หมวดหมู่วัฒนธรรมไทย	taizemes kultūras kategorija	Nan
หมวดหมู่วันสำคัญทางศาสนาที่นับโดยปฏิทินจันทรคติ	svarīgo reliģisko dienu kategorijas, kuras ieskaita mēness kalendārā	Nan
หมวดหมู่ศิลปินสังกัดจีเอ็มเอ็ม	mākslinieka kategorija saskaņā ar gmm	Nan
หมวดหมู่เพศศึกษา	dzimumaudzināšanas kategorija	Nan
หมวดหมู่เครื่องเทศ	garšvielu kategorija	Nan
หมวดหมู่อวัยวะเพศ	dzimumorgānu kategorija	Nan
หมวดหมู่อวัยวะ	orgānu kategorija	Nan
หมวดหมู่อดีตอาณานิคมของอังกฤษ	bijusī lielbritānijas koloniālo kategorija	Nan
หมวดหมู่อดีตอาณานิคมของสเปน	bijusī spānijas koloniālo kategorija	Nan
หมวดหมู่โรค	slimības kategorija	Nan
หมวดหมู่อดีตอาณานิคมของฝรั่งเศส	bijusī franču koloniālo kategorija	Nan
หมวดหมู่สิ้นสุดในคริสต์ศตวรรษที่	kategorija beidzās 19. gadsimtā.	Nan
หมวดหมู่สิ่งก่อสร้างในพุทธศตวรรษที่	ēku kategorija 21. gadsimtā	Nan
หมวดหมู่สัตว์เลื้อยคลาน	rāpuļu kategorija	Nan
หมวดหมู่สัตว์มีแกนสันหลัง	kategorijas mugurkaula ass	Nan
หมวดหมู่สมุนไพร	garšaugu kategorija	Nan
หมวดหมู่สถาบันอุดมศึกษาในกรุงเทพมหานคร	bangkokas augstākās izglītības iestāžu kategorijas	Nan
หมวดหมู่สโมสรในพรีเมียร์ลีก	kluba kategorija premjerlīgā	Nan
อันประกอบด้วย	kas sastāv no	Nan
อันโตนิโอ	antonio	None
อันโตนีโอ	antonio	None
อุณหเคมี	termoķīmija	Nan
อุดม	auglīga	None
อุดรธานี	udons thani	Nan
อุตตมะโยธิน	uppharat yothin	Nan
อุตรดิตถ์	uttaradit	Nan
อุทยาน	parks	None
อุทยานประวัติศาสตร์พนมรุ้ง	phanom rung vēsturiskais parks	Nan
อุทยานประวัติศาสตร์พิมาย	phimai vēsturiskais parks	Nan
อุทยานแห่งชาติคลองตรอน	khlong tron nacionālais parks	Nan
อุทยานแห่งชาติดอยภูคา	doi phu kha nacionālais parks	Nan
อุทยานแห่งชาติดอยอินทนนท์	doi inthanon nacionālais parks	Nan
อุทยานแห่งชาติทุ่งแสลงหลวง	thung salaeng luang nacionālais parks	Nan
อุทยานแห่งชาติธารโบกขรณี	nekā bok khorani nacionālais parks	Nan
อุทยานแห่งชาติน้ำตกสี่ขีด	si khit ūdenskrituma nacionālais parks	Nan
อุทยานแห่งชาติน้ำพอง	nacionālais parks nam phong	Nan
อุทยานแห่งชาติภูผาเหล็ก	dzelzs kalnu nacionālais parks	Nan
อุทยานแห่งชาติภูพาน	phu phan nacionālais parks	Nan
อุภัยราศี	piedodiet par zodiaku	Nan
อุปนิสัย	raksturs	None
อุปกรณ์คอมพิวเตอร์	datoru piederumi	Nan
อุปกรณ์	aprīkojums	Nan
อุบล	ubon	Nan
อุทุมพรพิสัย	uthumphon phisai	Nan
อุณหภูมิ	temperatūra	None
อุทยานแห่งชาติไทรทอง	nacionālais parks sai thong	Nan
อุทยานแห่งชาติหาดนพรัตน์ธาราหมู่เกาะพีพี	nofarāta thara nacionālais parks, phi phi salas	Nan
อุทยานแห่งชาติภูแลนคา	phulanca nacionālais parks	Nan
อุทยานแห่งชาติภูเวียง	phu wiang nacionālais parks	Nan
อุทยานแห่งชาติภูเรือ	phu ruea nacionālais parks	Nan
อุทยานแห่งชาติภูสอยดาว	phu soi dao nacionālais parks	Nan
อุทยานแห่งชาติภูสวนทราย	phu suan sai nacionālais parks	Nan
อุทยานแห่งชาติเขาหลวง	khao luangas nacionālais parks	Nan
อุรุกวัย	urugvaja	Nan
อุซึมากิ	uzumaki	Nan
อื่น	cits	None
อำเภอแม่แจ่ม	mae chaem rajons	Nan
อำเภอแม่แตง	mae taeng rajons	Nan
อำเภอโนนดินแดง	non din daeng rajons	Nan
อำเภอโนนสุวรรณ	non suwan apgabals	Nan
อิงค์	inc	None
อิงลิช	angļu	None
อิทธิพล	ietekme	None
อิน	iekšā	Nan
อินทิรา	indira	Nan
อินฟราเรด	infrasarkanais	Nan
อินฮิบิเตอร์	inhibitors	Nan
อินุยาฉะ	inuyasha	Nan
อินเซคทิวอรา	inseqtura	Nan
อินเดียน	indiānis	Nan
อินเด็กซ์	indekss	None
อินโดนีเซีย	indonēzija	None
อิม	imm	Nan
อือ	jā!	Nan
อึ๊งภากรณ์	ungphakorn	Nan
อึ	sūdi	Nan
อีกด้วย	pārāk	None
อีกครั้ง	vēlreiz	None
อีก	vairāk	None
อุ	o	Nan
อิโนะ	es nē	Nan
อิหร่าน	irāna	None
อิสตันบูล	stambula	None
อิริโทรมัยซิน	elektrolīze	Nan
อิรัก	irāka	None
อิมแพ็ค	ietekme	None
อิมาจิน	imajins	Nan
อิเควทอเรียลกินี	ekvatoriālā gvineja	Nan
อำเภอแม่ทะ	mae tha rajons	Nan
อุเทน	uhenē	Nan
อู๋	wu	Nan
ฮิโซกะ	hisoka	Nan
ฮิโรชิ	hiroshi	Nan
ฮีชอล	hečuls	Nan
ฮุก	āķis	Nan
ฮโยยอน	hyoyeon	Nan
ฯพณฯ	viņa ekselence	Nan
เกตส์	vārti	None
เกตุทัต	ketats	Nan
เกมที่	spēle	None
เกมบุค	spēle	None
เกรย์	pelēks	Nan
เกษตรกรรม	lauksaimniecība	None
เกษตรวิสัย	kaset wisai	Nan
เกษมศรี	kasemsri	Nan
เกอริง	geringa	Nan
เกอไทต์	gēte	None
เกาหลีใต้	dienvidkoreja	None
เกียรติศักดิ์	slava	Nan
เกียรติประวัติ	goda vārds	Nan
เกียรติ	gods	Nan
เกิดนิมิตร	izveidojiet vīziju	Nan
เกิดจากเชื้อไวรัส	izraisa vīruss	Nan
เกิดจากการรวมตัวของ	iemesls:	Nan
ฮิวงะ	hyuga	Nan
เกิดจากการรวมชิ้นส่วนที่	iemesls, apvienojot daļas, kas	Nan
เกิดขึ้นหลังจากมหาวิทยาลัยศรีนครินทรวิโรฒวิทยาเขตต่างๆ	notika pēc srinakharinwirot universitātes	Nan
เกิด	piedzima	None
เกาะสุมาตรา	sumatra	Nan
เกาะลูซอน	luzonas sala	Nan
เกาะคา	kauai	Nan
เกาะ	sala	None
เกิดขึ้นเมื่อวันที่	notika	None
อู	ou	Nan
ฮิราโกะ	hirako	Nan
ฮินาตะ	hinata	Nan
อเมริกัน	amerikāņu	None
อเมริกา	amerika	None
อเมริกาเหนือ	ziemeļamerika	None
อเล็กซานเดอร์	aleksandrs	None
อเล็กซ์	alekss	Nan
อโลหะ	nemetāla	Nan
อ่อนเพลีย	noguris	Nan
อ่าน	lasīt	None
อ่าวลึก	ao luek	Nan
อ้างว่า	apgalvo, ka	Nan
อ้างว้าง	pamests	Nan
ฮอกกี้	hokejs	None
ฮอท	karsts	None
ฮอฟมัน	hofmans	Nan
ฮอยเกนส์	hogens	Nan
ฮอร์โมน	hormonu	Nan
ฮอลแลนด์	holande	Nan
ฮิตเลอร์	hitlers	None
ฮิซานะ	hisana	Nan
ฮิซาชิ	hisashi	Nan
ฮาวาย	havaju salas	Nan
ฮารุกะ	haruka	Nan
ฮายาโตะ	hayato	Nan
ฮิมาวาริ	himawari	Nan
ฮานอย	hanoja	Nan
ฮาจิ	hači	Nan
ฮัมบูร์ก	hamburga	Nan
ฮันกึล	hangul	Nan
ฮักบี้	ardievu	Nan
ฮอว์ค	jūraszāles	Nan
ฮอลโลว์	dobi	Nan
ฮาตาเกะ	hatake	Nan
อำเภอแจ้ห่ม	če homas rajons	Nan
อำเภอเสริมงาม	soem ngam rajons	Nan
อำเภอเวียงแก่น	wiang kaen rajons	Nan
อานโตนิโอ	antonio	None
อาบาราอิ	abarai	Nan
อายุ	vecums	None
อารยา	arāja	Nan
อาร์	r	None
อาร์กอน	argons	Nan
อาร์คิมิดีส	arhimēdi	Nan
อาร์ม	roka	None
อาร์มาดิลโล	armadillo	Nan
อาร์เคด	pasāža	Nan
อาร์เมเนีย	armēnija	None
อาร์เอ็นเอ	rns	None
อาร์โนลด์	arnolds	None
อาวุธคือ	ierocis ir	Nan
อาวุธประจำกาย	personīgais ierocis	Nan
อาหาร	ēdiens	Nan
อาเจียน	vemt	Nan
อำเภอดอยสะเก็ด	doi saket rajons	Nan
อำเภอจอมทอง	chom thong rajons	Nan
อำเภอคูเมือง	khu mueangas rajons	Nan
อำเภอครบุรี	khon buri rajons	Nan
อำเภอขุนหาญ	khun han rajons	Nan
อำเภอขุขันธ์	khukhan apgabals	Nan
อานุภาพ	spēks	None
อำเภอกันทรลักษ์	kantharalakas rajons	Nan
อำเภอกมลาไสย	kamalasai apgabals	Nan
อำเภอ	apgabals	None
อำนาจอธิปไตย	suverenitāte	Nan
อำนาจ	spēks	None
อาเนีย	ana	Nan
อาเธอร์	artūrs	None
อำเภอกระสัง	krasangas apgabals	Nan
อำเภอด่านขุนทด	dan khun thot rajons	Nan
อานันทมหิดล	ananda mahidol	Nan
อาทิตย์	nedēļā	None
อันได้แก่	ieskaitot	None
อัฟกานิสถาน	afganistāna	None
อัมพร	amporn	Nan
อัมพาต	paralīze	Nan
อัลบัส	albuss	Nan
อัลบั้ม	albumu	None
อัลเดบารัน	aldebārāns	Nan
อัลเฟรด	alfrēds	None
อัสนี	skrūve	Nan
อาการหวาดระแวง	paranoia	Nan
อากาศ	gaiss	None
อากาศอำนวย	laikapstākļi	Nan
อากาเป	agape	Nan
อาคามัตสึ	akamatsu	Nan
อาคารส่วนที่	ēkas sekcija	Nan
อาคารอุบลรัตนราชกัญญา	ubonratana ratchakanya ēka	Nan
อาคารเฉลิมพระเกียรติ	chaloem phrakiat ēka	Nan
อาทิ	piemēram,	Nan
อาดัม	ādams	None
อาณาเขตติดต่อ	kontaktu zona	Nan
อาณาจักรแพกเจ	pakae karaliste	Nan
อาณาจักรอยุธยาเริ่มเสื่อมอำนาจลงราวพุทธศตวรรษที่	ajutthajas karaliste sāka pasliktināties budistu gadsimtā.	Nan
อาณาจักรอยุธยาปกครองเขมรเป็นเวลาเกือบปี	ajutthajas karaliste kambodžu valdīja gandrīz gadu.	Nan
อานนท์	anons	Nan
อาณาจักรสุโขทัย	sukhothai karaliste	Nan
อาณาจักร	karaļvalsts	Nan
อาณัตพล	anataphon	Nan
อาซึกะ	asuka	Nan
อาจารย์ใหญ่	direktors	None
อาจารย์	profesors	Nan
อาจหมายถึง	var nozīmēt	Nan
อาณาจักรธนบุรี	thonburi karaliste	Nan
อำเภอตะพานหิน	taphan hin rajons	Nan
อำเภอทับคล้อ	thap khlo rajons	Nan
อำเภอทุ่งช้าง	thung chang rajons	Nan
อำเภอศรีเมืองใหม่	si mueang mai rajons	Nan
อำเภอสระโบสถ์	sras baznīcas rajons	Nan
อำเภอสหัสขันธ์	sahatsakhanas apgabals	Nan
อำเภอสองแคว	dziesma khwae	Nan
อำเภอสังขะ	sangkha rajons	Nan
อำเภอสันป่าตอง	sanpa tongas rajons	Nan
อำเภอสามพราน	sam phran apgabals	Nan
อำเภอสารภี	sarafi apgabals	Nan
อำเภอสิชล	sičonas rajons	Nan
อำเภอสุไหงโกลก	sungai kolokas rajons	Nan
อำเภอหนองกี่	nong ki rajons	Nan
อำเภอห้วยราช	huai rat rajons	Nan
อำเภออมก๋อย	omkoi rajons	Nan
อำเภอเกาะคา	ko kha rajons	Nan
อำเภอเขวาสินรินทร์	khwao sinarin rajons	Nan
อำเภอเฉลิมพระเกียรติ	chaloem phrakiat rajons	Nan
อำเภอเชียงของ	chiang khong rajons	Nan
อำเภอเวียงชัย	wiang chai rajons	Nan
อำเภอเมืองเพชรบุรี	mueang phetchaburi rajons	Nan
อำเภอเมืองเชียงใหม่	mueang chiang mai rajons	Nan
อำเภอเมืองอุตรดิตถ์	mueang uttaradit apgabals	Nan
อำเภอเมืองสุรินทร์	mueang surin apgabals	Nan
อำเภอเมืองลพบุรี	mueang lop buri rajons	Nan
อำเภอศรีณรงค์	si narongas rajons	Nan
อำเภอเมืองพิษณุโลก	mueang phitsanulok	Nan
อำเภอเมืองบุรีรัมย์	mueang buri ram rajons	Nan
อำเภอเมืองนนทบุรี	mueang nonthaburi rajons	Nan
อำเภอเมืองนครราชสีมา	mueang nakhon ratchasima rajons	Nan
อำเภอเมืองกาฬสินธุ์	mueang kalasin rajons	Nan
อำเภอเชียรใหญ่	chian yai rajons	Nan
อำเภอเชียงคาน	čianghaņas rajons	Nan
อำเภอเมืองพิจิตร	mueang phichit rajons	Nan
อำเภอลำปลายมาศ	lam plai mat rajons	Nan
อำเภอลาดหลุมแก้ว	lat lum kaeo rajons	Nan
อำเภอร่อนพิบูลย์	rona phibun rajons	Nan
อำเภอบ้านลาด	ban lat rajons	Nan
อำเภอบางเสาธง	bang sao thong rajons	Nan
อำเภอบางละมุง	bang lamungas rajons	Nan
อำเภอบางพลี	bang phli rajons	Nan
อำเภอบางบ่อ	bang bo rajons	Nan
อำเภอบางบัวทอง	bang bua thong rajons	Nan
อำเภอบ้านหมี่	ban mi rajons	Nan
อำเภอบัวใหญ่	bua yai rajons	Nan
อำเภอน้ำเกลี้ยง	nam kliangas rajons	Nan
อำเภอนาบอน	na bon rajons	Nan
อำเภอนครชัยศรี	nakhon chai si rajons	Nan
อำเภอท่าวุ้ง	tha wung rajons	Nan
อำเภอท่าวังผา	tha wang pha rajons	Nan
อำเภอท่าตูม	tha tum rajons	Nan
อำเภอบัวเชด	buachet rajons	Nan
ส่วนส่งกำลังบำรุง	loģistikas sadaļa	Nan
