$	$	your
+	+ +	+
<i>	<i>	me
<i><i>	<i><i>	<me><i>
<wareega	<wareega	<round
=	=	=
==	==	==
===xoriyadii	=== স্বাধীনতা	===xoriyadii
a	একটি	a
aa	একটি	he was
aaayadda	শ্লোক	aaayadda
aabaha	বাবা	father
aabahayo	আমাদের বাবা	aabahayo
aabbe	পিতা	father
aabbihii	তার পিতা	father
aabbihiis	তার পিতা	his father
aabe	পিতা	father
aabihii	বাবা	his father
aabihiina	আমার বাবা	aabihiina
aabihiis	তার পিতা	his father
aabihiisna	তার পিতা	aabihiisna
aad	আপনি	you
aada	যাওয়া	walk on to
aadam	মানবতা	adam
aadamka	মানুষের	human being
aadamuhu	মনুষ্যজাতি	deprived
aadan	আপনি	you do
aadanaha	মানুষ	human
aadanuhu	মানুষের	human
aaday	গিয়েছিলাম	he went to
aaden	আপনি গিয়েছিলেন	aden
aadey	সর্বস্বান্ত	out where
aadka	খুব	toss
aadna	যাওয়া	and
aado	যাও	to go to
aafo	একটি সমস্যা	disaster
aagga	এলাকায়	area
aaggii	ক্ষেত্র	aaggii
aakhiraa	পরকালে	aakhirraa
aakhiraba	পরকালে	hereafter
aakhirana	পরকালে	next
aakhiro	পরকালে	hereafter
aakhiroba	পরকাল	speak evil things
aalacimraan	তারা চলে গেছে	aalacimraan
aalo	একটি যন্ত্রাংশ	questions about
aamdiga	স্বীকারোক্তি	aamdiga
aamin	আস্থা	secure
aaminaan	বিশ্বাস করা	trust
aamini	বিশ্বস্ত	trust
aamino	বিশ্বাস করা	a
aaminsan	বিশ্বাস করা	believe
aaminsanyahay	আমাকে বিশ্বাস কর	thought
aaminsanyihiin	বিশ্বাস করা	emotions
aamisan	এটা বিশ্বাস করো	believe that
aammiin	আমাকে বিশ্বাস কর	amen
aamus	শান্ত হও	silence
aan	না	i
aanan	আমি না	i
aanay	তারা না	not
aannaan	আমরা না	we
aannu	আমাদের	we
aanu	সমবেদনা	not
aanuu	ছাড়া	does not
aar	aar	revenge
aargoosi	প্রতিশোধ	revenge
aas	সমাধি	bury
aasaar	সমাধি	aasaar
aasaarta	সমাধি	aasaarta
