ab	ab	ab
abba	abba	abba
abbas	abbas	abbas
abbey	abaty	abbey
abc	abc	abc
abort	erthyliad	abortion
aborter	erthyliadau	abortions
about	om	about
abraham	abraham	abraham
absint	absinth	absinthe
absolut	hollol	absolute; total
absoluta	absoliwt	absolute
absolution	absolution	absolution
absorberas	amsugno	(gets) absorbed
abstrakta	haniaethol	abstract
abu	abu	abu
ac	ac	ac
academy	academi	academy
acceptera	derbyn	accept
accepterad	derbyn	acceptable
accepterade	derbyn	accepted
accepterar	derbyn	accepts
accepterat	derbyn	accepted
acdc	acdc	ac/dc
action	gweithredu	action
ad	a.d.	ad
adam	adam	adam
adams	adams	adams
adeln	uchelwyr	nobility
adhd	adhd	adhd
adjektiv	ansoddair	adjective
administration	gweinyddiaeth	administration
administrationen	gweinyddiaeth	administration
administrativ	gweinyddol	administration
administrativa	gweinyddol	administrative
administrativt	yn weinyddol	administrative
adolf	adolf	adolf
adolfs	adolf	adolf's
adrian	adrian	adrian
advokat	cyfreithiwr	lawyer
af	af	of (old swedish)
affärer	busnes	business
afghanistan	afghanistan	afghanistan
africa	africa	africa
afrika	affrica	africa
afrikaner	affricanwyr	africans
afrikansk	affricanaidd	african
afrikanska	affricanaidd	african
afrikas	affrica	africa's
afrodite	afrodite	afrodite
aftonbladet	cnn	aftonbladet
age	oedran	age
agent	asiant	agent
agera	act	act
agerande	ymddygiad	acting
aggressiv	ymosodol	aggressive
agnes	agnes	agnes
agnetha	agnetha	agnetha
agnosticism	agnosticiaeth	agnosticism
agnostiker	agnostig	agnostic
ahmed	ahmed	ahmed
aids	aids	aids
aik	-alk	aik
airlines	airlines	airlines
airport	maes awyr	airport
ajax	ajax	ajax
akademi	academi	academy
akademien	academi	the academy
akademiens	academi	the academy's
akademisk	academaidd	academical
akademiska	academaidd	academical
akc	akc	akc
akon	ffarmacon	akon
akondroplasi	achondroplasia	achondroplasia
aktiebolag	cwmni cyfyngedig	companies
aktier	cyfranddaliadau	stock
aktiv	egnïol	active
aktiva	gweithredol	active
aktivitet	gweithgaredd	activity
aktiviteten	gweithgaredd	activity
aktiviteter	gweithgareddau	activities
aktivt	gweithredol	actively
aktuell	cyfredol	current
aktuella	cyfredol	current
aktuellt	cyfredol	current
aktörer	actorion	players
akut	acíwt	acute
al	al	alder
alan	alan	alan
alaska	alaska	alaska
albaner	albaniaid	albanians
albanien	albania	albania
albanska	albaneg	albanian
albert	albert	albert
album	albwm	album
albumen	albwm	the albums
albumet	albwm	album
albumets	albwm	album's
alces	alces	alces
aldrig	peidiwch byth	never
ale	cwrw	ale
alex	alex	alex
alexander	alexander	alexander
alexanders	alexanders	alexanders
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alf	alf	alf
alfa	alffa	alpha
alfabet	wyddor	alphabets
alfabetet	wyddor	alphabet
alfabetisk	yn nhrefn yr wyddor	alphabetical
alfred	alfred	alfred
alger	algiers	algaes
algeriet	algeria	algeria
ali	ali	ali
alice	alice	alice
alkohol	alcohol	alcohol
alkoholer	alcoholau	alcohols
alla	i gyd	all
allan	allan	allan
alldeles	reit	completely
allen	allen	allen
allians	cynghrair	alliance
alliansen	cynghrair	the alliance
allierad	cynghreiriad	allied
allierade	perthynol	allied
allierades	perthynol	allied's
allmän	cyffredinol	general
allmänhet	cyhoeddus	in general
allmänheten	y cyhoedd	public
allmänna	cyffredinol	general
allmänt	yn gyffredinol	commonly
allra	iawn	very
alls	o gwbl	all
allsvenskan	allsvenskan	allsvenskan
allt	i gyd	all
alltför	hefyd	all too
alltid	bob amser	always
allting	popeth	everything
alltjämt	o hyd	remains
alltmer	yn gynyddol	increasingly
alltsedan	ers hynny	even since
alltså	mewn geiriau eraill	so
allvar	o ddifrif	earnest
allvarlig	difrifol	serious
allvarliga	difrifol	serious
allvarligt	o ddifrif	serious
alperna	alpau	alps
alqaida	al qaeda	al-qaida
alternativ	dewis arall	alternative
alternativa	dewis arall	alternative
alternativt	fel arall	alternatively
aluminium	alwminiwm	aluminum
am	yn	am
amazonas	amazon	the amazon rainforest
ambassad	llysgenhadaeth	embassy
ambitioner	uchelgeisiau	ambitions
america	america	america
american	americanaidd	american
amerika	america	america
amerikanen	americanaidd	american
amerikaner	americanwyr	american
amerikanerna	americanwyr	the americans
amerikansk	americanaidd	american
amerikanska	ud	american
amerikanske	americanaidd	american
amerikanskt	americanaidd	american
amerikas	america	america
amfetamin	amffetamin	amphetamine
aminosyra	asid amino	amino acid
aminosyror	asidau amino	amino acids
ammoniak	amonia	ammonia
amsterdam	amsterdam	amsterdam
amy	amy	amy
ana	ana	feel
analsex	rhefrol	anal sex
analys	dadansoddiad	analysis
analytisk	dadansoddol	analytical
analytiska	dadansoddol	analytical
anarkism	anarchiaeth	anarchism
anarkismen	anarchiaeth	the anarkism
anarkister	anarchwyr	anarchists
anarkistiska	anarchaidd	anarchistic
anatolien	anatolien	anatolia
anatomi	anatomeg	anatomy
anc	anc	anc
anda	ysbryd	spirit
andas	anadlu	breath
ande	ysbryd	of
andel	rhannu	share
andelen	canran	share
anden	ysbryd	the holy spirit
anderna	andes	andes
anders	anders	anders
andersson	andersson	andersson
anderssons	andersson	anderssons
andlig	ysbrydol	spiritual
andliga	ysbrydol	spiritual
andra	arall	second
andras	eraill	others
andre	yn ail	other
andreas	andreas	andreas
andres	andres	andres
andrew	andrew	andrew
andré	andré	andre
andy	andy	andy
anfall	ymosodiad	attack
anfalla	ymosodiad	attack
anfallet	ymosodiad	the attack
anfield	anfield	anfield
anföll	ymosod	attacked
ange	mynd i mewn	set
angeles	angeles	angeles
angelina	angelina	angelina
angels	angylion	angels
anger	nodwch	indicates
anges	allan	mention
anglosaxiska	eingl-sacsonaidd	anglo-saxon
angola	angola	angola
angrepp	ymosodiad	attack
angränsande	cyfagos	adjoining
angående	yn peri pryder	concerning
anhängare	cefnogwyr	followers
anhöriga	perthynas	relatives
animerade	animeiddiedig	animated
anka	hwyaden	anka
anklagade	cyhuddo	accused
anklagades	cyhuddo	accused
anklagats	cyhuddo	accused
anklagelser	cyhuddiadau	allegations
anknytning	cysylltiad	tie
ankomst	cyrraedd	arrival
anlades	gosodwyd	were built
anledning	rheswm	reason
anledningar	rhesymau	reasons
anledningarna	rhesymau	reasons
anledningen	y rheswm	reason
anläggningar	planhigion	facilities
anlände	cyrraedd	arrived
anländer	yn cyrraedd	arrive
anna	anna	anna
annan	arall	another
annars	fel arall	else
annat	arall	other
anne	anne	anne
annekterade	atodi	annexed
annika	amy	annika
annorlunda	gwahanol	different
anor	achau	ancestry
anordnas	a ddarperir	provided
anorektiker	anorecsig	anorectics
anorexia	anorecsia	anorexia
another	un arall	another
anpassa	addasu	adjust
