laagaanae	-1.0	1
praveshinche	-1.0	1
vivarinchadaaniki	-1.0	1
vivarinchabadindhi	-1.0	1
durjjati (name of the person,poet)	0.24480711	15
are made	0.33717036	96
huge, most	0.34025052	96
it became	0.34272307	97
had them	0.34420893	95
indian people call punarvasu a star which means "the repeated dweller"	0.34482932	39
left aside	0.34567302	92
besides these	0.34596574	93
by that time	0.34773925	100
on them	0.35143703	98
was like that	0.35313758	98
health device,century,invented	0.3532803	96
as pieces	0.35454232	97
to keep	0.35563773	95
in that	0.35631213	96
ormally	0.35652816	96
them also	0.35719055	97
to the day	0.35739595	98
in their custody	0.35778737	99
in these	0.3581822	96
is felt	0.35819957	97
beautiness	0.3587867	97
in the holes	0.358843	94
as two	0.35899255	96
on its	0.3593391	94
attack	0.35975915	99
created	0.3601872	99
to observe silence or fasting for a certain period to conquer the senses	0.36060327	97
for tradition	0.3608628	98
oo	0.36091504	82
for this	0.361581	97
strange	0.36161244	98
in depth	0.36241546	93
for exhibition	0.3627145	99
to cause	0.36283496	97
in the month	0.36292684	95
decease	0.36303884	95
in places	0.36308905	100
shown	0.363718	94
amazingly	0.36415946	92
in the	0.36444417	95
semuma	0.3647464	98
tandur	0.36580044	18
used as	0.36612725	94
in years	0.36629686	91
during that time	0.36651194	92
in future	0.36670512	100
things	0.3669006	94
gloriously	0.3669828	98
with water	0.3669861	98
amazing	0.3673229	89
large scale	0.36746126	95
has been made	0.36822164	98
inventions	0.36822417	100
it causes	0.3685809	100
in that place	0.36882085	93
averagely	0.3688321	96
with the help	0.36896873	96
in between	0.36920604	99
for staying	0.3693025	100
that side	0.36953345	99
because it's only one	0.3698487	96
they make	0.37001705	98
by making	0.3700361	97
class: april	0.37038565	94
still available	0.37048706	97
bi-laterall , versatile	0.3711165	98
deaths	0.37116653	95
most part	0.371315	99
in centuries	0.3713777	98
one of	0.37161377	97
to the body	0.37196973	100
of them	0.37218282	99
religious practices	0.37220818	96
by that	0.37244293	96
known as	0.37248182	99
will increase	0.37268308	96
for years	0.37307668	98
if happens	0.37346196	97
joined	0.37386733	95
to see	0.37429637	99
if seen	0.3743286	94
on the whole	0.37435076	98
aimed at	0.374444	97
freedomness	0.37483954	94
indicate	0.3749155	98
escaped	0.3749448	98
watched	0.37526262	97
extra(more)	0.37536573	97
buit	0.37540936	96
in three	0.37552398	96
in area	0.37574276	100
pictures	0.3759256	96
through	0.37602016	91
themselves	0.37616754	100
at that time	0.3762049	95
ordered	0.37622806	92
close to	0.37625745	97
killed	0.37640274	98
its where the written messages are passed, they are used in olden days	0.3764512	100
from that time	0.37651044	98
provide	0.37653047	100
with this	0.37654123	95
was given	0.37671596	97
was popularized	0.37711135	95
with one	0.37749282	99
scarce	0.37762243	97
observed	0.37764758	97
these also	0.37775913	97
is described	0.3779932	98
for fire	0.378064	98
will allow	0.37817234	97
providing	0.37839863	95
the powerful	0.37843776	98
its a part of	0.3784601	98
this befiore	0.37850976	96
even before	0.37859297	100
raj ghar in delhi	0.37863976	95
with ths	0.3786402	88
in one place	0.37884414	94
peoples, humans	0.37890258	92
by government	0.3790171	99
rapidly	0.3792142	96
with the help of	0.3792262	98
unimagined	0.37923056	99
lakh of	0.37937286	93
can be seen	0.37943232	98
because of this	0.37951297	99
followed	0.3798165	94
can create	0.37992457	97
will stop	0.37997225	99
with sand	0.3799845	93
