$	$	dollar
+	+	+
<	&lt;	<
=	=	=
ab	أ	ab
abad	القرن	the century
abadi	أبدي	eternal
abang	شقيق	older brother
abarai	abarai	abarai
abbas	رئيس الدير	abbas
abbasiyah	العباسية	abbasid
abbasiyyah	العباسية	abbasiyyah
abc	أ ب ج	abc
abdi	خادم	servant
abdul	عبد	abdul
abdullah	عبد الله	abdullah
abdulmalik	عبد الملك	abdul-malik
abdurrahman	عبد الرحمن	abdurrahman
abendanon	أبيندونون	abendanon
abi	أبي	abi
abidin	عابدين	abidin
abiotik	لا حيوي	abiotic
abjad	الأبجدية	alphabet
abnormal	غير طبيعي	abnormal
aborsi	الإجهاض	abortion
abortion	الإجهاض	abortion
abortus	الإجهاض	abortion
about	حول	about
abraham	ابراهيم	abraham
abri	عبري	military
absolut	مطلق	absolute
abstrak	نبذة مختصرة	abstract
abstraksi	التجريد	abstraction
abu	رماد	[name]
abuabu	اللون الرمادي	gray
abul	أبو	abul
ac	تكيف	ac
acak	عشوائي	random
acara	حدث	occasion
acaraacara	حدث	occasions
accelerator	مسرع	accelerator
access	التمكن من	access
account	الحساب	account
accountant	محاسب	accountant
accountants	المحاسبين	accountants
accounting	محاسبة	accounting
ace	أجاد	ace
aceh	آسيه	aceh
achmad	أحمد	achmad
acid	معرف ac	acid
act	فعل	act
acuan	مرجع	reference
ad	ميلادي	ad
ada	يوجد	there is
adalah	يكون	is
adam	آدم	adam
adams	آدمز	adams
adanya	يكون	there is
adaptasi	التكيف	adaption
adaptif	التكيف	adaptive
adapun	أما بالنسبة لل	as for
adat	مخصص	tradition
address	عنوان	address
adegan	مشهد	scene
adi	عدي	adi
adidas	شركة اديداس	adidas
adik	شقيقة	sister
adiknya	شقيقه الأصغر	his/her younger brother/sister
adiktif	الادمان	addictive
adil	معرض	fair
adipati	دوق	duke
administrasi	الادارة	administration
administratif	إداري	administrative
administrator	مدير	administrator
adobe	أدوبي	adobe
adolf	أدولف	adolf
adsl	adsl	adsl
