$	$	Nan
naftu	ตนเอง	Nan
naga	เรา	Nan
nagaaday	ทน	Nan
nageeye	สะเก็ด	Nan
nagiba	จำนวน	None
naginimada	ความจริงใจ	Nan
nagornokarabakh	usornokarabakh	Nan
nagu	สำหรับพวกเรา	Nan
naguma	ไม่ทำเรา	Nan
nahay	เราคือ	Nan
nahaye	ฮ่าฮ่า	Nan
nahey	nahey	Nan
nairobi	ไนโรบี	Nan
najaashi	ชาร์จ	Nan
nala	กับพวกเรา	Nan
naftooda	ตัวเอง	Nan
nalaga	จากเรา	Nan
naftiisa	ตัวเขาเอง	Nan
naftay	ตนเอง	Nan
nacas	คนโง่	Nan
nacay	เกลียด	Nan
nacayb	เกลียด	Nan
nadar	นาดาร์	Nan
nadarkana	คุณขอโทษ	Nan
nadarkaygii	คำสาบานของฉัน	Nan
nadarkii	การภาวนา	Nan
nadarkiisii	คำสัตย์สาบานของเขา	Nan
nadii	ค้นหา	Nan
nadiif	สะอาด	Nan
nadiifsan	สะอาด	Nan
nadray	ขอโทษ	Nan
naf	จิตวิญญาณ	Nan
nafta	วิญญาณ	None
naftana	ตนเอง	Nan
naftii	ตัวเขาเอง	Nan
nalagu	กับพวกเรา	Nan
naloo	เราคือ	Nan
nambiya	nambar	Nan
naxariistaha	ความเห็นอกเห็นใจ	Nan
naxariistee	ใจดี	None
naxariistii	ความเห็นอกเห็นใจ	Nan
naxariisto	มีความเห็นอกเห็นใจ	Nan
naxwaha	ไวยากรณ์	None
naxwe	ไวยากรณ์	None
nayjeeriya	พายุดีเปรสชัน	Nan
nayroobi	ใจเย็น ๆ	Nan
ne	คือ	Nan
nearby	ใกล้เคียง	Nan
nebal	nebal	Nan
nebi	ศาสดา	Nan
nebiga	ผู้เผยพระวจนะ	Nan
nebigu	ผู้เผยพระวจนะ	Nan
nebinimda	nebinimda	Nan
naxariista	ความเห็นอกเห็นใจ	Nan
naxariis	ความเห็นอกเห็นใจ	Nan
naxaawiga	บรรยากาศ	Nan
nato	นาโต	Nan
nancy	แนนซี่	Nan
naqay	สรรเสริญ	Nan
nasab	ส่วนที่เหลือ	Nan
nasabka	การหายใจ	Nan
nasabkii	โชคชะตา	Nan
nasahnaa	ส่วนที่เหลือ	Nan
nasiib	โชคดี	None
nabiyullaahi	nabihullah	Nan
nasir	ขึ้นจมูก	Nan
nasri	นาสรี่	Nan
nataashi	ที่จะได้รับ	Nan
natiijada	ผลลัพธ์	Nan
nation	ประเทศชาติ	Nan
national	แห่งชาติ	Nan
nationlink	nationlink	Nan
nations	ประเทศ	None
nasoo	มาเลย	Nan
necbaa	เกลียด	Nan
nabiyadii	ผู้เผยพระวจนะ	Nan
nabigii	ท่านศาสดา	Nan
muuqaallada	ภาพ	Nan
muuqanayey	ปรากฏ	Nan
muuqata	ปรากฏขึ้น	Nan
muuqatay	ปรากฏ	Nan
muuqato	ปรากฏขึ้น	Nan
muuqda	ปรากฏขึ้น	Nan
muuqdaan	ปรากฏ	Nan
muuqday	ปรากฏ	Nan
muuse	เติมเต็ม	Nan
muusig	เพลง	Nan
muwaadiniinta	ประชา	Nan
muxamadna	มูฮัมหมัด	Nan
muxamadun	นุ	Nan
muxamed	นุ	Nan
muxamedna	มูฮัมหมัด	Nan
muuqaalka	การปรากฏ	Nan
muxammed	มูฮัมหมัด	Nan
muumin	muumin	Nan
muujiyeen	แสดง	Nan
mustafa	มุสตาฟา	Nan
mustaqbalka	ในอนาคต	Nan
mustaxiil	คำนิยาม	Nan
musuq	คอรัปชั่น	Nan
musveni	musveni	Nan
mutaystay	สมควรได้รับมัน	Nan
mutaystayee	คุณคู่ควรกับมัน	Nan
muujinaya	แสดง	Nan
muujinayaa	แสดงให้เห็นว่า	Nan
muujinayo	แสดง	Nan
muujinaysa	แสดง	Nan
muujinaysaa	แสดงให้เห็นว่า	Nan
muujisay	แสดงให้เห็นว่า	Nan
muujiyaa	เผยให้เห็น	Nan
muujiyaha	ผู้วาดภาพประกอบ	Nan
muujiyey	แสดงให้เห็นว่า	Nan
muxudiin	muxdinin	Nan
muxumad	คำชมเชย	Nan
muxumed	muxumed	Nan
nabada	ความสงบ	Nan
nabadda	ความสงบ	Nan
nabaddayn	สวัสดี	Nan
nabadgalyadiisa	ความปลอดภัยของเขา	Nan
nabadgalyadiisana	ความปลอดภัยของเขา	Nan
nabadgalyo	ลาก่อน	Nan
nabadgelyada	ความปลอดภัย	Nan
nabadgelyadiisa	ความปลอดภัยของเขา	Nan
nabadgelyo	ลาก่อน	Nan
nabadoon	สวัสดี	Nan
nabadoonka	สวัสดี	Nan
nabi	nabi	Nan
nabiga	ท่านศาสดา	Nan
nabigeeniina	ผู้เผยพระวจนะของเรา	Nan
nabigeennii	ผู้เผยพระวจนะของเรา	Nan
nabad	ความสงบ	Nan
naasiruddiin	คุณกำลังคลื่นไส้	Nan
naasahablood	สมอง	Nan
naasaha	หน้าอก	None
muxumud	muhumud	Nan
muxuu	อะไร	Nan
muxyadiin	muhdiinin	Nan
mxaad	ที่สาม	Nan
na	กับ	Nan
naa	เกินไป	Nan
naacaw	เสียงร้อง	Nan
nabinimada	บี	None
naad	สโมสร	Nan
naagta	ผู้หญิง	Nan
naanaysaa	ชื่อเล่น	None
naanaysi	ชื่อเล่น	None
naanaysta	ชื่อเล่น	None
naar	naar	Nan
naarta	ไฟ	None
naasa	เต้านม	Nan
naag	หญิง	Nan
necebyahay	ฉันเกลียดมัน	Nan
nederlaan	ดัตช์	None
nederland	เนเธอร์แลนด์	None
noqoneysa	เป็น	None
noqoshadii	กลับ	Nan
noqoshadiisa	เขากลับมา	Nan
noqotaa	กลายเป็น	Nan
noqotay	กลายเป็น	Nan
noqotayna	และมันก็กลายเป็น	Nan
noqotey	ได้กลายเป็น	Nan
noqoto	เป็น	None
noqoy	เป็น	None
north	ทางทิศเหนือ	Nan
norway	นอร์เวย์	Nan
norwey	ในนอร์เวย์	Nan
not	ไม่	Nan
nov	พฤศจิกายน	Nan
november	พฤศจิกายน	Nan
noqonaysa	เป็น	None
nqoto	nito	Nan
noqonayaa	กลายเป็น	Nan
noqon	เป็น	None
nooli	มีชีวิต	Nan
nooluhu	การดำรงชีวิต	Nan
noolyahay	มีชีวิตอยู่	Nan
noolyihiin	มีชีวิตอยู่	Nan
nooshahay	มีชีวิต	Nan
noqatay	ได้กลายเป็น	Nan
noqdaa	กลายเป็น	Nan
noqdaan	เป็น	None
noqday	กลายเป็น	Nan
noqdee	เป็น	None
noqdeen	ได้กลายเป็น	Nan
noqdey	ได้กลายเป็น	Nan
noqdo	เป็น	None
