$	dollarni tashkil etadi	dollars
+	+	+ (plus)
=	=	=
==	==	==
|	|	|
°	°	degrees
°م	° c	°c
آثار	effektlar	ruins
آثارها	uning oqibatlari	its antiques
آخر	yana	last
آخرها	eng yangi	last one
آخرون	boshqalar	others
آخرين	boshqalar	others
آخيل	axilles	acheles
آدم	odam	adam
آراء	fikrlar	opinions
آسكي	ascii	ascian
آسيا	osiyo	asia
آشوربانيبال	ashurbanipal	ashorbanibal
آل	the	the
آلات	mashinalar	tools
آلاف	minglab	thousands
آلام	onasi	pain
آلة	mashina	machine
آلهة	xudolar	gods
آلية	mexanizmi	mechanism
آمن	xavfsizlik	safe
آمنة	xavfsiz	amina
آمون	omon	amon
آن	bu	the same time
آنذاك	shu vaqtda	by then
آي	qaysi	i
آيات	oyatlar	quran verses
آية	oyat	verse
أ	a	a
أئمة	imomlar	leaders
أب	ota	august
أبا	oppa	aba
أباتيت	apatit	apatit
أباه	dadasi	his father
أبحاث	izlanishlar	researches
أبدا	boshlang	never
أبداً	boshlang	at all
أبدًا	boshlang	never
أبرز	eng mashhuri	most conspicuous
أبرزها	eng mashhuri	the most obvious of them
أبريل	aprel	april
أبطال	chempionlar	heroes
أبعد	uzoq	far
أبناء	bolalar	sons
أبنائه	o&#39;g&#39;illari	his sons
أبو	abu	abou
أبواب	eshik	gates
أبوظبي	abu dabi	abu dhabi
أبوه	uning otasi	his father
أبى	mening otam	dad
أبي	mening otam	father of
أبيب	tel	aviv
أبيه	uning otasi	his father
أتاتورك	otaturk	atatork
أتباع	quyidagi	followers
أتباعه	uning izdoshlari	his followers
أتت	keldi	came
أتى	keldi	came up
أثار	effektlar	effected
أثارت	aroused	provoked
أثبت	isbotlangan	proofed
أثبتت	namoyish qilingan	proved
أثر	effekt	effect
أثرت	ta&#39;sir qilingan	affect
أثره	uning ta&#39;siri	his trace
أثرية	antiqa	antique
أثناء	davomida	during
أثينا	afina	athene
أجبر	majburan	forced
أجرام	jinoyat	celestial bodies
أجراها	tarafdan qilingan	conducted by the
أجرى	yugurish	conducted
أجريت	o&#39;tkazilgan	conducted
أجزاء	qismlari	parts
أجسام	tanalar	bodies
أجل	ha	sake
أجمع	men yig&#39;aman	agreed
أجمل	eng chiroyli	the most beautiful
أجنبية	chet ellik ayol	foreign
أجنحة	qanotlar	sections
أجهزة	qurilmalar	equipment
أحادي	yakka	single
أحاديث	hadislar	ahaadeeth
أحب	men sevaman	the most loved
أحجية	jumboq	mystery
أحد	bitta	one of
أحداث	voqealar	event
أحدث	eng yangi	the latest
أحدهم	kimdir	one of them
أحدهما	ulardan biri	one of them
أحزاب	tomonlar	parties
أحسن	eng yaxshisi	best
أحكام	qoidalar	decisions
أحلام	orzular	ahlam
أحمد	ahmad	ahmed
أحمدي	ahmadi	ahmade
أحمر	qizil	red
أحوال	shartlar	matters
أحياء	biologiya	districts
أحيان	ba&#39;zan	sometimes
أحيانا	ba&#39;zan	sometimes
أحياناً	ba&#39;zan	often
أحيانًا	ba&#39;zan	sometimes
أخاه	akasi	his brother
أخبار	yangiliklar	news
أخت	singil	sister
أخته	uning singlisi	his sister
أخذ	olmoqda	take
أخذت	men oldim	took
أخر	yana	another
أخرج	chiqib keting	go out
أخرى	boshqalar	other
أخطاء	xatolar	mistakes
أخطر	eng xavfli	the most serious
أخلاقية	axloqiy	morality
أخوه	birodarlar	his brother
أخيرا	nihoyat	finally
أخيه	akasi	his brother
أخيون	birodar	achaens
أداء	ishlash	performance
أداة	vosita	tool
أدب	adabiyot	literature
أدبية	adabiy	literary
أدت	led	resulted
أدخل	kirish	have been entered
أدرك	amalga oshdi	realized
أدلة	maslahatlar	evidences
أدناه	quyida	down
أدنى	eng kam	lowest
أدوار	inninglar	roles
أدولف	adolf	adolf
أدوية	dorilar	drugs
أدى	led	resulted
أدّت	led	it caused
أدّى	bajarildi	led to
أذربيجان	ozarbayjon	azerbaijan
