+	+	plus sign
=	=	equal to
 °ซ  °ฟ 	° c ° f	เซลเซียส ฟาเรนไฮต์
 ซม	cm	cm.
 −°ซ  °ฟ	- ° c ° f	thai letters
×	×	letter x
γ	γ	y
π	π	pi
กกกก	kg	a thai letter repeated 4 times
กกกข	khor khor	4 thai alphabets - jibberish
กขขข	abc b	4 of thai letters
กขขขขขขข	a b b b b a	abbbbbbb
กฎ	sharci	law, rule
กฎของโคไซน์	sharciga cosine	law of cosines
กฎแห่งกรรม	karma	bad karma
กติกา	xeerarka	rule
กทม	bangkok	agency
กนู	habeen	gnu - computer related acronym
กบ	xayawaan	frog
กบฏทหารนอกราชการ	kacdoon militari	coup de lat
กมล	ubax	kamon
กมลรัตน์	kamonrat	kamolrat - a surname
กรณีที่	dacwada	case
กรมขุนอิศเรศรังสรรค์	krom khun iset rangsan	the convention of angels
กรมขุนเพ็ชรบูรณ์อินทราชัย	kromkhunpetchaboon-indachai	department of....
กรมข่าวทหารอากาศ	waaxda wararka cirka	communication department of the thai air force
กรมควบคุมโรค	waaxda xakamaynta cudurada	department of disease control
กรมทหารราบที่	diiwaanada dhallaanka	infantry regiment
กรมรบพิเศษที่	qeybta ciidamada gaarka ah	special force group
กรมศิลปากร	qeybta fanka	fine arts department
กรมหลวงนราธิวาสราชนครินทร์	krom luang narathiwatratchanakharin	krom ma loung naratifatrachanakarin - the name of a royal family member
กรมหลวงสงขลานครินทร์	krom luang songkhla nakarin	prince of songkla
กรมอุตุนิยมวิทยา	waaxda saadaasha hawada	the meteorology department
กรรชัย	kanchai	kanchai
กรอง	filter	screen
กระดูกค้อน	hammer lafta	malleus, hammer bone
กระดูกต้นแขน	humerus	humerus
กระดูกฝ่ามือ	timirta	metacapus
กระดูกสะบัก	scapula	scapula
กระดูกสะบ้า	patella	kneecap
กระทรวงกลาโหม	wasaaradda gaashaandhigga	defense ministry
กระทรวงการคลัง	wasaaradda maaliyadda	ministry of finance
กระทรวงการต่างประเทศ	wasaaradda arimaha dibadda	ministry of foreign affairs
กระทรวงวัฒนธรรม	wasaaradda dhaqanka	ministry of culture
กระทรวงศึกษาธิการ	wasaaradda waxbarashada	ministry of education
กระทรวงสาธารณสุข	wasaaradda caafimaadka dadweynaha	ministry of public health
กระทรวงอุตสาหกรรม	wasaaradda warshadaha	ministry of industry
กระทรวงเกษตรและสหกรณ์	wasaaradda beeraha iyo iskaashiga	ministry of agriculture and cooperatives
กระทรวงเศรษฐการ	wasaaradda dhaqaalaha	ministry of commerce
กระทุ่มแบน	dambiil yar	krathum baen district, samut songkram province
กระนวน	booqasho	granuan - location in knon kan province
กระนั้น	si kastaba ha noqotee	however
กระบวนการสร้าง	habka dhismaha	anabolism
กระบวนการสร้างและสลาย	geedi socodka abuurista iyo kala goynta	metabolism
กระบอง	blackjack	club
กระบะทราย	sand sanduuq	litter box or sand box
กระบี่กระบอง	kula tartam seefo	krabi krabong (swordplay)
กระรอก	dabayl	squirrel
กระวนกระวาย	walaac	nervous
กระหม่อม	madaxa	fontanelle
กระเพาะอาหาร	calool xanuun	stomach
กระแต	chipmunk	wasp
กรับ	soo qaado	wooden rhythm clappers
กรับพวง	dooro farabadan	krap phuang
กรับเสภา	krapao	wooden rhythm clappers
กรัม	garaam	gram
กรัยวิเชียร	kraiwichian	krivician - a surname
กรานาดา	granada	granada
กริม	caro	grim
กรี	cirro	karee
กรุง	caasimada	city
กรุงธนบุรี	thon buri	thonburi city
กรุงลอนดอน	london	london
กรุงศรีอยุธยา	ayutthaya	sri ayuttaya city - former capital of thailand
กรุงเทพ	bangkok	bangkok
กรุงเทพเชียงใหม่กรุงเทพ	bangkok, chiang mai, bangkok	bangkok changmai bangkok
กรุงเทพโพลล์	bangkok poll	bangkok poll
กรุ๊ป	koox	group
กลอง	durbaan	drum
กลองมโหระทึก	durbaan weyn	big drum
กลองยาว	drum	tom-tom
กลองสองหน้า	laba waji waji	glong songna
กลอน	aayadda	poem
กลอบูลิน	iftiimin	globulin
กลาง	dhexe	in the middle
กลิ่น	ur	odor
กลุ่มดาวกล้องจุลทรรศน์	cilladaha microscopes-ka	microscopium
กลุ่มดาวนกทูแคน	toucan	tucana
กลุ่มดาวสิ่ว	chisel	siu star
กลุ่มดาวเข็มทิศ	kombuyuutareedka	pyxis constellation
กลุ่มดาวเตาหลอม	foornada dabka shidan	fornax
กลุ่มดาวแมงป่อง	scorpion	scorpion constellation
กลุ่มดาวแมลงวัน	duqsigu	musca
กลุ่มที่	kooxda	group
กลุ่มแสงอุษา	kooxda usa light	light at dawn
กลูคากอน	glucon	glucagon
กล่าวคือ	taasi waa in la yiraahdo	that is
กล้วยไม้ดาว	xiddig orchid	type of orchid that have slim petal like star
กล้องถ่ายภาพ	kaameera	camera
กล้ามเนื้อ	murqaha	muscle
กวม	guam	obscure
กวาง	deerada	deer
กวิน	kawin	gwen - a name
กวี	gabayaa	poet
กว่า	ka badan	than
กองกลาง	khadka dhexe	headquarter
กองการบินทหารเรือ	qeybta duulista hawada	the flying section of the navy
กองการศึกษา	qeybta waxbarashada	education group
กองการเจ้าหน้าที่	qeybta shaqaalaha	division of personnel
กองกำลังกึ่งทหาร	ciidamada militariga	armforces
กองคลัง	khasnadda	division of finance
กองทัพ	ciidanka	arm forces
กองทัพบกไทย	ciidamada thai	thai army
กองทัพภาคที่	ciidanka gobolka	army area
กองทัพเรือ	navy	navy
กองทัพเรือไทย	ciidamada badda thai	the royal thai navy
กองทัพแห่งความชอบธรรม	ciidanka xaqnimada	army of the righteous
กองทัพไทย	ciidamada thai	thai military forces
กองบิน	cirka	air force
กองบินปีกหมุนที่	duulista wing	flight corp number __________
กองพลทหารม้าที่	guutada guuto	cavalry division
กองพันทหารช่างที่	guusha injineerka	troop unit number ___________`
กอด	dhunkasho	kord
กอนซาเลซ	gonzalez	gonzales - a name
กอร์ดอน	gordon	gordon
กอลมเบต์	goreme	glombet - a catholic priest
กอล์ฟ	golf	golf
กอล์ฟไมค์	golf mic	golf-mike
กะเหรี่ยง	karen	karen
กะโหลก	qalfoofka	skull
กะโหลกศีรษะ	koofurta	skull; cranium
กังหันชัยพัฒนา	chaipattana turbine	chaipattana's windmill
กันดั้ม	gundam	gundam - a cartoon
กันตัง	kantang	kuntun in trung state
กันทรลักษ์	kantharalak	kuntaraluk - an area in thailand
กันฟอร์ม	foom	gun form
กันอริ	kanori	gan-ari
กันเอง	amni ahaan	casual
กับนางสุจาริณี	iyada oo la socota mrs. sucharinee	with mrs. sujarinee
กัมปูเชีย	kampuchia	kampuchea
กัมพูชา	kamboodiya	cambodia
กัมพูชาประชาธิปไตย	dimuqraadi cambodia	democratic kampuchea
กัมพูชาเป็นประเทศที่มีป่าไม้อุดมสมบูรณ์มากที่สุดหากเปรียบเทียบกับประเทศเพื่อนบ้าน	kamboodiya waa dalka leh keymaha ugu badan marka la barbar dhigo wadamada deriska ah.	cambodia is the country with nice, healthy forests
กัมพูชาเป็นอดีตประเทศอาณานิคมของฝรั่งเศสในภูมิภาคเอเชียตะวันออกเฉียงใต้เพียงแค่ประเทศเดียวเท่านั้นที่มีการปกครองด้วยระบอบราชาธิปไตยภายใต้รัฐธรรมนูญ	kamboodiya waa dalka kali hore ee gumeysiga faransiiska ee koonfur bari aasiya ee lahaa boqortooyo hoos timaada dastuurka.	cambodia was a former french colony
กัมพูชาเป็นอาณานิคมของฝรั่งเศสมาตั้งแต่พศ	kambodiya ilaa iyo waqtigaas waxay ahayd gumeystihii faransiiska.	cambodia was a france colony from year
กัวเตมาลา	guatemala	guatemala
กานซู	gansu	honshu in china
กานต์	kan	kan
กานา	gaana	ghana
กานามัยซิน	kanamycin	kanamycin
กาบอง	gabon	baton
